,c,h,l,o,s,t,v
0,0.74397,0.76001,0.74278,0.75476,ok,1287435600,35967
1,0.7547,0.75677,0.74263,0.74375,ok,1287522000,32006
2,0.74548,0.75498,0.74343,0.75467,ok,1287608400,30438
3,0.74621,0.75085,0.74372,0.74531,ok,1287694800,18097
4,0.74913,0.75026,0.74576,0.74609,ok,1287867600,378
5,0.75195,0.75607,0.74649,0.74926,ok,1287954000,24053
6,0.74893,0.75419,0.74706,0.75192,ok,1288040400,26617
7,0.74499,0.75,0.74046,0.7489,ok,1288126800,32364
8,0.75374,0.75548,0.7442,0.7449,ok,1288213200,22918
9,0.76596,0.76632,0.75075,0.75369,ok,1288299600,33244
10,0.76547,0.76572,0.76349,0.76565,ok,1288472400,713
11,0.76696,0.76903,0.76333,0.76538,ok,1288558800,25245
12,0.77119,0.7741,0.76323,0.76705,ok,1288645200,30130
13,0.77975,0.78052,0.77006,0.77145,ok,1288731600,32721
14,0.7943,0.79752,0.77789,0.77982,ok,1288818000,33346
15,0.79513,0.79693,0.78828,0.79432,ok,1288904400,28724
16,0.79561,0.79561,0.79561,0.79561,ok,1288990800,1
17,0.79343,0.79398,0.79028,0.79361,ok,1289077200,556
18,0.78772,0.79357,0.78409,0.79335,ok,1289167200,24284
19,0.77742,0.79123,0.7759,0.7877,ok,1289253600,33097
20,0.78263,0.78487,0.77364,0.77726,ok,1289340000,41513
21,0.7801,0.78724,0.77721,0.78261,ok,1289426400,27125
22,0.77308,0.781,0.76978,0.78005,ok,1289512800,28449
23,0.77632,0.77751,0.77226,0.77233,ok,1289685600,1274
24,0.77263,0.77758,0.76819,0.77646,ok,1289772000,27043
25,0.76751,0.77539,0.76521,0.77259,ok,1289858400,35510
26,0.77011,0.77254,0.7631,0.76813,ok,1289944800,21537
27,0.77806,0.77853,0.76936,0.76996,ok,1290031200,21811
28,0.77827,0.77991,0.77465,0.77821,ok,1290117600,24193
29,0.77919,0.78015,0.77781,0.778,ok,1290290400,703
30,0.77168,0.78349,0.76938,0.77917,ok,1290376800,27548
31,0.75845,0.77289,0.75769,0.77148,ok,1290463200,38912
32,0.75954,0.76427,0.75813,0.75847,ok,1290549600,25011
33,0.75974,0.7627,0.75583,0.75958,ok,1290636000,19056
34,0.7494,0.76212,0.74791,0.75972,ok,1290722400,23277
35,0.75185,0.75402,0.74885,0.74958,ok,1290895200,852
36,0.74565,0.75347,0.74273,0.75195,ok,1290981600,27704
37,0.74227,0.74701,0.73968,0.7454,ok,1291068000,27146
38,0.74864,0.75102,0.73983,0.7423,ok,1291154400,31184
39,0.75506,0.75642,0.74537,0.7486,ok,1291240800,29523
40,0.76555,0.76693,0.75431,0.75511,ok,1291327200,27742
41,0.76498,0.76548,0.76498,0.76548,ok,1291413600,2
42,0.76312,0.76658,0.76257,0.76558,ok,1291500000,532
43,0.76142,0.76537,0.75854,0.76288,ok,1291586400,19131
44,0.75682,0.76653,0.75613,0.76152,ok,1291672800,30167
45,0.74731,0.7577,0.74337,0.75648,ok,1291759200,31277
46,0.74834,0.75155,0.74505,0.7471,ok,1291845600,28644
47,0.74648,0.75285,0.74648,0.74845,ok,1291932000,17369
48,0.746,0.74773,0.74587,0.74661,ok,1292104800,916
49,0.75086,0.75748,0.7456,0.74595,ok,1292191200,14979
50,0.75114,0.75748,0.7491,0.75077,ok,1292277600,21844
51,0.73932,0.75185,0.737,0.75118,ok,1292364000,25761
52,0.74009,0.74057,0.7343,0.7392,ok,1292450400,22864
53,0.73576,0.7425,0.73499,0.74005,ok,1292536800,17531
54,0.73558,0.73743,0.73504,0.73645,ok,1292709600,558
55,0.74184,0.74358,0.73447,0.73571,ok,1292796000,17689
56,0.74391,0.74829,0.74024,0.74165,ok,1292882400,20241
57,0.73993,0.74502,0.73705,0.744,ok,1292968800,16349
58,0.74697,0.75005,0.73946,0.73985,ok,1293055200,15138
59,0.7486,0.74918,0.74613,0.74705,ok,1293141600,4220
60,0.74845,0.74845,0.74845,0.74845,ok,1293228000,1
61,0.74652,0.7477,0.74475,0.7477,ok,1293314400,164
62,0.75005,0.75063,0.74538,0.74654,ok,1293400800,8951
63,0.75524,0.76047,0.74881,0.74995,ok,1293487200,12620
64,0.76823,0.76868,0.75357,0.75521,ok,1293573600,13399
65,0.77034,0.77262,0.76599,0.76825,ok,1293660000,13705
