,c,h,l,o,s,t,v
0,1670.0,1696.5,1661.0,1689.0,ok,1287435600,1072
1,1679.0,1680.0,1653.0,1670.0,ok,1287522000,1144
2,1665.0,1687.0,1660.5,1679.5,ok,1287608400,1122
3,1665.0,1673.0,1656.0,1667.0,ok,1287694800,1078
4,1673.0,1674.0,1666.0,1667.0,ok,1287781200,220
5,1691.0,1699.0,1671.0,1673.0,ok,1287954000,874
6,1697.0,1701.5,1684.5,1689.0,ok,1288040400,1045
7,1675.0,1709.0,1675.0,1697.0,ok,1288126800,1139
8,1682.5,1685.0,1668.5,1674.0,ok,1288213200,1128
9,1700.5,1701.5,1677.5,1683.0,ok,1288299600,1183
10,1702.0,1702.5,1693.0,1700.0,ok,1288386000,206
11,1701.0,1720.0,1700.5,1704.0,ok,1288558800,765
12,1710.0,1719.5,1700.0,1702.0,ok,1288645200,1142
13,1695.2,1717.2,1690.0,1712.5,ok,1288731600,954
14,1749.5,1750.0,1683.0,1693.0,ok,1288818000,1075
15,1760.0,1782.0,1735.0,1747.0,ok,1288904400,1188
16,1765.5,1767.5,1757.0,1759.5,ok,1288990800,230
17,1761.0,1771.5,1745.5,1762.0,ok,1289167200,835
18,1792.5,1797.0,1758.5,1761.0,ok,1289253600,1029
19,1742.0,1806.5,1728.0,1793.5,ok,1289340000,1081
20,1741.0,1769.0,1729.0,1742.0,ok,1289426400,1116
21,1684.0,1754.0,1680.0,1741.0,ok,1289512800,1038
22,1678.0,1685.0,1669.5,1685.0,ok,1289599200,279
23,1684.5,1693.2,1665.0,1678.0,ok,1289772000,992
24,1642.5,1686.0,1634.0,1684.0,ok,1289858400,1206
25,1634.0,1645.0,1623.0,1640.0,ok,1289944800,1184
26,1659.0,1663.5,1626.5,1634.0,ok,1290031200,1228
27,1661.0,1669.0,1640.5,1658.0,ok,1290117600,1296
28,1663.0,1667.0,1659.0,1662.0,ok,1290204000,257
29,1649.0,1673.5,1644.0,1668.0,ok,1290376800,944
30,1643.0,1662.0,1630.5,1648.0,ok,1290463200,1230
31,1657.5,1667.0,1642.5,1643.0,ok,1290549600,1178
32,1656.0,1660.5,1647.0,1658.0,ok,1290636000,1107
33,1638.5,1660.5,1632.5,1658.0,ok,1290722400,847
