,c,h,l,o,s,t,v
0,0.73978,0.74486,0.73488,0.73853,ok,1287435600,32469
1,0.73797,0.74114,0.73478,0.7398,ok,1287522000,27041
2,0.74314,0.74427,0.73771,0.73778,ok,1287608400,34527
3,0.75279,0.75505,0.74234,0.74317,ok,1287694800,26551
4,0.75265,0.75265,0.75265,0.75265,ok,1287781200,1
5,0.75167,0.75362,0.75035,0.7528,ok,1287867600,902
6,0.75076,0.75459,0.74781,0.75164,ok,1287954000,20812
7,0.75893,0.76113,0.7492,0.75081,ok,1288040400,24882
8,0.75957,0.76112,0.75642,0.75889,ok,1288126800,28357
9,0.75876,0.76166,0.756,0.75953,ok,1288213200,20648
10,0.75875,0.76409,0.75721,0.7586,ok,1288299600,24753
11,0.75877,0.75892,0.75875,0.75892,ok,1288386000,6
12,0.75841,0.75927,0.75728,0.75887,ok,1288472400,369
13,0.76754,0.77127,0.75795,0.75846,ok,1288558800,23572
14,0.76008,0.76992,0.75757,0.76745,ok,1288645200,19593
15,0.75473,0.76272,0.75353,0.76021,ok,1288731600,30181
16,0.74713,0.75751,0.74548,0.75477,ok,1288818000,25634
17,0.74721,0.74966,0.74253,0.74716,ok,1288904400,28594
18,0.74828,0.74828,0.74704,0.74708,ok,1288990800,6
19,0.7475,0.74822,0.74652,0.74789,ok,1289077200,1009
20,0.74979,0.75212,0.74656,0.74745,ok,1289167200,25449
21,0.75004,0.7525,0.7467,0.74977,ok,1289253600,27228
22,0.75341,0.75736,0.74844,0.74998,ok,1289340000,31483
23,0.75602,0.75866,0.75129,0.75335,ok,1289426400,24330
24,0.75528,0.75763,0.74926,0.75605,ok,1289512800,40501
25,0.75336,0.75476,0.75183,0.75438,ok,1289685600,1471
26,0.75533,0.7572,0.75085,0.75333,ok,1289772000,30094
27,0.76292,0.76416,0.75397,0.75532,ok,1289858400,31299
28,0.76148,0.76513,0.75859,0.76296,ok,1289944800,24200
29,0.76818,0.77014,0.75977,0.76149,ok,1290031200,26207
30,0.76508,0.77037,0.76225,0.76816,ok,1290117600,23075
31,0.76541,0.76541,0.76515,0.76515,ok,1290204000,4
32,0.76475,0.76557,0.76269,0.7653,ok,1290290400,1111
33,0.7626,0.76716,0.7611,0.7647,ok,1290376800,22957
34,0.75841,0.76296,0.75095,0.76296,ok,1290463200,36370
35,0.76001,0.76125,0.7567,0.75839,ok,1290549600,31424
36,0.76536,0.76607,0.75906,0.75994,ok,1290636000,22739
37,0.75961,0.7655,0.75706,0.76534,ok,1290722400,27530
38,0.7598,0.7598,0.75975,0.75975,ok,1290808800,2
39,0.76086,0.76105,0.75694,0.75949,ok,1290895200,2804
40,0.7578,0.76182,0.75573,0.76078,ok,1290981600,29730
41,0.75979,0.76053,0.75133,0.75783,ok,1291068000,34610
42,0.7647,0.76813,0.75816,0.75976,ok,1291154400,31908
43,0.7595,0.76629,0.75692,0.76472,ok,1291240800,31470
44,0.74665,0.76058,0.74561,0.75946,ok,1291327200,28999
45,0.74663,0.74671,0.74644,0.74669,ok,1291413600,5
46,0.74822,0.74833,0.74611,0.74635,ok,1291500000,801
47,0.75181,0.75604,0.74634,0.74819,ok,1291586400,23931
48,0.75324,0.75566,0.74872,0.75183,ok,1291672800,25795
49,0.75013,0.75455,0.74868,0.75329,ok,1291759200,30116
50,0.75019,0.75358,0.74835,0.75002,ok,1291845600,30361
51,0.74992,0.75173,0.74792,0.75015,ok,1291932000,20639
52,0.74987,0.74987,0.74987,0.74987,ok,1292018400,1
53,0.75085,0.75227,0.74841,0.75055,ok,1292104800,578
54,0.74229,0.75264,0.73973,0.75088,ok,1292191200,18836
55,0.7363,0.74359,0.73422,0.74223,ok,1292277600,29125
56,0.7343,0.73785,0.72935,0.73637,ok,1292364000,31964
57,0.7336,0.73956,0.73236,0.73439,ok,1292450400,27308
58,0.73672,0.73833,0.72897,0.73364,ok,1292536800,25988
59,0.73663,0.73665,0.73663,0.73665,ok,1292623200,2
60,0.73505,0.73775,0.73498,0.73714,ok,1292709600,711
61,0.73246,0.73824,0.73111,0.73508,ok,1292796000,22993
62,0.72995,0.73366,0.72819,0.73251,ok,1292882400,22865
63,0.72824,0.73115,0.72593,0.72989,ok,1292968800,23729
64,0.7339,0.73932,0.72686,0.72821,ok,1293055200,22181
65,0.73966,0.74132,0.7328,0.73388,ok,1293141600,12133
66,0.73912,0.73966,0.73912,0.73955,ok,1293228000,7
67,0.73766,0.74036,0.73744,0.74036,ok,1293314400,137
68,0.73845,0.74277,0.73722,0.73754,ok,1293400800,15539
69,0.73253,0.73909,0.72672,0.73842,ok,1293487200,20976
70,0.73143,0.73533,0.73039,0.73243,ok,1293573600,16867
71,0.72545,0.73173,0.7248,0.73138,ok,1293660000,19010
72,0.72734,0.73133,0.72369,0.72546,ok,1293746400,20312
73,0.72745,0.72745,0.72745,0.72745,ok,1293832800,1
74,0.72711,0.72868,0.72551,0.72551,ok,1293919200,372
75,0.72621,0.73022,0.72566,0.72714,ok,1294005600,18153
76,0.73666,0.73796,0.72571,0.72614,ok,1294092000,28144
77,0.7471,0.7493,0.73376,0.73658,ok,1294178400,32274
78,0.7453,0.74943,0.74202,0.747,ok,1294264800,29702
79,0.747,0.74742,0.73983,0.74529,ok,1294351200,30165
80,0.74705,0.74705,0.74705,0.74705,ok,1294437600,1
81,0.7471,0.74719,0.74465,0.74677,ok,1294524000,887
82,0.74523,0.74798,0.73991,0.74707,ok,1294610400,26682
83,0.75272,0.75514,0.74384,0.74526,ok,1294696800,31285
84,0.75064,0.75549,0.74992,0.75269,ok,1294783200,32296
85,0.74951,0.75736,0.74817,0.7506,ok,1294869600,31871
86,0.74747,0.75054,0.7452,0.74947,ok,1294956000,28357
87,0.74734,0.7474,0.74734,0.7474,ok,1295042400,3
88,0.74696,0.74868,0.74664,0.74762,ok,1295128800,809
89,0.74879,0.75107,0.74582,0.74702,ok,1295215200,21801
90,0.75086,0.75223,0.74374,0.74882,ok,1295301600,27586
91,0.74388,0.75177,0.74191,0.75089,ok,1295388000,26712
92,0.75087,0.75126,0.7398,0.74392,ok,1295474400,33892
93,0.74594,0.75183,0.74562,0.75093,ok,1295560800,26847
94,0.74591,0.74591,0.74591,0.74591,ok,1295647200,1
95,0.74372,0.74601,0.74354,0.74508,ok,1295733600,814
96,0.74071,0.74961,0.73899,0.74369,ok,1295820000,21489
97,0.7362,0.74302,0.73445,0.74063,ok,1295906400,28995
98,0.7358,0.7393,0.73461,0.73625,ok,1295992800,25409
99,0.73905,0.74126,0.73396,0.73573,ok,1296079200,26096
100,0.73239,0.7398,0.73203,0.73914,ok,1296165600,23885
101,0.73246,0.73246,0.73246,0.73246,ok,1296252000,13
102,0.73175,0.73396,0.73144,0.73246,ok,1296338400,973
103,0.73759,0.73829,0.73082,0.73172,ok,1296424800,22778
104,0.73572,0.74147,0.73446,0.73755,ok,1296511200,27793
105,0.73857,0.74189,0.73301,0.73575,ok,1296597600,24209
106,0.74158,0.74721,0.7378,0.73851,ok,1296684000,23141
107,0.74848,0.7523,0.74107,0.74155,ok,1296770400,19625
108,0.74834,0.74834,0.74834,0.74834,ok,1296856800,13
109,0.75082,0.7514,0.74705,0.74834,ok,1296943200,830
110,0.7501,0.75177,0.74727,0.75079,ok,1297029600,20829
111,0.75614,0.75776,0.74814,0.75014,ok,1297116000,22869
112,0.75139,0.75819,0.75045,0.75613,ok,1297202400,21899
113,0.75793,0.75873,0.7506,0.75141,ok,1297288800,23351
114,0.75824,0.76117,0.75461,0.75791,ok,1297375200,23390
115,0.75831,0.75831,0.75831,0.75831,ok,1297461600,4
116,0.7585,0.75962,0.75733,0.75831,ok,1297548000,1288
117,0.7569,0.76164,0.75584,0.75847,ok,1297634400,17984
118,0.75464,0.75958,0.75358,0.75688,ok,1297720800,19434
119,0.74992,0.76036,0.74672,0.75467,ok,1297807200,23320
120,0.74413,0.75078,0.74238,0.74996,ok,1297893600,22503
121,0.74084,0.74823,0.74046,0.7441,ok,1297980000,19592
122,0.74081,0.74081,0.74081,0.74081,ok,1298066400,13
123,0.73974,0.74125,0.73831,0.74081,ok,1298152800,726
124,0.74214,0.7437,0.73977,0.73977,ok,1298239200,13495
125,0.73268,0.74273,0.73156,0.74215,ok,1298325600,26717
126,0.73017,0.7353,0.72825,0.73272,ok,1298412000,21969
127,0.72516,0.73088,0.72207,0.73015,ok,1298498400,28234
128,0.72869,0.73121,0.72299,0.72515,ok,1298584800,21320
129,0.72862,0.72872,0.72862,0.72872,ok,1298671200,18
130,0.72825,0.72952,0.7279,0.72862,ok,1298757600,682
131,0.73017,0.73156,0.72704,0.72827,ok,1298844000,17364
132,0.72874,0.73354,0.72865,0.73013,ok,1298930400,17146
133,0.72726,0.73051,0.72436,0.72877,ok,1299016800,16822
134,0.73438,0.73522,0.72715,0.72718,ok,1299103200,18640
135,0.72911,0.73575,0.72815,0.73433,ok,1299189600,17618
136,0.72905,0.72905,0.72905,0.72905,ok,1299276000,1
137,0.72951,0.73041,0.72868,0.72905,ok,1299362400,451
138,0.73157,0.73333,0.72921,0.72956,ok,1299448800,12441
139,0.73729,0.73801,0.73113,0.7316,ok,1299535200,16530
140,0.73253,0.7382,0.7313,0.73731,ok,1299621600,13305
141,0.73196,0.73598,0.73049,0.7325,ok,1299708000,19182
142,0.73275,0.73443,0.72984,0.73199,ok,1299794400,20894
143,0.73275,0.73275,0.73275,0.73275,ok,1299880800,14
144,0.73042,0.73275,0.72817,0.73275,ok,1299967200,2080
145,0.72902,0.73366,0.72773,0.73049,ok,1300050000,17598
146,0.71434,0.72958,0.71315,0.72905,ok,1300136400,32968
147,0.70758,0.71976,0.70651,0.7144,ok,1300222800,27021
148,0.70273,0.70777,0.6942,0.70762,ok,1300309200,41209
149,0.70683,0.71293,0.70111,0.70271,ok,1300395600,29887
150,0.70706,0.70706,0.70701,0.70701,ok,1300482000,14
151,0.70572,0.70713,0.70523,0.70706,ok,1300568400,591
152,0.71391,0.71602,0.70561,0.7057,ok,1300654800,16724
153,0.71462,0.71661,0.71202,0.71388,ok,1300741200,14698
154,0.71754,0.71862,0.70975,0.71461,ok,1300827600,17249
155,0.72045,0.72246,0.71569,0.71735,ok,1300914000,17038
156,0.72882,0.73013,0.71949,0.72048,ok,1301000400,16051
157,0.72882,0.72884,0.72882,0.72884,ok,1301086800,14
158,0.73018,0.73051,0.72787,0.72882,ok,1301173200,481
159,0.72576,0.73144,0.72524,0.73013,ok,1301259600,13355
160,0.72929,0.73074,0.72439,0.72574,ok,1301346000,16063
161,0.72752,0.73433,0.72707,0.72927,ok,1301432400,16712
162,0.72878,0.72928,0.72391,0.72756,ok,1301518800,15650
163,0.73238,0.73962,0.72815,0.72885,ok,1301605200,20590
164,0.73238,0.73418,0.7321,0.73221,ok,1301691600,16
165,0.73269,0.73313,0.73112,0.73238,ok,1301778000,298
166,0.73212,0.7348,0.72918,0.73267,ok,1301864400,11258
167,0.73375,0.73535,0.72993,0.73205,ok,1301950800,13107
168,0.72896,0.73754,0.72435,0.73379,ok,1302037200,15599
169,0.72662,0.72974,0.72519,0.72893,ok,1302123600,15275
170,0.72037,0.72841,0.71997,0.72664,ok,1302210000,15068
171,0.72036,0.72037,0.71998,0.72037,ok,1302296400,12
172,0.72049,0.72295,0.72013,0.72036,ok,1302382800,1127
173,0.72137,0.72472,0.7202,0.72053,ok,1302469200,11729
174,0.71377,0.72185,0.71028,0.72135,ok,1302555600,21793
175,0.71309,0.71594,0.7109,0.71381,ok,1302642000,16268
176,0.71558,0.71837,0.7128,0.71306,ok,1302728400,23739
177,0.71697,0.72018,0.71483,0.71561,ok,1302814800,14991
178,0.71697,0.71697,0.71697,0.71697,ok,1302901200,11
179,0.71759,0.7185,0.71645,0.71697,ok,1302987600,422
180,0.71855,0.72062,0.71441,0.71755,ok,1303074000,21564
181,0.72345,0.7238,0.71574,0.71861,ok,1303160400,17214
182,0.71689,0.7246,0.7165,0.72349,ok,1303246800,19017
183,0.71708,0.7185,0.71036,0.71693,ok,1303333200,17910
184,0.71704,0.71897,0.71617,0.71706,ok,1303419600,5796
185,0.71704,0.71704,0.71704,0.71704,ok,1303506000,13
186,0.71621,0.71738,0.71592,0.71704,ok,1303592400,119
187,0.71247,0.71858,0.71069,0.71624,ok,1303678800,12539
188,0.71014,0.71547,0.70854,0.71251,ok,1303765200,17199
189,0.71094,0.71576,0.70346,0.71016,ok,1303851600,21645
190,0.71146,0.71257,0.70849,0.71097,ok,1303938000,19382
191,0.70601,0.71193,0.70539,0.71149,ok,1304024400,15710
192,0.70601,0.70601,0.70601,0.70601,ok,1304110800,12
193,0.707,0.70722,0.70554,0.70601,ok,1304197200,254
194,0.70712,0.71079,0.7051,0.70702,ok,1304283600,16104
195,0.70089,0.70785,0.70022,0.70708,ok,1304370000,18824
196,0.6994,0.70317,0.69561,0.70093,ok,1304456400,23239
197,0.70104,0.70323,0.69363,0.69937,ok,1304542800,28161
198,0.70865,0.7124,0.70032,0.701,ok,1304629200,36559
199,0.70865,0.70865,0.70865,0.70865,ok,1304715600,12
200,0.70906,0.71121,0.70409,0.70865,ok,1304802000,1587
