,c,h,l,o,s,t,v
0,5.90772,5.973,5.89901,5.97051,ok,1287435600,1148
1,5.95735,5.96872,5.89414,5.90563,ok,1287522000,975
2,5.96232,5.99628,5.94849,5.95841,ok,1287608400,1235
3,5.98122,5.98516,5.95593,5.96161,ok,1287694800,891
4,5.98767,5.98946,5.97657,5.98193,ok,1287867600,30
5,5.99844,6.01287,5.97051,5.98838,ok,1287954000,616
6,5.98372,6.00096,5.96659,5.99772,ok,1288040400,674
7,5.95061,5.98301,5.93331,5.98265,ok,1288126800,987
8,5.98408,5.9891,5.94283,5.95132,ok,1288213200,791
9,5.98838,5.99305,5.96338,5.98301,ok,1288299600,576
10,5.98659,5.98802,5.97621,5.97621,ok,1288472400,20
11,5.99988,6.01178,5.98408,5.98731,ok,1288558800,698
12,6.01576,6.02047,5.99305,6.0006,ok,1288645200,452
13,6.02773,6.03282,6.01142,6.01685,ok,1288731600,707
14,6.04339,6.04485,6.02627,6.02664,ok,1288818000,542
15,6.02627,6.04485,6.01938,6.04266,ok,1288904400,748
16,6.02519,6.027,6.02156,6.02156,ok,1289077200,24
17,6.01649,6.03355,6.01287,6.02446,ok,1289167200,664
18,6.00601,6.0423,5.99988,6.01576,ok,1289253600,738
19,6.01649,6.02591,5.99305,6.00528,ok,1289340000,839
20,6.00962,6.03173,6.00168,6.0183,ok,1289426400,551
21,5.97051,6.01251,5.96267,6.01034,ok,1289512800,1454
22,5.96801,5.96837,5.96659,5.96837,ok,1289685600,5
23,5.94778,5.9805,5.92487,5.9673,ok,1289772000,1052
24,5.94318,5.98193,5.93507,5.94672,ok,1289858400,1047
25,5.95806,5.96054,5.93014,5.94248,ok,1289944800,744
26,5.98193,5.99197,5.95593,5.95699,ok,1290031200,912
27,5.98122,5.99089,5.96837,5.98265,ok,1290117600,664
28,5.98193,5.98193,5.98193,5.98193,ok,1290204000,1
29,5.97764,5.98301,5.97407,5.98122,ok,1290290400,35
30,5.97729,5.9988,5.96766,5.97657,ok,1290376800,656
31,5.90005,5.97979,5.8931,5.978,ok,1290463200,1245
32,5.92242,5.93507,5.89901,5.89901,ok,1290549600,1202
33,5.93542,5.94036,5.91261,5.92136,ok,1290636000,691
34,5.88062,5.93613,5.86889,5.93472,ok,1290722400,1113
35,5.89102,5.89102,5.87372,5.8751,ok,1290895200,28
36,5.88547,5.90354,5.8651,5.89032,ok,1290981600,993
37,5.88097,5.89692,5.85995,5.88478,ok,1291068000,921
38,5.92663,5.93296,5.87096,5.87993,ok,1291154400,1062
39,5.94177,5.94778,5.90772,5.92768,ok,1291240800,916
40,5.95593,5.96552,5.92768,5.93965,ok,1291327200,940
41,5.95806,5.95806,5.95806,5.95806,ok,1291413600,1
42,5.95557,5.96019,5.9538,5.95593,ok,1291500000,8
43,5.9453,5.96516,5.93577,5.95699,ok,1291586400,668
44,5.92136,5.96232,5.91751,5.94742,ok,1291672800,828
45,5.90877,5.93155,5.88685,5.91926,ok,1291759200,1428
46,5.93049,5.93437,5.90284,5.90772,ok,1291845600,850
47,5.94354,5.94601,5.92452,5.92944,ok,1291932000,821
48,5.93401,5.94919,5.93085,5.94919,ok,1292104800,41
49,5.96659,5.9673,5.92909,5.93085,ok,1292191200,474
50,5.96445,5.99018,5.96303,5.96552,ok,1292277600,800
51,5.89831,5.97015,5.89032,5.96552,ok,1292364000,1497
52,5.91716,5.92136,5.89866,5.89971,ok,1292450400,844
53,5.91681,5.93789,5.9004,5.91821,ok,1292536800,836
54,5.90563,5.91961,5.90354,5.91611,ok,1292709600,44
55,5.90284,5.91436,5.87959,5.91051,ok,1292796000,789
56,5.92277,5.92522,5.89971,5.89971,ok,1292882400,552
57,5.95061,5.95344,5.91751,5.92382,ok,1292968800,663
58,5.95415,5.96125,5.94601,5.9499,ok,1293055200,494
59,5.98372,5.99233,5.95061,5.95344,ok,1293141600,505
60,5.97193,5.97621,5.96872,5.97407,ok,1293314400,20
61,5.9891,5.99916,5.973,5.97336,ok,1293400800,493
62,5.98372,6.00709,5.98301,5.98838,ok,1293487200,423
63,6.02011,6.02156,5.98193,5.98301,ok,1293573600,365
64,6.03755,6.03865,6.01106,6.02192,ok,1293660000,383
65,6.0518,6.07128,6.02845,6.03974,ok,1293746400,958
66,6.0529,6.0529,6.0529,6.0529,ok,1293832800,1
67,6.04887,6.06244,6.04558,6.05364,ok,1293919200,18
68,6.04631,6.06318,6.03901,6.04961,ok,1294005600,631
69,6.03391,6.05144,6.02301,6.04705,ok,1294092000,793
70,6.01178,6.03573,6.00528,6.03318,ok,1294178400,855
71,5.99988,6.01938,5.99161,6.01034,ok,1294264800,1013
72,6.00456,6.01142,5.98623,6.0006,ok,1294351200,893
73,5.99628,6.00601,5.98802,6.00601,ok,1294524000,69
74,5.99161,6.00601,5.96054,5.99556,ok,1294610400,787
75,6.01178,6.01612,5.97836,5.99053,ok,1294696800,945
76,6.03755,6.03901,5.99916,6.01106,ok,1294783200,872
77,6.04522,6.05364,6.02482,6.04011,ok,1294869600,812
78,6.03355,6.05034,6.02119,6.04631,ok,1294956000,872
79,6.03573,6.03573,6.03282,6.03282,ok,1295128800,4
80,6.03755,6.04705,6.01468,6.035,ok,1295215200,623
81,6.06281,6.06722,6.027,6.03828,ok,1295301600,677
82,6.06171,6.08088,6.05583,6.06171,ok,1295388000,626
83,6.04266,6.07681,6.02991,6.06281,ok,1295474400,968
84,6.06686,6.07238,6.03682,6.04193,ok,1295560800,832
85,6.05987,6.06465,6.0529,6.05987,ok,1295733600,41
86,6.08569,6.08939,6.05987,6.06061,ok,1295820000,480
87,6.08569,6.09533,6.07091,6.08717,ok,1295906400,693
88,6.08532,6.08606,6.07423,6.08495,ok,1295992800,621
89,6.09162,6.09162,6.07792,6.08458,ok,1296079200,593
90,6.0595,6.09273,6.05767,6.09273,ok,1296165600,631
91,6.0595,6.0595,6.0595,6.0595,ok,1296252000,12
92,6.0584,6.06428,6.05767,6.0595,ok,1296338400,31
93,6.09385,6.09533,6.04668,6.05767,ok,1296424800,598
94,6.12933,6.13196,6.09199,6.09273,ok,1296511200,872
95,6.1192,6.13234,6.10948,6.1282,ok,1296597600,632
96,6.10724,6.12033,6.10016,6.11808,ok,1296684000,340
97,6.10389,6.11135,6.10277,6.1065,ok,1296770400,191
98,6.1024,6.1024,6.1024,6.1024,ok,1296856800,13
99,6.10389,6.10538,6.1024,6.1024,ok,1296943200,15
100,6.11098,6.11284,6.09162,6.10463,ok,1297029600,504
101,6.11098,6.12182,6.10575,6.11023,ok,1297116000,478
102,6.10986,6.11733,6.10091,6.10986,ok,1297202400,541
103,6.0931,6.11509,6.08273,6.1106,ok,1297288800,714
104,6.07644,6.09793,6.06171,6.09385,ok,1297375200,859
105,6.07644,6.07644,6.07644,6.07644,ok,1297461600,3
106,6.06759,6.07755,6.06759,6.07644,ok,1297548000,54
107,6.08495,6.0931,6.0687,6.06907,ok,1297634400,494
108,6.08236,6.09199,6.07792,6.08421,ok,1297720800,469
109,6.09013,6.09385,6.0794,6.08125,ok,1297807200,377
110,6.1024,6.10538,6.08421,6.08902,ok,1297893600,513
111,6.10874,6.11845,6.09793,6.10165,ok,1297980000,534
112,6.10874,6.10874,6.10874,6.10874,ok,1298066400,12
113,6.10426,6.11135,6.10203,6.10874,ok,1298152800,36
114,6.1024,6.11434,6.09533,6.10501,ok,1298239200,436
115,6.08347,6.10575,6.0698,6.10165,ok,1298325600,721
116,6.10203,6.11023,6.07829,6.08273,ok,1298412000,692
117,6.10389,6.11172,6.07607,6.10277,ok,1298498400,760
118,6.11958,6.12482,6.1024,6.10314,ok,1298584800,561
119,6.11958,6.11958,6.11958,6.11958,ok,1298671200,14
120,6.11434,6.11958,6.11135,6.11958,ok,1298757600,18
121,6.12332,6.12933,6.10836,6.11546,ok,1298844000,341
122,6.11583,6.13271,6.11509,6.12257,ok,1298930400,268
123,6.13723,6.13836,6.11471,6.11509,ok,1299016800,292
124,6.14024,6.14439,6.13234,6.13648,ok,1299103200,245
125,6.14213,6.15157,6.14062,6.14137,ok,1299189600,291
126,6.14024,6.14213,6.13911,6.14213,ok,1299362400,16
127,6.15044,6.15991,6.141,6.141,ok,1299448800,285
128,6.14288,6.15385,6.13309,6.14968,ok,1299535200,468
129,6.13911,6.15006,6.12745,6.14402,ok,1299621600,306
130,6.11958,6.1459,6.11509,6.13798,ok,1299708000,539
131,6.13987,6.14213,6.11098,6.11883,ok,1299794400,616
132,6.13987,6.13987,6.13987,6.13987,ok,1299880800,14
133,6.13572,6.141,6.12482,6.13987,ok,1299967200,49
134,6.1459,6.14779,6.12632,6.13685,ok,1300050000,408
135,6.07829,6.14628,6.06097,6.14515,ok,1300136400,1267
136,6.07792,6.10687,6.07349,6.07718,ok,1300222800,866
137,6.10352,6.10911,6.0584,6.07866,ok,1300309200,915
138,6.12332,6.12933,6.09756,6.10277,ok,1300395600,694
139,6.12332,6.12332,6.12332,6.12332,ok,1300482000,12
140,6.1192,6.12332,6.1192,6.12332,ok,1300568400,13
141,6.15612,6.15991,6.1192,6.1192,ok,1300654800,460
142,6.16827,6.17551,6.15347,6.15574,ok,1300741200,373
143,6.15839,6.17055,6.15271,6.16713,ok,1300827600,480
144,6.18162,6.18467,6.15536,6.16029,ok,1300914000,330
145,6.1778,6.18774,6.1717,6.18123,ok,1301000400,260
146,6.1778,6.1778,6.1778,6.1778,ok,1301086800,12
147,6.17627,6.1778,6.1717,6.1778,ok,1301173200,23
148,6.1736,6.18506,6.16865,6.1778,ok,1301259600,262
149,6.17665,6.18506,6.16751,6.17513,ok,1301346000,364
150,6.16751,6.18162,6.16105,6.17589,ok,1301432400,379
151,6.16865,6.18238,6.16637,6.16637,ok,1301518800,301
152,6.16789,6.17246,6.15688,6.16979,ok,1301605200,306
153,6.16827,6.17132,6.16789,6.16789,ok,1301691600,13
154,6.16941,6.1717,6.16067,6.16827,ok,1301778000,28
155,6.16637,6.17475,6.16333,6.16941,ok,1301864400,93
156,6.16523,6.16865,6.16219,6.16713,ok,1301950800,147
157,6.16751,6.17055,6.16257,6.16637,ok,1302037200,92
158,6.16257,6.16865,6.15536,6.16637,ok,1302123600,165
159,6.1778,6.18276,6.16105,6.16105,ok,1302210000,257
160,6.1778,6.1778,6.1778,6.1778,ok,1302296400,10
161,6.17589,6.18314,6.17475,6.1778,ok,1302382800,23
162,6.18238,6.19003,6.17589,6.17589,ok,1302469200,222
163,6.1862,6.1885,6.15953,6.18314,ok,1302555600,482
164,6.18659,6.19387,6.17132,6.18544,ok,1302642000,309
165,6.23675,6.24064,6.18735,6.18735,ok,1302728400,1095
166,6.24961,6.25821,6.23014,6.23558,ok,1302814800,416
167,6.24961,6.24961,6.24961,6.24961,ok,1302901200,11
168,6.25117,6.25195,6.24961,6.24961,ok,1302987600,15
169,6.23441,6.25782,6.2162,6.25039,ok,1303074000,642
170,6.25234,6.25234,6.22123,6.23519,ok,1303160400,455
171,6.27431,6.27628,6.25,6.25234,ok,1303246800,411
172,6.28733,6.29604,6.27156,6.27353,ok,1303333200,398
173,6.28852,6.29961,6.28536,6.28654,ok,1303419600,120
174,6.28852,6.28852,6.28852,6.28852,ok,1303506000,13
175,6.28773,6.29129,6.28773,6.28852,ok,1303592400,17
176,6.28536,6.30636,6.28536,6.28773,ok,1303678800,308
177,6.30676,6.30676,6.27746,6.28615,ok,1303765200,350
178,6.31712,6.31792,6.29564,6.30557,ok,1303851600,408
179,6.32751,6.33995,6.31233,6.31592,ok,1303938000,548
180,6.33874,6.35486,6.31792,6.32671,ok,1304024400,355
181,6.33874,6.33874,6.33874,6.33874,ok,1304110800,12
182,6.35001,6.35042,6.33633,6.33874,ok,1304197200,50
183,6.348,6.35486,6.34115,6.34921,ok,1304283600,352
184,6.32071,6.34961,6.31552,6.34921,ok,1304370000,509
185,6.30756,6.33433,6.3012,6.32151,ok,1304456400,680
186,6.25939,6.31991,6.25939,6.30835,ok,1304542800,970
187,6.26606,6.30875,6.25939,6.26017,ok,1304629200,1299
188,6.26606,6.26606,6.26606,6.26606,ok,1304715600,12
189,6.27235,6.28062,6.26135,6.26606,ok,1304802000,18
190,6.31233,6.31872,6.26999,6.27117,ok,1304888400,781
191,6.30875,6.31273,6.29247,6.31154,ok,1304974800,690
192,6.28378,6.32511,6.28141,6.30795,ok,1305061200,690
193,6.27392,6.29208,6.23714,6.28496,ok,1305147600,958
194,6.23947,6.27628,6.22626,6.27274,ok,1305234000,923
195,6.23947,6.23947,6.23947,6.23947,ok,1305320400,13
196,6.22665,6.23947,6.22665,6.23947,ok,1305406800,23
197,6.21659,6.23675,6.20463,6.22587,ok,1305493200,1046
198,6.24025,6.2422,6.21311,6.21775,ok,1305579600,890
199,6.26684,6.27392,6.23908,6.23908,ok,1305666000,733
200,6.28299,6.28575,6.26174,6.26802,ok,1305752400,704
201,6.27353,6.29882,6.26606,6.2822,ok,1305838800,718
202,6.27353,6.27353,6.27353,6.27353,ok,1305925200,12
203,6.26488,6.27353,6.25939,6.27353,ok,1306011600,33
204,6.22278,6.27904,6.21968,6.26566,ok,1306098000,896
205,6.23325,6.24727,6.21659,6.22394,ok,1306184400,864
206,6.23558,6.24337,6.20771,6.23441,ok,1306270800,830
207,6.26174,6.2637,6.23636,6.23636,ok,1306357200,871
208,6.2897,6.29802,6.25391,6.26056,ok,1306443600,810
209,6.2897,6.2897,6.2897,6.2897,ok,1306530000,12
210,6.2901,6.29406,6.27943,6.2897,ok,1306616400,27
211,6.29604,6.31154,6.2905,6.29129,ok,1306702800,298
212,6.30358,6.31832,6.29327,6.29485,ok,1306789200,638
213,6.27746,6.32671,6.27431,6.30438,ok,1306875600,671
214,6.30676,6.30955,6.27431,6.27628,ok,1306962000,725
215,6.32351,6.34115,6.29129,6.30676,ok,1307048400,737
216,6.32351,6.32351,6.32351,6.32351,ok,1307134800,12
217,6.32191,6.32551,6.31832,6.32351,ok,1307221200,21
218,6.32111,6.33834,6.31592,6.32311,ok,1307307600,519
219,6.33794,6.34115,6.31154,6.32231,ok,1307394000,544
220,6.30557,6.34035,6.30239,6.33874,ok,1307480400,618
221,6.32191,6.33192,6.30438,6.30636,ok,1307566800,610
222,6.28812,6.33714,6.28812,6.32111,ok,1307653200,655
223,6.29427,6.29507,6.28776,6.28776,ok,1307826000,35
224,6.29684,6.30608,6.28109,6.29407,ok,1307912400,10960
225,6.3246,6.33331,6.28674,6.297,ok,1307998800,10934
226,6.2919,6.32812,6.28507,6.32462,ok,1308085200,12347
227,6.28527,6.29517,6.26584,6.29186,ok,1308171600,17881
228,6.30983,6.32205,6.28198,6.28482,ok,1308258000,17219
229,6.30982,6.30982,6.30982,6.30982,ok,1308344400,12
230,6.30679,6.31249,6.30442,6.30982,ok,1308430800,144
231,6.30039,6.31444,6.28389,6.30677,ok,1308517200,13563
232,6.31781,6.32934,6.29311,6.30059,ok,1308603600,12917
233,6.31446,6.32997,6.30908,6.31791,ok,1308690000,12085
234,6.29932,6.31609,6.28132,6.31468,ok,1308776400,13726
235,6.28631,6.31226,6.28278,6.2994,ok,1308862800,14001
236,6.28631,6.28631,6.28631,6.28631,ok,1308949200,12
237,6.28229,6.2875,6.28214,6.28631,ok,1309035600,185
238,6.26872,6.29075,6.25545,6.28255,ok,1309122000,14949
239,6.28324,6.28802,6.26104,6.26832,ok,1309208400,12634
240,6.30904,6.31189,6.27441,6.28322,ok,1309294800,13665
241,6.33317,6.33954,6.30628,6.30889,ok,1309381200,11981
242,6.34186,6.35261,6.32625,6.33312,ok,1309467600,12033
243,6.34186,6.34186,6.34186,6.34186,ok,1309554000,12
244,6.33827,6.34186,6.32788,6.34186,ok,1309640400,66
245,6.34592,6.35991,6.33628,6.33835,ok,1309726800,7614
246,6.33536,6.34934,6.32563,6.34613,ok,1309813200,10563
247,6.3358,6.34961,6.32458,6.33522,ok,1309899600,12332
248,6.36535,6.36618,6.33343,6.3357,ok,1309986000,10515
249,6.37281,6.3894,6.36111,6.36533,ok,1310072400,12819
250,6.37282,6.37282,6.37282,6.37282,ok,1310158800,12
251,6.36441,6.37282,6.36334,6.37282,ok,1310245200,63
252,6.34608,6.37253,6.33856,6.36469,ok,1310331600,10877
253,6.36048,6.37389,6.32945,6.34597,ok,1310418000,17611
254,6.39455,6.39568,6.34933,6.36037,ok,1310504400,12683
255,6.3954,6.40651,6.39054,6.39483,ok,1310590800,10837
256,6.38829,6.40791,6.38761,6.39552,ok,1310677200,7904
257,6.38829,6.38829,6.38829,6.38829,ok,1310763600,12
258,6.38689,6.39047,6.38689,6.38829,ok,1310850000,114
259,6.40749,6.41075,6.37987,6.3871,ok,1310936400,9407
260,6.41182,6.42009,6.40402,6.40734,ok,1311022800,6162
261,6.41685,6.42149,6.41057,6.41213,ok,1311109200,4584
262,6.43664,6.43791,6.41595,6.41696,ok,1311195600,6133
263,6.44273,6.44852,6.43415,6.43643,ok,1311282000,3846
264,6.44272,6.44272,6.44272,6.44272,ok,1311368400,2
265,6.44364,6.44364,6.44103,6.44272,ok,1311454800,53
266,6.45012,6.45725,6.44066,6.44383,ok,1311541200,3542
267,6.47559,6.47771,6.44944,6.45036,ok,1311627600,7732
268,6.47009,6.49385,6.46576,6.47541,ok,1311714000,7880
269,6.48096,6.48512,6.4657,6.46982,ok,1311800400,7820
270,6.46935,6.48104,6.45823,6.48085,ok,1311886800,7988
271,6.46935,6.46935,6.46935,6.46935,ok,1311973200,12
272,6.47176,6.473,6.46532,6.46935,ok,1312059600,101
273,6.48293,6.49272,6.45745,6.47186,ok,1312146000,7413
274,6.46143,6.48569,6.45845,6.48277,ok,1312232400,10017
275,6.46899,6.47049,6.43625,6.46125,ok,1312318800,12015
276,6.37,6.47444,6.36767,6.46875,ok,1312405200,16493
277,6.41291,6.43158,6.35033,6.37017,ok,1312491600,19028
278,6.41159,6.41291,6.41027,6.41291,ok,1312578000,14
279,6.44126,6.44126,6.39975,6.41159,ok,1312664400,1267
280,6.38285,6.4501,6.37871,6.44149,ok,1312750800,17696
281,6.45668,6.47291,6.36764,6.38303,ok,1312837200,21643
282,6.39335,6.46506,6.39158,6.45679,ok,1312923600,18647
283,6.44101,6.44239,6.3847,6.39323,ok,1313010000,21182
284,6.42475,6.44188,6.4134,6.44087,ok,1313096400,13306
285,6.42475,6.42475,6.42475,6.42475,ok,1313182800,12
286,6.43592,6.43655,6.42475,6.42475,ok,1313269200,87
287,6.48059,6.48811,6.43435,6.43571,ok,1313355600,8320
288,6.48654,6.48959,6.46738,6.48048,ok,1313442000,9467
289,6.48199,6.49002,6.46566,6.48665,ok,1313528400,10293
290,6.40296,6.48545,6.39094,6.48231,ok,1313614800,16854
291,6.43802,6.4635,6.39457,6.40272,ok,1313701200,13777
292,6.43802,6.43802,6.43802,6.43802,ok,1313787600,12
293,6.43792,6.44759,6.43754,6.43802,ok,1313874000,37
294,6.4483,6.46844,6.4328,6.43808,ok,1313960400,8069
295,6.47151,6.48341,6.4457,6.44819,ok,1314046800,8678
296,6.45827,6.48147,6.45439,6.47162,ok,1314133200,8782
297,6.43452,6.46437,6.43188,6.45845,ok,1314219600,10857
298,6.47667,6.48366,6.43265,6.4347,ok,1314306000,9952
299,6.47667,6.47667,6.47667,6.47667,ok,1314392400,13
300,6.47412,6.47667,6.47312,6.47667,ok,1314478800,47
301,6.46561,6.48064,6.44982,6.47388,ok,1314565200,8636
302,6.45993,6.46922,6.44899,6.46572,ok,1314651600,6721
303,6.46259,6.48238,6.45219,6.46017,ok,1314738000,7095
304,6.46018,6.47376,6.45639,6.46244,ok,1314824400,9271
305,6.46635,6.47527,6.45674,6.45998,ok,1314910800,8343
306,6.46635,6.46635,6.46635,6.46635,ok,1314997200,12
307,6.45984,6.46635,6.45835,6.46635,ok,1315083600,105
308,6.44772,6.46375,6.44504,6.46006,ok,1315170000,6904
309,6.43483,6.46724,6.42939,6.44783,ok,1315256400,14032
310,6.45239,6.45832,6.43466,6.4347,ok,1315342800,8788
311,6.40991,6.45411,6.40699,6.45214,ok,1315429200,10899
312,6.34367,6.4238,6.33763,6.41007,ok,1315515600,16119
313,6.34367,6.34367,6.34367,6.34367,ok,1315602000,12
314,6.34008,6.35228,6.33954,6.34367,ok,1315688400,93
315,6.3171,6.34261,6.2955,6.33997,ok,1315774800,15946
316,6.29171,6.32829,6.26905,6.3172,ok,1315861200,16901
317,6.26275,6.30962,6.23946,6.29186,ok,1315947600,20137
318,6.27133,6.29732,6.23906,6.26285,ok,1316034000,20528
319,6.27499,6.30003,6.25373,6.27118,ok,1316120400,16641
320,6.27499,6.27499,6.27499,6.27499,ok,1316206800,12
321,6.25456,6.27564,6.24905,6.27499,ok,1316293200,424
322,6.18111,6.26326,6.15851,6.25477,ok,1316379600,18019
323,6.17991,6.19569,6.12898,6.18099,ok,1316466000,18472
324,6.01812,6.18807,6.00732,6.18009,ok,1316552400,21320
325,5.97534,6.06637,5.93727,6.01833,ok,1316638800,29453
326,6.0097,6.035,5.96541,5.97511,ok,1316725200,26000
327,6.0097,6.0097,6.0097,6.0097,ok,1316811600,12
328,6.01883,6.03201,6.00738,6.0097,ok,1316898000,222
329,6.02348,6.02583,5.9559,6.02008,ok,1316984400,21720
330,6.07153,6.10338,6.01062,6.02419,ok,1317070800,14513
331,6.00857,6.08468,6.00394,6.07125,ok,1317157200,18721
332,6.00414,6.04387,5.98502,6.0088,ok,1317243600,16720
333,5.95099,6.01592,5.95004,6.00455,ok,1317330000,14535
334,5.95099,5.95099,5.95099,5.95099,ok,1317416400,12
335,5.94454,5.95863,5.94432,5.95099,ok,1317502800,97
336,5.90091,5.96426,5.90066,5.94473,ok,1317589200,20071
337,5.95069,5.9626,5.89825,5.90073,ok,1317675600,22559
338,5.97094,5.98111,5.92827,5.95046,ok,1317762000,19642
339,5.99259,5.99394,5.94633,5.97082,ok,1317848400,18325
340,5.99421,6.04144,5.98147,5.99231,ok,1317934800,18271
341,5.99421,5.99421,5.99421,5.99421,ok,1318021200,12
342,5.98938,6.00046,5.9794,5.99421,ok,1318107600,212
343,6.09792,6.10332,5.98813,5.98892,ok,1318194000,17153
344,6.05711,6.09833,6.04214,6.09827,ok,1318280400,19392
345,6.09211,6.11928,6.02508,6.05784,ok,1318366800,18388
346,6.08609,6.11771,6.06346,6.09164,ok,1318453200,21922
347,6.14181,6.16619,6.07487,6.08668,ok,1318539600,20583
348,6.14181,6.14181,6.14181,6.14181,ok,1318626000,12
349,6.14312,6.15323,6.13939,6.14181,ok,1318712400,55
350,6.10375,6.18385,6.10179,6.14401,ok,1318798800,18650
351,6.13962,6.15317,6.09276,6.10358,ok,1318885200,21798
352,6.13193,6.18205,6.1181,6.13946,ok,1318971600,18057
353,6.09889,6.15396,6.09483,6.13169,ok,1319058000,22595
354,6.10894,6.13017,6.06844,6.09869,ok,1319144400,16965
355,6.10893,6.10893,6.10893,6.10893,ok,1319230800,12
356,6.10333,6.10983,6.09962,6.10893,ok,1319317200,38
357,6.15418,6.15816,6.09384,6.10176,ok,1319403600,13588
358,6.14743,6.1719,6.13898,6.15389,ok,1319490000,16993
359,6.11275,6.15534,6.0843,6.14761,ok,1319576400,14165
360,6.2577,6.25832,6.11198,6.11244,ok,1319662800,18965
361,6.24765,6.2644,6.23223,6.25773,ok,1319749200,14990
362,6.24765,6.24765,6.24765,6.24765,ok,1319835600,12
363,6.2454,6.24765,6.24016,6.24765,ok,1319922000,30
364,6.18737,6.26826,6.18312,6.24561,ok,1320008400,17547
365,6.08964,6.19995,6.06664,6.18683,ok,1320094800,26052
366,6.09165,6.12411,6.06231,6.0899,ok,1320181200,21270
367,6.1407,6.151,6.0404,6.09196,ok,1320267600,23561
368,6.13465,6.15473,6.10332,6.14036,ok,1320354000,16412
369,6.13465,6.13465,6.13465,6.13465,ok,1320440400,1
370,6.13483,6.13535,6.12162,6.13465,ok,1320526800,70
371,6.1192,6.14282,6.07852,6.1345,ok,1320616800,12655
372,6.13816,6.13942,6.09373,6.11944,ok,1320703200,13914
373,6.02958,6.14076,6.02437,6.13781,ok,1320789600,21291
374,6.01697,6.04684,5.99251,6.02977,ok,1320876000,21350
375,6.07405,6.08335,6.0098,6.01717,ok,1320962400,15579
376,6.07405,6.07405,6.07405,6.07405,ok,1321048800,1
377,6.0883,6.08892,6.05719,6.06803,ok,1321135200,314
378,6.03638,6.09794,6.01722,6.08875,ok,1321221600,18152
379,6.02292,6.04717,6.00389,6.0366,ok,1321308000,18978
380,6.00364,6.03755,5.99683,6.02306,ok,1321394400,20657
381,6.0012,6.02941,5.98354,6.00383,ok,1321480800,22971
382,5.98969,6.02554,5.98946,6.00107,ok,1321567200,16167
383,5.98969,5.98969,5.98969,5.98969,ok,1321653600,1
384,5.9916,5.99783,5.98623,5.98623,ok,1321740000,68
385,5.97232,6.00135,5.96889,5.99178,ok,1321826400,21890
386,5.9832,6.00258,5.96728,5.97207,ok,1321912800,17387
387,5.94384,5.99357,5.93303,5.983,ok,1321999200,17099
388,5.95705,5.97565,5.94208,5.94346,ok,1322085600,14729
389,5.93292,5.9595,5.92772,5.95748,ok,1322172000,15287
390,5.93292,5.93292,5.93292,5.93292,ok,1322258400,1
391,5.97438,5.9765,5.93044,5.93067,ok,1322344800,562
392,5.9853,6.00974,5.95724,5.97468,ok,1322431200,16040
393,5.99861,6.02249,5.97553,5.98557,ok,1322517600,15865
394,6.05773,6.08273,5.98933,5.99886,ok,1322604000,17516
395,6.05734,6.069,6.03386,6.05797,ok,1322690400,16016
396,6.03828,6.07079,6.03828,6.05711,ok,1322776800,11633
397,6.03593,6.03828,6.03593,6.03828,ok,1322863200,3
398,6.05023,6.05131,6.03512,6.03512,ok,1322949600,129
399,6.05818,6.08594,6.04665,6.05041,ok,1323036000,12099
400,6.05016,6.06223,6.02802,6.0586,ok,1323122400,14289
401,6.0532,6.06948,6.03222,6.05041,ok,1323208800,13478
402,5.99072,6.0591,5.98443,6.05339,ok,1323295200,16578
403,6.01543,6.02868,5.96565,5.99113,ok,1323381600,19239
404,6.00459,6.0131,5.99854,6.0131,ok,1323554400,38
405,5.98251,6.01717,5.96545,6.00511,ok,1323640800,18091
406,5.95432,5.99232,5.95239,5.9822,ok,1323727200,13885
407,5.93982,5.97248,5.93284,5.95455,ok,1323813600,14157
408,5.94748,5.96968,5.92927,5.93996,ok,1323900000,15531
409,5.95914,5.98273,5.94616,5.9477,ok,1323986400,11539
410,5.96142,5.97784,5.95122,5.95371,ok,1324159200,70
411,5.94614,5.97419,5.94474,5.96374,ok,1324245600,10885
412,5.99598,6.00105,5.94438,5.94579,ok,1324332000,9030
413,6.00191,6.02955,5.98869,5.99584,ok,1324418400,12754
414,6.01395,6.02063,5.99615,6.00228,ok,1324504800,9423
