,c,h,l,o,s,t,v
0,62.108,62.575,61.925,62.561,ok,1287435600,31186
1,62.224,62.381,61.855,62.107,ok,1287522000,26247
2,62.452,62.716,62.174,62.225,ok,1287608400,35869
3,62.686,62.768,62.24,62.455,ok,1287694800,25351
4,62.686,62.779,62.496,62.699,ok,1287867600,654
5,62.486,62.833,62.225,62.69,ok,1287954000,23332
6,62.79,62.836,62.344,62.484,ok,1288040400,30226
7,62.706,62.915,62.385,62.792,ok,1288126800,36487
8,62.516,62.869,62.369,62.705,ok,1288213200,26379
9,62.101,62.551,61.973,62.52,ok,1288299600,27339
10,62.08,62.094,62.08,62.09,ok,1288386000,4
11,61.995,62.135,61.918,62.082,ok,1288472400,900
12,62.302,62.954,61.944,61.993,ok,1288558800,29385
13,62.57,62.827,62.275,62.305,ok,1288645200,19977
14,63.039,63.286,62.541,62.578,ok,1288731600,29249
15,62.948,63.158,62.787,63.036,ok,1288818000,32152
16,63.162,63.337,62.69,62.956,ok,1288904400,30957
17,63.166,63.166,63.166,63.166,ok,1288990800,1
18,63.136,63.242,63.086,63.146,ok,1289077200,794
19,63.011,63.249,62.87,63.134,ok,1289167200,26077
20,63.29,63.5,62.707,63.014,ok,1289253600,30334
21,63.859,64.206,63.145,63.289,ok,1289340000,37864
22,63.959,64.037,63.711,63.863,ok,1289426400,25128
23,63.537,63.981,62.907,63.96,ok,1289512800,40206
24,63.481,63.551,63.424,63.48,ok,1289685600,1190
25,63.735,63.896,63.276,63.484,ok,1289772000,34345
26,63.803,64.135,63.654,63.734,ok,1289858400,34130
27,63.886,64.012,63.735,63.805,ok,1289944800,23849
28,64.437,64.536,63.861,63.887,ok,1290031200,28301
29,64.41,64.519,64.149,64.431,ok,1290117600,23451
30,64.425,64.425,64.414,64.414,ok,1290204000,3
31,64.384,64.412,64.125,64.387,ok,1290290400,1361
32,64.222,64.54,64.101,64.38,ok,1290376800,22879
33,63.243,64.244,62.961,64.219,ok,1290463200,36817
34,63.753,63.826,63.202,63.242,ok,1290549600,31606
35,63.948,64.008,63.603,63.751,ok,1290636000,19703
36,63.671,64.013,63.322,63.946,ok,1290722400,27311
37,63.619,63.675,63.619,63.675,ok,1290808800,2
38,63.773,63.785,63.491,63.657,ok,1290895200,1384
39,63.847,63.912,63.634,63.771,ok,1290981600,28187
40,63.359,63.982,62.956,63.849,ok,1291068000,34137
41,64.228,64.394,63.183,63.357,ok,1291154400,32786
42,64.126,64.344,63.904,64.23,ok,1291240800,27932
43,63.292,64.154,63.22,64.124,ok,1291327200,31229
44,63.307,63.317,63.294,63.294,ok,1291413600,4
45,63.379,63.417,63.223,63.283,ok,1291500000,493
46,63.305,63.666,63.253,63.381,ok,1291586400,24515
47,63.675,63.948,63.084,63.296,ok,1291672800,30320
48,63.909,64.05,63.561,63.679,ok,1291759200,38247
49,63.878,64.066,63.71,63.905,ok,1291845600,32875
50,64.165,64.186,63.792,63.876,ok,1291932000,22172
51,64.092,64.223,63.897,64.223,ok,1292104800,557
52,63.96,64.414,63.721,64.094,ok,1292191200,24091
53,64.205,64.335,63.69,63.952,ok,1292277600,31125
54,63.897,64.347,63.663,64.219,ok,1292364000,34881
55,63.83,64.148,63.778,63.904,ok,1292450400,28771
56,63.863,64.054,63.76,63.827,ok,1292536800,25565
57,63.854,63.863,63.852,63.857,ok,1292623200,6
58,63.736,63.868,63.69,63.863,ok,1292709600,588
59,63.599,63.922,63.403,63.74,ok,1292796000,22285
60,63.804,63.874,63.497,63.607,ok,1292882400,19991
61,63.923,64.039,63.682,63.802,ok,1292968800,21408
62,63.468,63.986,63.411,63.919,ok,1293055200,19644
63,63.713,63.862,63.455,63.467,ok,1293141600,13779
64,63.521,63.626,63.498,63.614,ok,1293314400,443
65,63.728,63.859,63.49,63.513,ok,1293400800,14511
66,63.355,63.77,63.072,63.725,ok,1293487200,22175
67,63.126,63.442,63.048,63.361,ok,1293573600,17486
68,63.249,63.477,62.857,63.128,ok,1293660000,19504
69,63.144,63.5,63.055,63.251,ok,1293746400,17009
70,63.187,63.195,63.151,63.155,ok,1293832800,5
71,63.18,63.39,63.051,63.211,ok,1293919200,663
72,63.597,63.642,63.023,63.184,ok,1294005600,15977
73,63.71,64.01,63.347,63.594,ok,1294092000,27370
74,64.394,64.481,63.417,63.712,ok,1294178400,31863
75,64.327,64.521,64.057,64.392,ok,1294264800,31621
76,64.214,64.468,63.839,64.326,ok,1294351200,33496
77,64.226,64.226,64.226,64.226,ok,1294437600,1
78,64.194,64.293,64.075,64.202,ok,1294524000,749
79,63.711,64.229,63.581,64.205,ok,1294610400,24010
80,64.353,64.486,63.664,63.716,ok,1294696800,28543
81,64.45,64.693,64.248,64.351,ok,1294783200,28596
82,64.403,64.585,64.196,64.446,ok,1294869600,28550
83,64.281,64.519,64.011,64.398,ok,1294956000,28920
84,64.284,64.284,64.284,64.284,ok,1295042400,1
85,64.252,64.331,64.146,64.266,ok,1295128800,599
86,64.186,64.43,64.007,64.256,ok,1295215200,19300
87,64.345,64.557,64.033,64.189,ok,1295301600,26200
88,63.905,64.393,63.786,64.348,ok,1295388000,27146
89,64.431,64.491,63.706,63.902,ok,1295474400,31111
90,64.262,64.536,64.243,64.429,ok,1295560800,26263
91,64.26,64.264,64.26,64.264,ok,1295647200,3
92,64.237,64.332,64.167,64.188,ok,1295733600,746
93,64.401,64.619,64.228,64.239,ok,1295820000,21210
94,64.257,64.504,63.988,64.408,ok,1295906400,29148
95,64.219,64.516,64.014,64.252,ok,1295992800,25654
96,64.82,64.96,64.132,64.225,ok,1296079200,32500
97,63.852,64.835,63.817,64.827,ok,1296165600,27509
98,63.856,63.856,63.84,63.84,ok,1296252000,17
99,63.766,63.897,63.625,63.856,ok,1296338400,1760
100,64.105,64.18,63.717,63.763,ok,1296424800,24080
101,63.998,64.239,63.813,64.102,ok,1296511200,28337
102,64.076,64.324,63.846,63.996,ok,1296597600,24472
103,64.027,64.37,63.856,64.079,ok,1296684000,20426
104,64.393,64.67,63.572,64.025,ok,1296770400,21174
105,64.389,64.4,64.389,64.389,ok,1296856800,15
106,64.428,64.523,64.389,64.389,ok,1296943200,697
107,64.634,64.672,64.425,64.431,ok,1297029600,20452
108,64.657,64.774,64.301,64.633,ok,1297116000,23911
109,64.613,64.835,64.561,64.656,ok,1297202400,25423
110,65.094,65.206,64.552,64.614,ok,1297288800,27973
111,65.005,65.206,64.92,65.093,ok,1297375200,24999
112,65.005,65.005,65.005,65.005,ok,1297461600,3
113,64.98,65.109,64.922,65.005,ok,1297548000,908
114,65.026,65.115,64.907,64.984,ok,1297634400,21812
115,65.373,65.518,64.951,65.024,ok,1297720800,23697
116,65.411,65.569,65.262,65.374,ok,1297807200,23729
117,65.281,65.446,65.13,65.409,ok,1297893600,22765
118,65.24,65.519,65.162,65.28,ok,1297980000,20672
119,65.238,65.238,65.238,65.238,ok,1298066400,13
120,65.163,65.238,65.062,65.238,ok,1298152800,686
121,65.178,65.297,65.096,65.165,ok,1298239200,14755
122,64.6,65.477,64.513,65.179,ok,1298325600,33255
