,c,h,l,o,s,t,v
0,11.814,11.968,11.672,11.86,ok,1287435600,8164
1,12.147,12.157,11.754,11.797,ok,1287522000,8131
2,12.038,12.252,12.031,12.137,ok,1287608400,7231
3,12.005,12.14,12.003,12.046,ok,1287694800,5413
4,12.188,12.248,12.003,12.038,ok,1287954000,5137
5,12.222,12.252,12.098,12.183,ok,1288040400,4503
6,12.224,12.282,11.991,12.21,ok,1288126800,6653
7,12.215,12.366,12.177,12.226,ok,1288213200,5885
8,12.209,12.26,12.132,12.23,ok,1288299600,5111
9,12.259,12.347,12.172,12.285,ok,1288558800,5370
10,12.248,12.312,12.193,12.246,ok,1288645200,3956
11,12.274,12.298,12.113,12.241,ok,1288731600,5355
12,12.635,12.677,12.274,12.284,ok,1288818000,8863
13,12.708,12.787,12.601,12.638,ok,1288904400,6506
14,12.634,12.787,12.634,12.732,ok,1289167200,5757
15,13.164,13.327,12.59,12.644,ok,1289253600,16945
16,13.078,13.2,13.039,13.161,ok,1289340000,8924
17,13.288,13.313,13.069,13.094,ok,1289426400,8511
18,12.591,13.378,12.591,13.316,ok,1289512800,12842
19,12.786,12.977,12.428,12.564,ok,1289772000,11783
20,12.111,12.802,12.076,12.767,ok,1289858400,15043
21,11.958,12.236,11.667,12.123,ok,1289944800,15245
22,12.339,12.367,11.852,12.001,ok,1290031200,9640
23,11.929,12.472,11.921,12.352,ok,1290117600,10912
24,12.132,12.149,11.82,11.88,ok,1290376800,9670
25,12.317,12.383,11.937,12.17,ok,1290463200,10635
26,12.443,12.503,12.29,12.333,ok,1290549600,6179
27,12.315,12.544,12.282,12.495,ok,1290722400,3474
28,12.28,12.413,12.194,12.328,ok,1290981600,6629
29,12.393,12.403,12.208,12.31,ok,1291068000,6141
30,12.753,12.77,12.334,12.361,ok,1291154400,8358
31,12.712,12.801,12.668,12.75,ok,1291240800,5867
32,12.932,12.947,12.675,12.715,ok,1291327200,7337
33,12.805,13.003,12.74,12.976,ok,1291586400,6739
34,12.797,12.971,12.762,12.823,ok,1291672800,6670
35,12.888,12.905,12.606,12.77,ok,1291759200,7016
36,12.735,12.931,12.726,12.901,ok,1291845600,5991
37,12.667,12.829,12.622,12.776,ok,1291932000,6382
38,12.956,12.996,12.519,12.644,ok,1292191200,6928
39,12.89,13.062,12.875,12.949,ok,1292277600,5126
40,12.909,13.099,12.859,12.881,ok,1292364000,6941
41,12.844,12.99,12.804,12.907,ok,1292450400,5398
42,12.94,12.955,12.79,12.842,ok,1292536800,4255
43,13.105,13.139,12.914,12.986,ok,1292796000,5091
44,13.206,13.241,13.075,13.112,ok,1292882400,3766
45,13.257,13.292,13.137,13.211,ok,1292968800,3414
46,13.504,13.549,13.283,13.295,ok,1293055200,4573
47,13.74,13.793,13.397,13.437,ok,1293400800,6291
48,13.749,13.863,13.729,13.746,ok,1293487200,4862
49,13.654,13.787,13.646,13.759,ok,1293573600,4497
50,13.695,13.746,13.6,13.659,ok,1293660000,5482
51,13.93,13.939,13.661,13.673,ok,1293746400,4348
52,13.713,13.993,13.656,13.863,ok,1294005600,7389
53,13.615,13.81,13.483,13.688,ok,1294092000,8280
54,13.812,13.857,13.528,13.627,ok,1294178400,8441
55,13.687,13.895,13.67,13.832,ok,1294264800,7274
56,13.547,13.735,13.514,13.677,ok,1294351200,7743
57,13.737,13.859,13.575,13.595,ok,1294610400,6863
58,13.503,13.8,13.47,13.735,ok,1294696800,6943
59,14.098,14.185,13.508,13.513,ok,1294783200,11850
60,14.131,14.241,14.046,14.103,ok,1294869600,8925
61,14.148,14.158,13.969,14.102,ok,1294956000,7128
62,14.074,14.223,14.006,14.045,ok,1295301600,8323
63,14.08,14.241,13.948,14.089,ok,1295388000,8669
64,14.077,14.135,13.763,14.056,ok,1295474400,8274
65,14.053,14.197,13.978,14.084,ok,1295560800,9493
66,13.97,14.196,13.901,14.056,ok,1295820000,6622
67,13.661,14.013,13.638,13.975,ok,1295906400,7838
68,13.786,13.846,13.579,13.691,ok,1295992800,6587
69,13.935,13.937,13.717,13.829,ok,1296079200,6678
70,13.948,14.17,13.863,13.952,ok,1296165600,9002
71,14.06,14.074,13.887,13.894,ok,1296424800,5772
72,14.342,14.347,14.025,14.077,ok,1296511200,7868
73,14.404,14.463,14.279,14.338,ok,1296597600,6300
74,14.298,14.47,14.285,14.396,ok,1296684000,6451
75,14.287,14.373,14.17,14.331,ok,1296770400,5162
76,14.189,14.388,14.164,14.33,ok,1297029600,4503
77,14.298,14.307,14.093,14.202,ok,1297116000,5262
78,14.473,14.511,14.303,14.323,ok,1297202400,7953
79,14.265,14.504,14.255,14.466,ok,1297288800,5298
80,14.12,14.378,14.06,14.286,ok,1297375200,7108
81,14.014,14.208,13.962,14.15,ok,1297634400,5304
82,13.642,14.055,13.612,13.992,ok,1297720800,8719
83,13.623,13.725,13.535,13.654,ok,1297807200,7138
84,13.999,14.033,13.626,13.626,ok,1297893600,7180
85,13.606,14.066,13.586,14.031,ok,1297980000,7979
86,12.856,13.701,12.855,13.638,ok,1298325600,9179
87,13.075,13.077,12.713,12.847,ok,1298412000,8707
88,13.034,13.112,12.854,13.068,ok,1298498400,7526
89,13.461,13.731,12.972,13.037,ok,1298584800,12862
90,13.412,13.552,13.333,13.53,ok,1298844000,7422
91,13.484,13.521,13.298,13.435,ok,1298930400,8916
92,13.684,13.745,13.478,13.502,ok,1299016800,10153
93,13.847,13.901,13.605,13.663,ok,1299103200,7614
94,13.895,14.003,13.72,13.86,ok,1299189600,8293
95,13.718,13.958,13.62,13.888,ok,1299448800,7554
96,13.596,13.734,13.52,13.731,ok,1299535200,7951
97,13.287,13.619,13.26,13.599,ok,1299621600,9207
98,13.33,13.477,13.012,13.293,ok,1299708000,10491
99,13.141,13.385,12.85,13.326,ok,1299794400,10125
100,13.205,13.229,12.982,13.163,ok,1300050000,8646
101,12.518,13.265,12.518,13.225,ok,1300136400,14468
102,12.711,12.895,12.553,12.553,ok,1300222800,11999
103,13.136,13.281,12.672,12.687,ok,1300309200,9822
104,13.432,13.669,13.045,13.178,ok,1300395600,13415
105,13.465,13.588,13.341,13.514,ok,1300654800,8249
106,13.448,13.485,13.27,13.463,ok,1300741200,5647
107,13.353,13.549,13.343,13.498,ok,1300827600,5356
108,13.4,13.413,13.217,13.334,ok,1300914000,6755
109,13.431,13.515,13.369,13.399,ok,1301000400,6433
110,13.347,13.536,13.32,13.446,ok,1301259600,6335
111,13.481,13.54,13.261,13.303,ok,1301346000,6521
112,13.569,13.593,13.412,13.472,ok,1301432400,5992
113,13.918,14.17,13.541,13.584,ok,1301518800,9313
114,13.81,14.018,13.724,13.969,ok,1301605200,9543
115,13.697,13.894,13.659,13.801,ok,1301864400,7057
116,13.596,13.767,13.539,13.715,ok,1301950800,6025
117,13.634,13.758,13.602,13.614,ok,1302037200,5201
118,13.536,13.71,13.486,13.637,ok,1302123600,6420
119,13.8,13.822,13.512,13.517,ok,1302210000,7600
120,13.569,13.954,13.534,13.844,ok,1302469200,7181
121,13.19,13.598,13.083,13.585,ok,1302555600,8858
122,13.266,13.392,13.184,13.226,ok,1302642000,5628
123,13.209,13.282,13.072,13.256,ok,1302728400,5135
124,13.225,13.295,13.133,13.235,ok,1302814800,4429
125,13.354,13.424,13.127,13.235,ok,1303074000,4755
126,13.414,13.483,13.359,13.435,ok,1303160400,3581
127,13.574,13.727,13.402,13.409,ok,1303246800,6401
128,13.778,13.801,13.51,13.567,ok,1303333200,5396
129,13.849,13.869,13.692,13.783,ok,1303678800,6539
130,13.786,13.856,13.666,13.842,ok,1303765200,5986
131,13.7,13.857,13.569,13.776,ok,1303851600,7083
132,13.409,13.892,13.275,13.748,ok,1303938000,9963
133,13.837,13.84,13.347,13.412,ok,1304024400,7005
134,13.829,13.918,13.707,13.803,ok,1304283600,7021
135,13.523,13.869,13.451,13.827,ok,1304370000,6443
136,13.428,13.573,13.373,13.536,ok,1304456400,5702
137,13.154,13.515,13.004,13.423,ok,1304542800,8955
138,13.2,13.314,12.971,13.126,ok,1304629200,10419
139,13.261,13.328,13.141,13.185,ok,1304888400,5193
140,13.304,13.438,13.229,13.259,ok,1304974800,5665
141,13.236,13.345,13.05,13.29,ok,1305061200,7399
142,13.347,13.508,13.049,13.202,ok,1305147600,8668
143,13.222,13.442,13.132,13.355,ok,1305234000,8113
144,13.174,13.357,13.144,13.217,ok,1305493200,5974
145,13.324,13.347,13.043,13.167,ok,1305579600,8263
146,13.691,13.798,13.327,13.327,ok,1305666000,9691
147,13.735,13.809,13.613,13.689,ok,1305752400,7489
148,13.709,13.88,13.572,13.693,ok,1305838800,7769
149,13.638,13.854,13.586,13.784,ok,1306098000,6637
150,13.647,13.816,13.585,13.664,ok,1306184400,6750
151,13.706,13.798,13.653,13.658,ok,1306270800,5015
152,13.817,13.911,13.699,13.709,ok,1306357200,5590
153,13.736,13.872,13.691,13.807,ok,1306443600,4709
154,13.71,13.849,13.601,13.651,ok,1306789200,6396
155,13.838,13.838,13.638,13.712,ok,1306875600,6215
156,13.996,14.053,13.776,13.798,ok,1306962000,6740
157,14.06,14.135,13.984,14.007,ok,1307048400,5699
158,13.795,14.126,13.768,14.101,ok,1307307600,6100
159,13.872,13.894,13.748,13.773,ok,1307394000,5060
160,13.938,14.117,13.798,13.869,ok,1307480400,7289
161,13.872,14.081,13.812,13.948,ok,1307566800,6949
162,13.779,13.925,13.724,13.912,ok,1307653200,5157
163,13.766,13.86,13.741,13.807,ok,1307912400,4221
164,13.645,13.826,13.493,13.779,ok,1307998800,6489
165,13.664,13.713,13.504,13.638,ok,1308085200,6025
