,c,h,l,o,s,t,v
0,0.29129,0.29815,0.28237,0.28395,ok,1287435600,6133
1,0.29982,0.30275,0.2929,0.29394,ok,1287522000,4085
2,0.29559,0.30348,0.29237,0.29915,ok,1287608400,5313
3,0.29207,0.29875,0.28876,0.29554,ok,1287694800,4439
4,0.29618,0.30026,0.29452,0.29497,ok,1287954000,2906
5,0.28935,0.29654,0.28573,0.29551,ok,1288040400,3906
6,0.29953,0.29963,0.28411,0.28796,ok,1288126800,4860
7,0.29737,0.30662,0.29665,0.29865,ok,1288213200,4720
8,0.30215,0.3087,0.29245,0.29525,ok,1288299600,5186
9,0.30541,0.30679,0.29933,0.30327,ok,1288558800,3862
10,0.31215,0.31704,0.30588,0.30598,ok,1288645200,3648
11,0.31289,0.31582,0.30597,0.31375,ok,1288731600,4120
12,0.32821,0.32893,0.31387,0.31387,ok,1288818000,5289
13,0.32687,0.33394,0.31717,0.33032,ok,1288904400,6380
14,0.3301,0.33361,0.32414,0.32745,ok,1289167200,4330
15,0.34177,0.34406,0.33046,0.33046,ok,1289253600,5975
16,0.33806,0.34233,0.32992,0.34192,ok,1289340000,5458
17,0.30081,0.34461,0.29978,0.33904,ok,1289426400,11337
18,0.27132,0.30107,0.26369,0.30076,ok,1289512800,13693
19,0.278,0.28079,0.26463,0.27112,ok,1289772000,7170
20,0.27122,0.28639,0.2671,0.27507,ok,1289858400,7463
21,0.27248,0.28053,0.26066,0.26808,ok,1289944800,6775
22,0.29094,0.29765,0.27728,0.27728,ok,1290031200,7501
23,0.26975,0.30036,0.26748,0.29192,ok,1290117600,8965
24,0.27723,0.28292,0.26643,0.27778,ok,1290376800,6682
25,0.28126,0.28219,0.26174,0.27585,ok,1290463200,7814
26,0.28848,0.28993,0.27762,0.28142,ok,1290549600,5835
27,0.29078,0.29182,0.28299,0.28494,ok,1290722400,1914
28,0.29135,0.29467,0.289,0.29272,ok,1290981600,4174
29,0.28203,0.29602,0.27743,0.29407,ok,1291068000,7114
30,0.29344,0.29448,0.28424,0.28506,ok,1291154400,4172
31,0.291,0.29678,0.28476,0.29349,ok,1291240800,4015
32,0.30332,0.30424,0.29105,0.29228,ok,1291327200,4593
33,0.29814,0.3032,0.29507,0.30228,ok,1291586400,3304
34,0.2914,0.30473,0.28955,0.30096,ok,1291672800,4623
35,0.29827,0.29911,0.28551,0.29094,ok,1291759200,4441
36,0.29327,0.3017,0.29185,0.29689,ok,1291845600,3367
37,0.29841,0.29872,0.28655,0.29333,ok,1291932000,4058
38,0.31216,0.31216,0.29829,0.2986,ok,1292191200,4411
39,0.31248,0.31966,0.31156,0.31333,ok,1292277600,5214
40,0.31913,0.31913,0.30762,0.31171,ok,1292364000,4225
41,0.31843,0.3208,0.31507,0.31918,ok,1292450400,2785
42,0.33529,0.33672,0.31919,0.32032,ok,1292536800,4830
43,0.33388,0.34188,0.33287,0.33555,ok,1292796000,4324
44,0.33205,0.34328,0.33154,0.33556,ok,1292882400,4150
45,0.33878,0.3396,0.32685,0.33322,ok,1292968800,4627
46,0.34511,0.34726,0.33842,0.33883,ok,1293055200,3472
47,0.34298,0.34606,0.33842,0.34606,ok,1293400800,1717
