,c,h,l,o,s,t,v
0,23.338,24.483,23.268,24.301,ok,1287435600,19547
1,23.926,23.957,23.286,23.342,ok,1287522000,15777
2,23.179,24.045,23.019,23.93,ok,1287608400,18320
3,23.211,23.384,22.83,23.175,ok,1287694800,15268
4,23.627,23.84,23.183,23.183,ok,1287954000,14167
5,23.852,23.933,23.155,23.633,ok,1288040400,15186
6,23.57,24.208,23.35,23.855,ok,1288126800,17503
7,23.967,24.027,23.495,23.567,ok,1288213200,15517
8,24.673,24.712,23.751,23.97,ok,1288299600,14365
9,24.65,24.65,24.65,24.65,ok,1288472400,1
10,24.67,25.043,24.511,24.685,ok,1288558800,13323
11,24.907,24.914,24.59,24.66,ok,1288645200,11008
12,24.836,25.035,23.928,24.903,ok,1288731600,22139
13,26.287,26.3,24.743,24.833,ok,1288818000,19044
14,26.668,26.908,25.819,26.283,ok,1288904400,22238
15,26.675,26.675,26.675,26.675,ok,1289077200,1
16,27.715,27.733,26.515,26.715,ok,1289167200,20293
17,26.893,29.334,26.42,27.723,ok,1289253600,39078
18,27.236,28.177,26.482,26.89,ok,1289340000,42975
19,27.665,27.839,26.905,27.24,ok,1289426400,30124
20,25.973,27.682,25.766,27.662,ok,1289512800,39154
21,25.953,25.953,25.953,25.953,ok,1289685600,1
22,25.453,26.465,25.404,25.945,ok,1289772000,32081
23,25.448,25.85,24.996,25.49,ok,1289858400,35748
24,25.615,25.907,25.037,25.443,ok,1289944800,34081
25,26.949,27.047,25.61,25.61,ok,1290031200,25757
26,27.238,27.393,26.36,26.953,ok,1290117600,30313
27,27.238,27.238,27.233,27.233,ok,1290290400,2
28,27.848,27.911,27.095,27.55,ok,1290376800,25670
29,27.495,27.895,27.045,27.843,ok,1290463200,30058
30,27.564,27.695,27.12,27.486,ok,1290549600,17307
31,27.544,27.577,27.335,27.57,ok,1290636000,8785
32,26.632,27.551,26.423,27.547,ok,1290722400,15728
33,26.667,26.667,26.667,26.667,ok,1290895200,1
34,27.123,27.254,26.411,26.668,ok,1290981600,24040
35,28.068,28.325,26.9,27.127,ok,1291068000,22542
36,28.437,28.822,27.976,28.076,ok,1291154400,25712
37,28.508,29.004,28.276,28.426,ok,1291240800,31800
38,29.321,29.321,28.524,28.534,ok,1291327200,23708
39,29.275,29.275,29.275,29.275,ok,1291500000,1
40,30.148,30.286,29.35,29.375,ok,1291586400,29118
41,28.666,30.69,28.467,30.151,ok,1291672800,35220
42,28.36,29.238,27.962,28.663,ok,1291759200,33093
43,28.722,28.994,28.145,28.335,ok,1291845600,26942
44,28.607,28.976,28.031,28.732,ok,1291932000,25916
45,28.6,28.6,28.545,28.56,ok,1292104800,5
46,29.505,29.688,28.429,28.566,ok,1292191200,20811
47,29.449,29.938,29.181,29.509,ok,1292277600,25966
48,28.778,29.592,28.687,29.452,ok,1292364000,21506
49,28.856,29.206,28.306,28.781,ok,1292450400,27305
50,29.077,29.297,28.646,28.85,ok,1292536800,19298
51,29.097,29.102,29.097,29.102,ok,1292709600,2
52,29.34,29.507,28.766,29.1,ok,1292796000,17011
53,29.33,29.559,29.009,29.336,ok,1292882400,16411
54,29.198,29.437,29.191,29.327,ok,1292968800,11158
55,29.288,29.373,28.913,29.203,ok,1293055200,9451
56,29.081,29.288,29.081,29.283,ok,1293141600,133
57,29.113,29.113,29.056,29.056,ok,1293314400,2
58,29.238,29.286,28.743,29.093,ok,1293400800,6191
59,30.255,30.303,29.198,29.241,ok,1293487200,8262
60,30.569,30.664,30.104,30.245,ok,1293573600,9789
61,30.411,30.888,30.327,30.564,ok,1293660000,9566
62,30.835,30.895,30.388,30.408,ok,1293746400,5741
63,30.684,31.239,30.466,30.818,ok,1294005600,15612
64,29.734,30.858,29.308,30.695,ok,1294092000,22630
65,29.229,29.862,28.534,29.692,ok,1294178400,25293
66,29.062,29.566,28.787,29.235,ok,1294264800,24143
67,28.601,29.333,28.326,29.07,ok,1294351200,23678
68,28.626,28.626,28.626,28.626,ok,1294524000,1
69,29.074,29.101,28.621,28.621,ok,1294610400,17944
70,29.503,29.678,29.024,29.072,ok,1294696800,14695
71,29.645,29.816,29.375,29.497,ok,1294783200,18401
