,c,h,l,o,s,t,v
0,24.09,24.651,24.018,24.574,ok,1287435600,22015
1,24.235,24.414,24.023,24.095,ok,1287522000,16291
2,23.714,24.384,23.568,24.241,ok,1287608400,19181
3,23.606,23.864,23.31,23.711,ok,1287694800,14056
4,23.597,23.597,23.597,23.597,ok,1287781200,1
5,23.497,23.615,23.484,23.615,ok,1287867600,255
6,23.853,23.968,23.485,23.5,ok,1287954000,13380
7,24.202,24.254,23.524,23.858,ok,1288040400,13875
8,24.246,24.722,24.136,24.206,ok,1288126800,17363
9,24.48,24.546,24.091,24.248,ok,1288213200,14282
10,25.072,25.225,24.395,24.485,ok,1288299600,13922
11,25.068,25.074,25.068,25.074,ok,1288386000,2
12,25.008,25.1,25.005,25.08,ok,1288472400,142
13,24.986,25.385,24.866,25.011,ok,1288558800,12629
14,24.916,25.083,24.668,24.989,ok,1288645200,11391
15,24.681,25.042,24.058,24.913,ok,1288731600,20794
16,25.901,25.921,24.622,24.678,ok,1288818000,19811
17,26.239,26.448,25.498,25.908,ok,1288904400,22411
18,26.261,26.331,26.248,26.255,ok,1289077200,214
19,27.341,27.368,26.197,26.259,ok,1289167200,20395
20,26.794,28.978,26.407,27.344,ok,1289253600,36261
21,27.089,28.019,26.52,26.798,ok,1289340000,43070
22,27.721,27.793,26.972,27.1,ok,1289426400,31702
23,26.364,27.758,26.16,27.726,ok,1289512800,38300
24,26.371,26.371,26.371,26.371,ok,1289599200,1
25,26.232,26.386,26.222,26.386,ok,1289685600,402
26,25.829,26.748,25.808,26.235,ok,1289772000,30939
27,26.053,26.237,25.674,25.831,ok,1289858400,34267
28,26.143,26.357,25.705,26.051,ok,1289944800,26752
29,27.221,27.34,26.113,26.148,ok,1290031200,21763
30,27.596,27.776,26.848,27.225,ok,1290117600,26155
31,27.583,27.628,27.538,27.608,ok,1290290400,347
32,28.163,28.171,27.462,27.579,ok,1290376800,24907
33,28.276,28.452,27.575,28.165,ok,1290463200,28387
34,28.073,28.295,27.63,28.278,ok,1290549600,19437
35,28.08,28.133,27.837,28.076,ok,1290636000,10041
36,27.597,28.22,27.445,28.082,ok,1290722400,17729
