,c,h,l,o,s,t,v
0,24.117,24.891,24.022,24.714,ok,1287435600,21147
1,24.424,24.576,24.082,24.12,ok,1287522000,17428
2,23.792,24.594,23.666,24.427,ok,1287608400,19772
3,23.799,23.981,23.474,23.79,ok,1287694800,15070
4,23.79,23.807,23.771,23.803,ok,1287867600,94
5,24.092,24.289,23.761,23.793,ok,1287954000,13969
6,24.415,24.466,23.751,24.099,ok,1288040400,15180
7,24.227,24.781,24.137,24.419,ok,1288126800,17838
8,24.465,24.537,24.098,24.223,ok,1288213200,15732
9,25.139,25.199,24.315,24.468,ok,1288299600,15098
10,25.113,25.185,25.107,25.116,ok,1288472400,205
11,25.039,25.476,24.891,25.116,ok,1288558800,13849
12,25.104,25.138,24.894,25.041,ok,1288645200,12165
13,24.961,25.197,24.19,25.106,ok,1288731600,23268
14,26.339,26.35,24.936,24.958,ok,1288818000,19321
15,26.663,26.911,25.932,26.336,ok,1288904400,21830
16,26.656,26.656,26.656,26.656,ok,1288990800,1
17,26.672,26.701,26.664,26.664,ok,1289077200,136
18,27.807,27.837,26.59,26.676,ok,1289167200,18086
19,27.101,29.342,26.663,27.81,ok,1289253600,36476
20,27.255,28.244,26.633,27.103,ok,1289340000,39215
21,27.75,27.873,27.03,27.259,ok,1289426400,27036
22,26.279,27.775,26.091,27.758,ok,1289512800,35086
23,26.283,26.283,26.283,26.283,ok,1289599200,1
24,26.223,26.276,26.214,26.263,ok,1289685600,172
25,25.697,26.692,25.624,26.235,ok,1289772000,26662
26,26.011,26.122,25.601,25.721,ok,1289858400,31552
27,26.239,26.419,25.654,26.013,ok,1289944800,28589
28,27.455,27.536,26.221,26.235,ok,1290031200,21311
29,27.682,27.905,26.943,27.458,ok,1290117600,24561
30,27.686,27.686,27.686,27.686,ok,1290204000,1
31,27.682,27.723,27.67,27.69,ok,1290290400,112
32,28.362,28.363,27.576,27.679,ok,1290376800,24314
33,28.167,28.414,27.565,28.357,ok,1290463200,29750
34,27.831,28.219,27.529,28.163,ok,1290549600,20162
35,27.791,27.869,27.596,27.836,ok,1290636000,8327
36,27.185,27.811,27.035,27.794,ok,1290722400,15262
37,27.189,27.189,27.189,27.189,ok,1290808800,1
38,27.103,27.201,27.04,27.196,ok,1290895200,355
39,27.607,27.823,26.948,27.106,ok,1290981600,21150
40,28.803,29.083,27.458,27.604,ok,1291068000,21714
41,28.915,29.366,28.667,28.811,ok,1291154400,26685
42,28.577,29.146,28.547,28.912,ok,1291240800,28862
43,29.423,29.428,28.576,28.579,ok,1291327200,20798
44,29.426,29.426,29.421,29.426,ok,1291413600,3
45,29.368,29.432,29.327,29.432,ok,1291500000,106
46,30.311,30.424,29.34,29.363,ok,1291586400,27478
47,29.014,30.772,28.789,30.314,ok,1291672800,31541
48,28.671,29.556,28.267,29.011,ok,1291759200,30109
49,29.02,29.238,28.458,28.661,ok,1291845600,27575
50,28.851,29.254,28.324,29.03,ok,1291932000,22410
51,28.88,28.887,28.795,28.804,ok,1292104800,32
52,29.716,29.873,28.708,28.882,ok,1292191200,17545
53,29.623,30.125,29.475,29.712,ok,1292277600,22177
54,28.913,29.791,28.795,29.626,ok,1292364000,22874
55,29.027,29.382,28.434,28.916,ok,1292450400,24689
56,29.469,29.576,28.871,29.022,ok,1292536800,18498
57,29.467,29.471,29.467,29.471,ok,1292623200,2
58,29.455,29.477,29.43,29.461,ok,1292709600,84
59,29.824,30.029,29.339,29.457,ok,1292796000,16848
60,29.822,30.074,29.579,29.83,ok,1292882400,13693
61,29.58,29.911,29.577,29.835,ok,1292968800,9870
62,29.554,29.694,29.263,29.583,ok,1293055200,8406
63,29.311,29.566,29.218,29.547,ok,1293141600,2651
64,29.336,29.357,29.281,29.296,ok,1293314400,53
65,29.431,29.51,29.028,29.315,ok,1293400800,5977
66,30.28,30.309,29.384,29.434,ok,1293487200,9255
67,30.586,30.65,30.131,30.271,ok,1293573600,9610
68,30.402,30.882,30.342,30.581,ok,1293660000,9156
69,30.756,30.767,30.38,30.4,ok,1293746400,7578
70,30.748,30.748,30.748,30.748,ok,1293832800,1
71,30.659,30.737,30.638,30.737,ok,1293919200,158
72,30.488,30.983,30.233,30.653,ok,1294005600,14546
73,29.678,30.636,29.39,30.493,ok,1294092000,20114
74,29.094,29.788,28.47,29.638,ok,1294178400,25772
75,28.956,29.436,28.729,29.091,ok,1294264800,23037
76,28.402,29.074,28.108,28.958,ok,1294351200,23940
77,28.418,28.44,28.369,28.384,ok,1294524000,216
78,28.873,28.962,28.408,28.413,ok,1294610400,17696
79,29.212,29.41,28.82,28.871,ok,1294696800,15040
80,29.213,29.437,28.955,29.206,ok,1294783200,17689
81,28.345,29.466,28.203,29.216,ok,1294869600,17045
82,28.124,28.67,27.814,28.351,ok,1294956000,22883
83,28.127,28.127,28.127,28.127,ok,1295042400,1
84,28.045,28.143,28.036,28.141,ok,1295128800,83
85,27.892,28.301,27.722,28.042,ok,1295215200,7400
86,28.587,28.76,27.84,27.895,ok,1295301600,12775
87,28.628,29.256,28.546,28.59,ok,1295388000,15976
88,27.378,28.669,27.373,28.635,ok,1295474400,21865
89,27.238,27.548,26.957,27.376,ok,1295560800,17898
90,27.237,27.239,27.237,27.239,ok,1295647200,2
91,27.261,27.275,27.246,27.25,ok,1295733600,45
92,26.744,27.8,26.7,27.263,ok,1295820000,16914
93,26.734,26.931,26.382,26.747,ok,1295906400,16497
94,27.426,27.521,26.571,26.729,ok,1295992800,15121
95,26.73,27.659,26.587,27.421,ok,1296079200,18897
96,27.93,28.003,26.271,26.723,ok,1296165600,19617
97,27.93,27.93,27.93,27.93,ok,1296252000,12
98,27.943,27.949,27.907,27.93,ok,1296338400,213
99,28.071,28.481,27.531,27.94,ok,1296424800,21625
