,c,h,l,o,s,t,v
0,14.858,15.403,14.83,15.307,ok,1287435600,12895
1,15.095,15.177,14.849,14.861,ok,1287522000,10146
2,14.758,15.221,14.658,15.091,ok,1287608400,11247
3,14.796,14.865,14.572,14.755,ok,1287694800,9388
4,14.803,14.822,14.776,14.785,ok,1287867600,154
5,15.025,15.16,14.78,14.801,ok,1287954000,8647
6,15.052,15.086,14.616,15.029,ok,1288040400,9138
7,14.947,15.272,14.816,15.054,ok,1288126800,10891
8,15.029,15.071,14.79,14.944,ok,1288213200,9151
9,15.378,15.41,14.947,15.032,ok,1288299600,8492
10,15.358,15.381,15.355,15.381,ok,1288472400,28
11,15.383,15.59,15.295,15.361,ok,1288558800,8333
12,15.525,15.554,15.327,15.376,ok,1288645200,6504
13,15.442,15.549,14.889,15.523,ok,1288731600,12465
14,16.156,16.168,15.362,15.444,ok,1288818000,12077
15,16.475,16.558,15.921,16.158,ok,1288904400,12513
16,16.473,16.473,16.473,16.473,ok,1288990800,1
17,16.464,16.475,16.464,16.467,ok,1289077200,30
18,17.17,17.193,16.422,16.471,ok,1289167200,10317
19,16.822,18.274,16.554,17.172,ok,1289253600,20779
20,16.891,17.602,16.522,16.827,ok,1289340000,24545
21,17.158,17.259,16.699,16.894,ok,1289426400,17869
22,16.112,17.17,15.959,17.156,ok,1289512800,19623
23,16.065,16.123,16.06,16.12,ok,1289685600,102
24,15.852,16.466,15.828,16.058,ok,1289772000,15706
25,16.018,16.104,15.755,15.843,ok,1289858400,20889
26,16.101,16.254,15.757,16.016,ok,1289944800,15409
27,16.798,16.898,16.1,16.103,ok,1290031200,13500
28,17.04,17.13,16.519,16.8,ok,1290117600,16069
29,17.041,17.049,17.006,17.027,ok,1290290400,160
30,17.45,17.452,16.991,17.043,ok,1290376800,13150
31,17.425,17.539,16.973,17.448,ok,1290463200,14583
32,17.476,17.507,17.204,17.422,ok,1290549600,11209
33,17.475,17.496,17.317,17.478,ok,1290636000,5391
34,17.075,17.487,16.904,17.473,ok,1290722400,8866
35,17.078,17.078,17.078,17.078,ok,1290808800,1
36,17.095,17.103,17.044,17.065,ok,1290895200,308
37,17.414,17.523,16.962,17.097,ok,1290981600,12986
38,18.034,18.189,17.312,17.417,ok,1291068000,12358
39,18.2,18.456,17.963,18.039,ok,1291154400,15128
40,18.271,18.6,18.173,18.202,ok,1291240800,17092
41,18.579,18.668,18.272,18.274,ok,1291327200,12507
42,18.568,18.595,18.552,18.588,ok,1291500000,54
43,19.182,19.256,18.554,18.572,ok,1291586400,13655
44,18.19,19.421,18.058,19.178,ok,1291672800,19511
45,17.943,18.517,17.697,18.188,ok,1291759200,19037
46,18.212,18.351,17.815,17.928,ok,1291845600,14554
47,18.099,18.353,17.778,18.217,ok,1291932000,13593
48,18.095,18.108,18.053,18.068,ok,1292104800,103
49,18.598,18.806,17.998,18.097,ok,1292191200,10245
50,18.664,18.869,18.507,18.601,ok,1292277600,13215
51,18.513,18.826,18.4,18.667,ok,1292364000,11902
52,18.457,18.739,18.135,18.517,ok,1292450400,14156
53,18.714,18.876,18.412,18.453,ok,1292536800,9846
54,18.711,18.711,18.711,18.711,ok,1292623200,1
55,18.749,18.765,18.722,18.722,ok,1292709600,65
56,18.912,18.997,18.566,18.746,ok,1292796000,8564
57,18.957,19.056,18.711,18.909,ok,1292882400,7889
58,18.976,19.098,18.89,18.962,ok,1292968800,5999
59,18.982,19.056,18.749,18.973,ok,1293055200,4999
60,18.826,18.978,18.819,18.978,ok,1293141600,1531
61,18.834,18.834,18.829,18.829,ok,1293228000,2
62,18.847,18.847,18.811,18.837,ok,1293314400,17
63,18.957,19.007,18.635,18.835,ok,1293400800,4434
64,19.683,19.704,18.926,18.96,ok,1293487200,6550
65,19.72,19.857,19.565,19.686,ok,1293573600,6274
66,19.711,19.972,19.674,19.717,ok,1293660000,5948
67,19.746,19.897,19.633,19.705,ok,1293746400,4780
68,19.801,19.841,19.723,19.739,ok,1293919200,107
69,19.808,20.155,19.649,19.798,ok,1294005600,8224
70,19.074,19.925,18.807,19.814,ok,1294092000,11867
71,18.838,19.142,18.426,19.048,ok,1294178400,15230
72,18.781,19.042,18.605,18.842,ok,1294264800,13936
73,18.392,18.828,18.334,18.784,ok,1294351200,15437
74,18.434,18.462,18.386,18.386,ok,1294524000,269
75,18.665,18.731,18.412,18.431,ok,1294610400,10783
76,18.91,19.053,18.633,18.667,ok,1294696800,8967
77,18.807,19.059,18.687,18.905,ok,1294783200,9687
78,18.097,18.892,17.996,18.804,ok,1294869600,10671
79,17.887,18.278,17.7,18.099,ok,1294956000,13452
80,17.894,17.897,17.87,17.88,ok,1295128800,142
81,17.791,18.059,17.647,17.892,ok,1295215200,4471
