,c,h,l,o,s,t,v
0,31.348,32.323,31.255,32.178,ok,1287435600,26158
1,31.682,31.907,31.298,31.354,ok,1287522000,20845
2,31.071,31.933,30.863,31.687,ok,1287608400,22899
3,31.064,31.274,30.541,31.079,ok,1287694800,18553
4,30.943,31.082,30.896,31.069,ok,1287867600,236
5,31.4,31.668,30.933,30.937,ok,1287954000,17351
6,31.828,31.904,30.927,31.409,ok,1288040400,18538
7,31.617,32.336,31.458,31.832,ok,1288126800,23183
8,31.776,31.86,31.294,31.621,ok,1288213200,18960
9,32.17,32.416,31.518,31.78,ok,1288299600,19506
10,32.16,32.244,32.151,32.183,ok,1288472400,271
11,32.145,32.656,31.976,32.164,ok,1288558800,17371
12,32.277,32.473,31.918,32.132,ok,1288645200,15879
13,31.832,32.355,30.918,32.265,ok,1288731600,27813
14,33.075,33.091,31.431,31.827,ok,1288818000,24322
15,33.497,33.795,32.688,33.069,ok,1288904400,26868
16,33.477,33.477,33.477,33.477,ok,1288990800,1
17,33.578,33.711,33.533,33.561,ok,1289077200,284
18,35.162,35.2,33.558,33.581,ok,1289167200,23511
19,34.57,37.267,34.018,35.173,ok,1289253600,45791
20,34.78,36.039,34.058,34.578,ok,1289340000,51529
21,35.442,35.545,34.472,34.788,ok,1289426400,36082
22,33.553,35.516,33.346,35.446,ok,1289512800,46719
23,33.389,33.586,33.338,33.586,ok,1289685600,877
24,32.922,34.156,32.877,33.382,ok,1289772000,36600
25,33.134,33.398,32.602,32.925,ok,1289858400,39716
26,33.24,33.555,32.739,33.108,ok,1289944800,36746
27,34.613,34.774,33.213,33.246,ok,1290031200,29832
28,34.952,35.229,33.997,34.607,ok,1290117600,34383
29,34.925,34.968,34.876,34.965,ok,1290290400,426
30,36.065,36.095,34.882,34.928,ok,1290376800,32669
31,36.226,36.397,35.307,36.058,ok,1290463200,37622
32,36.267,36.333,35.608,36.215,ok,1290549600,23743
33,36.232,36.316,35.861,36.261,ok,1290636000,13290
34,35.49,36.247,35.297,36.235,ok,1290722400,21611
35,35.431,35.561,35.321,35.482,ok,1290895200,569
36,36.35,36.565,35.268,35.426,ok,1290981600,29340
37,37.788,38.056,36.193,36.363,ok,1291068000,29909
38,37.961,38.604,37.614,37.799,ok,1291154400,31333
39,37.731,38.432,37.688,37.964,ok,1291240800,37503
40,38.251,38.435,37.721,37.728,ok,1291327200,28668
41,38.229,38.254,38.229,38.254,ok,1291413600,2
42,38.314,38.338,38.117,38.199,ok,1291500000,366
43,39.568,39.745,38.247,38.324,ok,1291586400,33419
44,37.852,40.06,37.533,39.572,ok,1291672800,40873
45,37.924,38.866,37.349,37.869,ok,1291759200,40133
46,38.355,38.796,37.708,37.891,ok,1291845600,33151
47,38.271,38.621,37.488,38.369,ok,1291932000,29191
48,38.286,38.293,38.126,38.208,ok,1292104800,693
49,39.267,39.366,38.034,38.289,ok,1292191200,24595
50,39.172,39.837,38.792,39.273,ok,1292277600,30710
51,38.899,39.539,38.608,39.167,ok,1292364000,28083
52,38.965,39.62,38.383,38.903,ok,1292450400,31738
53,39.466,39.665,38.843,38.955,ok,1292536800,23174
54,39.503,39.526,39.352,39.429,ok,1292709600,359
55,39.524,39.982,38.8,39.496,ok,1292796000,21227
56,39.4,39.619,38.962,39.534,ok,1292882400,20055
57,39.434,39.68,39.244,39.396,ok,1292968800,14903
58,39.183,39.481,38.72,39.438,ok,1293055200,12620
59,38.795,39.194,38.767,39.176,ok,1293141600,1719
60,38.803,38.803,38.803,38.803,ok,1293228000,1
61,38.93,38.986,38.764,38.764,ok,1293314400,118
62,38.95,39.156,38.486,38.903,ok,1293400800,8868
63,40.028,40.099,38.924,38.954,ok,1293487200,12083
64,39.766,40.176,39.682,40.032,ok,1293573600,13670
65,39.453,40.215,39.393,39.762,ok,1293660000,13650
66,39.494,39.831,39.311,39.456,ok,1293746400,10989
67,39.513,39.513,39.513,39.513,ok,1293832800,1
68,39.697,39.771,39.523,39.523,ok,1293919200,151
69,39.665,40.197,39.289,39.7,ok,1294005600,18413
70,38.776,40.064,38.286,39.682,ok,1294092000,28203
71,38.596,38.924,37.54,38.72,ok,1294178400,32282
72,38.397,38.914,38.069,38.592,ok,1294264800,28274
73,37.619,38.468,37.424,38.4,ok,1294351200,28924
74,37.588,37.588,37.588,37.588,ok,1294437600,1
75,37.736,37.767,37.611,37.687,ok,1294524000,265
76,38.062,38.26,37.608,37.73,ok,1294610400,22665
77,38.779,39.045,38.045,38.066,ok,1294696800,20627
78,38.796,39.19,38.684,38.772,ok,1294783200,24182
79,37.15,38.997,37.092,38.79,ok,1294869600,25299
80,37.04,37.628,36.587,37.167,ok,1294956000,27995
81,36.938,37.091,36.883,37.091,ok,1295128800,220
82,36.584,37.278,36.341,36.942,ok,1295215200,11294
83,37.361,37.636,36.555,36.598,ok,1295301600,20114
84,37.386,37.968,37.249,37.367,ok,1295388000,24606
85,36.264,37.651,36.013,37.384,ok,1295474400,34564
86,36.192,36.68,35.843,36.266,ok,1295560800,26429
87,36.195,36.195,36.18,36.18,ok,1295647200,2
88,36.2,36.225,36.118,36.173,ok,1295733600,316
89,35.266,36.846,35.158,36.202,ok,1295820000,23515
90,34.883,35.407,34.708,35.27,ok,1295906400,24872
91,35.703,35.833,34.817,34.89,ok,1295992800,22404
92,34.844,36.015,34.618,35.695,ok,1296079200,27095
93,36.053,36.27,34.227,34.835,ok,1296165600,27102
94,36.236,36.262,36.049,36.049,ok,1296338400,616
95,36.278,36.944,35.732,36.231,ok,1296424800,26888
96,36.5,36.656,35.88,36.284,ok,1296511200,26962
97,36.619,36.736,36.12,36.496,ok,1296597600,24238
98,37.369,37.497,36.378,36.623,ok,1296684000,23077
99,37.723,37.998,37.156,37.366,ok,1296770400,20876
100,37.719,37.719,37.719,37.719,ok,1296856800,1
101,37.803,37.946,37.653,37.66,ok,1296943200,366
102,38.142,38.286,37.69,37.809,ok,1297029600,18958
103,39.086,39.176,37.78,38.139,ok,1297116000,19058
104,39.077,39.494,38.931,39.089,ok,1297202400,19095
105,39.485,39.629,38.665,39.081,ok,1297288800,20089
106,39.215,39.952,39.135,39.482,ok,1297375200,21867
107,39.225,39.225,39.222,39.222,ok,1297461600,2
108,39.484,39.484,39.149,39.198,ok,1297548000,500
109,40.421,40.576,39.329,39.487,ok,1297634400,17080
110,40.913,41.03,40.3,40.416,ok,1297720800,18104
111,40.563,41.119,40.299,40.916,ok,1297807200,21091
112,41.801,41.877,40.443,40.56,ok,1297893600,16352
113,42.741,43.051,41.423,41.804,ok,1297980000,21854
114,42.737,42.737,42.737,42.737,ok,1298066400,1
115,42.664,42.72,42.614,42.66,ok,1298152800,167
116,44.334,44.63,42.624,42.661,ok,1298239200,15848
117,44.291,45.385,43.264,44.332,ok,1298325600,42380
118,44.956,45.268,43.766,44.288,ok,1298412000,31306
119,42.986,45.372,42.385,44.959,ok,1298498400,36020
120,44.323,44.338,42.854,42.984,ok,1298584800,27864
121,44.319,44.319,44.319,44.319,ok,1298671200,1
122,44.326,44.442,44.22,44.282,ok,1298757600,450
123,44.999,45.181,44.229,44.322,ok,1298844000,33777
124,46.367,46.403,44.932,45.004,ok,1298930400,29857
125,46.602,47.104,46.014,46.37,ok,1299016800,31808
126,46.141,46.935,45.854,46.606,ok,1299103200,33957
127,48.134,48.165,46.114,46.128,ok,1299189600,29201
128,48.231,48.412,48.099,48.099,ok,1299362400,746
129,48.681,49.767,48.167,48.234,ok,1299448800,42397
130,48.692,49.298,47.944,48.685,ok,1299535200,37248
131,48.986,49.249,48.237,48.688,ok,1299621600,31869
132,47.911,49.161,47.258,48.984,ok,1299708000,41497
133,48.222,48.673,46.207,47.913,ok,1299794400,51679
134,48.235,48.308,48.084,48.206,ok,1299967200,606
135,48.537,49.405,48.055,48.241,ok,1300050000,38842
136,46.748,48.728,46.16,48.547,ok,1300136400,64298
137,46.956,47.802,46.379,46.744,ok,1300222800,54990
138,47.663,48.126,46.586,46.959,ok,1300309200,52784
139,48.104,48.714,47.501,47.667,ok,1300395600,38778
140,48.101,48.229,48.087,48.115,ok,1300568400,255
141,49.028,49.301,48.104,48.104,ok,1300654800,28405
142,49.086,49.412,48.089,49.02,ok,1300741200,26844
143,50.408,50.45,48.711,49.082,ok,1300827600,25261
144,49.57,50.848,49.081,50.419,ok,1300914000,32181
145,49.42,50.135,48.804,49.559,ok,1301000400,33972
146,49.416,49.416,49.416,49.416,ok,1301086800,1
147,49.453,49.605,49.364,49.461,ok,1301173200,394
148,49.396,49.676,48.555,49.445,ok,1301259600,27204
149,48.974,49.556,48.607,49.403,ok,1301346000,25296
150,49.085,49.649,48.55,48.977,ok,1301432400,26003
151,49.414,49.744,49.004,49.079,ok,1301518800,22628
152,49.109,49.793,48.644,49.417,ok,1301605200,31878
153,49.109,49.148,49.07,49.096,ok,1301691600,5
154,49.101,49.151,49.017,49.117,ok,1301778000,154
155,50.191,50.325,49.081,49.105,ok,1301864400,20724
156,51.112,51.15,49.509,50.196,ok,1301950800,26842
157,50.691,51.216,50.353,51.117,ok,1302037200,26345
158,50.843,51.144,50.419,50.698,ok,1302123600,27853
159,52.175,52.283,50.821,50.849,ok,1302210000,24590
160,52.141,52.141,52.141,52.141,ok,1302296400,1
161,52.153,52.291,52.04,52.151,ok,1302382800,274
162,51.582,53.539,51.045,52.15,ok,1302469200,42449
163,51.146,52.081,50.657,51.585,ok,1302555600,48236
164,51.43,51.53,50.809,51.149,ok,1302642000,37322
165,53.051,53.152,51.299,51.433,ok,1302728400,41961
166,53.646,53.717,52.587,53.058,ok,1302814800,43953
167,53.644,53.782,53.581,53.742,ok,1302987600,322
168,54.852,55.329,53.595,53.639,ok,1303074000,59009
169,55.693,56.064,54.419,54.85,ok,1303160400,40646
170,56.675,57.013,55.368,55.683,ok,1303246800,50895
171,58.185,58.212,56.529,56.668,ok,1303333200,46305
172,58.137,59.485,57.887,58.182,ok,1303419600,2323
173,58.042,58.1,57.991,58.1,ok,1303592400,36
174,58.603,62.15,57.096,58.035,ok,1303678800,96283
