,c,h,l,o,s,t,v
0,30.64,31.786,30.566,31.554,ok,1287435600,20713
1,31.163,31.182,30.629,30.645,ok,1287522000,15675
2,30.171,31.314,29.971,31.168,ok,1287608400,19528
3,30.087,30.434,29.714,30.168,ok,1287694800,15546
4,30.06,30.116,30.05,30.081,ok,1287867600,41
5,30.542,30.779,30.024,30.024,ok,1287954000,13591
6,30.92,31.056,30.044,30.549,ok,1288040400,15597
7,30.714,31.422,30.505,30.924,ok,1288126800,17708
8,31.046,31.134,30.551,30.711,ok,1288213200,16172
9,31.903,31.991,30.839,31.053,ok,1288299600,13802
10,31.864,31.97,31.857,31.97,ok,1288472400,37
11,31.863,32.325,31.674,31.871,ok,1288558800,13207
12,32.076,32.083,31.744,31.85,ok,1288645200,11195
13,31.926,32.205,30.822,32.078,ok,1288731600,21354
14,33.697,33.713,31.799,31.922,ok,1288818000,18746
15,34.266,34.553,33.173,33.692,ok,1288904400,22732
16,34.268,34.299,34.265,34.293,ok,1289077200,41
17,35.689,35.705,34.131,34.266,ok,1289167200,20197
18,34.696,37.709,34.112,35.699,ok,1289253600,38350
19,35.074,36.252,34.195,34.693,ok,1289340000,42895
20,35.664,35.859,34.664,35.079,ok,1289426400,30000
21,33.689,35.698,33.414,35.659,ok,1289512800,39216
22,33.676,33.684,33.663,33.663,ok,1289685600,10
23,33.157,34.468,33.098,33.679,ok,1289772000,31343
24,33.202,33.606,32.606,33.154,ok,1289858400,35986
25,33.323,33.723,32.705,33.195,ok,1289944800,32030
26,34.918,35.063,33.311,33.329,ok,1290031200,25243
27,35.282,35.494,34.22,34.921,ok,1290117600,30115
28,35.276,35.279,35.276,35.279,ok,1290204000,2
29,35.287,35.3,35.255,35.281,ok,1290290400,54
30,36.117,36.117,35.183,35.289,ok,1290376800,25643
31,36.134,36.41,35.444,36.109,ok,1290463200,30826
32,36.096,36.25,35.482,36.123,ok,1290549600,19602
33,35.977,36.115,35.741,36.103,ok,1290636000,9376
34,35.129,36.061,34.885,35.982,ok,1290722400,17658
35,35.11,35.205,35.11,35.163,ok,1290895200,46
36,35.761,36.011,34.861,35.107,ok,1290981600,24050
37,37.045,37.391,35.505,35.766,ok,1291068000,23695
38,37.253,37.762,36.835,37.048,ok,1291154400,26881
39,37.242,37.88,37.078,37.255,ok,1291240800,32418
40,38.182,38.196,37.253,37.253,ok,1291327200,23806
41,38.169,38.169,38.169,38.169,ok,1291413600,1
42,38.093,38.166,38.093,38.154,ok,1291500000,7
43,39.338,39.459,38.086,38.09,ok,1291586400,28950
44,37.562,39.949,37.303,39.342,ok,1291672800,34499
45,37.259,38.449,36.772,37.556,ok,1291759200,33917
46,37.63,38.025,37.023,37.226,ok,1291845600,27079
47,37.378,37.937,36.706,37.643,ok,1291932000,25631
48,37.437,37.457,37.282,37.316,ok,1292104800,55
49,38.442,38.755,37.208,37.459,ok,1292191200,21023
50,38.351,38.956,37.973,38.44,ok,1292277600,25393
51,37.917,38.689,37.802,38.353,ok,1292364000,23691
52,37.908,38.402,37.232,37.921,ok,1292450400,28013
53,38.189,38.468,37.619,37.901,ok,1292536800,20300
54,38.236,38.272,38.179,38.223,ok,1292709600,74
