,c,h,l,o,s,t,v
0,376.19,377.9,368.38,377.5,ok,1287435600,613
1,376.67,376.67,373.68,373.88,ok,1287522000,40
2,373.65,377.47,372.15,376.26,ok,1287608400,111
3,375.64,376.14,373.44,375.45,ok,1287694800,117
4,377.79,379.7,375.6,376.0,ok,1287954000,363
5,375.57,377.68,374.27,376.88,ok,1288040400,381
6,366.84,377.06,366.54,375.16,ok,1288126800,1152
7,369.32,371.64,368.62,369.14,ok,1288213200,823
8,371.41,371.92,368.12,369.22,ok,1288299600,1531
9,376.37,377.08,371.77,371.97,ok,1288558800,1324
10,380.15,380.36,375.46,375.96,ok,1288645200,841
11,379.64,380.15,377.75,378.55,ok,1288731600,1074
12,385.03,385.23,378.53,381.03,ok,1288818000,1201
13,386.01,386.51,384.61,384.61,ok,1288904400,70
14,388.26,388.26,383.17,385.47,ok,1289167200,1656
15,391.34,392.35,386.85,387.45,ok,1289253600,1069
16,387.32,391.34,386.32,390.44,ok,1289340000,1389
17,388.11,391.12,386.82,386.82,ok,1289426400,1102
18,378.78,388.7,378.78,388.0,ok,1289512800,1726
19,382.73,382.83,379.54,380.95,ok,1289772000,1245
20,372.61,382.03,372.41,380.53,ok,1289858400,1681
21,374.2,374.9,373.5,374.4,ok,1289944800,69
22,379.78,380.08,375.69,375.99,ok,1290031200,1345
23,374.96,380.18,373.36,379.98,ok,1290117600,1459
24,370.84,375.11,370.84,374.8,ok,1290376800,29
25,362.5,374.24,361.79,373.14,ok,1290463200,143
26,369.71,369.91,364.7,365.3,ok,1290549600,191
27,370.64,370.64,368.12,369.32,ok,1290636000,146
28,367.58,370.85,365.98,370.85,ok,1290722400,236
29,367.18,371.56,366.38,369.45,ok,1290981600,266
30,368.81,370.98,366.5,368.79,ok,1291068000,411
31,376.73,376.73,366.73,369.42,ok,1291154400,273
32,377.56,377.96,374.24,377.23,ok,1291240800,320
33,373.0,377.07,372.1,376.87,ok,1291327200,307
34,372.3,376.07,371.0,373.58,ok,1291586400,265
35,376.33,377.12,371.32,372.11,ok,1291672800,335
36,376.96,378.36,373.16,375.64,ok,1291759200,301
