,c,h,l,o,s,t,v
0,56.577,57.377,56.514,57.219,ok,1287435600,4554
1,56.736,57.023,56.385,56.57,ok,1287522000,3294
2,56.756,57.238,56.653,56.717,ok,1287608400,4408
3,56.793,57.168,56.674,56.769,ok,1287694800,3087
4,56.84,56.994,56.65,56.837,ok,1287867600,321
5,56.912,57.137,56.747,56.9,ok,1287954000,2886
6,56.9,57.171,56.746,56.923,ok,1288040400,3141
7,56.522,57.108,56.32,56.889,ok,1288126800,3945
8,56.467,56.744,56.349,56.512,ok,1288213200,3271
9,55.796,56.599,55.777,56.459,ok,1288299600,2812
10,55.787,55.787,55.787,55.787,ok,1288386000,1
11,55.782,55.844,55.624,55.767,ok,1288472400,261
12,56.302,56.893,55.749,55.803,ok,1288558800,3304
13,56.924,57.225,56.257,56.28,ok,1288645200,2380
14,57.607,57.864,56.857,56.932,ok,1288731600,4528
15,57.703,58.127,57.317,57.616,ok,1288818000,3869
16,57.834,58.247,57.574,57.715,ok,1288904400,4131
17,57.826,57.826,57.826,57.826,ok,1288990800,1
18,57.848,57.96,57.804,57.817,ok,1289077200,278
19,57.442,58.103,57.065,57.84,ok,1289167200,3646
20,57.509,57.845,57.049,57.429,ok,1289253600,4171
21,57.945,58.389,57.49,57.524,ok,1289340000,4963
22,57.233,58.151,57.233,57.935,ok,1289426400,4031
23,56.965,57.604,56.417,57.223,ok,1289512800,5869
24,56.982,57.03,56.784,56.987,ok,1289685600,696
25,57.289,57.573,56.908,56.972,ok,1289772000,3679
26,56.755,57.448,56.659,57.28,ok,1289858400,4301
27,56.904,57.212,56.733,56.765,ok,1289944800,3064
28,57.651,57.818,56.895,56.911,ok,1290031200,3008
29,57.609,57.962,57.417,57.658,ok,1290117600,2727
30,57.62,57.893,57.325,57.587,ok,1290290400,480
31,57.112,58.134,57.05,57.634,ok,1290376800,3061
32,55.823,57.366,55.764,57.103,ok,1290463200,4621
33,56.351,56.626,55.801,55.831,ok,1290549600,4377
34,56.688,56.874,56.213,56.343,ok,1290636000,2391
35,56.244,56.837,56.083,56.677,ok,1290722400,3847
36,56.202,56.257,56.202,56.257,ok,1290808800,2
37,56.226,56.25,55.859,56.237,ok,1290895200,959
38,55.85,56.586,55.814,56.235,ok,1290981600,4063
39,55.473,56.031,55.22,55.867,ok,1291068000,4455
40,56.392,56.549,55.347,55.461,ok,1291154400,3669
41,56.309,56.707,56.251,56.421,ok,1291240800,3726
42,55.599,56.573,55.551,56.318,ok,1291327200,3930
43,55.582,55.582,55.582,55.582,ok,1291413600,1
44,55.674,55.725,55.555,55.557,ok,1291500000,333
45,55.653,56.097,55.51,55.682,ok,1291586400,2680
