,c,h,l,o,s,t,v
0,267.8,269.5,266.4,267.5,ok,1314651600,1479
1,274.2,275.5,266.7,267.5,ok,1314738000,1956
2,271.4,278.8,270.5,274.5,ok,1314824400,2271
3,267.5,273.6,266.7,272.2,ok,1314910800,2059
4,261.0,266.5,260.4,265.9,ok,1315170000,1695
5,262.0,263.8,257.7,261.4,ok,1315256400,2538
6,268.5,268.7,261.2,263.3,ok,1315342800,1539
7,266.4,269.1,264.1,267.5,ok,1315429200,1731
8,268.8,271.1,265.5,266.7,ok,1315515600,1635
9,261.2,266.3,256.4,264.2,ok,1315861200,2028
10,259.4,263.6,253.3,261.0,ok,1315947600,2159
11,265.1,266.1,259.2,260.3,ok,1316034000,2047
12,269.2,270.8,265.8,265.9,ok,1316120400,1854
13,263.7,268.1,262.0,268.1,ok,1316379600,1377
14,267.3,268.1,260.4,263.5,ok,1316466000,2314
15,264.4,268.8,263.4,265.3,ok,1316552400,1950
16,247.2,261.6,246.8,261.6,ok,1316638800,2127
17,251.2,252.0,246.0,250.1,ok,1316725200,1564
18,246.1,249.9,242.0,249.9,ok,1316984400,1777
19,261.2,261.8,247.0,247.8,ok,1317070800,1387
20,253.4,257.2,252.2,256.7,ok,1317157200,1375
21,255.6,259.4,250.5,251.6,ok,1317243600,2633
22,252.1,257.7,251.9,256.6,ok,1317330000,2914
23,247.3,252.3,246.7,249.8,ok,1317589200,3354
24,247.8,252.3,243.7,245.7,ok,1317675600,4821
25,252.4,252.8,246.6,250.5,ok,1317762000,3177
26,256.2,256.8,251.8,253.6,ok,1317848400,3177
27,254.9,257.7,254.5,257.5,ok,1317934800,1705
28,263.3,263.6,260.3,261.8,ok,1318280400,2126
29,265.6,266.2,260.0,261.5,ok,1318366800,2399
30,262.2,264.7,260.6,264.6,ok,1318453200,2390
31,263.8,264.0,259.6,262.1,ok,1318539600,1775
32,260.2,265.7,259.3,264.0,ok,1318798800,2797
33,260.7,261.6,257.2,260.6,ok,1318885200,2428
34,261.0,262.6,259.1,260.5,ok,1318971600,1616
35,255.5,261.2,253.2,261.2,ok,1319058000,2973
36,259.2,260.7,254.5,256.3,ok,1319144400,1768
37,269.4,269.4,261.3,261.3,ok,1319403600,3145
38,265.5,267.1,263.4,266.4,ok,1319490000,2299
39,267.2,268.8,262.7,263.6,ok,1319576400,1752
40,277.7,277.8,265.6,267.4,ok,1319662800,1901
41,272.7,275.5,269.4,274.9,ok,1319749200,1850
42,268.4,272.3,266.5,271.6,ok,1320008400,1922
43,266.2,271.8,263.7,267.1,ok,1320094800,2229
44,270.0,272.6,263.7,264.2,ok,1320181200,2145
45,269.1,269.3,262.4,268.4,ok,1320267600,2154
46,269.3,271.3,266.9,269.0,ok,1320354000,1920
47,268.5,271.1,266.8,269.2,ok,1320616800,1151
48,269.1,272.6,267.9,269.5,ok,1320703200,1535
49,265.3,271.3,263.5,271.1,ok,1320789600,1361
50,259.8,263.1,256.2,262.4,ok,1320876000,2115
51,264.7,265.3,258.2,259.3,ok,1320962400,1453
52,266.0,268.5,264.9,265.9,ok,1321221600,1418
53,267.4,267.8,263.4,266.5,ok,1321308000,1260
54,262.0,268.6,260.7,266.9,ok,1321394400,1791
55,257.5,263.1,256.2,260.4,ok,1321480800,1956
56,256.1,260.5,255.2,258.5,ok,1321567200,1611
57,246.5,255.0,245.7,254.8,ok,1321826400,1147
58,249.7,252.8,247.9,249.0,ok,1321912800,952
59,242.2,249.0,241.2,248.9,ok,1321999200,1208
60,246.9,248.3,241.0,243.4,ok,1322085600,1080
61,241.2,247.5,239.1,245.7,ok,1322172000,1265
62,248.2,249.1,244.5,244.6,ok,1322431200,907
63,248.4,249.7,245.8,247.8,ok,1322517600,2163
64,254.3,255.9,243.8,247.4,ok,1322604000,3561
65,257.8,260.5,254.5,254.6,ok,1322690400,3106
66,256.5,259.0,254.8,258.9,ok,1322776800,2151
67,256.6,257.1,252.2,256.7,ok,1323036000,2220
68,251.1,254.0,249.1,253.8,ok,1323122400,2766
69,252.3,253.7,249.6,251.5,ok,1323208800,2516
70,246.9,251.8,246.3,251.6,ok,1323295200,2706
71,249.4,249.6,243.1,245.0,ok,1323381600,2890
72,244.6,251.1,244.0,248.9,ok,1323640800,2008
73,246.9,248.5,244.9,245.9,ok,1323727200,1790
74,244.6,247.6,243.4,246.1,ok,1323813600,1631
75,242.1,244.7,241.3,244.1,ok,1323900000,2190
76,243.5,244.8,241.3,242.3,ok,1323986400,1597
77,237.8,241.5,236.6,240.5,ok,1324245600,2867
78,244.2,244.4,238.5,238.7,ok,1324332000,1717
79,249.7,252.1,243.7,243.8,ok,1324418400,2623
80,252.9,253.3,249.5,249.9,ok,1324504800,1648
81,257.3,257.5,253.0,253.2,ok,1324591200,1412
82,255.4,256.5,254.2,256.3,ok,1324850400,588
83,254.8,259.3,253.0,255.6,ok,1324936800,1135
84,252.4,255.4,252.3,254.0,ok,1325023200,779
85,255.9,256.0,252.1,253.0,ok,1325109600,1047
86,254.4,258.4,252.8,256.6,ok,1325196000,1481
87,252.6,254.0,249.7,253.5,ok,1325455200,922
88,256.7,257.9,252.7,253.6,ok,1325541600,1700
89,256.7,257.5,255.3,256.1,ok,1325628000,1682
90,258.4,258.4,255.6,256.6,ok,1325714400,1525
91,256.4,258.0,255.3,256.8,ok,1325800800,1783
92,256.0,257.2,253.4,254.4,ok,1326060000,1673
93,260.1,261.1,256.9,257.0,ok,1326146400,1839
94,260.4,260.8,259.0,259.3,ok,1326232800,1363
95,260.8,261.9,258.8,260.2,ok,1326319200,1407
96,259.8,263.3,258.9,262.0,ok,1326405600,1783
97,257.6,263.7,255.0,263.2,ok,1326664800,2415
98,260.8,262.4,257.0,258.4,ok,1326751200,1434
99,260.1,261.4,259.2,261.0,ok,1326837600,969
100,261.4,263.3,258.0,259.7,ok,1327874400,382
101,264.2,264.8,261.3,263.4,ok,1327960800,367
102,268.9,269.1,263.2,265.1,ok,1328047200,344
103,270.1,271.0,266.6,268.7,ok,1328133600,274
104,269.1,269.8,268.1,269.8,ok,1328220000,166
105,271.8,272.7,270.2,272.1,ok,1328479200,259
106,273.6,273.7,270.6,272.2,ok,1328565600,274
107,278.4,278.7,273.5,273.5,ok,1328652000,277
108,279.2,279.6,275.7,277.4,ok,1328738400,339
109,275.6,279.1,274.6,278.5,ok,1328824800,298
110,278.3,278.8,275.6,276.3,ok,1329084000,268
111,277.3,278.8,274.4,277.9,ok,1329170400,290
112,281.3,283.5,278.0,279.0,ok,1329256800,250
113,280.2,281.4,277.5,281.0,ok,1329343200,319
114,279.7,283.2,278.5,281.5,ok,1329429600,359
115,281.9,283.2,280.2,283.0,ok,1329688800,276
116,280.6,282.1,277.6,281.7,ok,1329775200,394
117,282.0,284.0,279.2,280.0,ok,1329861600,370
118,282.3,283.2,280.6,281.6,ok,1329948000,344
119,282.7,283.5,280.0,282.5,ok,1330034400,1426
120,288.5,289.9,284.7,284.7,ok,1330466400,2915
121,290.8,291.0,287.1,289.1,ok,1330552800,2051
122,288.2,290.8,287.8,290.7,ok,1330639200,1515
123,283.7,287.4,283.1,287.4,ok,1330898400,2135
124,277.6,284.6,277.5,284.1,ok,1330984800,2451
125,281.2,281.2,278.0,278.7,ok,1331071200,1947
126,284.4,284.9,279.1,280.6,ok,1331157600,1968
127,285.0,285.2,281.3,283.6,ok,1331244000,1777
128,281.6,284.0,280.6,283.6,ok,1331499600,1391
129,287.3,287.6,282.6,283.1,ok,1331586000,1829
130,288.4,290.9,288.3,290.0,ok,1331672400,1789
131,289.2,290.0,287.3,289.6,ok,1331758800,1388
132,287.5,288.9,285.3,288.8,ok,1331845200,1802
133,286.9,288.1,283.4,287.7,ok,1332104400,2029
134,282.3,287.2,280.9,286.6,ok,1332190800,1933
135,284.4,285.7,282.7,282.7,ok,1332277200,1578
136,285.7,288.7,284.0,284.2,ok,1332363600,2818
137,287.0,288.0,285.8,286.8,ok,1332450000,1500
138,284.4,288.1,281.4,288.1,ok,1332709200,2779
139,285.5,286.6,283.5,285.0,ok,1332795600,1397
140,283.9,288.1,283.7,285.6,ok,1332882000,262
141,278.0,284.8,277.2,284.3,ok,1332968400,403
142,282.0,282.2,277.7,278.3,ok,1333054800,370
143,281.3,282.2,279.0,282.2,ok,1333314000,336
144,278.3,282.5,276.5,281.1,ok,1333400400,351
145,273.3,274.6,270.0,271.2,ok,1333573200,503
146,272.8,275.9,272.6,273.8,ok,1333659600,245
147,272.8,273.9,269.1,271.7,ok,1333918800,323
148,267.8,275.4,267.8,273.0,ok,1334005200,337
149,273.2,273.8,268.6,269.2,ok,1334091600,371
150,275.8,276.2,270.6,272.2,ok,1334178000,397
151,276.3,278.9,275.3,275.9,ok,1334264400,424
152,276.2,277.6,274.7,275.3,ok,1334523600,285
153,275.0,277.0,270.7,275.6,ok,1334610000,368
154,271.1,275.4,271.1,275.2,ok,1334696400,260
155,272.4,275.1,269.5,272.0,ok,1334782800,416
156,270.2,272.7,268.6,272.1,ok,1334869200,366
157,265.2,269.6,263.8,269.2,ok,1335128400,441
158,268.4,270.7,266.3,266.3,ok,1335214800,466
159,272.2,272.3,269.7,270.6,ok,1335301200,353
160,271.9,272.8,269.0,272.0,ok,1335387600,515
161,268.7,272.8,265.8,271.1,ok,1335474000,2369
162,267.8,267.9,264.8,267.8,ok,1335733200,1916
163,273.8,275.3,267.7,267.7,ok,1335906000,2671
164,273.0,275.0,272.8,274.1,ok,1335992400,1918
165,271.7,274.9,271.0,271.7,ok,1336078800,1781
166,269.9,270.4,266.9,269.5,ok,1336338000,2634
