,c,h,l,o,s,t,v
0,5679.5,5757.3,5654.5,5741.4,ok,1287435600,11245
1,5721.9,5738.5,5655.9,5666.5,ok,1287522000,9011
2,5736.7,5783.9,5692.2,5725.4,ok,1287608400,10504
3,5743.5,5752.0,5717.5,5733.1,ok,1287694800,7197
4,5731.2,5787.0,5723.7,5748.9,ok,1287954000,8618
5,5706.9,5741.6,5668.4,5738.7,ok,1288040400,8758
6,5670.6,5711.9,5624.6,5711.4,ok,1288126800,10025
7,5682.4,5709.0,5648.9,5670.6,ok,1288213200,10025
8,5672.6,5696.2,5641.2,5667.8,ok,1288299600,9515
9,5679.9,5730.1,5646.9,5696.1,ok,1288558800,10272
10,5755.3,5766.9,5678.3,5680.9,ok,1288645200,8260
11,5780.6,5782.1,5728.6,5767.8,ok,1288731600,8884
12,5885.1,5886.1,5779.0,5779.6,ok,1288818000,10286
13,5888.8,5898.5,5832.3,5882.0,ok,1288904400,9768
14,5862.0,5881.7,5839.0,5869.3,ok,1289167200,7019
15,5856.8,5901.4,5835.4,5848.9,ok,1289253600,8094
16,5838.5,5871.3,5793.0,5852.2,ok,1289340000,9339
17,5836.8,5843.3,5789.2,5818.9,ok,1289426400,8370
18,5790.4,5830.1,5708.9,5826.7,ok,1289512800,12336
19,5798.7,5835.3,5750.8,5798.4,ok,1289772000,9019
20,5674.8,5804.6,5653.8,5781.6,ok,1289858400,11012
21,5694.1,5711.2,5658.7,5683.3,ok,1289944800,8379
22,5771.9,5791.5,5704.1,5704.1,ok,1290031200,8405
23,5759.7,5787.4,5688.7,5781.4,ok,1290117600,9448
24,5698.9,5799.2,5651.4,5774.2,ok,1290376800,10207
25,5601.1,5683.8,5581.6,5683.8,ok,1290463200,10484
26,5678.9,5681.9,5576.9,5613.5,ok,1290549600,9214
27,5695.2,5713.7,5657.3,5678.9,ok,1290636000,4766
28,5664.9,5700.0,5600.9,5679.1,ok,1290722400,9807
29,5599.1,5727.9,5537.1,5673.9,ok,1290981600,13875
30,5546.9,5602.6,5520.9,5602.6,ok,1291068000,12452
31,5673.7,5675.7,5525.8,5538.8,ok,1291154400,11001
32,5787.1,5788.6,5653.1,5669.7,ok,1291240800,11894
33,5768.8,5790.4,5723.3,5780.5,ok,1291327200,8753
34,5780.6,5791.6,5730.7,5756.8,ok,1291586400,8403
35,5799.3,5854.4,5770.5,5784.5,ok,1291672800,9309
36,5810.1,5831.2,5768.7,5794.8,ok,1291759200,8404
37,5817.9,5843.0,5800.4,5830.1,ok,1291845600,7654
38,5839.6,5845.1,5795.7,5816.8,ok,1291932000,6906
39,5852.9,5876.0,5829.1,5836.1,ok,1292191200,7296
40,5883.6,5902.7,5847.8,5856.3,ok,1292277600,6676
41,5878.9,5899.9,5857.5,5870.1,ok,1292364000,7460
42,5881.1,5908.8,5861.7,5863.8,ok,1292450400,6944
43,5882.8,5906.0,5858.4,5878.6,ok,1292536800,6563
44,5902.2,5917.9,5862.8,5874.4,ok,1292796000,6944
45,5950.1,5955.6,5894.6,5896.6,ok,1292882400,4925
46,5992.5,5997.5,5932.8,5946.5,ok,1292968800,4527
47,5998.1,6002.4,5979.2,5994.4,ok,1293055200,4295
48,5989.3,5998.9,5972.4,5972.9,ok,1293141600,565
49,5980.0,6015.9,5969.6,5975.3,ok,1293573600,4757
50,5966.0,6003.9,5948.0,5967.9,ok,1293660000,5142
51,5923.5,5978.4,5906.9,5954.9,ok,1293746400,2725
52,6015.7,6040.9,5938.6,5938.6,ok,1294092000,9416
53,6037.4,6040.9,5952.2,6005.1,ok,1294178400,9406
54,6007.8,6079.3,5983.3,6029.8,ok,1294264800,8716
55,5981.3,6010.6,5941.1,5999.2,ok,1294351200,10491
56,5967.5,5976.4,5925.5,5968.3,ok,1294610400,8724
