,c,h,l,o,s,t,v
0,124.949,125.356,124.588,125.325,ok,1287435600,3647
1,125.099,125.264,124.697,125.003,ok,1287522000,3491
2,125.37,125.806,124.982,125.093,ok,1287608400,4460
3,125.218,125.585,125.188,125.414,ok,1287694800,2447
4,125.518,125.701,125.15,125.15,ok,1287954000,2824
5,124.129,125.34,124.049,125.34,ok,1288040400,5405
6,123.224,123.972,122.883,123.972,ok,1288126800,5395
7,123.344,123.65,123.005,123.409,ok,1288213200,4083
8,124.107,124.188,123.418,123.559,ok,1288299600,3544
9,124.296,124.801,123.838,123.838,ok,1288558800,3814
10,124.315,124.669,124.219,124.28,ok,1288645200,2957
11,124.827,124.827,124.409,124.55,ok,1288731600,2141
12,125.198,125.38,124.116,124.68,ok,1288818000,4322
13,124.987,125.372,124.467,125.232,ok,1288904400,4902
14,124.552,125.21,124.533,125.15,ok,1289167200,2607
15,124.391,125.028,124.281,125.028,ok,1289253600,2975
16,123.075,124.384,122.887,124.144,ok,1289340000,7123
17,123.125,123.601,123.024,123.47,ok,1289426400,3963
18,122.732,123.731,122.502,123.48,ok,1289512800,6542
19,122.209,122.684,121.93,122.555,ok,1289772000,5158
20,121.978,122.582,121.781,122.052,ok,1289858400,5636
21,122.078,122.391,121.841,121.931,ok,1289944800,4131
22,120.813,121.88,120.692,121.66,ok,1290031200,5506
23,121.194,121.194,120.735,121.098,ok,1290117600,3335
24,121.493,121.605,120.885,121.086,ok,1290376800,2755
25,122.155,122.276,121.526,121.818,ok,1290463200,3741
26,121.472,122.68,121.293,121.888,ok,1290549600,5590
27,121.261,121.777,120.974,121.677,ok,1290636000,2933
28,121.361,121.926,121.202,121.356,ok,1290722400,3508
29,121.399,121.746,120.948,121.02,ok,1290981600,3899
30,122.501,122.562,121.503,121.544,ok,1291068000,5011
31,121.1,122.229,121.06,122.199,ok,1291154400,5538
32,120.854,121.181,120.584,120.93,ok,1291240800,4487
33,120.729,121.147,120.317,120.826,ok,1291327200,4517
34,120.781,121.119,120.712,120.756,ok,1291586400,2770
35,120.221,120.72,120.134,120.581,ok,1291672800,4284
36,119.418,120.02,119.359,119.667,ok,1291759200,4572
37,120.073,120.124,119.502,119.725,ok,1291845600,3770
38,119.686,120.207,119.62,120.086,ok,1291932000,3103
