,c,h,l,o,s,t,v
0,109.999,110.016,109.976,109.993,ok,1287435600,442
1,110.021,110.037,109.983,110.007,ok,1287522000,551
2,110.02,110.029,110.005,110.029,ok,1287608400,498
3,110.011,110.028,109.996,110.012,ok,1287694800,441
4,109.999,110.031,109.992,110.016,ok,1287954000,597
5,109.928,110.015,109.92,110.007,ok,1288040400,765
6,109.903,109.966,109.895,109.935,ok,1288126800,1027
7,110.019,110.019,109.903,109.911,ok,1288213200,866
8,110.08,110.08,109.971,110.011,ok,1288299600,1037
9,110.053,110.077,110.038,110.07,ok,1288558800,755
10,110.044,110.068,110.036,110.061,ok,1288645200,890
11,110.082,110.097,110.019,110.036,ok,1288731600,970
12,110.057,110.104,110.057,110.089,ok,1288818000,415
13,110.009,110.088,109.993,110.065,ok,1288904400,1125
14,109.95,110.029,109.927,109.998,ok,1289167200,923
15,109.879,109.996,109.847,109.942,ok,1289253600,1363
16,109.893,109.925,109.768,109.886,ok,1289340000,1212
17,109.735,109.908,109.689,109.885,ok,1289426400,692
18,109.726,109.852,109.703,109.751,ok,1289512800,1580
19,109.66,109.755,109.59,109.739,ok,1289772000,1061
20,109.713,109.737,109.652,109.652,ok,1289858400,1039
21,109.728,109.759,109.674,109.721,ok,1289944800,869
22,109.703,109.743,109.656,109.735,ok,1290031200,935
23,109.709,109.742,109.679,109.719,ok,1290117600,575
24,109.784,109.784,109.667,109.683,ok,1290376800,682
25,109.829,109.861,109.744,109.776,ok,1290463200,910
26,109.641,109.845,109.625,109.837,ok,1290549600,1258
27,109.702,109.718,109.633,109.648,ok,1290636000,262
28,109.693,109.756,109.646,109.71,ok,1290722400,720
29,109.712,109.744,109.65,109.69,ok,1290981600,611
30,109.812,109.835,109.656,109.672,ok,1291068000,916
31,109.615,109.804,109.607,109.796,ok,1291154400,1367
32,109.598,109.677,109.552,109.623,ok,1291240800,961
33,109.738,109.801,109.551,109.606,ok,1291327200,989
34,109.845,109.853,109.72,109.728,ok,1291586400,880
35,109.601,109.852,109.57,109.852,ok,1291672800,1205
36,109.366,109.632,109.35,109.625,ok,1291759200,1428
37,109.388,109.459,109.349,109.373,ok,1291845600,1187
38,109.371,109.443,109.348,109.404,ok,1291932000,755
39,109.47,109.47,109.244,109.377,ok,1292191200,1038
40,109.32,109.478,109.305,109.462,ok,1292277600,1060
41,109.264,109.398,109.257,109.312,ok,1292364000,914
42,109.318,109.342,109.225,109.272,ok,1292450400,984
43,109.427,109.45,109.302,109.326,ok,1292536800,678
44,109.424,109.494,109.385,109.409,ok,1292796000,514
45,109.407,109.454,109.36,109.416,ok,1292882400,836
46,109.359,109.454,109.343,109.399,ok,1292968800,475
47,109.319,109.382,109.288,109.367,ok,1293055200,647
48,109.369,109.377,109.182,109.308,ok,1293400800,665
49,109.243,109.392,109.22,109.338,ok,1293487200,766
50,109.461,109.485,109.243,109.259,ok,1293573600,773
51,109.429,109.461,109.351,109.453,ok,1293660000,663
