,c,h,l,o,s,t,v
0,2068.5,2086.8,2053.5,2062.8,ok,1287435600,14732
1,2091.0,2100.5,2064.5,2068.3,ok,1287522000,10253
2,2083.5,2106.5,2068.7,2090.8,ok,1287608400,11410
3,2106.4,2106.4,2079.2,2083.7,ok,1287694800,7937
4,2110.6,2127.1,2103.9,2105.9,ok,1287954000,8339
5,2119.6,2123.8,2094.3,2110.8,ok,1288040400,8808
6,2122.3,2126.8,2104.0,2120.1,ok,1288126800,9900
7,2131.8,2138.0,2111.0,2122.5,ok,1288213200,10169
8,2125.2,2137.2,2118.5,2131.5,ok,1288299600,8509
9,2129.9,2148.1,2116.9,2126.7,ok,1288558800,9665
10,2152.6,2155.3,2127.9,2129.4,ok,1288645200,7648
11,2167.1,2167.6,2131.6,2152.8,ok,1288731600,10941
12,2184.1,2192.3,2164.3,2167.3,ok,1288818000,9391
13,2186.0,2192.0,2178.3,2184.3,ok,1288904400,8719
14,2183.7,2190.7,2175.2,2181.9,ok,1289167200,7039
15,2175.9,2199.4,2165.6,2183.2,ok,1289253600,9171
16,2169.3,2188.6,2161.3,2176.1,ok,1289340000,10557
17,2173.3,2176.8,2143.5,2168.8,ok,1289426400,11098
18,2135.2,2175.5,2120.5,2173.5,ok,1289512800,13684
19,2125.9,2151.9,2123.9,2135.2,ok,1289772000,9599
20,2095.6,2126.6,2084.6,2126.1,ok,1289858400,12618
21,2097.3,2110.3,2089.0,2095.3,ok,1289944800,9753
22,2135.0,2147.8,2096.8,2097.0,ok,1290031200,9622
23,2134.7,2139.5,2120.7,2134.5,ok,1290117600,8197
24,2153.6,2156.1,2121.9,2139.9,ok,1290376800,11318
25,2115.6,2155.1,2105.6,2153.9,ok,1290463200,12532
26,2158.6,2166.3,2114.1,2116.3,ok,1290549600,9821
27,2162.3,2164.0,2153.8,2159.1,ok,1290636000,1517
28,2146.0,2163.0,2135.5,2162.5,ok,1290722400,6056
29,2145.1,2160.9,2118.6,2150.7,ok,1290981600,12155
30,2115.3,2148.1,2110.1,2145.4,ok,1291068000,12390
31,2159.8,2174.6,2111.6,2116.6,ok,1291154400,10631
32,2187.8,2189.3,2157.5,2159.5,ok,1291240800,10035
33,2188.7,2195.5,2168.5,2188.0,ok,1291327200,8331
34,2188.9,2194.2,2177.4,2188.4,ok,1291586400,6997
35,2188.6,2217.3,2185.9,2188.6,ok,1291672800,8712
36,2203.3,2203.3,2180.6,2188.3,ok,1291759200,8245
37,2198.8,2215.0,2194.0,2203.6,ok,1291845600,6804
38,2217.7,2218.5,2198.0,2198.5,ok,1291932000,3996
39,2211.6,2229.9,2206.9,2217.9,ok,1292191200,3097
40,2215.3,2221.1,2205.8,2211.1,ok,1292277600,2285
41,2204.3,2224.3,2197.0,2216.1,ok,1292364000,2707
42,2222.0,2225.8,2197.8,2203.5,ok,1292450400,1850
43,2213.7,2227.0,2212.7,2221.5,ok,1292536800,6126
44,2220.7,2230.5,2206.0,2216.5,ok,1292796000,7414
45,2232.2,2237.5,2219.7,2220.5,ok,1292882400,5040
46,2236.7,2238.7,2231.2,2232.5,ok,1292968800,4019
47,2231.7,2239.2,2224.2,2236.5,ok,1293055200,4103
48,2230.7,2234.2,2207.7,2227.7,ok,1293400800,5807
49,2226.4,2236.9,2221.7,2230.4,ok,1293487200,3833
50,2229.9,2235.9,2224.7,2226.2,ok,1293573600,3435
51,2225.2,2233.2,2221.9,2229.7,ok,1293660000,3748
52,2224.4,2229.4,2208.2,2224.9,ok,1293746400,3763
53,2251.2,2268.2,2219.7,2220.4,ok,1294005600,8705
54,2247.7,2262.9,2237.2,2251.7,ok,1294092000,7885
55,2269.9,2272.2,2229.9,2246.9,ok,1294178400,8652
56,2277.1,2279.7,2267.6,2270.2,ok,1294264800,7201
57,2273.4,2282.6,2252.9,2276.9,ok,1294351200,10375
58,2282.4,2287.4,2261.4,2272.6,ok,1294610400,8237
59,2284.9,2295.4,2278.6,2282.1,ok,1294696800,7772
60,2303.9,2307.1,2284.4,2284.6,ok,1294783200,7081
61,2308.4,2309.9,2297.1,2303.6,ok,1294869600,6923
62,2322.1,2323.4,2297.8,2308.1,ok,1294956000,7283
63,2292.1,2325.3,2287.3,2321.6,ok,1295215200,2791
64,2336.1,2346.6,2292.6,2292.6,ok,1295301600,9734
65,2294.6,2338.8,2293.3,2335.8,ok,1295388000,10341
66,2286.6,2299.3,2267.6,2294.8,ok,1295474400,11623
67,2268.6,2300.6,2266.1,2286.3,ok,1295560800,9083
68,2296.0,2301.1,2265.1,2269.1,ok,1295820000,9235
69,2299.5,2302.5,2282.5,2296.3,ok,1295906400,9344
70,2318.0,2320.3,2298.5,2299.3,ok,1295992800,8500
71,2321.8,2334.8,2313.5,2317.8,ok,1296079200,8670
72,2267.0,2331.3,2258.3,2322.3,ok,1296165600,13148
73,2282.3,2286.3,2250.8,2265.8,ok,1296424800,11654
74,2321.0,2328.5,2281.5,2282.0,ok,1296511200,9608
75,2320.0,2328.0,2312.8,2321.3,ok,1296597600,7264
76,2323.2,2326.5,2296.2,2319.8,ok,1296684000,8548
77,2336.7,2338.5,2316.7,2323.0,ok,1296770400,7845
78,2342.2,2359.7,2334.7,2338.0,ok,1297029600,7702
79,2362.7,2364.0,2341.7,2342.0,ok,1297116000,7130
80,2356.0,2365.7,2350.7,2363.0,ok,1297202400,8104
81,2355.2,2365.2,2338.5,2356.2,ok,1297288800,10322
82,2377.9,2380.7,2347.9,2355.4,ok,1297375200,8040
83,2378.9,2387.7,2375.7,2376.4,ok,1297634400,6360
84,2380.7,2385.7,2370.9,2378.7,ok,1297720800,6840
85,2391.7,2403.2,2380.4,2380.9,ok,1297807200,7888
86,2394.4,2400.9,2383.7,2392.4,ok,1297893600,7154
87,2395.4,2400.7,2382.2,2394.7,ok,1297980000,7084
88,2368.6,2393.9,2366.1,2393.7,ok,1298239200,2115
89,2322.6,2369.4,2315.9,2368.4,ok,1298325600,13668
90,2305.1,2334.6,2285.1,2322.9,ok,1298412000,13453
91,2307.1,2321.1,2280.9,2304.9,ok,1298498400,14282
92,2345.4,2350.1,2306.6,2306.9,ok,1298584800,9322
93,2352.1,2363.1,2336.8,2345.3,ok,1298844000,9884
94,2306.8,2371.8,2305.8,2353.1,ok,1298930400,13224
95,2322.6,2341.1,2302.3,2306.6,ok,1299016800,13042
96,2372.3,2376.1,2321.3,2322.8,ok,1299103200,10613
97,2361.1,2378.8,2344.3,2372.8,ok,1299189600,11808
98,2325.3,2373.8,2306.6,2360.3,ok,1299448800,13913
99,2332.8,2347.8,2310.6,2325.6,ok,1299535200,11641
100,2312.8,2340.3,2308.6,2332.6,ok,1299621600,12921
101,2284.5,2315.5,2275.5,2313.1,ok,1299708000,12204
102,2305.0,2306.3,2265.0,2284.8,ok,1299794400,8515
103,2292.8,2303.3,2274.3,2296.5,ok,1300050000,6435
104,2249.8,2295.5,2216.8,2293.0,ok,1300136400,6209
105,2212.8,2263.5,2188.5,2249.5,ok,1300222800,6129
106,2225.0,2248.0,2188.8,2206.0,ok,1300309200,2959
107,2222.0,2255.8,2217.0,2226.3,ok,1300395600,13807
108,2257.2,2273.5,2220.9,2224.9,ok,1300654800,10397
109,2258.7,2266.2,2251.4,2257.7,ok,1300741200,9021
110,2266.7,2276.4,2233.9,2258.9,ok,1300827600,11079
111,2308.9,2315.4,2264.4,2266.9,ok,1300914000,10731
112,2318.9,2331.9,2308.7,2308.7,ok,1301000400,9705
113,2299.8,2330.1,2296.8,2318.1,ok,1301259600,8516
114,2325.8,2329.1,2291.3,2300.1,ok,1301346000,9068
115,2336.3,2344.6,2322.1,2326.1,ok,1301432400,8159
116,2339.8,2343.3,2329.3,2336.6,ok,1301518800,7537
117,2339.5,2359.5,2335.0,2339.0,ok,1301605200,8932
118,2343.2,2351.5,2323.7,2339.0,ok,1301864400,8105
119,2325.4,2344.7,2319.9,2342.9,ok,1301950800,9436
120,2326.4,2351.7,2318.9,2325.7,ok,1302037200,9474
121,2331.9,2345.9,2313.6,2326.1,ok,1302123600,10599
122,2321.3,2344.4,2306.6,2332.1,ok,1302210000,8684
123,2307.0,2334.8,2303.5,2324.3,ok,1302469200,9626
124,2295.7,2307.8,2286.5,2307.5,ok,1302555600,10814
125,2309.7,2321.0,2294.7,2295.5,ok,1302642000,10509
126,2302.7,2313.4,2289.2,2309.5,ok,1302728400,10574
127,2311.4,2315.2,2290.9,2303.2,ok,1302814800,8780
128,2289.1,2311.4,2251.8,2309.4,ok,1303074000,12645
129,2318.3,2321.1,2279.1,2288.8,ok,1303160400,9304
130,2373.6,2374.3,2317.1,2318.6,ok,1303246800,10688
131,2374.8,2383.8,2368.1,2373.1,ok,1303333200,8295
132,2380.0,2383.5,2373.0,2374.2,ok,1303678800,4899
133,2392.5,2403.2,2374.0,2379.7,ok,1303765200,8010
134,2409.4,2413.9,2388.4,2392.2,ok,1303851600,7726
135,2401.7,2416.9,2397.4,2409.7,ok,1303938000,7673
136,2408.4,2413.7,2398.7,2401.9,ok,1304024400,6008
137,2402.6,2428.3,2394.8,2409.1,ok,1304283600,8943
138,2388.0,2404.1,2375.0,2402.3,ok,1304370000,9150
139,2386.8,2397.0,2365.8,2388.3,ok,1304456400,10930
140,2379.0,2400.8,2364.5,2387.0,ok,1304542800,12429
141,2374.2,2410.5,2373.7,2378.7,ok,1304629200,12713
142,2389.4,2398.7,2374.9,2378.9,ok,1304888400,9352
143,2409.9,2412.9,2383.6,2389.7,ok,1304974800,8572
144,2383.3,2416.1,2375.1,2409.6,ok,1305061200,10909
145,2407.8,2409.8,2370.3,2383.8,ok,1305147600,11191
146,2371.8,2415.1,2369.8,2407.3,ok,1305234000,11026
147,2328.7,2373.5,2327.0,2366.8,ok,1305493200,12297
148,2343.4,2346.5,2318.9,2329.2,ok,1305579600,12408
149,2365.2,2365.7,2334.2,2343.9,ok,1305666000,8925
150,2368.4,2373.9,2354.2,2365.4,ok,1305752400,9134
151,2345.1,2373.4,2343.4,2368.7,ok,1305838800,9181
152,2315.8,2343.3,2305.1,2342.1,ok,1306098000,10561
153,2300.0,2324.5,2297.0,2315.3,ok,1306184400,9281
154,2309.3,2321.3,2281.5,2299.8,ok,1306270800,9778
155,2327.7,2331.5,2303.2,2309.5,ok,1306357200,9265
156,2332.7,2339.0,2322.7,2328.0,ok,1306443600,6546
157,2333.4,2337.9,2331.2,2331.7,ok,1306702800,897
158,2375.1,2378.1,2334.6,2334.6,ok,1306789200,8451
159,2320.3,2381.1,2318.3,2375.4,ok,1306875600,11489
160,2327.8,2335.8,2314.3,2320.1,ok,1306962000,11505
161,2287.3,2328.1,2286.8,2328.1,ok,1307048400,10903
162,2273.2,2299.2,2271.5,2288.8,ok,1307307600,10329
163,2275.2,2288.5,2268.2,2272.7,ok,1307394000,9163
164,2246.2,2278.2,2245.7,2275.4,ok,1307480400,10702
165,2252.7,2267.7,2246.2,2246.4,ok,1307566800,7850
166,2222.6,2255.7,2218.6,2252.4,ok,1307653200,7587
167,2223.6,2234.1,2214.6,2217.1,ok,1307912400,3780
168,2248.8,2256.3,2220.3,2223.8,ok,1307998800,2671
169,2209.0,2250.0,2204.3,2250.0,ok,1308085200,3111
170,2201.8,2217.5,2181.0,2210.8,ok,1308171600,2007
171,2194.2,2222.3,2185.9,2200.5,ok,1308258000,11141
172,2204.8,2210.4,2177.3,2192.9,ok,1308517200,8765
173,2246.6,2253.1,2201.3,2204.6,ok,1308603600,9555
