,c,h,l,o,s,t,v
0,1167.7,1183.1,1160.5,1177.4,ok,1287435600,19110
1,1181.5,1184.7,1165.5,1168.0,ok,1287522000,16810
2,1179.9,1191.2,1172.3,1181.2,ok,1287608400,17527
3,1186.3,1186.3,1178.1,1180.1,ok,1287694800,10806
4,1186.8,1197.6,1185.1,1185.4,ok,1287954000,14456
5,1187.7,1188.8,1178.7,1187.1,ok,1288040400,14151
6,1182.4,1190.7,1172.1,1188.0,ok,1288126800,16784
7,1184.0,1191.3,1177.8,1182.1,ok,1288213200,15258
8,1184.7,1186.7,1176.2,1184.3,ok,1288299600,13248
9,1186.2,1196.8,1177.7,1184.5,ok,1288558800,15535
10,1196.9,1197.4,1184.7,1186.5,ok,1288645200,13053
11,1200.8,1201.8,1183.5,1196.7,ok,1288731600,15586
12,1221.3,1222.6,1199.0,1200.6,ok,1288818000,16879
13,1225.7,1228.3,1216.2,1221.5,ok,1288904400,15897
14,1221.7,1225.8,1218.2,1224.0,ok,1289167200,12834
15,1213.8,1228.2,1209.6,1221.9,ok,1289253600,15937
16,1213.5,1220.3,1205.0,1213.6,ok,1289340000,16417
17,1213.4,1216.5,1205.2,1213.2,ok,1289426400,15086
18,1197.5,1214.9,1194.5,1213.7,ok,1289512800,19919
19,1197.3,1208.6,1195.3,1198.3,ok,1289772000,15615
20,1178.6,1197.5,1173.6,1197.5,ok,1289858400,20135
21,1179.8,1184.6,1176.1,1178.9,ok,1289944800,15224
22,1199.3,1201.5,1179.5,1179.5,ok,1290031200,16158
23,1200.9,1202.4,1189.9,1199.5,ok,1290117600,14445
24,1198.9,1208.3,1184.7,1205.0,ok,1290376800,17674
25,1178.8,1199.9,1176.8,1198.7,ok,1290463200,18604
26,1197.2,1199.5,1177.5,1179.0,ok,1290549600,15879
27,1201.9,1202.4,1194.7,1197.0,ok,1290636000,2761
28,1185.0,1201.7,1184.3,1201.7,ok,1290722400,11102
29,1188.5,1195.3,1173.8,1190.1,ok,1290981600,18620
30,1179.2,1189.8,1174.5,1188.8,ok,1291068000,18610
31,1205.9,1209.2,1177.7,1179.9,ok,1291154400,17664
32,1223.6,1224.6,1203.3,1205.6,ok,1291240800,17287
33,1224.7,1228.5,1214.2,1223.3,ok,1291327200,15085
34,1222.2,1227.8,1217.2,1224.3,ok,1291586400,11458
35,1222.4,1235.9,1219.9,1222.5,ok,1291672800,15339
36,1230.8,1231.0,1218.1,1222.6,ok,1291759200,15468
37,1232.7,1238.7,1227.2,1231.0,ok,1291845600,11730
38,1241.4,1242.1,1232.7,1232.9,ok,1291932000,7044
39,1241.6,1247.3,1237.7,1242.4,ok,1292191200,4776
40,1241.7,1247.5,1238.3,1241.3,ok,1292277600,3376
41,1238.7,1244.4,1234.2,1242.0,ok,1292364000,3473
42,1244.3,1244.6,1232.8,1238.2,ok,1292450400,2626
43,1242.7,1245.8,1239.5,1244.1,ok,1292536800,8903
44,1246.1,1250.4,1238.6,1244.6,ok,1292796000,11807
45,1254.8,1255.8,1245.6,1245.8,ok,1292882400,8968
46,1259.0,1259.5,1253.5,1254.6,ok,1292968800,8182
47,1257.2,1260.3,1253.7,1258.8,ok,1293055200,7223
48,1257.5,1258.5,1249.8,1253.8,ok,1293400800,7591
49,1257.7,1260.8,1255.7,1257.8,ok,1293487200,6530
50,1260.2,1262.7,1257.5,1258.0,ok,1293573600,7029
51,1258.6,1261.7,1255.6,1260.4,ok,1293660000,8361
52,1261.8,1261.8,1253.6,1258.9,ok,1293746400,6527
53,1269.4,1276.2,1259.2,1260.0,ok,1294005600,12827
54,1269.4,1273.9,1262.1,1269.2,ok,1294092000,14284
55,1275.1,1277.6,1259.6,1269.1,ok,1294178400,14994
56,1273.5,1280.8,1270.0,1274.8,ok,1294264800,14208
57,1271.0,1277.8,1261.5,1273.3,ok,1294351200,15509
58,1268.8,1271.6,1261.5,1269.9,ok,1294610400,12816
59,1273.0,1277.3,1267.5,1268.6,ok,1294696800,12976
60,1286.3,1287.8,1272.8,1273.3,ok,1294783200,12656
61,1285.7,1288.0,1279.7,1286.0,ok,1294869600,12441
62,1293.4,1293.4,1277.6,1285.9,ok,1294956000,12527
63,1288.8,1294.8,1286.0,1292.8,ok,1295215200,3597
64,1296.7,1299.5,1287.2,1288.7,ok,1295301600,12439
65,1281.4,1299.4,1278.3,1296.5,ok,1295388000,15134
66,1280.8,1284.6,1270.5,1281.1,ok,1295474400,16970
