,c,h,l,o,s,t,v
0,133.102,133.449,131.943,132.547,ok,1287435600,2891
1,133.247,133.69,132.591,133.133,ok,1287522000,2751
2,132.356,133.588,132.262,133.278,ok,1287608400,2944
3,132.469,132.757,131.908,132.386,ok,1287694800,2634
4,132.685,133.506,132.445,132.445,ok,1287954000,2676
5,131.228,132.9,131.166,132.653,ok,1288040400,3535
6,130.369,131.384,130.243,131.259,ok,1288126800,3690
7,130.797,131.175,130.204,130.337,ok,1288213200,3673
8,131.696,131.731,130.639,130.827,ok,1288299600,3226
9,131.346,132.481,131.035,131.577,ok,1288558800,3286
10,132.276,132.371,131.186,131.314,ok,1288645200,2178
11,131.417,133.584,130.476,132.244,ok,1288731600,8536
12,131.97,132.758,130.814,131.385,ok,1288818000,4793
13,131.205,132.183,130.488,132.032,ok,1288904400,4796
14,131.044,131.738,130.795,131.181,ok,1289167200,2600
15,129.244,131.508,129.182,131.012,ok,1289253600,4597
16,129.484,129.646,127.917,129.306,ok,1289340000,6395
17,129.472,129.702,128.976,129.514,ok,1289426400,2086
18,128.143,130.314,128.049,129.503,ok,1289512800,4963
19,125.946,128.308,125.883,128.245,ok,1289772000,5088
20,127.972,128.161,125.913,125.976,ok,1289858400,5669
21,127.302,128.308,127.021,127.94,ok,1289944800,4044
22,126.915,127.458,126.103,127.27,ok,1290031200,4010
23,127.656,127.813,126.906,126.945,ok,1290117600,2891
24,128.311,128.752,127.253,127.507,ok,1290376800,3124
25,128.738,129.43,128.153,128.279,ok,1290463200,2917
26,126.909,128.952,126.629,128.706,ok,1290549600,4343
27,127.213,127.841,126.653,126.971,ok,1290636000,1098
28,127.797,128.018,127.051,127.242,ok,1290722400,2051
29,128.481,128.578,127.328,127.646,ok,1290981600,2739
30,128.617,129.507,128.219,128.219,ok,1291068000,3300
31,126.359,128.676,126.014,128.585,ok,1291154400,4648
32,126.093,126.728,125.687,126.39,ok,1291240800,3900
33,125.669,127.127,125.386,126.124,ok,1291327200,5080
34,126.736,126.831,125.642,125.642,ok,1291586400,2566
35,124.258,126.735,123.627,126.703,ok,1291672800,4224
36,122.792,124.352,122.162,124.32,ok,1291759200,6317
37,123.6,123.95,122.656,122.886,ok,1291845600,4796
38,122.608,123.912,122.451,123.568,ok,1291932000,2821
39,123.202,123.551,121.849,122.614,ok,1292191200,3418
40,120.789,123.39,120.569,123.232,ok,1292277600,5408
41,120.208,121.602,119.862,120.757,ok,1292364000,4649
42,121.174,121.238,119.883,120.271,ok,1292450400,4247
43,122.424,122.835,121.074,121.205,ok,1292536800,3454
44,122.102,123.241,121.567,122.398,ok,1292796000,3235
45,122.499,122.599,121.586,122.164,ok,1292882400,2517
46,121.887,122.743,121.7,122.467,ok,1292968800,2089
47,121.717,122.069,121.372,121.823,ok,1293055200,1691
48,122.454,122.549,120.757,121.52,ok,1293400800,1996
49,120.55,122.701,120.236,122.422,ok,1293487200,2941
50,122.145,122.555,120.384,120.612,ok,1293573600,2661
51,122.038,122.33,121.441,122.113,ok,1293660000,2221
52,123.161,123.256,122.068,122.1,ok,1293746400,1464
53,122.554,123.07,121.455,123.07,ok,1294005600,3824
54,122.509,123.016,122.073,122.521,ok,1294092000,3003
55,120.575,123.132,120.198,122.477,ok,1294178400,5428
56,121.287,121.415,120.412,120.606,ok,1294264800,3173
57,121.904,122.347,120.554,121.255,ok,1294351200,5125
58,122.37,122.562,121.589,122.067,ok,1294610400,2269
59,121.822,122.458,121.164,122.337,ok,1294696800,3063
60,121.431,122.007,120.899,121.852,ok,1294783200,3209
61,122.268,122.617,121.108,121.399,ok,1294869600,5349
62,121.847,122.92,121.722,122.236,ok,1294956000,3123
63,122.157,122.567,121.533,121.789,ok,1295215200,914
64,121.167,122.492,120.509,122.28,ok,1295301600,4274
65,121.752,121.88,120.94,121.197,ok,1295388000,2780
66,120.324,122.219,120.042,121.719,ok,1295474400,4135
67,120.94,121.066,120.095,120.354,ok,1295560800,3069
68,121.091,121.439,120.501,120.914,ok,1295820000,2139
69,122.21,122.526,120.767,121.059,ok,1295906400,4189
70,120.94,122.209,120.627,122.177,ok,1295992800,4169
71,121.273,121.462,120.272,120.97,ok,1296079200,3186
72,122.046,122.33,120.322,121.241,ok,1296165600,4252
73,121.348,122.365,120.91,122.145,ok,1296424800,3318
74,120.581,121.41,120.145,121.378,ok,1296511200,2864
75,120.318,121.296,119.848,120.549,ok,1296597600,3413
76,119.583,120.5,119.458,120.348,ok,1296684000,3577
77,118.597,120.14,118.285,119.613,ok,1296770400,5107
78,118.717,118.718,117.967,118.477,ok,1297029600,2902
79,117.7,118.832,117.606,118.684,ok,1297116000,2416
80,118.629,119.07,117.321,117.73,ok,1297202400,3665
81,118.146,118.906,117.802,118.503,ok,1297288800,3039
82,119.044,119.361,118.145,118.208,ok,1297375200,3196
83,119.289,119.604,118.603,118.924,ok,1297634400,2457
84,119.496,119.625,118.904,119.225,ok,1297720800,2283
85,119.264,120.05,118.986,119.464,ok,1297807200,3902
86,119.753,120.195,119.231,119.326,ok,1297893600,2869
87,119.741,119.872,119.086,119.721,ok,1297980000,2562
88,120.05,120.333,119.495,119.527,ok,1298239200,912
89,121.164,121.385,120.015,120.235,ok,1298325600,4214
90,121.276,121.844,120.842,121.1,ok,1298412000,3339
91,121.765,122.206,121.15,121.213,ok,1298498400,2742
92,122.222,122.254,121.381,121.733,ok,1298584800,1948
93,121.735,122.126,121.611,121.906,ok,1298844000,2326
94,122.069,122.196,120.966,121.639,ok,1298930400,3280
95,120.916,122.349,120.79,122.037,ok,1299016800,2937
96,120.08,121.1,119.796,120.947,ok,1299103200,3228
97,120.667,120.923,119.628,120.047,ok,1299189600,3771
98,120.31,120.945,119.84,120.576,ok,1299448800,2906
99,119.854,120.618,119.791,120.341,ok,1299535200,1968
100,120.694,121.075,119.757,119.884,ok,1299621600,2802
101,122.229,122.261,120.527,120.661,ok,1299708000,3778
102,121.488,122.54,121.428,122.165,ok,1299794400,3502
103,121.922,122.178,121.106,121.745,ok,1300050000,2886
104,122.824,123.813,121.857,121.952,ok,1300136400,5033
105,124.074,125.057,122.376,123.013,ok,1300222800,6506
106,123.081,124.579,122.769,124.389,ok,1300309200,4308
107,123.13,123.332,122.029,123.111,ok,1300395600,4120
108,122.646,123.196,122.05,123.133,ok,1300654800,3113
109,122.79,122.924,122.195,122.677,ok,1300741200,2037
110,122.492,123.507,122.431,122.821,ok,1300827600,3089
111,121.847,122.801,121.784,122.523,ok,1300914000,2191
112,121.517,122.343,121.266,121.814,ok,1301000400,2512
113,121.57,121.794,120.946,121.426,ok,1301259600,2822
114,120.894,121.788,120.738,121.601,ok,1301346000,2650
115,121.606,121.606,120.732,120.925,ok,1301432400,2096
116,121.214,122.101,120.839,121.542,ok,1301518800,3986
117,121.547,121.611,120.448,121.181,ok,1301605200,3569
118,121.6,121.919,121.07,121.487,ok,1301864400,1857
119,120.987,121.938,120.705,121.536,ok,1301950800,3091
120,119.902,121.075,119.808,120.955,ok,1302037200,2994
121,119.699,120.175,119.451,119.933,ok,1302123600,3739
122,119.308,119.761,118.871,119.667,ok,1302210000,2405
123,119.204,119.584,118.838,119.248,ok,1302469200,2071
124,120.261,120.673,119.14,119.172,ok,1302555600,2842
125,120.752,120.816,119.654,120.292,ok,1302642000,2913
126,120.455,121.278,120.393,120.688,ok,1302728400,3362
127,121.637,121.859,120.422,120.422,ok,1302814800,3172
128,121.942,122.258,120.781,121.672,ok,1303074000,5307
129,122.275,122.435,121.493,121.91,ok,1303160400,2251
130,121.726,122.274,121.663,122.242,ok,1303246800,1880
