,c,h,l,o,s,t,v
0,10993.6,11121.7,10920.3,11058.0,ok,1287435600,12718
1,11132.4,11159.6,10961.3,10990.6,ok,1287522000,9380
2,11134.4,11222.1,11071.2,11134.4,ok,1287608400,10675
3,11147.5,11179.9,11116.4,11135.4,ok,1287694800,6638
4,11166.5,11254.2,11140.3,11147.4,ok,1287954000,8207
5,11180.5,11187.6,11089.4,11165.5,ok,1288040400,7927
6,11116.2,11201.5,11020.9,11179.5,ok,1288126800,9377
7,11105.2,11184.9,11052.1,11118.2,ok,1288213200,8557
8,11125.3,11131.6,11045.4,11102.1,ok,1288299600,7571
9,11127.2,11243.0,11055.0,11115.1,ok,1288558800,9072
10,11200.5,11215.9,11120.1,11130.3,ok,1288645200,6725
11,11217.6,11230.7,11094.2,11197.5,ok,1288731600,9740
12,11424.4,11439.5,11208.2,11218.6,ok,1288818000,8632
13,11420.3,11469.9,11390.6,11423.4,ok,1288904400,7491
14,11393.1,11426.1,11361.3,11411.1,ok,1289167200,6322
15,11345.9,11439.6,11305.8,11388.0,ok,1289253600,8226
16,11311.7,11373.6,11258.8,11344.9,ok,1289340000,9139
17,11278.6,11343.4,11232.8,11309.7,ok,1289426400,8573
18,11183.3,11287.6,11141.7,11279.6,ok,1289512800,11591
19,11192.3,11278.6,11155.7,11184.2,ok,1289772000,8258
20,11023.8,11194.2,10978.7,11190.2,ok,1289858400,11415
21,11023.8,11057.3,10998.8,11025.8,ok,1289944800,7717
22,11197.2,11209.5,11021.7,11024.8,ok,1290031200,7255
23,11204.2,11220.3,11123.3,11198.2,ok,1290117600,6875
24,11182.1,11270.2,11057.0,11255.3,ok,1290376800,8606
25,11023.8,11188.1,10992.9,11179.1,ok,1290463200,10053
26,11170.0,11197.2,11008.3,11018.7,ok,1290549600,8311
27,11208.3,11211.4,11146.6,11169.0,ok,1290636000,1524
28,11051.0,11205.1,11050.0,11205.1,ok,1290722400,5419
29,11059.8,11132.5,10933.9,11073.8,ok,1290981600,10486
30,11004.7,11072.0,10948.9,11061.8,ok,1291068000,10694
31,11251.1,11284.2,10989.6,11003.7,ok,1291154400,9386
32,11377.2,11381.3,11226.3,11247.0,ok,1291240800,8432
33,11374.2,11413.6,11300.4,11375.2,ok,1291327200,7512
34,11358.0,11402.0,11326.5,11375.1,ok,1291586400,6021
35,11353.0,11458.4,11340.9,11357.0,ok,1291672800,8098
36,11389.0,11394.3,11297.6,11352.0,ok,1291759200,7144
37,11366.0,11450.6,11336.1,11387.0,ok,1291845600,6068
38,11420.0,11420.0,11361.2,11366.0,ok,1291932000,2906
39,11431.9,11483.0,11386.8,11415.8,ok,1292191200,1818
40,11482.8,11516.9,11415.5,11433.8,ok,1292277600,1701
41,11489.8,11522.0,11434.3,11487.8,ok,1292364000,1592
42,11498.7,11514.9,11410.0,11486.7,ok,1292450400,1111
43,11495.8,11509.0,11454.7,11499.7,ok,1292536800,3567
44,11467.4,11536.1,11441.5,11507.3,ok,1292796000,5092
45,11532.1,11550.2,11465.4,11466.4,ok,1292882400,3855
46,11556.5,11569.7,11520.8,11530.0,ok,1292968800,3060
47,11581.9,11584.9,11540.7,11555.5,ok,1293055200,2831
48,11558.9,11564.9,11511.8,11558.5,ok,1293400800,2803
49,11566.1,11588.6,11535.2,11557.8,ok,1293487200,2485
50,11592.6,11621.8,11559.1,11562.1,ok,1293573600,2653
51,11576.8,11603.3,11547.8,11588.5,ok,1293660000,3205
52,11609.2,11614.2,11523.0,11575.7,ok,1293746400,2601
53,11647.2,11705.6,11598.6,11601.6,ok,1294005600,4803
54,11674.5,11690.9,11629.5,11646.2,ok,1294092000,5585
55,11711.0,11736.2,11596.8,11673.5,ok,1294178400,6711
56,11693.2,11760.8,11666.2,11712.0,ok,1294264800,5819
57,11666.3,11726.8,11597.1,11694.2,ok,1294351200,8080
58,11633.0,11677.8,11568.9,11663.8,ok,1294610400,6700
59,11659.4,11700.7,11623.8,11631.0,ok,1294696800,5945
60,11751.0,11778.2,11656.3,11657.3,ok,1294783200,5826
61,11740.2,11763.6,11693.0,11750.0,ok,1294869600,5708
62,11776.6,11786.7,11673.5,11742.2,ok,1294956000,5943
63,11756.5,11789.1,11732.5,11774.1,ok,1295215200,1476
64,11850.9,11874.0,11744.2,11756.3,ok,1295301600,5702
65,11823.1,11878.8,11792.0,11848.9,ok,1295388000,6920
66,11826.3,11844.0,11736.2,11822.1,ok,1295474400,8549
67,11867.8,11898.0,11787.0,11827.3,ok,1295560800,6789
68,11961.8,11980.9,11846.1,11854.2,ok,1295820000,6643
69,11955.0,11990.6,11890.9,11964.8,ok,1295906400,7692
70,11974.3,12009.6,11949.9,11956.0,ok,1295992800,6946
71,11971.6,12008.9,11949.9,11972.3,ok,1296079200,6399
72,11798.3,12002.2,11790.3,11968.5,ok,1296165600,9495
