,c,h,l,o,s,t,v
0,127.399,127.65,126.852,127.217,ok,1287435600,4783
1,127.407,127.675,127.127,127.414,ok,1287522000,4150
2,126.961,127.498,126.914,127.422,ok,1287608400,3839
3,126.875,127.145,126.736,126.976,ok,1287694800,3239
4,126.728,127.373,126.697,126.86,ok,1287954000,4681
5,126.063,126.851,126.032,126.743,ok,1288040400,4890
6,125.507,126.171,125.444,126.078,ok,1288126800,6337
7,126.236,126.394,125.459,125.491,ok,1288213200,5745
8,126.778,126.794,126.169,126.252,ok,1288299600,5024
9,126.646,127.041,126.444,126.653,ok,1288558800,4770
10,126.89,126.97,126.55,126.615,ok,1288645200,3893
11,127.321,127.416,126.476,126.874,ok,1288731600,10917
12,128.051,128.381,127.352,127.368,ok,1288818000,7511
13,127.777,128.235,127.404,128.097,ok,1288904400,7075
14,127.739,127.98,127.631,127.809,ok,1289167200,3207
15,126.808,127.987,126.714,127.754,ok,1289253600,6858
16,127.302,127.333,126.175,126.839,ok,1289340000,8580
17,126.981,127.536,126.716,127.317,ok,1289426400,3456
18,126.05,127.448,125.864,127.012,ok,1289512800,8513
19,124.761,126.208,124.729,126.161,ok,1289772000,9219
20,125.27,125.382,124.536,124.791,ok,1289858400,10389
21,125.06,125.563,124.903,125.254,ok,1289944800,7107
22,124.739,125.122,124.287,125.043,ok,1290031200,6410
23,124.685,125.051,124.547,124.755,ok,1290117600,4073
24,125.368,125.447,124.418,124.577,ok,1290376800,4674
25,125.533,126.07,125.289,125.321,ok,1290463200,6217
26,124.509,125.734,124.338,125.486,ok,1290549600,8025
27,124.519,124.755,124.24,124.524,ok,1290636000,1625
28,124.778,125.029,124.327,124.533,ok,1290722400,3970
29,125.006,125.133,124.465,124.668,ok,1290981600,4006
30,124.993,125.499,124.781,124.844,ok,1291068000,5764
31,123.694,125.069,123.459,125.009,ok,1291154400,8260
32,123.371,123.892,123.154,123.709,ok,1291240800,6902
33,123.567,124.357,122.957,123.386,ok,1291327200,9485
34,124.219,124.251,123.598,123.613,ok,1291586400,4077
35,122.433,124.187,122.15,124.187,ok,1291672800,7920
36,121.418,122.511,120.963,122.464,ok,1291759200,10715
37,121.63,122.088,121.27,121.48,ok,1291845600,8499
38,120.82,121.973,120.725,121.661,ok,1291932000,5054
39,121.487,121.599,120.139,120.803,ok,1292191200,7493
40,119.907,121.55,119.781,121.503,ok,1292277600,10278
41,119.568,120.64,119.412,119.875,ok,1292364000,8602
42,120.315,120.347,119.295,119.615,ok,1292450400,7817
43,121.03,121.188,120.173,120.346,ok,1292536800,5605
44,120.912,121.558,120.661,120.982,ok,1292796000,5676
45,121.124,121.221,120.591,120.88,ok,1292882400,4740
46,120.66,121.165,120.519,121.107,ok,1292968800,4284
47,120.212,120.768,120.166,120.612,ok,1293055200,3585
48,120.714,120.777,119.68,120.187,ok,1293400800,3501
49,119.669,121.056,119.559,120.682,ok,1293487200,4489
50,120.839,121.028,119.616,119.684,ok,1293573600,4845
51,120.611,120.946,120.235,120.791,ok,1293660000,3995
52,120.997,121.138,120.59,120.658,ok,1293746400,2310
53,120.924,120.963,120.094,120.932,ok,1294005600,5458
54,120.995,121.295,120.621,120.892,ok,1294092000,5409
55,119.982,121.336,119.747,120.978,ok,1294178400,8733
56,120.57,120.603,119.931,119.997,ok,1294264800,5315
57,121.237,121.49,120.125,120.554,ok,1294351200,8580
58,121.558,121.59,121.187,121.346,ok,1294610400,4698
59,121.111,121.696,120.956,121.542,ok,1294696800,5047
60,121.024,121.219,120.571,121.126,ok,1294783200,5208
61,121.613,121.755,120.909,121.055,ok,1294869600,6726
62,121.432,122.031,121.325,121.596,ok,1294956000,6398
63,121.644,121.82,121.319,121.415,ok,1295215200,1146
64,121.054,121.747,120.711,121.658,ok,1295301600,6544
65,121.219,121.361,120.83,121.069,ok,1295388000,4191
66,120.316,121.452,120.176,121.234,ok,1295474400,6982
67,120.669,120.732,120.169,120.347,ok,1295560800,4385
68,120.723,120.928,120.367,120.621,ok,1295820000,3294
69,121.264,121.5,120.56,120.707,ok,1295906400,5826
70,120.785,121.279,120.598,121.279,ok,1295992800,5901
71,121.028,121.17,120.31,120.801,ok,1296079200,6935
72,121.6,121.743,120.615,121.012,ok,1296165600,7089
73,121.247,121.866,121.013,121.725,ok,1296424800,5567
74,120.721,121.278,120.457,121.231,ok,1296511200,5263
75,120.321,121.092,120.087,120.737,ok,1296597600,5994
76,119.718,120.366,119.579,120.29,ok,1296684000,6182
77,119.067,120.073,118.755,119.733,ok,1296770400,9715
78,118.996,119.05,118.562,118.957,ok,1297029600,4299
79,118.174,119.071,118.142,118.98,ok,1297116000,4982
80,118.777,119.013,118.015,118.204,ok,1297202400,6684
81,118.487,119.024,118.331,118.729,ok,1297288800,6313
82,118.839,119.233,118.47,118.518,ok,1297375200,5526
83,118.815,119.051,118.583,118.76,ok,1297634400,3612
84,118.98,119.06,118.497,118.783,ok,1297720800,4532
85,118.815,119.208,118.614,118.963,ok,1297807200,6254
