,c,h,l,o,s,t,v
0,1.03335,1.03723,1.01606,1.01699,ok,1287435600,41417
1,1.02078,1.03479,1.02063,1.03331,ok,1287522000,40960
2,1.02647,1.03011,1.01673,1.02073,ok,1287608400,46025
3,1.02535,1.03008,1.02223,1.02645,ok,1287694800,32727
4,1.02523,1.02523,1.02523,1.02523,ok,1287781200,1
5,1.02495,1.02569,1.02408,1.02552,ok,1287867600,237
6,1.0197,1.02665,1.01533,1.025,ok,1287954000,31335
7,1.02362,1.02654,1.01802,1.01974,ok,1288040400,36071
8,1.02785,1.03384,1.0225,1.02364,ok,1288126800,37264
9,1.02085,1.02851,1.01806,1.02789,ok,1288213200,32184
10,1.0189,1.02471,1.01681,1.02088,ok,1288299600,34240
11,1.01876,1.0217,1.0185,1.0204,ok,1288472400,423
12,1.01499,1.02017,1.01257,1.01889,ok,1288558800,30157
13,1.00792,1.0172,1.00792,1.01502,ok,1288645200,31384
14,1.005,1.01549,1.00446,1.00789,ok,1288731600,40686
15,1.0019,1.01253,1.00084,1.00495,ok,1288818000,34462
16,0.99977,1.00784,0.99908,1.00187,ok,1288904400,34256
17,0.99957,0.99957,0.99957,0.99957,ok,1288990800,1
18,0.99998,1.00099,0.99976,0.99986,ok,1289077200,428
19,1.00329,1.00539,0.99928,1.00005,ok,1289167200,28129
20,1.00776,1.00933,0.99789,1.00327,ok,1289253600,38528
21,1.00068,1.00896,0.99925,1.00782,ok,1289340000,45151
22,1.00307,1.00713,0.99766,1.0007,ok,1289426400,33603
23,1.01185,1.01449,1.00263,1.00316,ok,1289512800,42647
24,1.01195,1.01195,1.01195,1.01195,ok,1289599200,1
25,1.01039,1.01245,1.01003,1.01019,ok,1289685600,355
26,1.0096,1.01383,1.00559,1.01086,ok,1289772000,32908
27,1.02207,1.0253,1.00687,1.01052,ok,1289858400,45221
28,1.02435,1.02594,1.01803,1.02221,ok,1289944800,35673
29,1.01873,1.02451,1.01544,1.0244,ok,1290031200,33289
30,1.01635,1.02328,1.01619,1.0188,ok,1290117600,27878
31,1.01643,1.01645,1.01643,1.01645,ok,1290204000,2
32,1.01622,1.01786,1.01585,1.01649,ok,1290290400,279
33,1.01847,1.0216,1.01207,1.01624,ok,1290376800,26215
34,1.02443,1.02631,1.01481,1.0185,ok,1290463200,40636
35,1.00964,1.02439,1.00904,1.02439,ok,1290549600,35929
36,1.00897,1.01227,1.00763,1.00973,ok,1290636000,18448
37,1.02075,1.02461,1.00842,1.00895,ok,1290722400,29688
38,1.02088,1.02092,1.02088,1.02092,ok,1290808800,2
39,1.01634,1.02135,1.01418,1.02118,ok,1290895200,814
40,1.0178,1.02571,1.01635,1.01637,ok,1290981600,31219
41,1.02619,1.02855,1.01702,1.01773,ok,1291068000,43751
42,1.01677,1.02708,1.0142,1.02621,ok,1291154400,38470
43,1.00243,1.01885,1.00235,1.01681,ok,1291240800,41614
44,1.00349,1.00792,0.99913,1.00239,ok,1291327200,33357
45,1.00359,1.00359,1.00341,1.00341,ok,1291413600,4
46,1.00312,1.00386,1.00178,1.00377,ok,1291500000,226
47,1.0054,1.00821,1.00196,1.00301,ok,1291586400,26773
48,1.01213,1.01237,1.00108,1.0055,ok,1291672800,30966
49,1.01095,1.01397,1.00624,1.01235,ok,1291759200,33366
50,1.01037,1.0125,1.00658,1.0106,ok,1291845600,31133
51,1.00853,1.01155,1.00827,1.01025,ok,1291932000,21648
52,1.0098,1.01005,1.00845,1.00845,ok,1292104800,78
53,1.00712,1.01054,1.00265,1.00984,ok,1292191200,20428
54,1.00592,1.01103,1.00277,1.00715,ok,1292277600,27581
55,1.00469,1.00939,1.00003,1.00602,ok,1292364000,32154
56,1.00596,1.00741,1.00314,1.0048,ok,1292450400,24800
57,1.01352,1.01455,1.00372,1.00575,ok,1292536800,23622
58,1.01341,1.01363,1.01341,1.01347,ok,1292623200,4
59,1.01229,1.01323,1.01146,1.01321,ok,1292709600,155
60,1.0165,1.02072,1.01012,1.01237,ok,1292796000,19630
61,1.01677,1.02052,1.01502,1.01671,ok,1292882400,19712
62,1.013,1.01767,1.01102,1.01679,ok,1292968800,17301
63,1.00904,1.01641,1.00701,1.01305,ok,1293055200,15461
64,1.0079,1.01128,1.0047,1.009,ok,1293141600,9512
65,1.00765,1.0084,1.00685,1.00738,ok,1293314400,108
66,1.0066,1.01092,1.00571,1.00762,ok,1293400800,7567
67,1.00078,1.00708,0.99735,1.00686,ok,1293487200,17477
68,1.00055,1.00548,0.99739,1.00085,ok,1293573600,15590
69,0.99978,1.00213,0.99902,1.0006,ok,1293660000,12704
70,0.99745,1.00053,0.99209,0.99973,ok,1293746400,14126
71,0.99715,0.99717,0.99715,0.99717,ok,1293832800,2
72,0.99428,0.99683,0.99358,0.99683,ok,1293919200,368
73,0.99364,0.99494,0.98885,0.99423,ok,1294005600,12301
74,0.9981,1.00331,0.99161,0.99376,ok,1294092000,22157
75,0.99544,1.00223,0.9933,0.99814,ok,1294178400,27462
76,0.9964,0.99928,0.99247,0.99542,ok,1294264800,25220
77,0.99305,1.00031,0.98979,0.99642,ok,1294351200,30884
78,0.99274,0.99355,0.99109,0.9924,ok,1294524000,496
79,0.9931,0.99829,0.99092,0.99279,ok,1294610400,21245
80,0.99014,0.99488,0.98915,0.99305,ok,1294696800,23594
81,0.98542,0.99103,0.98476,0.9901,ok,1294783200,27847
82,0.98891,0.9908,0.98516,0.98552,ok,1294869600,25758
83,0.9904,0.99761,0.98846,0.9891,ok,1294956000,29251
84,0.9905,0.9905,0.9905,0.9905,ok,1295042400,1
85,0.98768,0.99105,0.9873,0.991,ok,1295128800,296
86,0.9868,0.99004,0.98554,0.9876,ok,1295215200,16698
87,0.99099,0.99338,0.98364,0.98675,ok,1295301600,26195
88,0.99551,0.99653,0.98879,0.99108,ok,1295388000,25883
89,0.99707,1.00299,0.99473,0.99553,ok,1295474400,34199
90,0.99268,0.99867,0.9908,0.99701,ok,1295560800,24049
91,0.99266,0.99276,0.99266,0.99276,ok,1295647200,3
92,0.99303,0.9936,0.99249,0.99354,ok,1295733600,90
93,0.99326,0.99815,0.99179,0.99301,ok,1295820000,18966
94,0.9966,1.00031,0.99107,0.99341,ok,1295906400,26435
95,0.9938,0.99802,0.99357,0.99664,ok,1295992800,25207
96,0.9932,0.99855,0.99256,0.99391,ok,1296079200,25987
97,1.00065,1.0016,0.99324,0.9934,ok,1296165600,24371
98,1.00065,1.00065,1.00065,1.00065,ok,1296252000,12
99,1.00118,1.00139,0.99983,1.00065,ok,1296338400,539
100,1.0007,1.00566,0.99615,1.0012,ok,1296424800,26038
101,0.99034,1.00075,0.98993,1.00068,ok,1296511200,21821
102,0.98764,0.99148,0.98586,0.99036,ok,1296597600,17690
103,0.99085,0.9921,0.98647,0.9877,ok,1296684000,17326
104,0.9868,0.99773,0.98264,0.99081,ok,1296770400,25191
105,0.9868,0.9868,0.9868,0.9868,ok,1296856800,12
106,0.98771,0.98921,0.9868,0.9868,ok,1296943200,337
107,0.99058,0.99099,0.98573,0.98769,ok,1297029600,19226
108,0.99492,0.99762,0.98679,0.99055,ok,1297116000,20379
109,0.99354,0.99543,0.99144,0.9949,ok,1297202400,17863
