,c,h,l,o,s,t,v
0,0.97166,0.97565,0.95771,0.9594,ok,1287435600,21609
1,0.96163,0.97174,0.95719,0.97169,ok,1287522000,18309
2,0.96766,0.96808,0.96106,0.96139,ok,1287608400,24266
3,0.97655,0.98041,0.96602,0.9677,ok,1287694800,18142
4,0.97638,0.97638,0.97638,0.97638,ok,1287781200,1
5,0.97416,0.97762,0.97266,0.97762,ok,1287867600,826
6,0.97083,0.97833,0.96624,0.97403,ok,1287954000,14550
7,0.9842,0.98813,0.97021,0.9709,ok,1288040400,17465
8,0.99026,0.99286,0.9838,0.98415,ok,1288126800,18175
9,0.98326,0.99063,0.98036,0.9902,ok,1288213200,13775
10,0.98185,0.99099,0.9817,0.98331,ok,1288299600,18306
11,0.98187,0.98206,0.98185,0.98206,ok,1288386000,6
12,0.98193,0.98312,0.98166,0.982,ok,1288472400,295
13,0.99174,0.99708,0.98117,0.98199,ok,1288558800,17197
14,0.97931,0.99321,0.97578,0.99162,ok,1288645200,14404
15,0.9706,0.9823,0.96912,0.97948,ok,1288731600,23165
16,0.95827,0.97366,0.95684,0.97065,ok,1288818000,19249
17,0.96085,0.96408,0.95475,0.9583,ok,1288904400,21689
18,0.96223,0.96223,0.96063,0.96069,ok,1288990800,6
19,0.96143,0.96255,0.96015,0.96173,ok,1289077200,945
20,0.9659,0.9681,0.96015,0.96137,ok,1289167200,17583
21,0.968,0.96956,0.95864,0.96586,ok,1289253600,19408
22,0.97064,0.97668,0.96727,0.96793,ok,1289340000,23014
23,0.97499,0.97857,0.96705,0.97056,ok,1289426400,18495
24,0.98041,0.98088,0.97232,0.97503,ok,1289512800,27464
25,0.97831,0.9802,0.97625,0.97923,ok,1289685600,1444
26,0.98448,0.98711,0.97625,0.97824,ok,1289772000,20202
27,0.99581,0.99759,0.98284,0.98443,ok,1289858400,21375
28,0.99139,0.99756,0.9882,0.99585,ok,1289944800,17584
29,0.99571,0.99977,0.98538,0.99146,ok,1290031200,17879
30,0.99178,0.99965,0.98757,0.99567,ok,1290117600,16202
31,0.99204,0.99204,0.99183,0.99183,ok,1290204000,2
32,0.99188,0.99232,0.98832,0.99175,ok,1290290400,1029
33,0.98943,0.99406,0.9877,0.99182,ok,1290376800,16322
34,0.99725,0.99745,0.98484,0.9899,ok,1290463200,24100
35,0.99576,0.99885,0.98982,0.9972,ok,1290549600,20995
36,1.00046,1.00196,0.99425,0.99566,ok,1290636000,16062
37,1.00276,1.00541,0.99836,1.0005,ok,1290722400,17686
38,1.00301,1.00301,1.00295,1.00295,ok,1290808800,2
39,1.00248,1.00297,0.9988,1.0026,ok,1290895200,2687
40,0.99994,1.00454,0.99879,1.00238,ok,1290981600,20782
41,1.00337,1.00425,0.99258,0.99991,ok,1291068000,25153
42,1.00229,1.00653,0.99866,1.00334,ok,1291154400,22872
43,0.9927,1.00525,0.98874,1.00232,ok,1291240800,23212
44,0.9731,0.99493,0.97218,0.99264,ok,1291327200,20464
45,0.97268,0.97298,0.97268,0.97298,ok,1291413600,3
46,0.97511,0.97528,0.97316,0.974,ok,1291500000,786
47,0.98149,0.98735,0.97255,0.97506,ok,1291586400,16475
48,0.9875,0.98839,0.97565,0.98153,ok,1291672800,17838
49,0.98599,0.99149,0.98486,0.98754,ok,1291759200,18445
50,0.98336,0.98946,0.98091,0.98586,ok,1291845600,20993
51,0.98059,0.98409,0.97918,0.98332,ok,1291932000,13944
52,0.98052,0.98052,0.98052,0.98052,ok,1292018400,1
53,0.98362,0.9845,0.97966,0.98062,ok,1292104800,489
54,0.96763,0.98503,0.96483,0.98367,ok,1292191200,13381
55,0.95941,0.96899,0.95573,0.96756,ok,1292277600,20552
56,0.96799,0.96951,0.95732,0.9595,ok,1292364000,20352
57,0.96424,0.97331,0.96402,0.96811,ok,1292450400,18818
58,0.96831,0.9719,0.95581,0.96429,ok,1292536800,18287
59,0.96822,0.96822,0.96822,0.96822,ok,1292623200,1
60,0.96776,0.97006,0.96755,0.96889,ok,1292709600,591
61,0.96472,0.97193,0.96312,0.96781,ok,1292796000,15436
62,0.95796,0.9654,0.95622,0.96478,ok,1292882400,16519
63,0.95196,0.95895,0.95022,0.95788,ok,1292968800,16857
64,0.95856,0.96642,0.94969,0.95192,ok,1293055200,16836
65,0.96176,0.96335,0.95506,0.95847,ok,1293141600,8953
66,0.96106,0.96176,0.96106,0.96161,ok,1293228000,7
67,0.96103,0.96267,0.96074,0.96267,ok,1293314400,97
68,0.95957,0.96452,0.95747,0.9612,ok,1293400800,11586
69,0.95248,0.96044,0.94334,0.96012,ok,1293487200,16966
70,0.94556,0.95324,0.94539,0.95236,ok,1293573600,13143
71,0.93499,0.94595,0.93497,0.94549,ok,1293660000,14817
72,0.93402,0.93961,0.92992,0.93523,ok,1293746400,14279
73,0.93425,0.93484,0.93152,0.93152,ok,1293919200,325
74,0.93329,0.93824,0.93187,0.93429,ok,1294005600,12390
75,0.94841,0.95158,0.93264,0.93325,ok,1294092000,19950
76,0.96576,0.96845,0.94683,0.9483,ok,1294178400,23456
77,0.96539,0.97072,0.96097,0.96563,ok,1294264800,19669
