,c,h,l,o,s,t,v
0,6.553,6.561,6.552,6.557,ok,1297029600,42
1,6.555,6.563,6.547,6.55,ok,1297116000,75
2,6.56,6.66,6.554,6.5575,ok,1297202400,39
3,6.577,6.5795,6.572,6.573,ok,1297548000,28
4,6.571,6.627,6.57,6.577,ok,1297634400,62
5,6.564,6.575,6.561,6.5715,ok,1297720800,72
6,6.562,6.573,6.55,6.561,ok,1297807200,105
7,6.561,6.565,6.557,6.564,ok,1297893600,76
8,6.545,6.568,6.545,6.563,ok,1297980000,32
9,6.556,6.557,6.549,6.556,ok,1298152800,54
10,6.569,6.5732,6.553,6.5553,ok,1298239200,111
11,6.5677,6.573,6.566,6.57,ok,1298325600,97
12,6.568,6.5705,6.557,6.5685,ok,1298412000,60
13,6.568,6.577,6.568,6.5695,ok,1298498400,85
14,6.573,6.573,6.567,6.5685,ok,1298584800,34
15,6.569,6.5745,6.569,6.572,ok,1298757600,36
16,6.561,6.5705,6.56,6.5695,ok,1298844000,79
17,6.565,6.566,6.555,6.5615,ok,1298930400,74
18,6.5615,6.566,6.555,6.5645,ok,1299016800,68
19,6.558,6.565,6.5575,6.5605,ok,1299103200,49
20,6.559,6.56,6.552,6.559,ok,1299189600,26
21,6.556,6.5605,6.555,6.559,ok,1299362400,146
22,6.554,6.559,6.554,6.558,ok,1299448800,64
23,6.555,6.56,6.552,6.552,ok,1299535200,42
24,6.563,6.564,6.554,6.5565,ok,1299621600,66
25,6.567,6.569,6.562,6.562,ok,1299708000,34
26,6.568,6.572,6.561,6.568,ok,1299794400,16
27,6.566,6.57,6.565,6.57,ok,1299967200,18
28,6.57,6.571,6.563,6.568,ok,1300050000,41
29,6.57,6.574,6.567,6.57,ok,1300136400,24
30,6.571,6.573,6.568,6.569,ok,1300222800,30
31,6.565,6.572,6.565,6.569,ok,1300309200,35
32,6.566,6.57,6.565,6.5675,ok,1300395600,14
33,6.5645,6.5695,6.563,6.5695,ok,1300568400,34
34,6.5595,6.565,6.555,6.5645,ok,1300654800,49
35,6.55,6.58,6.55,6.5585,ok,1300741200,175
36,6.561,6.58,6.55,6.5575,ok,1300827600,1111
37,6.5575,6.5615,6.55,6.561,ok,1300914000,148
38,6.5575,6.5595,6.556,6.5595,ok,1301000400,16
39,6.56,6.5625,6.555,6.558,ok,1301173200,41
40,6.5635,6.58,6.55,6.56,ok,1301259600,40
41,6.58,6.58,6.556,6.5625,ok,1301346000,66
42,6.5527,6.561,6.5497,6.5595,ok,1301432400,135
43,6.546,6.5545,6.5427,6.553,ok,1301518800,179
44,6.546,6.5492,6.545,6.546,ok,1301605200,53
45,6.5377,6.55,6.5357,6.544,ok,1301778000,43
46,6.539,6.54,6.535,6.5387,ok,1301864400,34
47,6.54,6.5465,6.537,6.538,ok,1301950800,69
48,6.5337,6.5458,6.5337,6.5445,ok,1302037200,105
49,6.5185,6.5365,6.516,6.535,ok,1302123600,182
50,6.5205,6.5247,6.5167,6.5187,ok,1302210000,105
51,6.519,6.5205,6.5167,6.518,ok,1302382800,96
52,6.533,6.534,6.5185,6.5185,ok,1302469200,209
53,6.5275,6.5335,6.526,6.532,ok,1302555600,109
54,6.52,6.527,6.519,6.526,ok,1302642000,134
55,6.522,6.5245,6.516,6.518,ok,1302728400,108
56,6.521,6.522,6.518,6.5215,ok,1302814800,32
57,6.518,6.522,6.518,6.52,ok,1302987600,54
58,6.523,6.5265,6.518,6.518,ok,1303074000,89
59,6.507,6.5247,6.502,6.5235,ok,1303160400,217
