,c,h,l,o,s,t,v
0,17.846,17.87485,17.48698,17.565,ok,1287435600,32367
1,17.5292,17.88156,17.51105,17.8481,ok,1287522000,31607
2,17.68756,17.70962,17.413,17.525,ok,1287608400,32264
3,17.5584,17.78742,17.55667,17.68931,ok,1287694800,25540
4,17.5554,17.5565,17.5554,17.5565,ok,1287781200,2
5,17.53908,17.5631,17.5124,17.5258,ok,1287867600,456
6,17.53208,17.60306,17.40375,17.5417,ok,1287954000,23774
7,17.76975,17.83201,17.50632,17.535,ok,1288040400,31388
8,17.90184,17.94717,17.73791,17.7669,ok,1288126800,34031
9,17.6494,17.91167,17.6352,17.90137,ok,1288213200,23311
10,17.6226,17.84584,17.62148,17.6535,ok,1288299600,26743
11,17.6222,17.6222,17.6222,17.6222,ok,1288386000,1
12,17.58962,17.621,17.58254,17.621,ok,1288472400,1021
13,17.60593,17.69919,17.55442,17.5907,ok,1288558800,24427
14,17.43698,17.61787,17.41423,17.6064,ok,1288645200,24277
15,17.27887,17.49422,17.26336,17.4335,ok,1288731600,36150
16,17.24426,17.3669,17.05303,17.27936,ok,1288818000,27178
17,17.46932,17.51388,17.19146,17.2403,ok,1288904400,31503
18,17.4707,17.4707,17.4697,17.4697,ok,1288990800,2
19,17.44117,17.49198,17.43035,17.4856,ok,1289077200,1596
20,17.61307,17.68062,17.42056,17.4416,ok,1289167200,29288
21,17.81847,17.85515,17.57447,17.6135,ok,1289253600,32299
22,17.84677,18.01321,17.75152,17.819,ok,1289340000,43693
23,18.00728,18.06066,17.79728,17.84721,ok,1289426400,33537
24,17.9435,18.16953,17.87599,18.00015,ok,1289512800,44901
25,17.9439,17.9439,17.9439,17.9439,ok,1289599200,1
26,17.92345,17.9903,17.89929,17.9725,ok,1289685600,1457
27,18.08468,18.12033,17.88016,17.9245,ok,1289772000,31521
28,18.2299,18.29993,17.9936,18.08425,ok,1289858400,41831
29,18.18177,18.2874,18.14807,18.2303,ok,1289944800,31340
30,18.04083,18.1844,18.00188,18.1824,ok,1290031200,28185
31,18.02194,18.11437,17.93145,18.043,ok,1290117600,25828
32,17.96357,18.051,17.92364,18.051,ok,1290290400,1815
33,18.12127,18.1913,17.89554,17.96282,ok,1290376800,30662
34,18.46012,18.47348,18.10093,18.12003,ok,1290463200,41321
35,18.51906,18.57919,18.37776,18.45868,ok,1290549600,40029
36,18.47572,18.58184,18.45063,18.51961,ok,1290636000,22773
37,18.64346,18.76003,18.4685,18.47371,ok,1290722400,33853
38,18.58042,18.6526,18.48599,18.6498,ok,1290895200,1948
39,18.96137,19.06005,18.56796,18.57722,ok,1290981600,40325
40,19.19047,19.2188,18.89906,18.96343,ok,1291068000,46707
41,19.02043,19.20682,18.96946,19.19005,ok,1291154400,46970
42,18.84862,19.16995,18.82367,19.0174,ok,1291240800,42163
43,18.60141,18.91781,18.56975,18.8525,ok,1291327200,37057
44,18.60003,18.60003,18.60003,18.60003,ok,1291413600,1
45,18.5825,18.6078,18.56,18.6076,ok,1291500000,231
46,18.72685,18.91067,18.59026,18.6075,ok,1291586400,32853
47,18.87432,18.88377,18.66609,18.72628,ok,1291672800,37459
48,18.85029,19.04092,18.83096,18.87789,ok,1291759200,37015
49,18.88381,19.05115,18.76359,18.85086,ok,1291845600,36823
50,19.0083,19.10067,18.8602,18.8782,ok,1291932000,26338
51,19.0076,19.0076,19.0076,19.0076,ok,1292018400,1
52,19.03032,19.03785,18.953,18.9876,ok,1292104800,575
53,18.76697,19.09797,18.70887,19.0296,ok,1292191200,24458
54,18.76386,18.81904,18.60917,18.7657,ok,1292277600,33930
55,19.01136,19.01842,18.76466,18.7682,ok,1292364000,38637
56,18.97872,19.08895,18.94863,19.0079,ok,1292450400,32494
57,19.0718,19.20366,18.8164,18.9773,ok,1292536800,29758
58,19.08393,19.10263,19.0571,19.08,ok,1292709600,610
59,19.21312,19.28414,19.06915,19.06945,ok,1292796000,28986
60,19.25453,19.30541,19.10791,19.21197,ok,1292882400,27380
61,19.282,19.33844,19.14317,19.2533,ok,1292968800,26288
62,19.2532,19.3844,19.21527,19.28115,ok,1293055200,22585
63,19.2237,19.32775,19.2039,19.25505,ok,1293141600,8484
64,19.2225,19.2237,19.2208,19.2208,ok,1293228000,4
65,19.25375,19.2568,19.2442,19.2492,ok,1293314400,83
66,19.24092,19.3409,19.19661,19.256,ok,1293400800,17661
67,19.29354,19.34598,19.08016,19.24038,ok,1293487200,20933
68,19.10701,19.33562,19.09856,19.29508,ok,1293573600,22273
69,18.8812,19.13373,18.87683,19.10768,ok,1293660000,21371
70,18.6775,18.9016,18.62692,18.8797,ok,1293746400,18688
71,18.6599,18.6599,18.6573,18.6573,ok,1293832800,2
72,18.70086,18.7465,18.6287,18.6474,ok,1293919200,887
73,18.72575,18.8724,18.67605,18.7,ok,1294005600,21983
74,18.67855,18.7851,18.50959,18.7243,ok,1294092000,32359
75,18.85274,18.91882,18.65266,18.6794,ok,1294178400,36344
76,18.91252,18.94639,18.77037,18.8515,ok,1294264800,34560
77,18.9944,19.00841,18.85788,18.91186,ok,1294351200,40671
78,19.0575,19.0576,18.9785,18.9883,ok,1294524000,432
79,18.98262,19.12396,18.95847,19.0382,ok,1294610400,28408
80,18.83498,19.03496,18.8017,18.98365,ok,1294696800,34683
81,18.50764,18.84593,18.4897,18.8365,ok,1294783200,39681
82,18.24043,18.57847,18.21895,18.5141,ok,1294869600,37670
83,18.1687,18.31125,18.10252,18.2409,ok,1294956000,36859
84,18.1708,18.1708,18.1701,18.1701,ok,1295042400,2
85,18.17518,18.1919,18.13051,18.1471,ok,1295128800,882
86,18.2593,18.38946,18.173,18.173,ok,1295215200,26350
87,18.14288,18.3164,18.02734,18.25541,ok,1295301600,35451
88,17.9907,18.17444,17.90375,18.1455,ok,1295388000,32776
89,18.0056,18.15586,17.97262,17.99229,ok,1295474400,36841
90,17.80688,18.03588,17.79403,18.0045,ok,1295560800,32085
91,17.8059,17.80705,17.8059,17.80594,ok,1295647200,8
92,17.78258,17.8675,17.76888,17.835,ok,1295733600,710
93,17.72312,17.92577,17.67834,17.78171,ok,1295820000,27848
94,17.64532,17.92651,17.60744,17.7225,ok,1295906400,34232
95,17.61448,17.77548,17.59749,17.64812,ok,1295992800,30479
96,17.57864,17.73179,17.57516,17.6157,ok,1296079200,31480
97,17.79,17.88306,17.5746,17.5798,ok,1296165600,29377
98,17.79,17.79,17.79,17.79,ok,1296252000,12
99,17.80825,17.82437,17.77876,17.79,ok,1296338400,1419
100,17.6391,17.84736,17.60605,17.80878,ok,1296424800,26150
101,17.34579,17.645,17.33926,17.64039,ok,1296511200,28211
102,17.4346,17.49729,17.31264,17.34509,ok,1296597600,24603
103,17.57202,17.62422,17.40368,17.43701,ok,1296684000,26705
104,17.643,17.71888,17.52919,17.57351,ok,1296770400,24003
105,17.6436,17.6436,17.6436,17.6436,ok,1296856800,13
106,17.66142,17.6849,17.6084,17.6436,ok,1296943200,891
107,17.7275,17.82477,17.56053,17.66205,ok,1297029600,23589
108,17.58916,17.72393,17.52375,17.68774,ok,1297116000,27362
109,17.61,17.77173,17.56503,17.58954,ok,1297202400,25608
110,17.80829,17.83673,17.59796,17.60907,ok,1297288800,24866
111,17.8346,17.94837,17.7842,17.80636,ok,1297375200,22143
112,17.8415,17.8426,17.8415,17.8426,ok,1297461600,7
113,17.88468,17.89141,17.817,17.8415,ok,1297548000,1128
114,18.00375,18.08319,17.8141,17.88339,ok,1297634400,22840
115,18.03929,18.0673,17.92018,18.0046,ok,1297720800,26001
116,17.90989,18.07191,17.88574,18.03986,ok,1297807200,27152
117,17.84451,17.96939,17.83417,17.91218,ok,1297893600,24688
118,17.8077,17.96448,17.79587,17.84283,ok,1297980000,23628
119,17.8077,17.8077,17.8077,17.8077,ok,1298066400,12
120,17.795,17.8077,17.7775,17.8077,ok,1298152800,24
121,17.85466,17.91601,17.80761,17.8125,ok,1298239200,9985
122,17.94685,18.12296,17.8265,17.8511,ok,1298325600,24112
123,17.82951,17.94639,17.79193,17.945,ok,1298412000,20392
124,17.74004,17.91206,17.73513,17.827,ok,1298498400,21042
125,17.74482,17.84848,17.68025,17.74109,ok,1298584800,16114
126,17.7475,17.7475,17.7465,17.7465,ok,1298671200,16
127,17.76307,17.77358,17.7475,17.7475,ok,1298757600,146
128,17.61755,17.83677,17.5535,17.758,ok,1298844000,17588
129,17.67841,17.70343,17.54078,17.61686,ok,1298930400,22332
130,17.4881,17.71406,17.45894,17.67905,ok,1299016800,22316
131,17.37755,17.53281,17.32075,17.4888,ok,1299103200,22250
132,17.3268,17.41032,17.31592,17.37651,ok,1299189600,18146
133,17.3256,17.3256,17.3256,17.3256,ok,1299276000,1
134,17.29618,17.3349,17.29351,17.3256,ok,1299362400,410
135,17.30599,17.37891,17.24977,17.29935,ok,1299448800,13388
136,17.43036,17.54168,17.28136,17.30421,ok,1299535200,14883
