,c,h,l,o,s,t,v
0,5.43274,5.43872,5.32477,5.35173,ok,1287435600,92948
1,5.34044,5.44473,5.33029,5.43289,ok,1287522000,63574
2,5.35759,5.37609,5.30816,5.3399,ok,1287608400,69579
3,5.33975,5.38149,5.33752,5.35768,ok,1287694800,53753
4,5.33883,5.33917,5.33883,5.33917,ok,1287781200,2
5,5.33283,5.34189,5.32406,5.34005,ok,1287867600,1149
6,5.34039,5.35228,5.29665,5.33318,ok,1287954000,51454
7,5.38135,5.39406,5.33349,5.34105,ok,1288040400,61937
8,5.41646,5.43036,5.37442,5.38169,ok,1288126800,71144
9,5.3533,5.41829,5.34807,5.41658,ok,1288213200,55797
10,5.34182,5.40008,5.34174,5.35364,ok,1288299600,58395
11,5.34171,5.34171,5.34171,5.34171,ok,1288386000,1
12,5.33591,5.34222,5.33362,5.34049,ok,1288472400,1144
13,5.36709,5.37804,5.3217,5.3357,ok,1288558800,48058
14,5.31227,5.3712,5.3032,5.36673,ok,1288645200,49480
15,5.27181,5.32832,5.2655,5.31249,ok,1288731600,66549
16,5.24617,5.28532,5.21897,5.27194,ok,1288818000,58127
17,5.30684,5.31402,5.23128,5.24601,ok,1288904400,62370
18,5.30651,5.30651,5.30621,5.30621,ok,1288990800,2
19,5.29696,5.31259,5.29696,5.30622,ok,1289077200,1936
20,5.35352,5.36629,5.29111,5.29646,ok,1289167200,57681
21,5.41104,5.41975,5.33446,5.35327,ok,1289253600,71758
22,5.40767,5.45186,5.39112,5.41119,ok,1289340000,81376
23,5.45306,5.46536,5.39267,5.40777,ok,1289426400,62981
24,5.43905,5.49103,5.41003,5.45319,ok,1289512800,90144
25,5.43906,5.43906,5.43886,5.43886,ok,1289599200,2
26,5.43242,5.4535,5.42604,5.44845,ok,1289685600,2549
27,5.48561,5.49586,5.4199,5.43257,ok,1289772000,64172
28,5.52699,5.54364,5.45854,5.48545,ok,1289858400,81502
29,5.5103,5.53792,5.4952,5.52718,ok,1289944800,57941
30,5.46457,5.51195,5.45386,5.51045,ok,1290031200,57882
31,5.4475,5.47803,5.42885,5.46426,ok,1290117600,52029
32,5.42996,5.4472,5.41778,5.4472,ok,1290290400,2096
33,5.47063,5.49132,5.40722,5.4292,ok,1290376800,67617
34,5.57697,5.57952,5.468,5.47077,ok,1290463200,88120
35,5.58978,5.6119,5.55448,5.57658,ok,1290549600,86246
36,5.58038,5.61112,5.56917,5.58989,ok,1290636000,54018
37,5.62457,5.64614,5.57917,5.5805,ok,1290722400,72016
38,5.60817,5.62424,5.57614,5.62318,ok,1290895200,3973
39,5.67803,5.70587,5.60331,5.60782,ok,1290981600,91040
40,5.74062,5.74624,5.66719,5.67824,ok,1291068000,101998
41,5.67212,5.74622,5.65329,5.7395,ok,1291154400,95476
42,5.64138,5.70526,5.62496,5.67184,ok,1291240800,91574
43,5.54969,5.64792,5.54011,5.64188,ok,1291327200,76450
44,5.56592,5.56601,5.5379,5.54999,ok,1291500000,1377
45,5.60017,5.62587,5.54929,5.56583,ok,1291586400,74168
46,5.61974,5.62128,5.561,5.60143,ok,1291672800,75775
47,5.62174,5.65558,5.61293,5.61989,ok,1291759200,71516
48,5.63045,5.66224,5.59635,5.62182,ok,1291845600,67865
49,5.63071,5.65558,5.6122,5.63025,ok,1291932000,47952
50,5.6305,5.6305,5.6305,5.6305,ok,1292018400,1
51,5.64259,5.64474,5.62733,5.6326,ok,1292104800,657
52,5.56644,5.65347,5.54878,5.64196,ok,1292191200,49806
53,5.57084,5.5772,5.52178,5.56625,ok,1292277600,65642
54,5.63855,5.64058,5.56942,5.57168,ok,1292364000,67548
55,5.62413,5.65109,5.61608,5.63875,ok,1292450400,65582
56,5.6426,5.67135,5.57577,5.62437,ok,1292536800,56743
57,5.64417,5.65365,5.64382,5.64475,ok,1292709600,876
58,5.67272,5.68857,5.64376,5.64407,ok,1292796000,50539
59,5.68671,5.69881,5.64278,5.67292,ok,1292882400,54749
60,5.68861,5.69774,5.65324,5.68661,ok,1292968800,53926
61,5.68239,5.70834,5.66624,5.68846,ok,1293055200,43945
62,5.67486,5.69092,5.66702,5.68165,ok,1293141600,19018
63,5.67451,5.67486,5.67399,5.67399,ok,1293228000,4
64,5.67756,5.67865,5.67469,5.67616,ok,1293314400,120
65,5.66095,5.70042,5.65786,5.67727,ok,1293400800,27543
66,5.68361,5.69306,5.61468,5.66081,ok,1293487200,41182
67,5.63594,5.69725,5.63024,5.68348,ok,1293573600,37645
68,5.608,5.63999,5.5981,5.63612,ok,1293660000,36208
69,5.56393,5.61042,5.55159,5.60759,ok,1293746400,33642
70,5.5656,5.5656,5.5646,5.5646,ok,1293832800,2
71,5.57968,5.58772,5.56364,5.56395,ok,1293919200,1255
72,5.57839,5.62414,5.56385,5.57987,ok,1294005600,50674
73,5.60025,5.60666,5.54763,5.57858,ok,1294092000,76162
74,5.66701,5.67737,5.59336,5.59983,ok,1294178400,80506
75,5.72962,5.73192,5.65821,5.66711,ok,1294264800,70987
76,5.76677,5.77199,5.72172,5.7299,ok,1294351200,86680
77,5.78037,5.78798,5.76547,5.76705,ok,1294524000,2565
78,5.75108,5.78584,5.74568,5.78047,ok,1294610400,65617
79,5.74248,5.77265,5.7336,5.7512,ok,1294696800,75144
80,5.67267,5.74698,5.66703,5.74275,ok,1294783200,71942
81,5.57393,5.68903,5.56608,5.67259,ok,1294869600,74591
82,5.55942,5.59469,5.53538,5.57416,ok,1294956000,67384
83,5.56004,5.56004,5.56004,5.56004,ok,1295042400,1
84,5.56111,5.56335,5.5489,5.56024,ok,1295128800,1486
85,5.6039,5.62472,5.5609,5.5609,ok,1295215200,48064
86,5.56496,5.62131,5.53237,5.60327,ok,1295301600,64989
87,5.53001,5.57305,5.50325,5.56522,ok,1295388000,61774
88,5.53058,5.5623,5.50988,5.52981,ok,1295474400,69962
89,5.46723,5.54075,5.4655,5.53066,ok,1295560800,57170
90,5.46723,5.46733,5.46703,5.46733,ok,1295647200,6
