,c,h,l,o,s,t,v
0,7.75952,7.76113,7.75637,7.75666,ok,1287435600,2137
1,7.76313,7.76417,7.75906,7.75958,ok,1287522000,3181
2,7.76362,7.76508,7.76299,7.76305,ok,1287608400,2941
3,7.759,7.76625,7.75679,7.76365,ok,1287694800,2835
4,7.7601,7.7601,7.75932,7.7598,ok,1287867600,7
5,7.75745,7.76258,7.7569,7.76025,ok,1287954000,3264
6,7.75914,7.75979,7.7569,7.7575,ok,1288040400,3272
7,7.75773,7.7599,7.75731,7.75907,ok,1288126800,3113
8,7.75505,7.7588,7.75484,7.7577,ok,1288213200,2259
9,7.7494,7.75747,7.74882,7.7553,ok,1288299600,3716
10,7.75068,7.75104,7.74955,7.75073,ok,1288472400,36
11,7.75266,7.75334,7.75026,7.75051,ok,1288558800,1772
12,7.75106,7.75274,7.75079,7.75235,ok,1288645200,1581
13,7.75057,7.75172,7.7504,7.7511,ok,1288731600,1694
14,7.75054,7.7524,7.75031,7.7505,ok,1288818000,2017
15,7.74923,7.75345,7.74906,7.75065,ok,1288904400,2731
16,7.74975,7.74975,7.7496,7.7496,ok,1289077200,6
17,7.75029,7.75227,7.74956,7.7498,ok,1289167200,1583
18,7.75125,7.75192,7.75025,7.75025,ok,1289253600,1996
19,7.75104,7.75197,7.75057,7.75108,ok,1289340000,1723
20,7.75076,7.75175,7.75038,7.75117,ok,1289426400,1227
21,7.74976,7.7523,7.74961,7.75072,ok,1289512800,1974
22,7.7499,7.7504,7.7499,7.7504,ok,1289685600,15
23,7.75201,7.75276,7.74988,7.74988,ok,1289772000,2006
24,7.75736,7.75741,7.75191,7.75197,ok,1289858400,3434
25,7.75702,7.7574,7.75495,7.7574,ok,1289944800,2657
26,7.75427,7.7571,7.7528,7.75698,ok,1290031200,2266
27,7.75318,7.75519,7.75234,7.75424,ok,1290117600,2203
28,7.75294,7.75323,7.7524,7.7527,ok,1290290400,39
29,7.75536,7.75666,7.75236,7.7528,ok,1290376800,3132
30,7.75797,7.75955,7.75529,7.75554,ok,1290463200,4416
31,7.75927,7.75975,7.75694,7.75805,ok,1290549600,2832
32,7.75912,7.7598,7.75762,7.75936,ok,1290636000,1816
33,7.762,7.76481,7.75891,7.75916,ok,1290722400,2560
34,7.76178,7.7625,7.7615,7.7625,ok,1290895200,93
35,7.76586,7.76621,7.7611,7.7618,ok,1290981600,3498
36,7.76559,7.76933,7.76375,7.76572,ok,1291068000,4664
37,7.76816,7.76881,7.76492,7.76563,ok,1291154400,4181
38,7.76592,7.77193,7.76487,7.7682,ok,1291240800,5075
39,7.76201,7.76758,7.76072,7.76595,ok,1291327200,3611
40,7.76185,7.76185,7.76185,7.76185,ok,1291413600,1
41,7.76209,7.76225,7.76023,7.76037,ok,1291500000,28
42,7.76103,7.76686,7.76024,7.763,ok,1291586400,4630
43,7.76215,7.76473,7.76097,7.761,ok,1291672800,3059
44,7.76659,7.76967,7.76215,7.76232,ok,1291759200,3326
45,7.77335,7.77466,7.76655,7.76665,ok,1291845600,4026
46,7.77191,7.77625,7.77029,7.77333,ok,1291932000,3892
47,7.77333,7.77437,7.77258,7.7726,ok,1292104800,54
48,7.77782,7.77905,7.77318,7.77353,ok,1292191200,3946
49,7.77213,7.77893,7.77182,7.77779,ok,1292277600,3798
50,7.77596,7.7762,7.77195,7.77195,ok,1292364000,3978
51,7.77674,7.77864,7.77452,7.776,ok,1292450400,4045
52,7.7766,7.77877,7.77531,7.7767,ok,1292536800,3463
53,7.77549,7.77607,7.77508,7.77606,ok,1292709600,27
54,7.77414,7.7794,7.77384,7.77551,ok,1292796000,3769
55,7.7733,7.77732,7.77275,7.77412,ok,1292882400,3170
56,7.77822,7.77958,7.77297,7.77341,ok,1292968800,4220
57,7.77636,7.77979,7.77596,7.77799,ok,1293055200,2676
