,c,h,l,o,s,t,v
0,201.795,202.246,196.643,197.277,ok,1287435600,18345
1,197.286,202.508,196.714,201.738,ok,1287522000,16596
2,197.371,198.862,195.053,197.24,ok,1287608400,16335
3,194.576,198.812,194.498,197.38,ok,1287694800,13038
4,194.542,194.555,194.542,194.555,ok,1287781200,2
5,193.922,194.78,193.81,194.78,ok,1287867600,354
6,195.022,196.964,193.576,193.904,ok,1287954000,12514
7,197.681,198.768,194.884,195.13,ok,1288040400,13742
8,199.324,200.279,197.54,197.69,ok,1288126800,15997
9,195.75,199.574,195.594,199.31,ok,1288213200,12030
10,192.029,198.116,192.011,195.727,ok,1288299600,15058
11,191.955,192.189,191.878,192.13,ok,1288472400,232
12,194.365,195.387,191.826,191.892,ok,1288558800,12324
13,192.47,194.69,192.264,194.374,ok,1288645200,11871
14,191.953,194.68,191.508,192.484,ok,1288731600,19554
15,191.627,192.776,190.541,191.97,ok,1288818000,13598
16,192.745,195.419,191.275,191.596,ok,1288904400,15918
17,192.883,192.883,192.872,192.872,ok,1288990800,2
18,192.658,193.193,192.479,193.193,ok,1289077200,789
19,196.799,198.202,192.3,192.613,ok,1289167200,14615
20,198.523,199.615,195.79,196.808,ok,1289253600,16271
21,198.742,200.49,197.47,198.501,ok,1289340000,19318
22,202.086,203.244,197.962,198.704,ok,1289426400,16821
23,199.749,204.579,199.595,201.998,ok,1289512800,24361
24,199.883,199.883,199.883,199.883,ok,1289599200,1
25,199.15,200.176,199.12,199.71,ok,1289685600,833
26,203.494,203.681,199.186,199.34,ok,1289772000,14525
27,205.322,206.443,202.475,203.486,ok,1289858400,20520
28,203.741,207.035,203.298,205.356,ok,1289944800,16246
29,200.873,203.937,200.767,203.75,ok,1290031200,13969
30,197.9,201.551,197.535,201.528,ok,1290117600,12126
31,197.914,197.914,197.914,197.914,ok,1290204000,1
32,197.243,198.498,196.712,198.498,ok,1290290400,1040
33,201.233,202.657,196.838,197.214,ok,1290376800,15112
34,206.035,206.506,201.241,201.241,ok,1290463200,19932
35,206.447,207.707,204.403,205.985,ok,1290549600,20562
36,207.151,208.793,205.785,206.459,ok,1290636000,12234
37,208.968,212.623,207.029,207.08,ok,1290722400,18595
38,208.985,209.017,208.985,209.017,ok,1290808800,2
39,208.099,208.988,207.357,208.346,ok,1290895200,1524
40,215.481,217.276,207.938,208.058,ok,1290981600,20912
41,215.822,219.238,214.851,215.529,ok,1291068000,24210
42,212.615,216.104,211.962,215.843,ok,1291154400,22475
43,209.272,213.978,208.78,212.605,ok,1291240800,23980
44,203.621,210.626,203.291,209.333,ok,1291327200,18745
45,204.996,205.001,203.12,203.12,ok,1291500000,506
46,208.989,211.623,204.067,204.975,ok,1291586400,16829
47,209.39,209.889,207.072,208.999,ok,1291672800,17383
48,208.748,211.816,208.081,209.415,ok,1291759200,18861
49,209.936,211.24,207.657,208.758,ok,1291845600,17569
50,208.517,211.24,207.774,209.767,ok,1291932000,12095
51,208.509,208.509,208.509,208.509,ok,1292018400,1
52,208.408,208.555,207.797,207.92,ok,1292104800,155
53,206.322,211.225,205.597,208.39,ok,1292191200,11697
54,205.192,206.708,204.224,206.379,ok,1292277600,17660
55,208.192,208.403,204.906,205.202,ok,1292364000,17862
56,206.215,208.236,206.192,208.184,ok,1292450400,15599
57,204.241,208.152,204.184,206.174,ok,1292536800,14871
58,204.317,204.317,204.317,204.317,ok,1292623200,1
59,204.267,204.701,204.255,204.506,ok,1292709600,337
60,210.434,211.423,204.227,204.238,ok,1292796000,15029
61,210.678,211.173,208.539,210.45,ok,1292882400,13847
62,210.453,211.272,209.251,210.652,ok,1292968800,12327
63,211.169,213.154,209.525,210.444,ok,1293055200,11822
64,210.242,212.981,210.226,211.146,ok,1293141600,4851
65,210.229,210.242,210.21,210.21,ok,1293228000,4
66,209.871,210.076,209.681,209.99,ok,1293314400,90
67,211.595,212.617,209.79,209.79,ok,1293400800,6667
68,212.338,213.21,209.682,211.609,ok,1293487200,9131
69,210.958,213.197,210.709,212.37,ok,1293573600,8708
70,209.661,211.483,209.377,210.941,ok,1293660000,8456
71,205.504,209.926,205.031,209.645,ok,1293746400,9311
72,205.698,205.698,205.426,205.426,ok,1293832800,2
73,205.869,206.562,205.397,206.372,ok,1293919200,453
74,207.401,210.054,205.612,205.881,ok,1294005600,9356
75,206.927,208.291,205.195,207.415,ok,1294092000,14599
76,208.868,210.404,206.695,206.956,ok,1294178400,17212
77,212.07,212.535,208.735,208.882,ok,1294264800,15481
78,212.882,215.248,211.911,212.061,ok,1294351200,20544
79,213.123,213.286,212.1,213.075,ok,1294524000,838
80,215.468,217.75,212.81,213.147,ok,1294610400,17540
81,213.773,216.351,212.938,215.48,ok,1294696800,18104
82,209.089,214.034,208.568,213.751,ok,1294783200,21030
83,204.952,210.046,204.754,209.059,ok,1294869600,19908
84,203.748,207.339,203.517,204.941,ok,1294956000,18141
85,203.725,203.763,203.725,203.763,ok,1295042400,2
86,203.6,203.757,203.271,203.287,ok,1295128800,286
87,205.99,208.279,203.56,203.56,ok,1295215200,12168
88,203.378,206.891,201.999,205.942,ok,1295301600,17643
