,c,h,l,o,s,t,v
0,45.025,45.13,44.645,44.645,ok,1287435600,1766
1,44.655,44.956,44.585,44.95,ok,1287522000,1502
2,44.835,44.885,44.55,44.625,ok,1287608400,1648
3,44.475,44.965,44.475,44.81,ok,1287694800,1390
4,44.715,45.325,43.874,45.15,ok,1287954000,1420
5,44.87,44.955,44.67,44.72,ok,1288040400,898
6,45.075,45.145,44.91,44.92,ok,1288126800,1295
7,44.795,45.085,44.745,45.085,ok,1288213200,1324
8,44.245,44.91,44.245,44.84,ok,1288299600,1235
9,44.57,44.745,44.415,44.445,ok,1288558800,1125
10,44.46,44.637,44.435,44.55,ok,1288645200,759
11,44.325,44.6,44.325,44.455,ok,1288731600,1368
12,44.105,44.493,44.105,44.275,ok,1288818000,1251
13,43.82,44.37,43.82,44.11,ok,1288904400,99
14,44.665,44.703,43.875,43.885,ok,1289167200,1061
15,44.695,44.695,44.468,44.645,ok,1289253600,1074
16,44.525,44.75,44.515,44.62,ok,1289340000,1390
17,44.745,44.765,44.41,44.475,ok,1289426400,792
18,44.785,45.235,44.595,44.685,ok,1289512800,1481
19,45.29,45.508,44.69,44.735,ok,1289772000,1151
20,45.645,45.805,45.186,45.26,ok,1289858400,2094
21,45.745,46.027,45.53,45.595,ok,1289944800,149
22,45.31,45.729,45.31,45.69,ok,1290031200,1718
23,45.095,45.62,45.095,45.314,ok,1290117600,1108
24,45.435,45.575,45.1,45.22,ok,1290376800,1215
25,45.9,45.95,45.435,45.44,ok,1290463200,1525
26,45.71,46.015,45.705,45.725,ok,1290549600,1147
27,45.545,45.845,45.545,45.715,ok,1290636000,1088
28,45.53,46.045,45.53,45.595,ok,1290722400,1280
29,45.53,45.535,45.53,45.535,ok,1290895200,2
30,45.96,46.11,45.67,45.905,ok,1290981600,1073
31,45.8,46.225,45.8,45.91,ok,1291068000,1501
32,45.198,45.87,45.198,45.745,ok,1291154400,2070
33,44.985,45.46,44.985,45.195,ok,1291240800,1231
34,44.49,45.215,44.49,45.11,ok,1291327200,1121
35,44.785,45.079,44.735,44.79,ok,1291586400,1146
36,45.44,45.44,44.505,44.81,ok,1291672800,1933
37,45.795,45.955,45.375,45.385,ok,1291759200,1370
38,45.69,45.99,45.585,45.8,ok,1291845600,1097
39,45.235,45.939,45.215,45.67,ok,1291932000,2063
40,45.46,45.855,45.46,45.585,ok,1292191200,716
41,45.59,45.74,45.44,45.465,ok,1292277600,723
42,45.955,46.135,45.515,45.515,ok,1292364000,1819
43,46.105,46.255,45.855,45.97,ok,1292450400,1419
44,45.57,46.12,45.57,46.11,ok,1292536800,82
45,45.935,46.29,45.715,45.715,ok,1292796000,1130
46,45.805,45.94,45.7,45.94,ok,1292882400,874
47,45.535,45.83,45.535,45.775,ok,1292968800,938
