,c,h,l,o,s,t,v
0,81.577,81.918,81.134,81.264,ok,1287435600,19097
1,81.082,81.659,80.844,81.58,ok,1287522000,16094
2,81.321,81.82,80.915,81.084,ok,1287608400,23502
3,81.32,81.501,80.993,81.324,ok,1287694800,15253
4,81.24,81.389,81.118,81.292,ok,1287867600,574
5,80.803,81.435,80.41,81.245,ok,1287954000,15115
6,81.428,81.647,80.615,80.8,ok,1288040400,20582
7,81.751,81.98,81.311,81.431,ok,1288126800,24516
8,81.013,81.773,80.865,81.757,ok,1288213200,17074
9,80.36,81.071,80.333,81.018,ok,1288299600,18706
10,80.333,80.352,80.333,80.346,ok,1288386000,4
11,80.266,80.405,80.173,80.336,ok,1288472400,821
12,80.501,81.475,80.225,80.271,ok,1288558800,21911
13,80.617,80.959,80.46,80.504,ok,1288645200,13942
14,81.069,81.586,80.592,80.627,ok,1288731600,21429
15,80.737,81.211,80.571,81.065,ok,1288818000,24072
16,81.221,81.459,80.615,80.748,ok,1288904400,22966
17,81.226,81.226,81.226,81.226,ok,1288990800,1
18,81.205,81.352,81.174,81.201,ok,1289077200,728
19,81.172,81.43,81.003,81.203,ok,1289167200,16568
20,81.683,81.959,80.532,81.176,ok,1289253600,21497
21,82.272,82.793,81.55,81.681,ok,1289340000,28148
22,82.484,82.599,82.037,82.276,ok,1289426400,18083
23,82.475,82.647,81.653,82.486,ok,1289512800,25139
24,82.436,82.531,82.364,82.401,ok,1289685600,1160
25,83.071,83.254,82.393,82.44,ok,1289772000,22359
26,83.279,83.587,82.845,83.067,ok,1289858400,22705
27,83.175,83.546,83.032,83.281,ok,1289944800,16328
28,83.522,83.778,83.09,83.186,ok,1290031200,18784
29,83.496,83.635,83.136,83.527,ok,1290117600,15112
30,83.501,83.501,83.501,83.501,ok,1290204000,1
31,83.506,83.549,83.126,83.451,ok,1290290400,1280
32,83.325,83.558,83.225,83.501,ok,1290376800,14952
33,83.16,83.837,82.746,83.321,ok,1290463200,22255
34,83.528,83.659,82.942,83.152,ok,1290549600,19925
35,83.591,83.691,83.401,83.526,ok,1290636000,12034
36,84.052,84.177,83.561,83.585,ok,1290722400,16007
37,83.983,84.057,83.983,84.057,ok,1290808800,2
38,84.025,84.052,83.785,84.033,ok,1290895200,1260
39,84.248,84.4,83.816,84.022,ok,1290981600,17382
40,83.672,84.309,83.42,84.252,ok,1291068000,22710
41,84.183,84.385,83.374,83.677,ok,1291154400,22360
42,83.815,84.358,83.482,84.187,ok,1291240800,18262
43,82.487,83.881,82.478,83.812,ok,1291327200,21402
44,82.474,82.484,82.474,82.484,ok,1291413600,2
45,82.597,82.65,82.422,82.424,ok,1291500000,478
46,82.645,82.986,82.561,82.6,ok,1291586400,16205
47,83.478,83.655,82.341,82.633,ok,1291672800,21236
48,84.004,84.296,83.448,83.498,ok,1291759200,24732
49,83.733,84.108,83.508,83.999,ok,1291845600,22523
50,83.901,84.01,83.448,83.73,ok,1291932000,14921
51,83.96,83.969,83.64,83.841,ok,1292104800,462
52,83.377,84.346,83.103,83.965,ok,1292191200,17911
53,83.66,83.777,82.834,83.366,ok,1292277600,21473
54,84.232,84.506,83.606,83.679,ok,1292364000,21102
55,83.897,84.439,83.867,84.241,ok,1292450400,18866
56,83.938,84.198,83.689,83.893,ok,1292536800,16939
57,83.93,83.938,83.927,83.931,ok,1292623200,5
58,83.915,84.055,83.809,83.942,ok,1292709600,466
59,83.766,84.117,83.63,83.92,ok,1292796000,13472
60,83.735,83.897,83.499,83.776,ok,1292882400,12732
61,83.56,83.846,83.41,83.732,ok,1292968800,13117
62,82.898,83.572,82.853,83.555,ok,1293055200,12962
63,82.844,83.16,82.817,82.909,ok,1293141600,10420
64,82.756,82.864,82.727,82.819,ok,1293314400,401
65,82.81,82.974,82.651,82.745,ok,1293400800,9677
66,82.378,82.845,81.812,82.796,ok,1293487200,17644
67,81.606,82.458,81.606,82.387,ok,1293573600,13341
68,81.519,81.845,81.286,81.609,ok,1293660000,14857
69,81.088,81.54,80.934,81.514,ok,1293746400,10346
70,81.13,81.14,81.083,81.083,ok,1293832800,4
71,81.18,81.343,80.955,81.16,ok,1293919200,615
72,81.732,81.738,80.914,81.184,ok,1294005600,9780
73,82.023,82.275,81.609,81.728,ok,1294092000,17116
74,83.24,83.37,81.883,82.025,ok,1294178400,21098
75,83.323,83.385,82.88,83.237,ok,1294264800,19371
76,83.105,83.665,82.848,83.319,ok,1294351200,23874
77,83.12,83.12,83.12,83.12,ok,1294437600,1
78,83.204,83.24,83.07,83.073,ok,1294524000,534
79,82.697,83.275,82.66,83.218,ok,1294610400,13941
