,c,h,l,o,s,t,v
0,12.50511,12.55472,12.3817,12.3875,ok,1287435600,76408
1,12.3759,12.52126,12.36989,12.50645,ok,1287522000,70257
2,12.37046,12.44728,12.32782,12.3757,ok,1287608400,82406
3,12.31655,12.41407,12.31655,12.3708,ok,1287694800,63348
4,12.32494,12.33,12.2925,12.33,ok,1287867600,37
5,12.33828,12.36673,12.25485,12.3262,ok,1287954000,82122
6,12.39362,12.42391,12.3275,12.33855,ok,1288040400,86981
7,12.43034,12.50231,12.36195,12.39195,ok,1288126800,87129
8,12.34175,12.44689,12.336,12.4307,ok,1288213200,70849
9,12.32445,12.40071,12.31316,12.34695,ok,1288299600,75465
10,12.3242,12.3242,12.3242,12.3242,ok,1288386000,1
11,12.34274,12.35209,12.2939,12.2939,ok,1288472400,31
12,12.31621,12.37342,12.31235,12.3437,ok,1288558800,56645
13,12.27471,12.32712,12.2686,12.31695,ok,1288645200,53073
14,12.22583,12.33833,12.22289,12.274,ok,1288731600,86669
15,12.21739,12.25725,12.19904,12.22598,ok,1288818000,62788
16,12.18325,12.30299,12.16875,12.2181,ok,1288904400,78080
17,12.1875,12.19575,12.14825,12.16825,ok,1289077200,28
18,12.2055,12.26681,12.14243,12.1895,ok,1289167200,61424
19,12.28379,12.30514,12.17037,12.20585,ok,1289253600,75672
20,12.19844,12.30978,12.19211,12.28403,ok,1289340000,92366
21,12.24037,12.2872,12.19357,12.1993,ok,1289426400,66309
22,12.3228,12.35499,12.22275,12.24046,ok,1289512800,111498
23,12.33142,12.33142,12.3003,12.3003,ok,1289685600,13
24,12.28624,12.3598,12.2441,12.33205,ok,1289772000,68816
25,12.39862,12.48803,12.25515,12.28629,ok,1289858400,109823
26,12.34985,12.43795,12.34753,12.39856,ok,1289944800,81970
27,12.25227,12.35805,12.24987,12.3496,ok,1290031200,69046
28,12.24031,12.31775,12.23756,12.25065,ok,1290117600,69341
29,12.23419,12.2743,12.2218,12.2218,ok,1290290400,32
30,12.28083,12.34987,12.20453,12.23415,ok,1290376800,61847
31,12.45608,12.48859,12.26738,12.2808,ok,1290463200,116353
32,12.35385,12.48031,12.33406,12.45448,ok,1290549600,100324
33,12.35361,12.40223,12.33861,12.35391,ok,1290636000,25694
34,12.4649,12.51915,12.3534,12.35364,ok,1290722400,78586
35,12.46432,12.46432,12.46432,12.46432,ok,1290808800,1
36,12.45342,12.47525,12.44378,12.4679,ok,1290895200,53
37,12.4736,12.59136,12.43268,12.45311,ok,1290981600,99130
38,12.46689,12.59224,12.43537,12.47356,ok,1291068000,117590
39,12.381,12.47464,12.35205,12.46693,ok,1291154400,107627
40,12.3067,12.41833,12.29333,12.38275,ok,1291240800,135701
41,12.31345,12.4775,12.29727,12.30565,ok,1291327200,105119
42,12.31352,12.31352,12.31352,12.31352,ok,1291413600,1
43,12.32133,12.32133,12.2922,12.2922,ok,1291500000,11
44,12.34758,12.41472,12.32133,12.32155,ok,1291586400,76895
45,12.47395,12.49611,12.31668,12.3439,ok,1291672800,97933
46,12.38343,12.53088,12.37826,12.47375,ok,1291759200,116180
47,12.45423,12.49545,12.3656,12.38356,ok,1291845600,107648
48,12.43225,12.47943,12.4297,12.45675,ok,1291932000,74940
