,c,h,l,o,s,t,v
0,5.9384,5.95458,5.81823,5.84856,ok,1287435600,26168
1,5.81816,5.95509,5.81613,5.93762,ok,1287522000,22699
2,5.84641,5.8668,5.7882,5.8159,ok,1287608400,23852
3,5.78671,5.88992,5.78514,5.84662,ok,1287694800,20198
4,5.78661,5.78699,5.78661,5.78699,ok,1287781200,2
5,5.78491,5.79633,5.76846,5.79633,ok,1287867600,601
6,5.79003,5.80623,5.74065,5.78275,ok,1287954000,19566
7,5.86109,5.88207,5.77089,5.7913,ok,1288040400,23820
8,5.90315,5.92372,5.85695,5.86064,ok,1288126800,26753
9,5.88601,5.90695,5.85342,5.90405,ok,1288213200,20923
10,5.83797,5.95287,5.83662,5.8854,ok,1288299600,24053
11,5.82872,5.84792,5.82325,5.84645,ok,1288472400,387
12,5.87478,5.88306,5.80844,5.82906,ok,1288558800,18132
13,5.83259,5.87571,5.81088,5.87438,ok,1288645200,19690
14,5.78351,5.87163,5.7728,5.83292,ok,1288731600,25070
15,5.73211,5.8058,5.7017,5.78373,ok,1288818000,21718
16,5.74966,5.79583,5.71705,5.73167,ok,1288904400,23637
17,5.75026,5.75026,5.74993,5.74993,ok,1288990800,2
18,5.73762,5.75654,5.73752,5.75323,ok,1289077200,1031
19,5.80984,5.82847,5.72896,5.73874,ok,1289167200,21529
20,5.84945,5.85629,5.77314,5.80948,ok,1289253600,25698
21,5.85543,5.91192,5.82685,5.8491,ok,1289340000,31413
22,5.92583,5.95091,5.8424,5.85664,ok,1289426400,23480
23,5.94319,5.98995,5.89285,5.92608,ok,1289512800,34049
24,5.93956,5.96119,5.93309,5.95167,ok,1289685600,739
25,5.97882,6.00586,5.9203,5.9401,ok,1289772000,23458
26,6.06525,6.08818,5.95905,5.97855,ok,1289858400,30880
27,6.02568,6.09766,6.01199,6.06547,ok,1289944800,22964
28,5.97947,6.02667,5.95776,6.02502,ok,1290031200,21210
29,5.98667,6.00718,5.95063,5.9787,ok,1290117600,19035
30,5.98785,5.98785,5.98634,5.98634,ok,1290204000,2
31,5.96293,5.98283,5.94846,5.98283,ok,1290290400,1210
32,6.00741,6.03141,5.93381,5.96117,ok,1290376800,20940
33,6.10028,6.11538,5.99931,6.00551,ok,1290463200,29351
34,6.08729,6.13985,6.05765,6.1005,ok,1290549600,27590
35,6.08311,6.11275,6.06875,6.08756,ok,1290636000,16692
36,6.14715,6.19532,6.07517,6.08216,ok,1290722400,24849
37,6.14736,6.14736,6.14585,6.14585,ok,1290808800,2
38,6.14185,6.15215,6.09451,6.14154,ok,1290895200,2741
39,6.15107,6.21775,6.11927,6.14101,ok,1290981600,29132
40,6.20476,6.23541,6.1418,6.15148,ok,1291068000,32340
41,6.13223,6.2114,6.1227,6.20412,ok,1291154400,30269
42,6.0819,6.16156,6.06317,6.13163,ok,1291240800,29407
43,5.94225,6.08909,5.93263,6.08149,ok,1291327200,25914
44,5.94169,5.94169,5.94169,5.94169,ok,1291413600,1
45,5.96617,5.96617,5.94497,5.9519,ok,1291500000,724
46,5.99228,6.03523,5.9488,5.96642,ok,1291586400,23139
47,6.00104,6.0082,5.94096,5.99436,ok,1291672800,25956
48,6.00466,6.04461,5.98514,6.00129,ok,1291759200,24443
49,6.03302,6.06404,5.97671,6.00491,ok,1291845600,23750
50,5.99529,6.04062,5.9881,6.03375,ok,1291932000,17592
51,5.99506,5.99506,5.99506,5.99506,ok,1292018400,1
52,6.01071,6.01264,5.99288,5.99288,ok,1292104800,422
53,5.91535,6.0188,5.90021,6.01026,ok,1292191200,17427
54,5.89189,5.92835,5.85916,5.91556,ok,1292277600,22985
55,5.9683,5.98066,5.87359,5.89342,ok,1292364000,24460
56,5.94463,5.98433,5.94321,5.96851,ok,1292450400,20396
57,5.97631,6.00634,5.90671,5.94282,ok,1292536800,19714
58,5.97688,5.97688,5.97688,5.97688,ok,1292623200,1
59,5.9706,5.98143,5.9706,5.97533,ok,1292709600,504
60,5.97412,6.00521,5.96986,5.96996,ok,1292796000,17001
61,5.97953,5.99532,5.95085,5.9749,ok,1292882400,18002
