,c,h,l,o,s,t,v
0,2.88789,2.89467,2.79946,2.8119,ok,1287435600,27597
1,2.82444,2.89237,2.82296,2.88801,ok,1287522000,25582
2,2.85451,2.86478,2.80859,2.82453,ok,1287608400,25819
3,2.81479,2.86654,2.81399,2.85462,ok,1287694800,21397
4,2.8143,2.8143,2.8143,2.8143,ok,1287781200,1
5,2.81393,2.81767,2.80866,2.81061,ok,1287867600,759
6,2.80761,2.84363,2.79377,2.81418,ok,1287954000,20534
7,2.83286,2.8453,2.80508,2.80752,ok,1288040400,23117
8,2.87199,2.88505,2.83007,2.83325,ok,1288126800,25669
9,2.84794,2.8759,2.84746,2.87173,ok,1288213200,19543
10,2.81986,2.89351,2.81941,2.84781,ok,1288299600,22894
11,2.81891,2.82232,2.81796,2.81865,ok,1288472400,383
12,2.85111,2.86408,2.8177,2.8186,ok,1288558800,16845
13,2.80688,2.85512,2.80445,2.8513,ok,1288645200,19436
14,2.76149,2.81631,2.75985,2.80744,ok,1288731600,25227
15,2.74038,2.77731,2.7261,2.76169,ok,1288818000,23476
16,2.76264,2.79085,2.73612,2.74019,ok,1288904400,24976
17,2.76257,2.76257,2.76242,2.76242,ok,1288990800,2
18,2.75819,2.76878,2.75819,2.76878,ok,1289077200,1179
19,2.81975,2.8348,2.7572,2.75784,ok,1289167200,22060
20,2.82884,2.85125,2.79413,2.8202,ok,1289253600,25622
21,2.81815,2.85348,2.81242,2.82909,ok,1289340000,30513
22,2.87065,2.88478,2.81145,2.81851,ok,1289426400,23971
23,2.8553,2.90951,2.84925,2.86968,ok,1289512800,35142
24,2.85599,2.85599,2.85599,2.85599,ok,1289599200,1
25,2.85497,2.86705,2.8491,2.8491,ok,1289685600,1302
26,2.8853,2.90228,2.85507,2.85519,ok,1289772000,23106
27,2.93508,2.94831,2.87117,2.88516,ok,1289858400,32726
28,2.91717,2.94555,2.91562,2.93532,ok,1289944800,23630
29,2.87819,2.91916,2.87603,2.91727,ok,1290031200,23803
30,2.85384,2.89043,2.84985,2.87753,ok,1290117600,18157
31,2.8537,2.8537,2.8537,2.8537,ok,1290204000,1
32,2.84444,2.85545,2.83797,2.85545,ok,1290290400,1413
33,2.89138,2.91104,2.83923,2.84406,ok,1290376800,20893
34,2.97281,2.97796,2.89043,2.89083,ok,1290463200,31469
35,2.96474,2.99557,2.94612,2.9729,ok,1290549600,32447
36,2.97345,2.99281,2.96427,2.96495,ok,1290636000,16549
37,3.02355,3.06489,2.97203,2.97355,ok,1290722400,29627
38,3.02376,3.02376,3.02376,3.02376,ok,1290808800,1
39,3.01599,3.02223,2.99505,3.02074,ok,1290895200,2525
40,3.10913,3.1369,3.01354,3.01581,ok,1290981600,33393
41,3.09382,3.13859,3.08257,3.10887,ok,1291068000,38211
