,c,h,l,o,s,t,v
0,3.74918,3.74925,3.7447,3.7492,ok,1287435600,3640
1,3.74925,3.7493,3.74475,3.7492,ok,1287522000,3639
2,3.74918,3.74935,3.74468,3.7493,ok,1287608400,2495
3,3.7397,3.74925,3.73968,3.74915,ok,1287694800,3382
4,3.7493,3.74935,3.7398,3.7398,ok,1287954000,2563
5,3.74933,3.74945,3.7448,3.74935,ok,1288040400,2255
6,3.74945,3.7495,3.7448,3.74945,ok,1288126800,1634
7,3.7492,3.7495,3.7447,3.7494,ok,1288213200,366
8,3.7398,3.74935,3.7398,3.74932,ok,1288299600,535
9,3.73978,3.73985,3.73978,3.73985,ok,1288472400,4
10,3.7493,3.74932,3.7397,3.7397,ok,1288558800,630
11,3.74923,3.74932,3.7492,3.7492,ok,1288645200,767
12,3.7493,3.74935,3.7448,3.74925,ok,1288731600,786
13,3.74913,3.74945,3.7447,3.7494,ok,1288818000,1895
14,3.7397,3.74922,3.73965,3.7491,ok,1288904400,2781
15,3.73978,3.73985,3.73978,3.7398,ok,1289077200,3
16,3.74913,3.74932,3.73978,3.73985,ok,1289167200,519
17,3.74905,3.7495,3.74905,3.74905,ok,1289253600,16
18,3.74943,3.74955,3.745,3.7491,ok,1289340000,1942
19,3.74942,3.74957,3.74492,3.7495,ok,1289426400,286
20,3.73995,3.74955,3.73995,3.74935,ok,1289512800,20
21,3.73997,3.73997,3.7398,3.7399,ok,1289685600,7
22,3.74953,3.7496,3.73985,3.73985,ok,1289772000,29
23,3.74948,3.74957,3.74503,3.74935,ok,1289858400,23
24,3.74947,3.74955,3.74503,3.74935,ok,1289944800,23
25,3.74948,3.7496,3.74507,3.7496,ok,1290031200,10
26,3.7401,3.74957,3.74005,3.74935,ok,1290117600,20
27,3.74002,3.74002,3.7399,3.7399,ok,1290290400,5
28,3.74953,3.74965,3.73995,3.73995,ok,1290376800,43
29,3.74953,3.74965,3.74513,3.7495,ok,1290463200,42
30,3.74963,3.7498,3.74515,3.74935,ok,1290549600,55
31,3.74975,3.74987,3.74935,3.74935,ok,1290636000,31
32,3.7405,3.74985,3.7402,3.7495,ok,1290722400,24
33,3.7402,3.74023,3.7402,3.74023,ok,1290895200,2
34,3.74973,3.74995,3.73995,3.73995,ok,1290981600,212
35,3.74972,3.74987,3.74533,3.7494,ok,1291068000,1700
36,3.74973,3.74987,3.74528,3.74945,ok,1291154400,1514
37,3.74955,3.74985,3.74535,3.74945,ok,1291240800,1411
38,3.74025,3.74985,3.74025,3.7496,ok,1291327200,1341
39,3.74028,3.7405,3.7399,3.7399,ok,1291500000,450
40,3.74987,3.74997,3.74,3.74005,ok,1291586400,1342
41,3.74982,3.74992,3.7498,3.7499,ok,1291672800,1339
42,3.74982,3.74985,3.7497,3.7498,ok,1291759200,619
43,3.74983,3.74987,3.74537,3.74975,ok,1291845600,184
44,3.7404,3.74987,3.74035,3.7498,ok,1291932000,474
45,3.74023,3.74035,3.74005,3.7401,ok,1292104800,22
46,3.74975,3.74992,3.74005,3.74005,ok,1292191200,459
47,3.7498,3.74985,3.74525,3.7498,ok,1292277600,355
48,3.74998,3.75,3.74515,3.74975,ok,1292364000,835
49,3.7498,3.75035,3.7453,3.7503,ok,1292450400,2028
50,3.74015,3.74985,3.74015,3.74965,ok,1292536800,1949
51,3.7403,3.74032,3.74028,3.74031,ok,1292709600,596
52,3.7499,3.75,3.7404,3.74045,ok,1292796000,1989
53,3.74978,3.75,3.74958,3.74965,ok,1292882400,616
