,c,h,l,o,s,t,v
0,6.80092,6.82095,6.62588,6.66527,ok,1287435600,51790
1,6.63711,6.8205,6.62789,6.80071,ok,1287522000,49824
2,6.67374,6.68393,6.5966,6.63695,ok,1287608400,49100
3,6.60895,6.70177,6.60895,6.67394,ok,1287694800,38214
4,6.60781,6.60781,6.60781,6.60781,ok,1287781200,1
5,6.58414,6.60771,6.5713,6.6059,ok,1287867600,813
6,6.57933,6.61019,6.53642,6.58492,ok,1287954000,39388
7,6.7255,6.73887,6.55088,6.58255,ok,1288040400,50758
8,6.77478,6.79262,6.70382,6.72604,ok,1288126800,56348
9,6.73163,6.77922,6.69485,6.7756,ok,1288213200,43797
10,6.65717,6.79604,6.65659,6.73211,ok,1288299600,44967
11,6.65703,6.65703,6.65703,6.65703,ok,1288386000,1
12,6.62975,6.65887,6.61877,6.65871,ok,1288472400,896
13,6.68745,6.71087,6.61238,6.6309,ok,1288558800,37047
14,6.62948,6.69798,6.61403,6.68763,ok,1288645200,39357
15,6.57865,6.6838,6.56371,6.63008,ok,1288731600,50622
16,6.51957,6.59301,6.48284,6.57886,ok,1288818000,40971
17,6.60302,6.63221,6.49381,6.5193,ok,1288904400,48693
18,6.60319,6.60319,6.60282,6.60282,ok,1288990800,2
19,6.59112,6.60787,6.59047,6.60186,ok,1289077200,1637
20,6.69357,6.70671,6.57964,6.59017,ok,1289167200,47138
21,6.75219,6.76577,6.65045,6.69295,ok,1289253600,52846
22,6.72871,6.80264,6.71773,6.75145,ok,1289340000,65963
23,6.83024,6.84946,6.70906,6.72851,ok,1289426400,46491
24,6.85425,6.90454,6.77463,6.83009,ok,1289512800,71235
25,6.8544,6.8544,6.8544,6.8544,ok,1289599200,1
26,6.83457,6.86171,6.82644,6.8599,ok,1289685600,1219
27,6.87786,6.91032,6.81416,6.83485,ok,1289772000,50046
28,6.9528,6.98474,6.84465,6.87762,ok,1289858400,63074
29,6.92049,6.999,6.91243,6.95338,ok,1289944800,47351
30,6.86349,6.92623,6.84236,6.921,ok,1290031200,45498
31,6.84735,6.89434,6.81541,6.86326,ok,1290117600,41442
32,6.84786,6.848,6.84786,6.848,ok,1290204000,2
33,6.82838,6.85155,6.81128,6.85018,ok,1290290400,1967
34,6.87638,6.91863,6.79918,6.82736,ok,1290376800,43068
35,6.97248,6.99357,6.86981,6.87618,ok,1290463200,60399
36,6.94208,7.02778,6.91647,6.97264,ok,1290549600,58689
37,6.94731,6.98255,6.92598,6.94234,ok,1290636000,32459
38,6.9896,7.05632,6.94488,6.94768,ok,1290722400,49444
39,6.98898,6.9898,6.98898,6.9898,ok,1290808800,2
40,6.96999,7.0023,6.93592,7.0023,ok,1290895200,3730
41,6.9804,7.06242,6.93082,6.96967,ok,1290981600,57890
42,7.02425,7.07238,6.96617,6.98083,ok,1291068000,62915
43,6.96379,7.03633,6.94838,7.02407,ok,1291154400,61731
44,6.90565,6.99473,6.89294,6.96352,ok,1291240800,57556
45,6.78387,6.9139,6.76895,6.9063,ok,1291327200,52102
