,c,h,l,o,s,t,v
0,1.31286,1.31491,1.29802,1.2985,ok,1287435600,12303
1,1.30247,1.3163,1.29985,1.3129,ok,1287522000,10295
2,1.30161,1.30483,1.29419,1.30242,ok,1287608400,12589
3,1.29625,1.30365,1.29625,1.30174,ok,1287694800,10334
4,1.29499,1.29749,1.29463,1.296,ok,1287867600,80
5,1.29263,1.29944,1.29047,1.29505,ok,1287954000,8388
6,1.29633,1.30022,1.29248,1.29268,ok,1288040400,9852
7,1.30311,1.30733,1.29624,1.29628,ok,1288126800,12155
8,1.29538,1.30525,1.29484,1.30315,ok,1288213200,9484
9,1.29303,1.3005,1.2925,1.29565,ok,1288299600,8844
10,1.29271,1.29575,1.29236,1.29575,ok,1288472400,79
11,1.29155,1.29414,1.28923,1.29276,ok,1288558800,7654
12,1.28782,1.29314,1.28693,1.29162,ok,1288645200,6117
13,1.28547,1.28887,1.28413,1.2879,ok,1288731600,7984
14,1.2819,1.28603,1.28135,1.28543,ok,1288818000,8166
15,1.28492,1.28733,1.28176,1.28188,ok,1288904400,8078
16,1.2847,1.28591,1.2845,1.28591,ok,1289077200,66
17,1.28772,1.28875,1.28327,1.28472,ok,1289167200,9596
18,1.29006,1.29126,1.28225,1.2877,ok,1289253600,8909
19,1.28778,1.29285,1.28581,1.29003,ok,1289340000,9790
20,1.28914,1.29099,1.28454,1.28787,ok,1289426400,7074
21,1.29707,1.29962,1.28893,1.28911,ok,1289512800,15223
22,1.29759,1.29794,1.29742,1.29758,ok,1289685600,31
23,1.30269,1.30791,1.29558,1.29764,ok,1289772000,12092
24,1.3047,1.30606,1.29549,1.30271,ok,1289858400,11496
25,1.30093,1.30688,1.3004,1.30472,ok,1289944800,7567
26,1.29569,1.30192,1.29348,1.3009,ok,1290031200,9566
27,1.29532,1.29877,1.29375,1.2958,ok,1290117600,8364
28,1.29509,1.2952,1.29509,1.2952,ok,1290204000,2
29,1.2955,1.296,1.29433,1.29527,ok,1290290400,86
30,1.29688,1.29897,1.29261,1.29557,ok,1290376800,7979
31,1.31421,1.31566,1.29639,1.29685,ok,1290463200,14796
32,1.30952,1.3145,1.30655,1.31424,ok,1290549600,11798
33,1.30618,1.31197,1.30548,1.30955,ok,1290636000,7753
34,1.3191,1.32224,1.30615,1.30621,ok,1290722400,11451
35,1.31656,1.32063,1.31656,1.32032,ok,1290895200,128
36,1.31853,1.32299,1.31392,1.31652,ok,1290981600,10977
37,1.3199,1.32516,1.31637,1.31848,ok,1291068000,11663
38,1.31001,1.32244,1.30842,1.31995,ok,1291154400,10546
39,1.30637,1.31447,1.30504,1.30997,ok,1291240800,9744
40,1.30228,1.30994,1.30057,1.30675,ok,1291327200,9974
41,1.30176,1.30223,1.30176,1.30223,ok,1291413600,2
