,c,h,l,o,s,t,v
0,29.92,29.934,29.663,29.813,ok,1287435600,260
1,29.63,29.994,29.624,29.925,ok,1287522000,568
2,29.806,29.838,29.572,29.625,ok,1287608400,417
3,29.445,29.925,29.445,29.809,ok,1287694800,461
4,29.44,29.44,29.44,29.44,ok,1287867600,1
5,29.793,29.89,29.595,29.89,ok,1287954000,229
6,29.859,29.881,29.672,29.79,ok,1288040400,390
7,29.93,29.955,29.739,29.87,ok,1288126800,334
8,29.895,29.94,29.71,29.933,ok,1288213200,185
9,29.436,29.939,29.436,29.898,ok,1288299600,191
10,29.445,29.445,29.445,29.445,ok,1288472400,1
11,29.817,29.895,29.617,29.895,ok,1288558800,248
12,29.754,29.837,29.752,29.82,ok,1288645200,234
13,29.725,29.755,29.509,29.751,ok,1288731600,283
14,29.633,29.703,29.442,29.685,ok,1288818000,385
15,29.144,29.635,29.144,29.63,ok,1288904400,139
16,29.14,29.14,29.14,29.14,ok,1289077200,1
17,29.583,29.623,29.143,29.143,ok,1289167200,192
18,29.509,29.605,29.43,29.585,ok,1289253600,263
19,29.515,29.559,29.345,29.5,ok,1289340000,284
20,29.715,29.745,29.32,29.531,ok,1289426400,370
21,29.353,29.84,29.344,29.708,ok,1289512800,709
22,29.34,29.343,29.303,29.305,ok,1289685600,16
23,29.81,29.969,29.677,29.79,ok,1289772000,739
24,29.879,29.879,29.618,29.82,ok,1289858400,628
25,29.95,29.992,29.788,29.871,ok,1289944800,369
26,29.892,30.004,29.688,29.947,ok,1290031200,354
27,29.468,29.936,29.468,29.883,ok,1290117600,397
28,29.465,29.471,29.465,29.471,ok,1290204000,2
29,29.452,29.461,29.385,29.459,ok,1290290400,11
30,29.934,29.956,29.46,29.46,ok,1290376800,399
31,30.013,30.109,29.811,29.95,ok,1290463200,771
32,29.97,30.045,29.776,30.02,ok,1290549600,449
33,30.007,30.03,29.976,29.995,ok,1290636000,257
34,29.78,30.259,29.763,30.01,ok,1290722400,860
35,29.76,29.76,29.76,29.76,ok,1290808800,1
36,29.693,29.714,29.691,29.714,ok,1290895200,3
37,30.188,30.288,29.699,29.699,ok,1290981600,568
38,30.154,30.183,29.95,30.18,ok,1291068000,308
39,30.016,30.163,29.811,30.15,ok,1291154400,398
40,29.955,30.024,29.793,30.001,ok,1291240800,536
41,29.527,30.021,29.525,29.965,ok,1291327200,400
42,29.521,29.53,29.521,29.53,ok,1291500000,7
43,29.972,29.995,29.515,29.518,ok,1291586400,118
44,29.987,30.004,29.935,29.975,ok,1291672800,340
45,30.076,30.157,29.98,29.98,ok,1291759200,631
46,30.038,30.082,29.824,30.082,ok,1291845600,341
47,29.569,30.045,29.569,30.045,ok,1291932000,165
48,29.587,29.59,29.58,29.59,ok,1292104800,4
49,29.991,30.04,29.59,29.59,ok,1292191200,172
50,29.969,29.993,29.759,29.987,ok,1292277600,160
51,30.038,30.038,29.822,29.99,ok,1292364000,238
52,30.086,30.089,29.874,30.045,ok,1292450400,365
53,29.647,30.103,29.647,30.089,ok,1292536800,185
54,29.648,29.655,29.645,29.655,ok,1292709600,3
55,30.126,30.168,29.621,29.64,ok,1292796000,298
56,30.108,30.144,30.102,30.132,ok,1292882400,223
57,30.109,30.148,29.91,30.111,ok,1292968800,127
58,30.111,30.119,29.906,30.103,ok,1293055200,145
59,29.686,30.143,29.686,30.115,ok,1293141600,161
60,29.685,29.705,29.685,29.7,ok,1293314400,5
61,30.134,30.141,29.68,29.68,ok,1293400800,53
62,30.127,30.148,29.929,30.13,ok,1293487200,83
63,30.108,30.135,30.097,30.123,ok,1293573600,154
64,30.098,30.137,29.894,30.113,ok,1293660000,146
65,29.565,30.101,29.531,30.095,ok,1293746400,180
66,29.572,29.593,29.572,29.593,ok,1293919200,4
67,30.016,30.05,29.569,29.569,ok,1294005600,230
68,30.047,30.059,29.975,30.023,ok,1294092000,558
69,30.164,30.168,29.929,30.043,ok,1294178400,477
70,30.181,30.225,29.978,30.161,ok,1294264800,659
71,29.914,30.411,29.914,30.195,ok,1294351200,631
72,29.864,29.87,29.862,29.87,ok,1294524000,7
73,30.629,30.72,30.29,30.314,ok,1294610400,985
74,30.469,30.793,30.455,30.625,ok,1294696800,1081
75,30.325,30.499,30.125,30.466,ok,1294783200,895
76,30.388,30.465,30.177,30.328,ok,1294869600,1048
77,30.004,30.528,30.002,30.42,ok,1294956000,707
78,30.0,30.0,30.0,30.0,ok,1295128800,1
79,30.516,30.559,29.993,29.995,ok,1295215200,466
80,30.418,30.6,30.242,30.54,ok,1295301600,868
81,30.427,30.455,30.205,30.41,ok,1295388000,433
82,30.564,30.594,30.295,30.433,ok,1295474400,609
83,30.19,30.662,30.173,30.545,ok,1295560800,678
84,30.208,30.208,30.205,30.205,ok,1295647200,2
85,30.185,30.195,30.185,30.195,ok,1295733600,4
86,30.897,30.94,30.188,30.188,ok,1295820000,1023
87,30.895,31.004,30.71,30.899,ok,1295906400,881
88,30.758,30.924,30.557,30.908,ok,1295992800,1021
89,30.827,30.977,30.59,30.76,ok,1296079200,1076
90,30.615,31.107,30.607,30.832,ok,1296165600,1158
91,30.615,30.615,30.615,30.615,ok,1296252000,12
92,30.569,30.615,30.557,30.615,ok,1296338400,23
93,30.876,31.2,30.587,30.587,ok,1296424800,1242
94,30.85,30.931,30.69,30.872,ok,1296511200,746
95,30.848,30.863,30.638,30.854,ok,1296597600,705
96,30.854,30.915,30.612,30.83,ok,1296684000,392
97,30.301,30.891,30.301,30.845,ok,1296770400,639
98,30.31,30.31,30.31,30.31,ok,1296856800,13
99,30.295,30.31,30.295,30.31,ok,1296943200,12
100,30.676,30.845,30.295,30.295,ok,1297029600,474
101,30.634,30.681,30.621,30.679,ok,1297116000,445
102,30.661,30.695,30.458,30.634,ok,1297202400,461
103,30.741,30.812,30.554,30.666,ok,1297288800,612
104,30.295,30.827,30.278,30.744,ok,1297375200,824
105,30.295,30.295,30.295,30.295,ok,1297461600,3
106,30.323,30.323,30.295,30.295,ok,1297548000,13
107,30.687,30.736,30.286,30.32,ok,1297634400,462
108,30.649,30.693,30.454,30.69,ok,1297720800,332
109,30.571,30.649,30.379,30.647,ok,1297807200,379
110,30.549,30.604,30.363,30.574,ok,1297893600,356
111,30.071,30.567,30.067,30.545,ok,1297980000,175
112,30.071,30.071,30.071,30.071,ok,1298066400,13
113,30.071,30.09,30.071,30.071,ok,1298152800,18
114,30.495,30.547,30.468,30.521,ok,1298239200,431
115,30.562,30.625,30.373,30.499,ok,1298325600,520
116,30.594,30.603,30.364,30.565,ok,1298412000,280
117,30.584,30.635,30.362,30.592,ok,1298498400,392
118,30.133,30.594,30.127,30.58,ok,1298584800,263
119,30.133,30.133,30.133,30.133,ok,1298671200,14
120,30.131,30.14,30.131,30.133,ok,1298757600,14
121,30.543,30.558,30.079,30.131,ok,1298844000,440
122,30.497,30.548,30.288,30.531,ok,1298930400,213
123,30.485,30.52,30.291,30.494,ok,1299016800,177
124,30.468,30.514,30.267,30.485,ok,1299103200,309
125,29.96,30.489,29.954,30.468,ok,1299189600,212
126,29.961,29.961,29.958,29.958,ok,1299276000,2
127,29.963,29.97,29.956,29.961,ok,1299362400,14
128,30.37,30.42,29.961,29.961,ok,1299448800,297
129,30.302,30.396,30.275,30.37,ok,1299535200,493
130,30.255,30.318,30.063,30.305,ok,1299621600,242
131,30.353,30.353,30.129,30.25,ok,1299708000,590
132,29.86,30.424,29.855,30.35,ok,1299794400,546
133,29.86,29.86,29.86,29.86,ok,1299880800,14
134,29.87,29.92,29.852,29.86,ok,1299967200,24
135,30.295,30.356,29.875,29.875,ok,1300050000,319
136,30.363,30.469,30.175,30.295,ok,1300136400,712
137,30.315,30.437,30.171,30.366,ok,1300222800,544
138,30.259,30.39,30.026,30.311,ok,1300309200,825
139,29.786,30.285,29.785,30.256,ok,1300395600,299
140,29.786,29.786,29.786,29.786,ok,1300482000,12
141,29.793,29.795,29.786,29.786,ok,1300568400,16
142,30.24,30.248,29.793,29.795,ok,1300654800,266
143,30.153,30.224,30.148,30.221,ok,1300741200,292
144,30.222,30.257,30.057,30.155,ok,1300827600,432
145,30.208,30.27,30.007,30.22,ok,1300914000,327
146,29.772,30.234,29.764,30.203,ok,1301000400,317
147,29.772,29.772,29.772,29.772,ok,1301086800,12
148,29.775,29.78,29.772,29.772,ok,1301173200,16
149,30.245,30.276,29.775,29.775,ok,1301259600,303
150,30.28,30.309,30.079,30.242,ok,1301346000,456
151,30.281,30.306,30.249,30.278,ok,1301432400,248
152,30.22,30.29,30.005,30.281,ok,1301518800,375
153,29.756,30.268,29.756,30.216,ok,1301605200,350
154,29.756,29.77,29.756,29.77,ok,1301691600,12
155,29.755,29.775,29.755,29.756,ok,1301778000,19
156,30.17,30.219,29.755,29.755,ok,1301864400,287
157,30.118,30.202,29.948,30.17,ok,1301950800,345
158,30.109,30.126,29.9,30.12,ok,1302037200,156
159,30.01,30.107,29.837,30.107,ok,1302123600,287
160,29.539,30.046,29.532,30.021,ok,1302210000,358
161,29.539,29.539,29.539,29.539,ok,1302296400,10
162,29.539,29.539,29.535,29.539,ok,1302382800,14
163,30.039,30.058,29.537,29.537,ok,1302469200,261
164,30.109,30.17,29.891,30.037,ok,1302555600,538
165,30.101,30.123,29.9,30.1,ok,1302642000,179
166,30.097,30.135,29.921,30.098,ok,1302728400,342
167,29.621,30.11,29.619,30.1,ok,1302814800,215
168,29.621,29.621,29.621,29.621,ok,1302901200,11
169,29.615,29.634,29.615,29.621,ok,1302987600,24
170,30.074,30.099,30.04,30.065,ok,1303074000,369
171,30.0,30.091,29.811,30.077,ok,1303160400,309
172,29.885,30.003,29.686,30.003,ok,1303246800,445
173,29.859,29.899,29.656,29.889,ok,1303333200,460
174,29.425,29.924,29.425,29.857,ok,1303419600,395
175,29.425,29.425,29.425,29.425,ok,1303506000,13
176,29.43,29.43,29.425,29.425,ok,1303592400,13
177,29.903,29.916,29.695,29.88,ok,1303678800,240
178,29.91,29.98,29.734,29.9,ok,1303765200,328
179,29.687,29.936,29.672,29.907,ok,1303851600,333
180,29.861,29.895,29.617,29.69,ok,1303938000,388
181,29.414,29.92,29.404,29.865,ok,1304024400,427
182,29.414,29.414,29.414,29.414,ok,1304110800,12
183,29.415,29.415,29.405,29.414,ok,1304197200,15
184,29.801,29.889,29.607,29.865,ok,1304283600,123
185,29.959,29.963,29.804,29.804,ok,1304370000,406
186,30.034,30.051,29.719,29.956,ok,1304456400,417
187,30.216,30.225,29.895,30.036,ok,1304542800,380
188,29.714,30.215,29.714,30.211,ok,1304629200,958
189,29.714,29.714,29.714,29.714,ok,1304715600,12
190,29.728,29.732,29.714,29.714,ok,1304802000,16
191,30.129,30.18,29.728,29.728,ok,1304888400,400
192,30.109,30.161,30.107,30.125,ok,1304974800,219
193,30.14,30.165,29.85,30.103,ok,1305061200,651
194,30.223,30.295,30.067,30.143,ok,1305147600,794
195,29.777,30.253,29.775,30.218,ok,1305234000,671
196,29.777,29.777,29.777,29.777,ok,1305320400,13
197,29.756,29.777,29.756,29.777,ok,1305406800,13
198,30.241,30.295,29.771,29.771,ok,1305493200,465
199,30.263,30.285,30.063,30.245,ok,1305579600,282
200,30.201,30.265,29.976,30.26,ok,1305666000,365
201,30.209,30.247,30.033,30.205,ok,1305752400,364
202,29.787,30.266,29.769,30.205,ok,1305838800,616
203,29.787,29.787,29.787,29.787,ok,1305925200,12
204,29.787,29.787,29.787,29.787,ok,1306011600,12
205,30.362,30.379,29.789,29.789,ok,1306098000,588
206,30.333,30.364,30.145,30.362,ok,1306184400,385
