,c,h,l,o,s,t,v
0,1.43312,1.43687,1.41071,1.41156,ok,1287435600,26547
1,1.42019,1.43811,1.41933,1.4332,ok,1287522000,25289
2,1.42393,1.4282,1.4172,1.41985,ok,1287608400,26867
3,1.4149,1.432,1.41376,1.4239,ok,1287694800,26597
4,1.41327,1.41458,1.41264,1.41264,ok,1287867600,26
5,1.41144,1.42117,1.41086,1.4136,ok,1287954000,23472
6,1.42269,1.429,1.41119,1.41135,ok,1288040400,21998
7,1.43689,1.44696,1.42244,1.42265,ok,1288126800,29024
8,1.42612,1.44175,1.42474,1.43703,ok,1288213200,20372
9,1.42298,1.43991,1.42189,1.42628,ok,1288299600,16420
10,1.4218,1.4253,1.42053,1.4243,ok,1288472400,87
11,1.42107,1.42964,1.42024,1.42175,ok,1288558800,20721
12,1.40747,1.42326,1.40508,1.4211,ok,1288645200,19344
13,1.39846,1.41215,1.39668,1.40749,ok,1288731600,19493
14,1.39059,1.40343,1.38746,1.39844,ok,1288818000,25842
15,1.38806,1.40398,1.38719,1.39064,ok,1288904400,31676
16,1.3873,1.38765,1.38576,1.38576,ok,1289077200,31
17,1.40437,1.41792,1.38679,1.38726,ok,1289167200,28382
18,1.41131,1.41528,1.40249,1.40435,ok,1289253600,22444
19,1.41113,1.42404,1.40923,1.41137,ok,1289340000,33250
20,1.43184,1.43667,1.40987,1.41123,ok,1289426400,26725
21,1.42934,1.44663,1.4269,1.43179,ok,1289512800,41584
22,1.43046,1.43249,1.43046,1.43249,ok,1289685600,34
23,1.44123,1.45007,1.42933,1.43043,ok,1289772000,22544
24,1.45878,1.46611,1.44128,1.44128,ok,1289858400,25746
25,1.45253,1.46568,1.45134,1.45873,ok,1289944800,25302
26,1.43942,1.4547,1.43779,1.45267,ok,1290031200,21583
27,1.43194,1.44765,1.43091,1.43939,ok,1290117600,17637
28,1.43184,1.43361,1.43184,1.43361,ok,1290290400,20
29,1.44959,1.45761,1.4307,1.43228,ok,1290376800,23809
30,1.48043,1.48413,1.44911,1.44975,ok,1290463200,37063
31,1.47332,1.48792,1.47001,1.48045,ok,1290549600,37167
32,1.46603,1.47991,1.46596,1.4732,ok,1290636000,15489
33,1.47715,1.4941,1.46559,1.46605,ok,1290722400,28555
34,1.47767,1.48059,1.47653,1.4804,ok,1290895200,69
35,1.49971,1.51126,1.47733,1.4805,ok,1290981600,33687
36,1.49963,1.51258,1.49789,1.49975,ok,1291068000,39607
37,1.48429,1.50345,1.48385,1.49985,ok,1291154400,38003
38,1.47937,1.49568,1.47813,1.48423,ok,1291240800,35726
39,1.46643,1.49675,1.46518,1.47932,ok,1291327200,32812
40,1.46648,1.46648,1.46648,1.46648,ok,1291413600,1
41,1.46603,1.46652,1.46391,1.46391,ok,1291500000,30
42,1.47611,1.48846,1.46471,1.466,ok,1291586400,23091
43,1.47912,1.48218,1.47193,1.47605,ok,1291672800,27903
44,1.4892,1.49682,1.47883,1.4792,ok,1291759200,27228
45,1.50533,1.5115,1.48374,1.48918,ok,1291845600,30037
46,1.49602,1.50902,1.49158,1.5039,ok,1291932000,21253
47,1.499,1.50089,1.4935,1.4935,ok,1292104800,222
48,1.50063,1.51373,1.4982,1.49885,ok,1292191200,21925
49,1.50849,1.51275,1.49674,1.50065,ok,1292277600,21764
50,1.51964,1.52411,1.50712,1.50845,ok,1292364000,28480
51,1.5176,1.52825,1.51756,1.5203,ok,1292450400,22137
52,1.5369,1.5521,1.51636,1.51765,ok,1292536800,24652
53,1.5373,1.5373,1.53613,1.53613,ok,1292709600,15
54,1.55585,1.56623,1.53722,1.53723,ok,1292796000,18141
55,1.55197,1.5594,1.55015,1.5557,ok,1292882400,17053
56,1.54627,1.55444,1.54596,1.5515,ok,1292968800,16138
57,1.54126,1.55437,1.54088,1.5462,ok,1293055200,13054
58,1.53753,1.54822,1.53734,1.54135,ok,1293141600,5205
59,1.53781,1.53801,1.53781,1.53799,ok,1293314400,6
60,1.54099,1.54926,1.5379,1.5379,ok,1293400800,8095
61,1.55755,1.56417,1.53898,1.54111,ok,1293487200,15969
62,1.54754,1.56585,1.54685,1.5574,ok,1293573600,14094
63,1.5499,1.55688,1.5469,1.54765,ok,1293660000,12761
64,1.53195,1.55185,1.53112,1.5498,ok,1293746400,9387
65,1.53388,1.53388,1.53388,1.53388,ok,1293832800,1
66,1.5344,1.5379,1.5282,1.5329,ok,1293919200,69
67,1.5522,1.56295,1.5324,1.5324,ok,1294005600,15268
68,1.53566,1.55891,1.53566,1.55216,ok,1294092000,27120
69,1.53966,1.55342,1.53518,1.53569,ok,1294178400,26377
70,1.54786,1.55636,1.53965,1.53969,ok,1294264800,24433
71,1.5651,1.57612,1.54759,1.54782,ok,1294351200,30871
72,1.56458,1.56458,1.56155,1.56155,ok,1294524000,18
73,1.57209,1.59352,1.56425,1.5644,ok,1294610400,30191
74,1.57316,1.58563,1.57084,1.57193,ok,1294696800,24332
75,1.55565,1.57599,1.55442,1.5732,ok,1294783200,29040
76,1.54445,1.56699,1.54363,1.55535,ok,1294869600,28973
77,1.5428,1.55397,1.54165,1.54435,ok,1294956000,29931
78,1.54175,1.54529,1.54175,1.54529,ok,1295128800,25
79,1.53751,1.55708,1.53687,1.54172,ok,1295215200,16035
80,1.53618,1.54108,1.53094,1.53745,ok,1295301600,24739
81,1.54413,1.55194,1.5296,1.53621,ok,1295388000,27828
82,1.57944,1.58448,1.54237,1.54402,ok,1295474400,42126
83,1.56289,1.58685,1.56202,1.57947,ok,1295560800,26879
84,1.56294,1.56299,1.56285,1.56285,ok,1295647200,3
85,1.56244,1.5655,1.56239,1.5655,ok,1295733600,7
86,1.55799,1.57803,1.55756,1.5625,ok,1295820000,23402
87,1.56396,1.57257,1.55351,1.55788,ok,1295906400,21992
88,1.57101,1.58087,1.56141,1.56385,ok,1295992800,22062
89,1.57616,1.58126,1.56861,1.57121,ok,1296079200,23884
90,1.60476,1.61566,1.57381,1.57625,ok,1296165600,33731
91,1.60476,1.60476,1.60476,1.60476,ok,1296252000,12
92,1.6058,1.60674,1.60401,1.60476,ok,1296338400,66
93,1.59962,1.61663,1.59731,1.60938,ok,1296424800,24522
94,1.57348,1.6034,1.57325,1.5995,ok,1296511200,25764
95,1.57157,1.58395,1.57119,1.57352,ok,1296597600,25581
96,1.58976,1.60057,1.56926,1.5715,ok,1296684000,28451
97,1.57505,1.60982,1.57275,1.58994,ok,1296770400,26059
98,1.57505,1.57505,1.57505,1.57505,ok,1296856800,12
99,1.57981,1.57992,1.57331,1.57505,ok,1296943200,30
100,1.5718,1.58602,1.57156,1.57989,ok,1297029600,23096
101,1.57028,1.57986,1.56815,1.57184,ok,1297116000,24045
102,1.58479,1.59263,1.57016,1.57025,ok,1297202400,27781
103,1.5869,1.60079,1.58473,1.58473,ok,1297288800,27109
104,1.57776,1.59996,1.57702,1.58692,ok,1297375200,24238
105,1.57763,1.57763,1.57763,1.57763,ok,1297461600,4
106,1.57893,1.58013,1.57351,1.57763,ok,1297548000,90
107,1.59001,1.60247,1.57409,1.57849,ok,1297634400,26883
108,1.59224,1.60278,1.58683,1.58992,ok,1297720800,23090
109,1.57842,1.59607,1.57654,1.59219,ok,1297807200,29620
110,1.57025,1.58362,1.57025,1.57844,ok,1297893600,22896
111,1.56771,1.58575,1.56736,1.57023,ok,1297980000,20810
112,1.56771,1.56771,1.56771,1.56771,ok,1298066400,12
113,1.56505,1.56905,1.56423,1.56771,ok,1298152800,61
114,1.58688,1.59191,1.56465,1.56492,ok,1298239200,11837
115,1.59339,1.60514,1.5859,1.58675,ok,1298325600,22627
116,1.60355,1.61163,1.58717,1.59345,ok,1298412000,21133
117,1.59881,1.61524,1.59748,1.6035,ok,1298498400,24015
118,1.5887,1.60488,1.58631,1.59875,ok,1298584800,17492
119,1.5887,1.5887,1.5887,1.5887,ok,1298671200,14
120,1.5854,1.5887,1.5854,1.5887,ok,1298757600,20
121,1.59303,1.60493,1.5854,1.58543,ok,1298844000,19155
122,1.61061,1.61451,1.59243,1.59299,ok,1298930400,24189
123,1.61405,1.62042,1.61037,1.61067,ok,1299016800,22855
124,1.59175,1.61823,1.59081,1.61401,ok,1299103200,22105
125,1.58824,1.6041,1.58824,1.59172,ok,1299189600,17742
126,1.5885,1.5885,1.5885,1.5885,ok,1299276000,1
127,1.59,1.59333,1.5885,1.5885,ok,1299362400,43
128,1.59156,1.6056,1.58948,1.59017,ok,1299448800,18794
129,1.58398,1.59796,1.58306,1.59159,ok,1299535200,18341
130,1.57531,1.58991,1.57521,1.584,ok,1299621600,14204
131,1.57899,1.58666,1.57503,1.57528,ok,1299708000,21317
132,1.57293,1.5902,1.5724,1.57901,ok,1299794400,16526
133,1.5731,1.57317,1.5731,1.57317,ok,1299880800,16
134,1.57141,1.57776,1.56721,1.5731,ok,1299967200,204
135,1.56369,1.58332,1.56262,1.57145,ok,1300050000,17184
136,1.57384,1.58968,1.56355,1.56366,ok,1300136400,27230
137,1.58659,1.59399,1.5727,1.57388,ok,1300222800,25808
138,1.58487,1.5951,1.58158,1.58661,ok,1300309200,22644
139,1.56877,1.58752,1.56832,1.58479,ok,1300395600,20097
140,1.56877,1.56877,1.56877,1.56877,ok,1300482000,12
141,1.56844,1.56888,1.56826,1.56877,ok,1300568400,37
142,1.57199,1.58062,1.56839,1.56849,ok,1300654800,14369
143,1.55727,1.57355,1.55528,1.57203,ok,1300741200,13284
144,1.5526,1.56605,1.55117,1.55729,ok,1300827600,18005
145,1.54701,1.55969,1.54669,1.55246,ok,1300914000,16186
146,1.54607,1.55625,1.54573,1.54688,ok,1301000400,18546
147,1.54607,1.54607,1.54607,1.54607,ok,1301086800,12
148,1.54727,1.55557,1.54607,1.54607,ok,1301173200,52
149,1.55629,1.55921,1.54651,1.5473,ok,1301259600,13246
150,1.5507,1.5669,1.55055,1.55624,ok,1301346000,12586
151,1.54698,1.55778,1.54696,1.55072,ok,1301432400,10594
152,1.54075,1.55217,1.53873,1.54695,ok,1301518800,15117
153,1.51989,1.54471,1.51917,1.54078,ok,1301605200,16992
154,1.51989,1.51989,1.51989,1.51989,ok,1301691600,11
155,1.51946,1.52144,1.51891,1.51989,ok,1301778000,38
156,1.52705,1.53811,1.51824,1.51943,ok,1301864400,12788
157,1.52356,1.53753,1.52299,1.527,ok,1301950800,12351
158,1.50899,1.52777,1.50816,1.5236,ok,1302037200,13206
159,1.50693,1.51899,1.50621,1.50902,ok,1302123600,18386
160,1.50048,1.51131,1.49936,1.507,ok,1302210000,14656
161,1.50056,1.50056,1.50056,1.50056,ok,1302296400,11
162,1.49974,1.50056,1.49718,1.50056,ok,1302382800,42
163,1.51127,1.51597,1.4997,1.4997,ok,1302469200,15445
164,1.51832,1.524,1.50912,1.51138,ok,1302555600,18872
165,1.51472,1.52255,1.51077,1.51835,ok,1302642000,17526
166,1.51244,1.52804,1.51223,1.51482,ok,1302728400,18387
167,1.5026,1.52275,1.5026,1.51264,ok,1302814800,15301
168,1.5026,1.5026,1.5026,1.5026,ok,1302901200,11
169,1.50389,1.5041,1.5026,1.5026,ok,1302987600,43
170,1.53621,1.54455,1.50385,1.50391,ok,1303074000,23872
171,1.52473,1.54049,1.52301,1.53619,ok,1303160400,17048
172,1.51427,1.52696,1.5138,1.52475,ok,1303246800,17641
173,1.51606,1.52187,1.50965,1.51435,ok,1303333200,15526
174,1.50751,1.51749,1.50746,1.51608,ok,1303419600,2406
175,1.50751,1.50751,1.50751,1.50751,ok,1303506000,13
176,1.5069,1.50926,1.50465,1.50751,ok,1303592400,16
177,1.52132,1.52684,1.5119,1.5119,ok,1303678800,8796
178,1.51998,1.53329,1.51938,1.52128,ok,1303765200,13908
179,1.51136,1.52685,1.51134,1.51996,ok,1303851600,14613
180,1.51995,1.52656,1.50794,1.51133,ok,1303938000,16408
181,1.51145,1.52581,1.51025,1.51992,ok,1304024400,11388
182,1.51145,1.51145,1.51145,1.51145,ok,1304110800,12
183,1.50976,1.51145,1.50976,1.51145,ok,1304197200,22
184,1.51721,1.52201,1.5098,1.5098,ok,1304283600,8960
185,1.52855,1.538,1.51491,1.51718,ok,1304370000,16573
186,1.54301,1.54643,1.5285,1.52859,ok,1304456400,21991
187,1.54632,1.55053,1.53666,1.54292,ok,1304542800,25688
188,1.53447,1.54782,1.53309,1.54594,ok,1304629200,22751
189,1.53447,1.53447,1.53447,1.53447,ok,1304715600,12
190,1.53483,1.53768,1.53328,1.53447,ok,1304802000,56
191,1.54159,1.55251,1.53429,1.53478,ok,1304888400,20240
192,1.5547,1.56682,1.5402,1.5415,ok,1304974800,34006
193,1.58194,1.58667,1.55379,1.55465,ok,1305061200,33847
194,1.57277,1.59098,1.57057,1.58201,ok,1305147600,33574
195,1.58695,1.5962,1.57268,1.57269,ok,1305234000,29063
196,1.58695,1.58695,1.58695,1.58695,ok,1305320400,13
197,1.58659,1.58778,1.58591,1.58695,ok,1305406800,71
198,1.58713,1.59695,1.58551,1.58675,ok,1305493200,24278
199,1.58069,1.59396,1.57968,1.58715,ok,1305579600,22622
200,1.56766,1.58603,1.56675,1.58065,ok,1305666000,19086
201,1.5698,1.58027,1.56678,1.56764,ok,1305752400,15848
202,1.57599,1.59277,1.56978,1.56978,ok,1305838800,21921
203,1.57599,1.57599,1.57599,1.57599,ok,1305925200,12
204,1.58054,1.58084,1.57599,1.57599,ok,1306011600,45
205,1.5985,1.61123,1.57979,1.58046,ok,1306098000,27652
206,1.59309,1.60425,1.59299,1.59854,ok,1306184400,26583
207,1.60089,1.61102,1.59204,1.59305,ok,1306270800,28885
208,1.59824,1.60794,1.59372,1.60083,ok,1306357200,25963
209,1.59516,1.61244,1.5927,1.59827,ok,1306443600,26836
210,1.59516,1.59516,1.59516,1.59516,ok,1306530000,12
211,1.59582,1.59701,1.59475,1.59516,ok,1306616400,27
212,1.59888,1.6071,1.59533,1.59571,ok,1306702800,9253
213,1.58828,1.60238,1.58828,1.59893,ok,1306789200,22881
214,1.59456,1.59893,1.58423,1.5883,ok,1306875600,24874
215,1.57586,1.59842,1.57549,1.59462,ok,1306962000,23692
216,1.56336,1.58827,1.56194,1.57584,ok,1307048400,25497
217,1.56336,1.56336,1.56336,1.56336,ok,1307134800,12
218,1.56273,1.56563,1.56273,1.56336,ok,1307221200,26
219,1.58205,1.58689,1.5627,1.5627,ok,1307307600,24546
220,1.57589,1.58585,1.57461,1.58214,ok,1307394000,19874
221,1.57733,1.5898,1.57524,1.57592,ok,1307480400,21704
222,1.56825,1.58272,1.56709,1.57729,ok,1307566800,22259
223,1.56525,1.58208,1.56525,1.56817,ok,1307653200,22063
224,1.56025,1.56525,1.56025,1.56525,ok,1307739600,13
225,1.55811,1.56291,1.55399,1.56025,ok,1307826000,211
226,1.57061,1.57876,1.55765,1.55808,ok,1307912400,18846
227,1.58029,1.58766,1.56875,1.57069,ok,1307998800,22716
228,1.60281,1.61101,1.5793,1.58025,ok,1308085200,23237
229,1.60502,1.62639,1.60238,1.60278,ok,1308171600,41292
230,1.58627,1.61551,1.58339,1.60498,ok,1308258000,32406
231,1.58627,1.58627,1.58627,1.58627,ok,1308344400,12
232,1.58355,1.5899,1.58278,1.58627,ok,1308430800,76
233,1.59595,1.61289,1.58335,1.5834,ok,1308517200,26580
234,1.60701,1.61565,1.59558,1.59598,ok,1308603600,25336
235,1.6125,1.62166,1.60255,1.60706,ok,1308690000,25820
236,1.62602,1.63719,1.61147,1.61253,ok,1308776400,35106
237,1.62639,1.63637,1.62178,1.62584,ok,1308862800,28725
238,1.62639,1.62639,1.62639,1.62639,ok,1308949200,12
239,1.62518,1.627,1.62381,1.62639,ok,1309035600,55
240,1.63219,1.6465,1.62494,1.6251,ok,1309122000,24153
241,1.63756,1.6469,1.63147,1.63224,ok,1309208400,27671
242,1.61692,1.64437,1.61586,1.63753,ok,1309294800,33421
243,1.61792,1.62598,1.61575,1.61689,ok,1309381200,26190
244,1.59729,1.62206,1.59598,1.61787,ok,1309467600,24101
245,1.59729,1.59729,1.59729,1.59729,ok,1309554000,12
246,1.59696,1.59886,1.59669,1.59729,ok,1309640400,29
247,1.61097,1.61728,1.59642,1.59692,ok,1309726800,12975
248,1.62186,1.63048,1.61094,1.61094,ok,1309813200,21343
249,1.6277,1.63603,1.62173,1.62184,ok,1309899600,24145
250,1.61299,1.63907,1.61297,1.62765,ok,1309986000,26932
251,1.61745,1.63149,1.61293,1.61296,ok,1310072400,28185
252,1.61745,1.61745,1.61745,1.61745,ok,1310158800,12
253,1.61854,1.61929,1.616,1.61745,ok,1310245200,114
254,1.64144,1.64711,1.61851,1.61857,ok,1310331600,29974
255,1.64534,1.65901,1.64143,1.64153,ok,1310418000,44103
256,1.63792,1.65437,1.6374,1.64537,ok,1310504400,27710
257,1.64182,1.64792,1.63704,1.6379,ok,1310590800,28382
258,1.64115,1.65251,1.6392,1.6418,ok,1310677200,21818
259,1.64115,1.64115,1.64115,1.64115,ok,1310763600,12
260,1.64179,1.64213,1.63875,1.64115,ok,1310850000,61
261,1.65382,1.67134,1.64174,1.64176,ok,1310936400,25380
262,1.65309,1.66141,1.65285,1.65388,ok,1311022800,23513
263,1.65671,1.66599,1.65202,1.65301,ok,1311109200,23502
264,1.66194,1.67855,1.65549,1.65667,ok,1311195600,35662
265,1.68742,1.6989,1.66116,1.66185,ok,1311282000,26916
266,1.68742,1.68742,1.68742,1.68742,ok,1311368400,2
267,1.6873,1.68762,1.68665,1.68742,ok,1311454800,29
268,1.71099,1.72977,1.6873,1.68733,ok,1311541200,35334
269,1.69307,1.72364,1.69251,1.71096,ok,1311627600,32128
270,1.68593,1.70732,1.68387,1.69311,ok,1311714000,31414
271,1.6722,1.69485,1.66725,1.68595,ok,1311800400,34315
272,1.67861,1.69872,1.67057,1.67213,ok,1311886800,32795
273,1.67861,1.67861,1.67861,1.67861,ok,1311973200,12
274,1.67922,1.6802,1.67622,1.67861,ok,1312059600,64
275,1.68739,1.69793,1.66698,1.67928,ok,1312146000,27868
276,1.70476,1.71166,1.68379,1.68744,ok,1312232400,43300
277,1.68952,1.72321,1.68928,1.7048,ok,1312318800,40474
278,1.7363,1.73978,1.68631,1.68948,ok,1312405200,58231
279,1.73521,1.75558,1.72406,1.73626,ok,1312491600,45661
280,1.72521,1.73521,1.72521,1.73521,ok,1312578000,12
281,1.72301,1.72521,1.71684,1.72521,ok,1312664400,482
282,1.77654,1.79147,1.72295,1.72304,ok,1312750800,46116
283,1.75061,1.83187,1.74585,1.77661,ok,1312837200,64139
284,1.77112,1.77826,1.73681,1.75053,ok,1312923600,50737
285,1.7772,1.79929,1.75505,1.77116,ok,1313010000,57806
286,1.76784,1.79323,1.76555,1.77725,ok,1313096400,42998
287,1.76784,1.76784,1.76784,1.76784,ok,1313182800,12
288,1.76927,1.77174,1.76746,1.76784,ok,1313269200,71
289,1.76112,1.77774,1.7591,1.76907,ok,1313355600,25072
290,1.77128,1.78381,1.75833,1.76097,ok,1313442000,32731
291,1.76482,1.78096,1.75975,1.77134,ok,1313528400,31885
292,1.78017,1.79598,1.76433,1.76486,ok,1313614800,39501
293,1.77756,1.79604,1.77596,1.78021,ok,1313701200,30062
294,1.77756,1.77756,1.77756,1.77756,ok,1313787600,12
295,1.77849,1.77935,1.77523,1.77756,ok,1313874000,74
296,1.78045,1.79452,1.77823,1.77861,ok,1313960400,21488
297,1.76399,1.78696,1.76313,1.78038,ok,1314046800,25500
298,1.77827,1.78519,1.76383,1.76401,ok,1314133200,24489
299,1.75133,1.78285,1.7505,1.77798,ok,1314219600,29419
300,1.7405,1.75868,1.73802,1.75131,ok,1314306000,27494
301,1.7405,1.7405,1.7405,1.7405,ok,1314392400,13
302,1.73941,1.7405,1.73923,1.7405,ok,1314478800,18
303,1.72453,1.75195,1.72375,1.73946,ok,1314565200,12963
304,1.7279,1.74081,1.72455,1.72455,ok,1314651600,17096
305,1.71054,1.73225,1.70806,1.72785,ok,1314738000,17689
306,1.718,1.73028,1.70745,1.71038,ok,1314824400,20796
307,1.74335,1.75743,1.71625,1.71802,ok,1314910800,30255
308,1.74335,1.74335,1.74335,1.74335,ok,1314997200,12
309,1.73014,1.74335,1.72997,1.74335,ok,1315083600,28
310,1.76468,1.77129,1.72985,1.73009,ok,1315170000,24830
311,1.75431,1.78133,1.75431,1.76476,ok,1315256400,39683
312,1.75325,1.76359,1.74698,1.75427,ok,1315342800,34613
313,1.7637,1.77139,1.75318,1.75327,ok,1315429200,26571
314,1.78125,1.80009,1.76229,1.76375,ok,1315515600,43948
315,1.78125,1.78125,1.78125,1.78125,ok,1315602000,12
316,1.78192,1.78401,1.78079,1.78125,ok,1315688400,44
317,1.78221,1.80333,1.78041,1.78171,ok,1315774800,37461
318,1.76194,1.78811,1.75887,1.78213,ok,1315861200,42648
319,1.77181,1.78489,1.76056,1.76211,ok,1315947600,42042
320,1.77699,1.79207,1.77165,1.77187,ok,1316034000,41608
321,1.76665,1.78685,1.76412,1.77703,ok,1316120400,30242
322,1.76665,1.76665,1.76665,1.76665,ok,1316206800,12
323,1.76803,1.76878,1.7665,1.76665,ok,1316293200,37
324,1.80008,1.81468,1.76778,1.76817,ok,1316379600,34946
325,1.78304,1.81397,1.76776,1.8002,ok,1316466000,50219
326,1.82173,1.82362,1.77954,1.78298,ok,1316552400,44054
327,1.83825,1.84698,1.8105,1.82168,ok,1316638800,55783
328,1.82589,1.84772,1.82216,1.83846,ok,1316725200,50739
329,1.82589,1.82589,1.82589,1.82589,ok,1316811600,12
330,1.82395,1.8287,1.82002,1.82589,ok,1316898000,129
331,1.84705,1.86823,1.82354,1.82365,ok,1316984400,42896
332,1.84423,1.85632,1.8375,1.84714,ok,1317070800,41598
333,1.85745,1.86864,1.83862,1.84417,ok,1317157200,41494
334,1.84822,1.86201,1.84699,1.85739,ok,1317243600,40137
335,1.84975,1.86479,1.8477,1.84815,ok,1317330000,28401
336,1.84975,1.84975,1.84975,1.84975,ok,1317416400,12
337,1.84831,1.85105,1.8449,1.84975,ok,1317502800,148
338,1.88532,1.88999,1.84824,1.84841,ok,1317589200,30856
339,1.8827,1.90801,1.87919,1.88526,ok,1317675600,43783
