,c,h,l,o,s,t,v
0,6.95674,6.98645,6.84325,6.8646,ok,1287435600,48571
1,6.93271,6.96947,6.90162,6.95525,ok,1287522000,56430
2,6.97325,6.98677,6.87119,6.93105,ok,1287608400,55768
3,6.88563,6.9849,6.8775,6.97215,ok,1287694800,45786
4,6.88953,6.90151,6.88898,6.90151,ok,1287867600,27
5,6.91372,6.94,6.8703,6.89,ok,1287954000,48319
6,6.94356,6.95056,6.88486,6.9145,ok,1288040400,58691
7,7.05918,7.08318,6.92612,6.943,ok,1288126800,62371
8,6.99578,7.07035,6.96532,7.0592,ok,1288213200,37754
9,6.94536,7.03696,6.93323,6.99825,ok,1288299600,53144
10,6.94021,6.945,6.93995,6.945,ok,1288472400,6
11,6.96767,7.0178,6.93733,6.93995,ok,1288558800,35621
12,6.88482,6.97806,6.87652,6.967,ok,1288645200,36610
13,6.8545,6.92305,6.84968,6.88385,ok,1288731600,44214
14,6.79311,6.86808,6.76638,6.85605,ok,1288818000,49434
15,6.72559,6.84806,6.71962,6.7925,ok,1288904400,58807
16,6.73812,6.74559,6.71249,6.74559,ok,1289077200,78
17,6.81325,6.88492,6.73775,6.73775,ok,1289167200,48150
18,6.87339,6.87954,6.79027,6.8125,ok,1289253600,40229
19,6.87346,6.93703,6.83649,6.87375,ok,1289340000,62368
20,6.92503,6.94583,6.85348,6.87751,ok,1289426400,48573
21,6.91821,7.0162,6.89185,6.92519,ok,1289512800,71043
22,6.89488,6.90922,6.88786,6.9075,ok,1289685600,193
23,6.97874,7.01264,6.89487,6.89505,ok,1289772000,45232
24,7.0287,7.07828,6.94347,6.97665,ok,1289858400,62593
25,7.00751,7.07794,7.00533,7.02905,ok,1289944800,54406
26,6.96261,7.01617,6.95252,7.0056,ok,1290031200,65559
27,6.95188,7.03454,6.93707,6.9628,ok,1290117600,53877
28,6.96712,6.9721,6.94655,6.94655,ok,1290290400,60
29,6.99023,7.02752,6.93786,6.9673,ok,1290376800,47490
30,7.10354,7.1143,6.987,6.99013,ok,1290463200,69070
31,7.05782,7.12535,7.04537,7.10312,ok,1290549600,55950
32,7.0287,7.0832,7.02182,7.05652,ok,1290636000,32172
33,7.10181,7.17,7.02524,7.02862,ok,1290722400,45796
34,7.06836,7.09992,7.06811,7.0943,ok,1290895200,199
35,7.09836,7.17545,7.06685,7.0685,ok,1290981600,61692
36,7.09356,7.15787,7.07818,7.09743,ok,1291068000,72215
37,7.01436,7.10192,6.99609,7.09328,ok,1291154400,82134
38,6.88537,7.02305,6.86409,7.01445,ok,1291240800,76023
39,6.8073,6.92848,6.80206,6.88562,ok,1291327200,59805
40,6.79725,6.80788,6.79725,6.80788,ok,1291413600,2
