,c,h,l,o,s,t,v
0,79.278,83.178,79.238,82.798,ok,1287435600,45025
1,81.896,81.913,79.179,79.298,ok,1287522000,39602
2,80.09,82.036,79.463,81.886,ok,1287608400,39325
3,81.39,81.449,79.792,80.08,ok,1287694800,27979
4,81.291,81.38,81.261,81.38,ok,1287781200,65
5,81.817,82.705,80.891,81.431,ok,1287954000,37049
6,81.897,82.329,81.265,81.807,ok,1288040400,28008
7,81.46,82.149,80.004,81.887,ok,1288126800,37975
8,81.46,82.129,80.998,81.47,ok,1288213200,29724
9,80.923,81.632,80.084,81.45,ok,1288299600,30747
10,80.973,80.983,80.933,80.933,ok,1288386000,40
11,82.524,83.423,80.884,81.013,ok,1288558800,34684
12,84.037,84.057,82.406,82.534,ok,1288645200,26373
13,84.665,84.958,83.177,84.047,ok,1288731600,45312
14,86.348,86.447,84.527,84.675,ok,1288818000,29019
15,86.708,86.844,85.598,86.338,ok,1288904400,29616
16,87.037,87.067,86.698,86.698,ok,1288990800,136
17,86.444,87.172,85.661,87.071,ok,1289167200,28151
18,86.186,87.342,85.208,86.434,ok,1289253600,31667
19,87.782,87.951,85.838,86.176,ok,1289340000,41365
20,87.504,88.382,87.298,87.772,ok,1289426400,26532
21,84.583,87.615,84.31,87.494,ok,1289512800,43603
22,84.523,84.633,84.523,84.593,ok,1289599200,42
23,84.385,85.615,84.334,84.705,ok,1289772000,26850
24,82.279,84.601,81.909,84.425,ok,1289858400,34995
25,80.418,82.609,80.118,82.299,ok,1289944800,27062
26,82.301,82.388,80.388,80.458,ok,1290031200,28148
27,81.512,82.796,80.574,82.321,ok,1290117600,33244
28,81.354,81.542,81.354,81.522,ok,1290204000,54
29,81.132,82.398,80.224,81.674,ok,1290376800,30775
30,80.581,81.641,79.839,81.142,ok,1290463200,38357
31,83.72,83.809,80.472,80.611,ok,1290549600,35664
32,83.754,84.101,83.021,83.75,ok,1290636000,7541
33,83.462,83.807,82.373,83.807,ok,1290722400,16857
34,85.454,85.463,83.229,83.527,ok,1290981600,35325
35,83.35,85.535,83.21,85.435,ok,1291068000,34714
36,86.494,86.611,83.22,83.34,ok,1291154400,34611
37,87.696,87.804,85.947,86.504,ok,1291240800,32452
38,89.108,89.177,86.831,87.706,ok,1291327200,36128
39,89.128,89.138,89.088,89.098,ok,1291413600,41
40,88.652,89.489,88.295,89.163,ok,1291586400,27434
41,88.05,90.508,87.801,88.632,ok,1291672800,39427
42,88.237,88.761,87.106,88.04,ok,1291759200,34138
43,88.354,89.202,87.502,88.267,ok,1291845600,31547
44,87.533,88.803,86.911,88.344,ok,1291932000,29910
45,87.633,87.643,87.523,87.553,ok,1292018400,48
46,88.103,89.345,87.289,87.528,ok,1292191200,26676
47,88.17,88.826,87.616,88.093,ok,1292277600,25149
48,88.327,88.982,86.723,88.15,ok,1292364000,32580
49,87.785,88.55,87.543,88.337,ok,1292450400,19761
50,87.862,88.401,86.921,87.795,ok,1292536800,18705
51,87.981,87.981,87.852,87.852,ok,1292623200,31
52,88.467,88.841,87.012,88.038,ok,1292796000,22935
53,89.294,89.392,88.353,88.457,ok,1292882400,19549
54,89.922,90.105,89.149,89.303,ok,1292968800,17150
55,90.889,90.954,89.655,89.932,ok,1293055200,13641
56,90.74,90.889,90.73,90.869,ok,1293141600,43
57,90.18,91.289,89.935,90.475,ok,1293400800,12429
58,90.68,91.11,90.14,90.2,ok,1293487200,10962
59,90.476,90.988,90.267,90.67,ok,1293573600,10416
60,88.948,90.883,88.525,90.486,ok,1293660000,19336
61,90.92,91.575,88.576,88.968,ok,1293746400,17941
62,91.082,92.161,90.781,90.88,ok,1294005600,21270
63,88.786,91.673,87.985,91.072,ok,1294092000,42326
64,89.965,90.479,87.745,88.816,ok,1294178400,42267
65,87.796,90.356,87.522,89.955,ok,1294264800,38391
66,88.099,89.169,86.949,87.806,ok,1294351200,41606
67,88.178,88.188,88.089,88.108,ok,1294437600,53
68,89.145,89.722,87.89,88.744,ok,1294610400,42927
69,91.044,91.173,88.708,89.165,ok,1294696800,33783
70,91.677,92.19,90.589,91.034,ok,1294783200,31563
71,90.703,92.195,90.583,91.687,ok,1294869600,29896
72,91.525,91.544,89.948,90.713,ok,1294956000,27156
73,90.944,91.704,90.745,91.415,ok,1295215200,4386
74,91.273,91.933,90.522,91.02,ok,1295301600,20195
75,90.656,92.092,90.55,91.303,ok,1295388000,27449
76,88.533,90.898,88.042,90.646,ok,1295474400,40324
77,88.312,89.368,88.039,88.514,ok,1295560800,28566
78,88.272,88.322,88.262,88.321,ok,1295647200,31
79,86.971,88.858,86.53,88.473,ok,1295820000,33048
80,85.508,87.122,85.417,86.981,ok,1295906400,32335
81,86.932,87.1,85.348,85.528,ok,1295992800,31877
82,84.695,86.975,84.655,86.922,ok,1296079200,34814
83,88.8,89.073,84.471,84.685,ok,1296165600,59850
84,88.84,88.909,88.76,88.79,ok,1296252000,114
85,91.521,92.243,87.826,89.369,ok,1296424800,53455
86,89.858,91.877,89.778,91.471,ok,1296511200,44537
87,90.441,91.238,89.571,89.868,ok,1296597600,36843
88,90.129,91.529,89.495,90.451,ok,1296684000,35448
89,88.554,91.181,87.981,90.109,ok,1296770400,44351
90,88.653,88.703,88.544,88.544,ok,1296856800,72
91,86.849,89.127,86.798,88.646,ok,1297029600,30685
92,87.093,87.745,85.518,86.859,ok,1297116000,40575
93,86.431,87.61,86.03,87.103,ok,1297202400,36221
94,87.373,87.587,85.646,86.441,ok,1297288800,43690
95,85.116,87.463,84.822,87.383,ok,1297375200,40561
96,85.007,85.086,85.007,85.086,ok,1297461600,56
97,84.642,86.311,84.38,85.277,ok,1297634400,30326
98,84.198,85.786,83.675,84.672,ok,1297720800,28525
99,84.881,85.794,83.967,84.188,ok,1297807200,32864
100,86.133,86.371,84.493,84.891,ok,1297893600,26602
101,87.117,88.098,85.624,86.162,ok,1297980000,39684
102,92.67,92.748,87.52,87.529,ok,1298239200,20186
103,93.059,95.691,90.915,93.854,ok,1298325600,87333
104,96.364,97.292,92.542,93.049,ok,1298412000,73890
105,94.296,100.718,93.181,96.325,ok,1298498400,110425
106,95.775,96.714,93.782,94.306,ok,1298584800,59083
107,95.825,95.854,95.776,95.795,ok,1298671200,63
108,94.906,97.714,94.595,96.282,ok,1298844000,46402
109,98.507,98.613,94.299,94.926,ok,1298930400,49101
110,100.369,100.486,97.206,98.497,ok,1299016800,70547
111,99.831,100.929,98.264,100.379,ok,1299103200,61624
112,103.241,103.309,99.649,99.821,ok,1299189600,56253
113,103.055,103.241,103.026,103.221,ok,1299276000,127
114,103.234,105.333,102.615,103.008,ok,1299448800,64893
115,103.247,104.298,101.847,103.244,ok,1299535200,61623
116,103.093,104.53,102.564,103.277,ok,1299621600,48296
117,101.269,103.755,99.405,103.084,ok,1299708000,67963
118,99.312,101.803,98.083,101.249,ok,1299794400,53474
119,99.501,99.54,99.352,99.381,ok,1299880800,86
120,100.954,100.963,97.641,99.42,ok,1300050000,46884
121,96.724,101.083,96.003,100.934,ok,1300136400,63033
122,97.745,98.982,95.577,96.704,ok,1300222800,55101
123,101.195,101.473,96.033,97.735,ok,1300309200,36967
124,101.088,103.424,99.955,101.175,ok,1300395600,37010
125,101.434,101.434,101.058,101.098,ok,1300482000,97
126,101.857,103.256,101.621,102.015,ok,1300654800,37385
127,103.871,104.237,101.156,101.837,ok,1300741200,43402
128,104.648,105.395,103.438,103.891,ok,1300827600,37379
129,104.472,105.766,103.863,104.628,ok,1300914000,39714
130,104.803,105.074,103.633,104.482,ok,1301000400,36466
131,104.655,104.793,104.655,104.793,ok,1301086800,56
