,c,h,l,o,s,t,v
0,6.545,6.787,6.514,6.733,ok,1287435600,3085
1,6.651,6.707,6.566,6.566,ok,1287522000,2722
2,6.525,6.752,6.512,6.661,ok,1287608400,2830
3,6.537,6.598,6.491,6.54,ok,1287694800,2257
4,6.578,6.697,6.539,6.539,ok,1287954000,2690
5,6.782,6.835,6.558,6.589,ok,1288040400,3229
6,6.863,6.922,6.728,6.792,ok,1288126800,3242
7,7.045,7.064,6.854,6.876,ok,1288213200,3124
8,7.011,7.099,6.968,7.045,ok,1288299600,2866
9,6.884,7.137,6.877,7.102,ok,1288558800,3325
10,6.799,6.987,6.794,6.904,ok,1288645200,2938
11,6.78,6.865,6.679,6.834,ok,1288731600,3004
12,7.009,7.065,6.8,6.824,ok,1288818000,3213
13,7.167,7.184,6.925,7.029,ok,1288904400,3238
14,7.253,7.263,7.092,7.179,ok,1289167200,3259
15,7.084,7.487,7.064,7.256,ok,1289253600,4936
16,6.974,7.123,6.871,7.099,ok,1289340000,3375
17,6.931,7.119,6.913,6.965,ok,1289426400,3122
18,6.591,7.003,6.517,6.939,ok,1289512800,5315
19,6.61,6.76,6.588,6.645,ok,1289772000,3318
20,6.181,6.653,6.164,6.623,ok,1289858400,4320
21,6.251,6.391,6.116,6.197,ok,1289944800,4035
22,6.382,6.495,6.261,6.261,ok,1290031200,2703
23,6.358,6.503,6.296,6.422,ok,1290117600,2788
24,6.394,6.463,6.325,6.372,ok,1290376800,2344
25,6.34,6.459,6.285,6.409,ok,1290463200,2498
26,6.42,6.501,6.365,6.39,ok,1290549600,1595
27,6.418,6.488,6.402,6.421,ok,1290722400,1071
28,6.464,6.574,6.429,6.447,ok,1290981600,1380
29,6.45,6.529,6.413,6.47,ok,1291068000,458
30,6.89,6.967,6.465,6.49,ok,1291154400,157
31,7.028,7.212,6.899,6.98,ok,1291240800,79
32,7.245,7.334,7.106,7.106,ok,1291327200,44
33,7.511,7.511,7.363,7.449,ok,1291586400,22
34,7.398,7.592,7.345,7.582,ok,1291672800,15
35,7.414,7.481,7.238,7.309,ok,1291759200,15
36,7.452,7.477,7.404,7.417,ok,1291845600,21
37,7.376,7.498,7.376,7.455,ok,1291932000,14
38,7.401,7.428,7.351,7.373,ok,1292191200,208
39,7.218,7.41,7.153,7.392,ok,1292277600,3169
40,7.25,7.366,7.206,7.216,ok,1292364000,3051
41,7.12,7.275,7.086,7.249,ok,1292450400,2367
42,7.193,7.197,7.05,7.146,ok,1292536800,2259
43,7.322,7.388,7.226,7.233,ok,1292796000,2491
44,7.291,7.349,7.257,7.335,ok,1292882400,2203
45,7.476,7.481,7.204,7.261,ok,1292968800,2696
46,7.461,7.513,7.397,7.479,ok,1293055200,2047
47,7.455,7.486,7.33,7.402,ok,1293400800,1546
48,7.641,7.667,7.449,7.454,ok,1293487200,2133
49,7.636,7.713,7.511,7.649,ok,1293573600,2128
50,7.516,7.644,7.435,7.644,ok,1293660000,2427
51,7.588,7.624,7.477,7.529,ok,1293746400,1220
52,7.724,7.913,7.603,7.61,ok,1294005600,3463
53,7.572,7.763,7.52,7.71,ok,1294092000,3499
54,7.779,7.781,7.451,7.626,ok,1294178400,3418
55,7.577,7.777,7.572,7.772,ok,1294264800,3300
56,7.437,7.636,7.425,7.585,ok,1294351200,3084
57,7.395,7.544,7.383,7.485,ok,1294610400,3149
58,7.317,7.487,7.313,7.417,ok,1294696800,3179
59,7.457,7.622,7.33,7.345,ok,1294783200,4870
60,7.543,7.601,7.424,7.494,ok,1294869600,3781
61,7.466,7.575,7.368,7.571,ok,1294956000,3933
62,7.677,7.704,7.485,7.523,ok,1295301600,3606
63,7.735,7.826,7.673,7.673,ok,1295388000,4121
64,7.778,7.805,7.586,7.731,ok,1295474400,3406
65,7.996,8.049,7.744,7.803,ok,1295560800,4423
66,8.125,8.153,8.0,8.053,ok,1295820000,3596
67,8.154,8.156,7.976,8.116,ok,1295906400,4051
68,8.339,8.377,8.164,8.172,ok,1295992800,3590
69,8.244,8.4,8.229,8.357,ok,1296079200,3459
70,8.037,8.267,8.03,8.255,ok,1296165600,3730
71,8.188,8.27,8.025,8.035,ok,1296424800,3436
72,8.149,8.245,8.116,8.24,ok,1296511200,3419
73,8.415,8.444,8.157,8.162,ok,1296597600,3847
74,8.391,8.526,8.277,8.426,ok,1296684000,4127
75,8.349,8.45,8.239,8.399,ok,1296770400,3479
76,8.415,8.515,8.342,8.431,ok,1297029600,2859
77,8.572,8.631,8.272,8.424,ok,1297116000,4007
78,8.705,8.756,8.583,8.588,ok,1297202400,3816
79,8.46,8.692,8.45,8.691,ok,1297288800,3241
80,8.521,8.553,8.4,8.49,ok,1297375200,3530
81,8.581,8.701,8.554,8.619,ok,1297634400,2780
82,8.269,8.599,8.175,8.589,ok,1297720800,3536
83,8.249,8.358,8.13,8.306,ok,1297807200,3598
84,8.387,8.406,8.252,8.252,ok,1297893600,2930
85,8.108,8.405,8.061,8.39,ok,1297980000,3498
86,7.535,8.256,7.534,8.151,ok,1298325600,3670
87,7.542,7.592,7.152,7.501,ok,1298412000,4029
88,7.38,7.612,7.333,7.557,ok,1298498400,1362
89,7.714,7.872,7.413,7.413,ok,1298584800,904
90,7.762,7.769,7.588,7.769,ok,1298844000,288
91,7.678,7.786,7.603,7.785,ok,1298930400,42
92,7.707,7.875,7.635,7.654,ok,1299016800,27
93,7.823,7.873,7.722,7.727,ok,1299103200,20
94,7.918,7.979,7.785,7.957,ok,1299189600,20
95,7.7,7.939,7.643,7.939,ok,1299448800,22
96,7.495,7.721,7.468,7.713,ok,1299535200,14
97,7.393,7.601,7.253,7.484,ok,1299621600,13
98,7.182,7.249,7.06,7.164,ok,1299708000,11
99,6.921,7.087,6.921,6.949,ok,1299794400,641
100,6.973,7.065,6.832,6.958,ok,1300050000,4523
101,6.454,7.005,6.401,6.991,ok,1300136400,5917
102,6.438,6.757,6.358,6.472,ok,1300222800,6015
103,6.902,6.967,6.425,6.427,ok,1300309200,4289
104,7.032,7.265,6.84,6.872,ok,1300395600,6171
105,6.993,7.204,6.968,7.031,ok,1300654800,4397
106,7.002,7.072,6.855,7.011,ok,1300741200,3294
107,6.94,7.097,6.866,7.048,ok,1300827600,3072
108,7.211,7.216,6.907,6.948,ok,1300914000,3824
109,7.149,7.326,7.076,7.197,ok,1301000400,3858
110,7.081,7.212,7.032,7.175,ok,1301259600,2917
111,7.209,7.238,7.035,7.059,ok,1301346000,3107
112,7.088,7.239,7.084,7.205,ok,1301432400,3075
113,7.451,7.554,7.051,7.094,ok,1301518800,3537
114,7.436,7.565,7.279,7.43,ok,1301605200,4633
115,7.742,7.754,7.479,7.491,ok,1301864400,3722
116,7.678,7.818,7.626,7.718,ok,1301950800,4634
117,7.657,7.766,7.623,7.7,ok,1302037200,3237
118,7.576,7.776,7.426,7.668,ok,1302123600,3891
119,7.85,7.867,7.518,7.579,ok,1302210000,3618
120,7.85,7.95,7.727,7.889,ok,1302469200,3826
121,7.474,7.891,7.38,7.868,ok,1302555600,4195
122,7.426,7.569,7.295,7.484,ok,1302642000,3675
123,7.292,7.486,7.225,7.449,ok,1302728400,3287
124,7.336,7.375,7.189,7.31,ok,1302814800,2951
125,7.663,7.695,7.303,7.347,ok,1303074000,3153
126,7.744,7.835,7.646,7.659,ok,1303160400,2816
127,7.776,7.98,7.707,7.757,ok,1303246800,2444
128,7.899,7.906,7.708,7.759,ok,1303333200,1745
129,8.188,8.218,7.997,8.004,ok,1303678800,1360
130,8.039,8.211,7.912,8.192,ok,1303765200,1122
131,7.692,8.1,7.585,8.04,ok,1303851600,1122
132,7.356,7.779,7.331,7.727,ok,1303938000,904
133,7.636,7.636,7.307,7.372,ok,1304024400,214
134,7.549,7.884,7.549,7.672,ok,1304283600,220
135,7.488,7.602,7.441,7.602,ok,1304370000,35
136,7.368,7.541,7.365,7.541,ok,1304456400,32
137,7.228,7.378,7.15,7.378,ok,1304542800,57
138,7.194,7.355,7.065,7.105,ok,1304629200,21
139,7.6,7.6,7.505,7.505,ok,1304888400,11
140,7.776,7.779,7.645,7.645,ok,1304974800,3
141,7.404,7.59,7.373,7.59,ok,1305061200,16
142,7.068,7.193,7.068,7.132,ok,1305147600,8
143,6.942,7.128,6.883,7.009,ok,1305234000,3921
144,7.043,7.13,6.962,6.962,ok,1305493200,3672
145,7.297,7.308,6.987,7.034,ok,1305579600,4240
146,7.835,7.859,7.326,7.338,ok,1305666000,5891
147,7.772,7.98,7.696,7.801,ok,1305752400,5902
148,7.721,7.834,7.569,7.773,ok,1305838800,4528
149,7.696,7.872,7.537,7.83,ok,1306098000,4697
150,7.482,7.774,7.469,7.712,ok,1306184400,4031
151,7.675,7.689,7.476,7.492,ok,1306270800,3702
152,7.842,7.972,7.683,7.691,ok,1306357200,4360
153,7.899,7.961,7.737,7.863,ok,1306443600,4086
154,7.538,7.798,7.465,7.663,ok,1306789200,5113
155,7.329,7.614,7.29,7.559,ok,1306875600,4991
156,7.436,7.477,7.333,7.347,ok,1306962000,3458
157,7.488,7.56,7.347,7.45,ok,1307048400,3500
158,7.198,7.545,7.191,7.494,ok,1307307600,3868
159,7.124,7.251,7.102,7.209,ok,1307394000,3407
160,7.263,7.382,7.106,7.123,ok,1307480400,4122
161,7.257,7.545,7.19,7.284,ok,1307566800,4303
162,7.404,7.432,7.181,7.239,ok,1307653200,3960
163,7.246,7.51,7.224,7.419,ok,1307912400,3369
164,7.152,7.301,6.975,7.252,ok,1307998800,3347
165,6.935,7.176,6.854,7.141,ok,1308085200,3607
166,6.557,7.012,6.557,6.929,ok,1308171600,4324
167,6.577,6.693,6.497,6.594,ok,1308258000,4403
168,6.47,6.622,6.43,6.605,ok,1308517200,2765
169,6.61,6.674,6.437,6.485,ok,1308603600,3059
170,6.269,6.685,6.067,6.623,ok,1308690000,3820
171,6.394,6.414,5.963,6.243,ok,1308776400,3198
172,6.22,6.486,6.217,6.395,ok,1308862800,2029
173,6.114,6.28,6.044,6.28,ok,1309122000,1546
174,6.336,6.37,6.155,6.159,ok,1309208400,1187
175,6.343,6.56,6.22,6.322,ok,1309294800,1165
176,5.797,6.436,5.742,6.359,ok,1309381200,465
177,5.779,5.893,5.593,5.793,ok,1309467600,138
178,6.101,6.108,5.849,5.849,ok,1309813200,71
179,6.073,6.103,5.938,6.097,ok,1309899600,63
180,6.217,6.307,6.035,6.048,ok,1309986000,98
181,6.461,6.496,6.213,6.213,ok,1310072400,47
182,6.31,6.415,6.237,6.415,ok,1310331600,27
183,6.612,6.612,6.167,6.348,ok,1310418000,26
184,7.034,7.064,6.691,6.691,ok,1310504400,29
185,6.923,7.042,6.754,6.998,ok,1310590800,5475
186,6.808,7.013,6.779,6.918,ok,1310677200,5128
187,6.744,6.818,6.623,6.806,ok,1310936400,4079
188,6.793,7.133,6.754,6.808,ok,1311022800,5576
189,6.83,6.932,6.79,6.801,ok,1311109200,5207
190,6.641,6.895,6.589,6.835,ok,1311195600,5789
191,6.808,6.81,6.567,6.641,ok,1311282000,4279
192,6.773,6.83,6.596,6.715,ok,1311541200,4663
193,6.82,6.869,6.674,6.778,ok,1311627600,4414
194,6.93,7.001,6.741,6.827,ok,1311714000,4346
195,6.829,7.028,6.805,6.911,ok,1311800400,4086
196,6.613,6.882,6.588,6.815,ok,1311886800,4203
197,6.657,6.801,6.598,6.608,ok,1312146000,4084
198,7.11,7.122,6.543,6.67,ok,1312232400,6077
199,6.989,7.108,6.947,7.073,ok,1312318800,4795
200,6.721,7.0,6.649,6.987,ok,1312405200,6193
201,6.686,6.73,6.562,6.706,ok,1312491600,5758
202,6.481,6.687,6.34,6.588,ok,1312750800,5483
203,6.621,6.787,6.351,6.422,ok,1312837200,7053
204,6.755,6.826,6.683,6.689,ok,1312923600,5131
205,6.92,7.142,6.718,6.743,ok,1313010000,5763
206,6.947,7.105,6.883,6.918,ok,1313096400,3672
207,7.041,7.138,6.967,6.967,ok,1313355600,2594
208,7.175,7.254,6.971,7.039,ok,1313442000,3388
209,7.21,7.321,7.157,7.175,ok,1313528400,2464
210,7.016,7.213,6.934,7.2,ok,1313614800,2352
211,7.247,7.269,6.946,6.975,ok,1313701200,2110
212,7.297,7.415,7.247,7.28,ok,1313960400,1648
213,7.522,7.532,7.29,7.297,ok,1314046800,1726
