,c,h,l,o,s,t,v
0,22.676,23.48,22.589,23.318,ok,1287435600,19790
1,23.006,23.065,22.614,22.678,ok,1287522000,13994
2,22.429,23.143,22.268,23.002,ok,1287608400,18711
3,22.666,22.752,22.241,22.431,ok,1287694800,14844
4,22.663,22.663,22.663,22.663,ok,1287781200,1
5,22.613,22.692,22.576,22.692,ok,1287867600,324
6,22.938,23.136,22.6,22.608,ok,1287954000,13602
7,23.475,23.556,22.608,22.94,ok,1288040400,13376
8,23.341,23.83,23.15,23.472,ok,1288126800,16261
9,23.565,23.621,23.176,23.339,ok,1288213200,14303
10,24.225,24.322,23.467,23.57,ok,1288299600,12842
11,24.226,24.23,24.225,24.23,ok,1288386000,5
12,24.205,24.248,24.198,24.229,ok,1288472400,109
13,24.466,24.702,24.198,24.207,ok,1288558800,13923
14,24.393,24.606,24.124,24.463,ok,1288645200,10986
15,24.106,24.51,23.469,24.396,ok,1288731600,20921
16,25.192,25.2,24.04,24.103,ok,1288818000,18261
17,25.624,25.795,24.821,25.189,ok,1288904400,22416
18,25.661,25.661,25.618,25.62,ok,1288990800,5
19,25.647,25.675,25.607,25.647,ok,1289077200,407
20,26.769,26.794,25.592,25.643,ok,1289167200,19205
21,26.033,28.249,25.613,26.748,ok,1289253600,33085
22,26.437,27.341,25.747,26.031,ok,1289340000,39292
23,26.973,27.064,26.193,26.434,ok,1289426400,27123
24,25.464,27.001,25.228,26.976,ok,1289512800,34669
25,25.39,25.439,25.337,25.434,ok,1289685600,652
26,25.058,26.05,25.025,25.393,ok,1289772000,26562
27,25.34,25.448,24.815,25.055,ok,1289858400,30386
28,25.394,25.612,24.946,25.346,ok,1289944800,26861
29,26.834,26.942,25.392,25.396,ok,1290031200,20693
30,27.015,27.275,26.343,26.83,ok,1290117600,24427
31,27.021,27.021,27.021,27.021,ok,1290204000,1
32,27.018,27.027,26.915,27.013,ok,1290290400,386
33,27.553,27.637,26.83,27.015,ok,1290376800,24837
34,27.418,27.576,26.744,27.567,ok,1290463200,28230
35,27.446,27.565,26.919,27.42,ok,1290549600,18803
36,27.556,27.596,27.227,27.453,ok,1290636000,9103
37,26.705,27.564,26.493,27.56,ok,1290722400,14800
38,26.711,26.711,26.711,26.711,ok,1290808800,1
39,26.733,26.746,26.636,26.701,ok,1290895200,996
40,27.119,27.304,26.512,26.73,ok,1290981600,19178
41,28.162,28.337,26.923,27.124,ok,1291068000,21665
42,28.502,28.958,28.061,28.171,ok,1291154400,26762
43,28.3,28.805,28.199,28.504,ok,1291240800,28337
44,28.531,28.678,28.242,28.298,ok,1291327200,22994
45,28.52,28.523,28.52,28.523,ok,1291413600,2
46,28.546,28.594,28.489,28.559,ok,1291500000,414
47,29.59,29.718,28.497,28.544,ok,1291586400,27414
48,28.308,29.98,28.118,29.584,ok,1291672800,31960
49,27.963,28.84,27.622,28.306,ok,1291759200,30114
50,28.244,28.568,27.757,27.938,ok,1291845600,27717
51,28.053,28.456,27.555,28.254,ok,1291932000,21941
52,28.05,28.05,28.05,28.05,ok,1292018400,1
53,28.13,28.156,27.964,28.004,ok,1292104800,275
54,28.551,28.915,27.919,28.133,ok,1292191200,17624
55,28.254,28.948,28.132,28.548,ok,1292277600,22354
56,27.857,28.45,27.772,28.258,ok,1292364000,21931
57,27.824,28.339,27.453,27.86,ok,1292450400,24670
58,28.156,28.362,27.542,27.82,ok,1292536800,18099
59,28.153,28.153,28.153,28.153,ok,1292623200,1
60,28.159,28.224,28.154,28.172,ok,1292709600,298
61,28.305,28.556,27.823,28.161,ok,1292796000,17234
62,28.097,28.328,27.784,28.307,ok,1292882400,14161
63,27.796,28.147,27.796,28.095,ok,1292968800,11991
64,28.073,28.216,27.751,27.793,ok,1293055200,9835
65,27.969,28.144,27.923,28.07,ok,1293141600,2955
66,27.95,27.969,27.95,27.964,ok,1293228000,6
67,27.977,28.0,27.943,27.995,ok,1293314400,46
68,28.057,28.151,27.686,27.983,ok,1293400800,8303
69,28.817,28.833,27.805,28.072,ok,1293487200,12048
70,28.905,29.147,28.624,28.814,ok,1293573600,10499
71,28.434,29.072,28.414,28.903,ok,1293660000,10590
72,28.8,28.869,28.407,28.441,ok,1293746400,9074
73,28.808,28.826,28.723,28.723,ok,1293919200,153
74,28.637,29.191,28.436,28.821,ok,1294005600,13375
75,28.2,29.056,27.752,28.647,ok,1294092000,20041
76,28.227,28.365,27.488,28.16,ok,1294178400,24439
77,28.056,28.56,27.766,28.224,ok,1294264800,21034
78,27.65,28.265,27.281,28.065,ok,1294351200,21589
79,27.652,27.652,27.652,27.652,ok,1294437600,1
80,27.719,27.724,27.638,27.638,ok,1294524000,232
81,28.124,28.232,27.667,27.722,ok,1294610400,17386
82,28.724,28.912,28.062,28.126,ok,1294696800,16280
83,28.653,29.045,28.521,28.717,ok,1294783200,18075
84,27.622,28.803,27.472,28.649,ok,1294869600,20186
85,27.345,27.906,27.119,27.614,ok,1294956000,22057
86,27.343,27.343,27.343,27.343,ok,1295042400,1
87,27.323,27.388,27.31,27.352,ok,1295128800,362
88,27.26,27.61,27.09,27.326,ok,1295215200,8478
89,27.786,27.944,27.165,27.256,ok,1295301600,14178
