,c,h,l,o,s,t,v
0,17.001,17.503,16.947,17.443,ok,1287435600,13787
1,17.131,17.28,16.979,17.004,ok,1287522000,10292
2,16.65,17.228,16.551,17.135,ok,1287608400,12747
3,16.629,16.783,16.43,16.647,ok,1287694800,9506
4,16.627,16.627,16.627,16.627,ok,1287781200,1
5,16.607,16.635,16.58,16.629,ok,1287867600,210
6,16.919,16.986,16.592,16.609,ok,1287954000,8572
7,17.211,17.246,16.672,16.926,ok,1288040400,8952
8,17.118,17.469,16.977,17.213,ok,1288126800,11026
9,17.204,17.248,16.977,17.115,ok,1288213200,9073
10,17.685,17.764,17.137,17.208,ok,1288299600,8671
11,17.649,17.689,17.645,17.689,ok,1288472400,88
12,17.754,17.931,17.644,17.652,ok,1288558800,8792
13,17.747,17.831,17.6,17.749,ok,1288645200,6880
14,17.564,17.817,17.083,17.744,ok,1288731600,14711
15,18.501,18.512,17.509,17.567,ok,1288818000,12442
16,18.998,19.084,18.325,18.499,ok,1288904400,15706
17,18.97,19.021,18.97,18.994,ok,1289077200,301
18,19.909,19.926,18.954,18.972,ok,1289167200,11983
19,19.525,21.157,19.209,19.911,ok,1289253600,25668
20,19.759,20.396,19.349,19.522,ok,1289340000,29276
21,20.24,20.315,19.662,19.763,ok,1289426400,22742
22,18.963,20.279,18.856,20.233,ok,1289512800,27559
23,18.931,19.028,18.907,18.974,ok,1289685600,419
24,18.733,19.437,18.714,18.934,ok,1289772000,21839
25,18.864,18.975,18.506,18.737,ok,1289858400,26888
26,18.931,19.113,18.572,18.861,ok,1289944800,18060
27,19.753,19.859,18.931,18.934,ok,1290031200,15699
28,19.913,20.069,19.31,19.756,ok,1290117600,17885
29,19.855,19.907,19.807,19.907,ok,1290290400,417
30,20.434,20.44,19.817,19.849,ok,1290376800,17791
31,20.568,20.698,19.99,20.438,ok,1290463200,20263
32,20.668,20.705,20.27,20.566,ok,1290549600,13462
33,20.614,20.678,20.495,20.673,ok,1290636000,6568
34,20.105,20.647,19.997,20.617,ok,1290722400,11409
35,20.076,20.12,19.958,20.103,ok,1290895200,1005
36,20.661,20.805,20.002,20.073,ok,1290981600,15113
37,21.617,21.742,20.55,20.664,ok,1291068000,17031
38,21.644,21.984,21.483,21.623,ok,1291154400,17672
39,21.581,21.952,21.49,21.641,ok,1291240800,20430
40,21.849,21.931,21.563,21.585,ok,1291327200,16490
41,21.845,21.845,21.845,21.845,ok,1291413600,1
42,21.877,21.879,21.765,21.851,ok,1291500000,421
43,22.653,22.735,21.816,21.879,ok,1291586400,18842
44,21.615,22.931,21.453,22.655,ok,1291672800,22671
45,21.383,22.071,21.11,21.617,ok,1291759200,22374
46,21.694,21.904,21.241,21.385,ok,1291845600,18816
47,21.621,21.866,21.259,21.702,ok,1291932000,16188
48,21.667,21.675,21.578,21.585,ok,1292104800,192
49,22.033,22.271,21.536,21.665,ok,1292191200,14928
50,22.012,22.317,21.764,22.031,ok,1292277600,18340
51,21.779,22.16,21.656,22.015,ok,1292364000,15665
52,21.786,22.067,21.391,21.783,ok,1292450400,18754
53,22.04,22.209,21.58,21.783,ok,1292536800,13162
54,22.039,22.039,22.039,22.039,ok,1292623200,1
55,22.063,22.094,22.045,22.045,ok,1292709600,227
56,22.34,22.474,21.944,22.06,ok,1292796000,11639
57,22.386,22.45,22.044,22.352,ok,1292882400,10744
58,22.288,22.457,22.208,22.384,ok,1292968800,8068
59,22.332,22.403,22.127,22.292,ok,1293055200,7576
60,22.153,22.331,22.153,22.329,ok,1293141600,1536
61,22.192,22.194,22.144,22.144,ok,1293314400,42
62,22.208,22.297,21.968,22.195,ok,1293400800,5725
63,23.068,23.1,22.172,22.21,ok,1293487200,8096
64,23.112,23.335,22.965,23.06,ok,1293573600,7534
65,22.879,23.327,22.842,23.109,ok,1293660000,7125
66,23.029,23.114,22.848,22.877,ok,1293746400,6208
67,23.034,23.034,23.031,23.031,ok,1293832800,2
68,23.093,23.126,23.031,23.031,ok,1293919200,202
69,22.964,23.402,22.8,23.099,ok,1294005600,11160
70,22.341,23.108,22.039,22.972,ok,1294092000,18053
71,22.225,22.425,21.704,22.344,ok,1294178400,17723
72,22.351,22.523,22.076,22.223,ok,1294264800,15575
73,22.15,22.579,21.824,22.348,ok,1294351200,17076
74,22.227,22.254,22.123,22.147,ok,1294524000,575
75,22.446,22.486,22.192,22.225,ok,1294610400,12389
76,22.739,22.898,22.407,22.449,ok,1294696800,10893
77,22.572,22.925,22.455,22.735,ok,1294783200,13010
78,21.447,22.676,21.35,22.574,ok,1294869600,15837
79,21.205,21.696,21.077,21.451,ok,1294956000,15071
80,21.213,21.219,21.159,21.202,ok,1295128800,368
81,21.26,21.443,21.105,21.211,ok,1295215200,6088
82,21.545,21.666,21.238,21.258,ok,1295301600,10584
83,21.343,21.824,21.29,21.548,ok,1295388000,12100
84,20.379,21.4,20.379,21.346,ok,1295474400,15966
85,20.136,20.522,20.061,20.381,ok,1295560800,13657
86,20.141,20.141,20.141,20.141,ok,1295647200,1
87,20.122,20.183,20.114,20.144,ok,1295733600,342
88,19.74,20.571,19.685,20.12,ok,1295820000,11863
89,19.605,19.824,19.456,19.738,ok,1295906400,12527
90,20.123,20.193,19.502,19.603,ok,1295992800,11743
91,19.598,20.292,19.499,20.12,ok,1296079200,12761
92,20.499,20.598,19.253,19.595,ok,1296165600,14281
93,20.499,20.499,20.499,20.499,ok,1296252000,12
94,20.535,20.553,20.494,20.499,ok,1296338400,275
95,20.483,20.92,20.158,20.533,ok,1296424800,15176
96,20.627,20.72,20.247,20.486,ok,1296511200,13629
97,20.515,20.733,20.422,20.625,ok,1296597600,10989
98,21.201,21.263,20.427,20.518,ok,1296684000,11166
99,21.391,21.601,21.054,21.203,ok,1296770400,10367
100,21.391,21.391,21.391,21.391,ok,1296856800,12
101,21.456,21.48,21.358,21.391,ok,1296943200,220
102,21.623,21.758,21.374,21.453,ok,1297029600,9615
103,22.24,22.251,21.458,21.626,ok,1297116000,9474
104,21.984,22.359,21.91,22.242,ok,1297202400,9659
105,22.198,22.239,21.774,21.987,ok,1297288800,9689
106,22.006,22.374,21.97,22.194,ok,1297375200,11768
107,22.016,22.016,22.016,22.016,ok,1297461600,4
108,22.113,22.115,21.994,22.016,ok,1297548000,361
109,22.684,22.787,22.034,22.11,ok,1297634400,8400
110,22.815,22.876,22.537,22.682,ok,1297720800,8976
111,22.567,22.853,22.462,22.818,ok,1297807200,10183
112,23.318,23.356,22.522,22.569,ok,1297893600,9025
113,23.781,24.038,23.225,23.321,ok,1297980000,12123
114,23.778,23.778,23.778,23.778,ok,1298066400,13
115,23.77,23.778,23.72,23.778,ok,1298152800,373
116,24.761,24.863,23.769,23.773,ok,1298239200,8152
117,24.225,25.171,23.871,24.758,ok,1298325600,20854
118,24.391,24.532,23.874,24.226,ok,1298412000,17142
119,23.285,24.607,22.978,24.386,ok,1298498400,18071
120,24.231,24.236,23.217,23.288,ok,1298584800,13684
121,24.229,24.229,24.229,24.229,ok,1298671200,15
122,24.19,24.237,24.185,24.229,ok,1298757600,105
123,24.53,24.62,24.082,24.193,ok,1298844000,14844
124,25.156,25.187,24.467,24.533,ok,1298930400,12786
125,24.987,25.239,24.697,25.159,ok,1299016800,12611
126,24.482,25.229,24.366,24.99,ok,1299103200,15095
127,25.404,25.419,24.465,24.474,ok,1299189600,12075
128,25.4,25.4,25.4,25.4,ok,1299276000,1
129,25.418,25.438,25.391,25.4,ok,1299362400,150
130,25.688,26.202,25.398,25.425,ok,1299448800,18741
131,25.903,26.237,25.402,25.691,ok,1299535200,15648
132,25.955,26.202,25.62,25.897,ok,1299621600,12959
133,25.544,26.141,25.115,25.957,ok,1299708000,18244
