,c,h,l,o,s,t,v
0,181.092,189.919,180.579,188.495,ok,1287435600,19929
1,185.741,185.979,180.709,181.123,ok,1287522000,16284
2,179.953,186.676,178.74,185.772,ok,1287608400,19019
3,180.094,181.571,177.294,179.923,ok,1287694800,15864
4,180.12,180.12,180.101,180.113,ok,1287867600,5
5,183.285,184.997,179.901,180.123,ok,1287954000,14830
6,185.072,185.676,179.624,183.332,ok,1288040400,15816
7,182.85,187.834,181.176,185.094,ok,1288126800,18105
8,185.865,186.368,182.271,182.826,ok,1288213200,16028
9,191.201,191.546,184.218,185.889,ok,1288299600,15204
10,191.053,191.234,191.026,191.234,ok,1288472400,22
11,191.258,194.155,190.007,191.05,ok,1288558800,13675
12,193.056,193.11,190.633,191.181,ok,1288645200,11268
13,192.493,194.044,185.462,193.026,ok,1288731600,22393
14,203.738,203.84,191.775,192.47,ok,1288818000,19378
15,206.656,208.55,200.127,203.707,ok,1288904400,22622
16,206.723,206.723,206.666,206.666,ok,1289077200,3
17,214.799,214.944,205.55,206.726,ok,1289167200,20505
18,208.454,227.368,204.776,214.86,ok,1289253600,39379
19,211.107,218.412,205.264,208.431,ok,1289340000,43203
20,214.425,215.788,208.554,211.111,ok,1289426400,30308
21,201.284,214.57,199.718,214.4,ok,1289512800,39445
22,201.135,201.146,201.129,201.129,ok,1289685600,7
23,197.312,205.145,196.932,201.071,ok,1289772000,32356
24,197.409,200.416,193.813,197.599,ok,1289858400,36326
25,198.696,200.956,194.178,197.371,ok,1289944800,34497
26,208.97,209.701,198.658,198.698,ok,1290031200,26143
27,211.181,212.389,204.39,209.0,ok,1290117600,30727
28,211.174,211.182,211.143,211.168,ok,1290290400,19
29,215.97,216.458,210.099,211.171,ok,1290376800,26363
30,213.305,216.341,209.833,215.932,ok,1290463200,30932
31,213.877,214.875,210.417,213.236,ok,1290549600,17906
32,213.717,213.971,212.088,213.926,ok,1290636000,9248
33,206.717,213.785,205.127,213.74,ok,1290722400,16276
34,206.984,206.996,206.717,206.731,ok,1290895200,55
35,210.633,211.651,205.047,206.981,ok,1290981600,24662
36,217.964,219.953,208.866,210.63,ok,1291068000,23465
37,220.901,223.864,217.284,218.027,ok,1291154400,26729
38,221.391,225.263,219.663,220.904,ok,1291240800,33116
