,c,h,l,o,s,t,v
0,1903.6,1987.8,1897.3,1974.6,ok,1287435600,17219
1,1939.7,1941.7,1896.3,1903.9,ok,1287522000,12849
2,1884.8,1949.0,1870.5,1939.5,ok,1287608400,16616
3,1887.5,1898.4,1852.4,1884.6,ok,1287694800,12592
4,1885.7,1888.9,1882.8,1886.9,ok,1287867600,220
5,1909.3,1923.9,1883.7,1885.9,ok,1287954000,11548
6,1942.3,1945.6,1884.5,1910.0,ok,1288040400,12347
7,1926.9,1970.0,1906.4,1941.9,ok,1288126800,15534
8,1941.6,1945.7,1908.2,1926.5,ok,1288213200,11898
9,1982.7,1988.4,1916.2,1941.8,ok,1288299600,11558
10,1982.1,1982.4,1982.1,1982.4,ok,1288386000,2
11,1978.5,1983.8,1976.3,1981.8,ok,1288472400,255
12,1986.0,2030.2,1977.4,1978.8,ok,1288558800,12752
13,2007.9,2013.1,1979.1,1985.2,ok,1288645200,9742
14,2013.3,2023.3,1948.7,2008.2,ok,1288731600,18464
15,2122.3,2123.3,2003.8,2013.1,ok,1288818000,14549
16,2165.9,2182.9,2094.9,2122.6,ok,1288904400,16180
17,2166.1,2169.9,2165.3,2165.5,ok,1289077200,121
18,2249.5,2250.9,2148.5,2165.7,ok,1289167200,11999
19,2196.9,2378.6,2164.9,2249.9,ok,1289253600,24806
20,2241.4,2309.6,2187.1,2196.6,ok,1289340000,29549
21,2282.6,2289.1,2219.7,2241.8,ok,1289426400,20462
22,2142.1,2284.1,2127.9,2282.8,ok,1289512800,24963
23,2139.4,2141.9,2137.6,2140.2,ok,1289685600,331
24,2114.3,2193.2,2113.5,2139.0,ok,1289772000,19462
25,2119.2,2146.4,2086.6,2114.6,ok,1289858400,25740
26,2130.5,2152.5,2089.3,2119.5,ok,1289944800,18172
27,2250.8,2261.9,2130.1,2130.8,ok,1290031200,17007
28,2274.3,2288.4,2200.5,2251.2,ok,1290117600,19732
29,2274.6,2275.7,2263.8,2273.0,ok,1290290400,303
30,2320.3,2327.3,2262.2,2274.2,ok,1290376800,18095
31,2286.5,2323.4,2254.7,2319.8,ok,1290463200,19722
32,2302.3,2306.9,2260.1,2285.7,ok,1290549600,13265
33,2302.3,2305.5,2281.7,2302.0,ok,1290636000,6302
34,2238.3,2306.3,2216.6,2302.7,ok,1290722400,11407
35,2236.6,2238.6,2236.6,2238.6,ok,1290808800,2
36,2240.6,2241.3,2234.4,2238.0,ok,1290895200,429
37,2285.2,2297.6,2223.3,2240.3,ok,1290981600,14824
38,2348.4,2366.4,2261.6,2285.4,ok,1291068000,15436
39,2393.9,2415.0,2338.1,2349.2,ok,1291154400,17201
40,2389.4,2427.6,2379.6,2394.9,ok,1291240800,20220
41,2418.4,2427.2,2374.1,2388.0,ok,1291327200,15532
42,2418.2,2418.2,2418.2,2418.2,ok,1291413600,1
43,2418.2,2420.8,2415.6,2416.7,ok,1291500000,176
44,2491.7,2501.8,2418.2,2418.4,ok,1291586400,18662
45,2392.8,2538.4,2376.2,2491.2,ok,1291672800,22444
46,2382.4,2451.7,2350.8,2393.3,ok,1291759200,22277
47,2405.0,2429.9,2366.7,2382.2,ok,1291845600,19651
48,2400.2,2425.0,2353.7,2405.8,ok,1291932000,16872
49,2401.4,2401.5,2387.5,2396.2,ok,1292104800,144
50,2460.2,2484.4,2386.8,2401.8,ok,1292191200,13824
51,2463.5,2495.2,2434.4,2459.7,ok,1292277600,17523
52,2423.8,2481.3,2416.7,2464.3,ok,1292364000,15463
53,2420.8,2455.8,2385.1,2424.3,ok,1292450400,18591
54,2440.7,2457.7,2406.3,2421.2,ok,1292536800,12540
55,2440.3,2440.3,2440.3,2440.3,ok,1292623200,1
56,2441.8,2445.7,2438.6,2440.8,ok,1292709600,140
57,2457.7,2472.7,2407.7,2441.6,ok,1292796000,10931
58,2455.9,2469.3,2426.6,2458.0,ok,1292882400,10038
59,2439.9,2463.9,2439.0,2455.7,ok,1292968800,7453
60,2428.1,2448.7,2401.6,2439.6,ok,1293055200,6807
61,2409.2,2430.4,2408.4,2427.5,ok,1293141600,1544
62,2409.2,2412.4,2404.8,2408.5,ok,1293314400,103
63,2421.1,2424.8,2383.7,2408.9,ok,1293400800,5327
64,2492.4,2497.4,2415.8,2420.8,ok,1293487200,7954
65,2494.5,2514.4,2477.8,2491.5,ok,1293573600,7387
66,2479.1,2516.7,2477.2,2494.2,ok,1293660000,7255
