,c,h,l,o,s,t,v
0,1374.64,1391.21,1368.46,1383.49,ok,1287435600,26231
1,1363.17,1379.6,1360.23,1374.51,ok,1287522000,19952
2,1355.92,1368.86,1347.3,1363.25,ok,1287608400,21994
3,1349.84,1356.95,1342.09,1355.74,ok,1287694800,16587
4,1349.32,1349.32,1349.32,1349.32,ok,1287781200,1
5,1343.7,1350.35,1342.82,1350.35,ok,1287867600,377
6,1352.16,1355.74,1341.1,1343.51,ok,1287954000,15385
7,1359.82,1362.64,1347.89,1352.27,ok,1288040400,15896
8,1362.91,1376.01,1357.63,1359.66,ok,1288126800,20751
9,1372.45,1375.43,1356.02,1362.83,ok,1288213200,16284
10,1380.07,1387.6,1370.07,1372.65,ok,1288299600,18248
11,1379.86,1380.21,1379.86,1380.21,ok,1288386000,2
12,1376.64,1381.63,1376.47,1380.56,ok,1288472400,186
13,1370.98,1386.38,1366.65,1376.76,ok,1288558800,14436
14,1357.64,1371.09,1350.82,1371.09,ok,1288645200,13393
15,1339.82,1364.98,1334.42,1357.48,ok,1288731600,25521
16,1371.51,1371.87,1338.5,1339.92,ok,1288818000,18356
17,1370.02,1376.51,1356.13,1372.02,ok,1288904400,23080
18,1371.65,1375.34,1370.47,1370.85,ok,1289077200,296
19,1390.02,1391.79,1369.13,1371.54,ok,1289167200,16555
20,1387.39,1409.53,1380.96,1390.13,ok,1289253600,24586
21,1395.97,1402.57,1385.26,1387.66,ok,1289340000,28745
22,1410.86,1412.88,1388.57,1396.47,ok,1289426400,23348
23,1388.08,1414.57,1379.67,1410.74,ok,1289512800,31597
24,1388.43,1388.43,1388.43,1388.43,ok,1289599200,1
25,1383.14,1389.65,1382.62,1389.2,ok,1289685600,485
26,1380.34,1391.93,1377.52,1383.28,ok,1289772000,24085
27,1371.14,1389.92,1365.36,1380.22,ok,1289858400,27398
28,1363.24,1375.13,1361.09,1371.03,ok,1289944800,20944
29,1366.65,1376.0,1361.22,1363.11,ok,1290031200,18070
30,1370.27,1382.01,1365.79,1366.83,ok,1290117600,19407
31,1369.87,1371.56,1366.52,1370.75,ok,1290290400,424
32,1381.98,1383.86,1365.45,1369.71,ok,1290376800,17788
33,1415.2,1417.68,1377.8,1382.15,ok,1290463200,23776
34,1398.24,1416.15,1392.17,1415.36,ok,1290549600,18033
35,1401.07,1405.18,1393.28,1398.38,ok,1290636000,8733
36,1411.65,1420.5,1398.77,1400.97,ok,1290722400,16848
37,1411.38,1411.38,1411.38,1411.38,ok,1290808800,1
38,1406.31,1411.15,1401.5,1411.15,ok,1290895200,837
39,1417.98,1426.81,1399.73,1406.42,ok,1290981600,20356
40,1445.2,1450.9,1414.6,1417.85,ok,1291068000,21721
