,c,h,l,o,s,t,v
0,1376.05,1398.27,1372.96,1391.45,ok,1287435600,43306
1,1373.71,1382.62,1372.59,1375.97,ok,1287522000,34802
2,1360.33,1380.54,1355.25,1373.76,ok,1287608400,39807
3,1360.87,1364.45,1351.2,1360.18,ok,1287694800,31112
4,1360.72,1360.72,1360.72,1360.72,ok,1287781200,1
5,1360.34,1361.33,1359.19,1361.1,ok,1287867600,181
6,1365.84,1374.38,1358.57,1360.41,ok,1287954000,27882
7,1371.68,1373.53,1360.86,1365.72,ok,1288040400,29704
8,1361.83,1376.1,1360.82,1371.74,ok,1288126800,35261
9,1371.72,1372.88,1356.41,1361.91,ok,1288213200,29434
10,1383.81,1386.46,1366.5,1371.79,ok,1288299600,32341
11,1382.48,1386.43,1382.12,1382.63,ok,1288472400,351
12,1373.76,1390.51,1369.75,1382.61,ok,1288558800,26663
13,1367.89,1375.64,1363.13,1373.87,ok,1288645200,24007
14,1354.98,1373.75,1341.79,1367.82,ok,1288731600,48166
15,1394.7,1396.57,1353.53,1354.91,ok,1288818000,35571
16,1392.15,1398.06,1379.32,1394.75,ok,1288904400,41158
17,1391.8,1391.87,1391.8,1391.87,ok,1288990800,2
18,1393.17,1394.68,1392.2,1392.2,ok,1289077200,342
19,1413.73,1415.04,1389.58,1393.27,ok,1289167200,28703
20,1403.36,1425.47,1394.92,1413.67,ok,1289253600,42979
21,1404.44,1414.29,1391.13,1403.63,ok,1289340000,50993
22,1412.28,1419.76,1400.81,1404.58,ok,1289426400,39711
23,1383.67,1415.02,1375.51,1412.45,ok,1289512800,52229
24,1383.81,1383.81,1383.81,1383.81,ok,1289599200,1
25,1382.66,1385.42,1382.14,1384.77,ok,1289685600,269
26,1373.2,1389.48,1368.03,1383.28,ok,1289772000,41035
27,1368.83,1381.98,1361.78,1374.48,ok,1289858400,47842
28,1368.14,1372.17,1360.54,1369.05,ok,1289944800,36810
29,1378.32,1384.25,1365.91,1368.21,ok,1290031200,33040
30,1374.48,1388.47,1370.67,1378.42,ok,1290117600,33349
31,1374.65,1374.65,1374.65,1374.65,ok,1290204000,1
32,1374.73,1375.89,1373.2,1374.7,ok,1290290400,197
33,1391.69,1391.93,1372.77,1374.68,ok,1290376800,30072
34,1409.77,1415.33,1381.95,1391.58,ok,1290463200,39372
35,1386.12,1410.53,1384.9,1409.59,ok,1290549600,29823
36,1386.7,1389.12,1382.36,1386.25,ok,1290636000,12894
37,1390.56,1400.26,1379.03,1386.6,ok,1290722400,25116
38,1390.52,1390.57,1390.34,1390.34,ok,1290808800,3
39,1384.26,1391.09,1381.36,1390.45,ok,1290895200,625
40,1390.25,1398.73,1379.58,1384.31,ok,1290981600,31208
41,1422.05,1427.16,1389.08,1390.12,ok,1291068000,35591
42,1410.69,1426.76,1408.07,1422.18,ok,1291154400,34537
43,1388.12,1418.08,1387.33,1410.63,ok,1291240800,38200
44,1417.77,1418.31,1387.96,1388.04,ok,1291327200,32556
45,1417.91,1417.91,1417.66,1417.66,ok,1291413600,4
