,c,h,l,o,s,t,v
0,847.75,867.09,845.81,861.77,ok,1287435600,50471
1,849.02,854.31,845.0,847.65,ok,1287522000,40478
2,843.77,855.02,839.17,849.05,ok,1287608400,46600
3,846.12,847.42,838.8,843.82,ok,1287694800,38078
4,846.43,847.57,844.92,846.02,ok,1287867600,680
5,851.82,856.72,845.42,846.39,ok,1287954000,34636
6,845.6,854.49,838.0,851.79,ok,1288040400,36921
7,840.19,847.88,836.14,845.63,ok,1288126800,42289
8,842.58,843.94,833.95,840.16,ok,1288213200,35386
9,846.5,849.05,839.67,842.54,ok,1288299600,38815
10,845.46,846.65,845.32,846.59,ok,1288472400,318
11,843.96,851.29,841.75,845.43,ok,1288558800,32175
12,845.95,850.54,841.99,843.92,ok,1288645200,28327
13,838.26,846.95,825.12,845.9,ok,1288731600,53729
14,855.59,855.72,836.36,838.33,ok,1288818000,42666
15,860.2,862.29,847.74,855.68,ok,1288904400,48136
16,860.11,860.15,860.11,860.15,ok,1288990800,2
17,859.93,860.62,859.56,859.78,ok,1289077200,135
18,872.97,874.07,858.53,859.89,ok,1289167200,36327
19,871.06,888.2,866.24,872.93,ok,1289253600,50685
20,870.45,881.37,863.31,871.2,ok,1289340000,59937
21,873.22,878.99,865.44,870.54,ok,1289426400,48255
22,848.33,874.63,842.02,873.17,ok,1289512800,61425
23,847.04,849.44,846.77,848.73,ok,1289685600,468
24,847.21,857.09,844.74,846.71,ok,1289772000,48270
25,843.03,851.18,837.96,846.65,ok,1289858400,53851
26,839.53,845.52,836.95,843.06,ok,1289944800,40893
27,843.35,852.44,838.15,839.58,ok,1290031200,38654
28,846.04,849.16,840.62,843.32,ok,1290117600,38466
29,846.07,846.07,846.07,846.07,ok,1290204000,1
30,846.3,846.57,844.22,846.01,ok,1290290400,784
31,856.26,856.83,844.15,846.26,ok,1290376800,36763
32,872.26,874.05,850.54,856.23,ok,1290463200,44731
33,870.36,875.34,867.61,872.2,ok,1290549600,34624
34,871.94,872.96,867.59,870.31,ok,1290636000,15394
35,873.47,874.99,864.17,871.88,ok,1290722400,28344
36,873.51,873.51,873.31,873.31,ok,1290808800,4
37,873.16,873.65,870.92,873.47,ok,1290895200,1554
38,876.97,879.69,868.31,873.12,ok,1290981600,37494
39,890.37,894.74,876.67,877.02,ok,1291068000,39237
40,888.01,895.59,886.93,890.31,ok,1291154400,41099
41,887.56,897.93,886.17,887.95,ok,1291240800,43976
42,895.24,898.96,886.71,887.61,ok,1291327200,39428
43,896.41,896.75,895.48,895.66,ok,1291500000,236
44,905.54,907.45,893.81,896.52,ok,1291586400,32862
45,889.2,906.65,885.7,905.57,ok,1291672800,44475
46,874.08,891.14,868.82,889.14,ok,1291759200,46354
47,879.09,883.62,872.98,874.01,ok,1291845600,39062
48,876.1,881.76,869.99,879.19,ok,1291932000,32720
49,876.1,876.66,875.32,876.03,ok,1292104800,325
50,878.56,887.26,873.48,876.14,ok,1292191200,29647
51,884.58,889.86,878.39,878.66,ok,1292277600,37039
52,887.81,891.77,881.86,884.66,ok,1292364000,38630
53,876.01,890.35,872.07,887.78,ok,1292450400,35452
54,884.32,890.24,874.67,876.06,ok,1292536800,33125
55,884.13,884.2,884.13,884.2,ok,1292623200,2
56,884.95,885.87,884.09,884.73,ok,1292709600,233
57,892.62,894.17,884.61,884.92,ok,1292796000,26199
58,895.26,898.88,890.62,892.59,ok,1292882400,23634
59,900.05,903.64,894.97,895.51,ok,1292968800,20852
60,894.07,901.12,889.23,900.13,ok,1293055200,21787
61,894.12,896.56,891.73,894.16,ok,1293141600,7457
62,894.38,894.49,894.25,894.25,ok,1293228000,5
63,892.95,894.09,892.77,894.06,ok,1293314400,75
64,896.79,898.77,888.65,893.02,ok,1293400800,17023
65,914.33,915.27,894.55,896.86,ok,1293487200,24430
66,910.4,916.09,909.1,914.38,ok,1293573600,23892
67,910.02,915.32,908.5,910.43,ok,1293660000,21158
68,909.43,912.9,905.03,909.98,ok,1293746400,19213
69,911.8,913.85,908.38,909.16,ok,1293919200,408
70,912.98,919.6,908.06,911.82,ok,1294005600,24595
71,885.37,915.96,881.93,912.94,ok,1294092000,36723
72,887.95,889.8,880.59,885.4,ok,1294178400,38731
73,886.03,890.01,880.15,887.99,ok,1294264800,35737
74,879.85,888.2,875.6,885.99,ok,1294351200,42119
75,881.38,882.68,879.56,879.61,ok,1294524000,1241
76,882.96,886.94,878.82,881.33,ok,1294610400,31303
77,885.32,889.95,881.56,883.0,ok,1294696800,30319
