,c,h,l,o,s,t,v
0,1788.668,1821.1,1782.897,1811.238,ok,1287435600,101882
1,1781.978,1799.37,1777.614,1789.197,ok,1287522000,85463
2,1776.522,1793.434,1766.227,1782.031,ok,1287608400,91599
3,1776.248,1779.091,1759.59,1776.562,ok,1287694800,67287
4,1769.333,1777.318,1766.672,1776.533,ok,1287867600,378
5,1780.158,1788.847,1768.502,1769.027,ok,1287954000,68738
6,1788.106,1790.642,1772.6,1780.065,ok,1288040400,72491
7,1777.301,1795.803,1774.503,1788.177,ok,1288126800,88210
8,1781.568,1783.501,1763.883,1777.261,ok,1288213200,69789
9,1770.809,1788.925,1759.743,1781.767,ok,1288299600,83966
10,1770.428,1775.013,1769.851,1771.525,ok,1288472400,714
11,1763.571,1783.727,1758.434,1770.636,ok,1288558800,65929
12,1758.66,1776.321,1747.519,1763.714,ok,1288645200,67546
13,1727.921,1761.188,1714.26,1758.067,ok,1288731600,96556
14,1751.472,1751.781,1709.99,1728.01,ok,1288818000,91241
15,1749.049,1757.698,1735.427,1751.522,ok,1288904400,97931
16,1747.907,1748.961,1747.907,1748.961,ok,1288990800,2
17,1753.71,1760.818,1751.204,1752.306,ok,1289077200,558
18,1787.686,1789.559,1753.401,1753.887,ok,1289167200,75377
19,1790.094,1813.486,1779.926,1787.648,ok,1289253600,107953
20,1792.155,1805.757,1775.801,1790.441,ok,1289340000,128888
21,1803.741,1808.187,1782.919,1792.2,ok,1289426400,98377
22,1766.575,1812.014,1759.301,1803.856,ok,1289512800,125067
23,1760.433,1769.676,1757.742,1768.288,ok,1289685600,1275
24,1759.303,1779.678,1754.804,1760.116,ok,1289772000,105405
25,1743.858,1767.962,1733.882,1759.394,ok,1289858400,122433
26,1733.198,1749.99,1730.477,1742.451,ok,1289944800,87150
27,1737.798,1751.44,1730.827,1733.536,ok,1290031200,80126
28,1735.47,1750.357,1729.771,1737.463,ok,1290117600,85597
29,1734.539,1736.655,1730.794,1736.072,ok,1290290400,708
30,1769.6,1771.576,1732.134,1734.584,ok,1290376800,82399
31,1813.268,1815.278,1760.373,1770.059,ok,1290463200,106536
32,1806.339,1818.764,1793.599,1813.221,ok,1290549600,70006
33,1807.811,1812.154,1797.774,1806.244,ok,1290636000,35364
34,1815.418,1824.439,1798.9,1807.679,ok,1290722400,60405
35,1815.139,1815.139,1815.139,1815.139,ok,1290808800,1
36,1809.619,1816.377,1803.939,1815.045,ok,1290895200,853
37,1830.597,1838.29,1802.608,1809.379,ok,1290981600,81957
38,1865.665,1871.084,1829.115,1830.369,ok,1291068000,81613
39,1852.017,1874.047,1848.22,1865.59,ok,1291154400,88993
40,1832.76,1862.366,1831.338,1851.937,ok,1291240800,89777
41,1843.115,1851.351,1830.299,1832.72,ok,1291327200,84196
42,1842.082,1843.284,1842.082,1843.284,ok,1291413600,2
43,1849.422,1850.754,1840.006,1840.642,ok,1291500000,533
44,1868.018,1872.822,1841.405,1850.003,ok,1291586400,69720
45,1850.341,1871.422,1840.809,1868.057,ok,1291672800,99027
46,1847.408,1862.938,1832.718,1851.172,ok,1291759200,101122
47,1851.504,1865.429,1842.542,1847.261,ok,1291845600,83049
