,c,h,l,o,s,t,v
0,1748.22,1785.23,1742.54,1776.61,ok,1287435600,41443
1,1752.8,1755.85,1742.24,1748.27,ok,1287522000,32629
2,1724.96,1756.0,1715.85,1752.85,ok,1287608400,38871
3,1720.42,1729.82,1711.5,1725.13,ok,1287694800,30813
4,1718.72,1722.07,1718.27,1720.09,ok,1287867600,67
5,1731.41,1741.81,1717.48,1718.83,ok,1287954000,27278
6,1737.16,1741.6,1723.86,1731.36,ok,1288040400,27608
7,1726.53,1744.13,1722.87,1737.09,ok,1288126800,34952
8,1740.64,1743.61,1720.2,1726.58,ok,1288213200,29394
9,1756.12,1759.48,1736.01,1740.84,ok,1288299600,30736
10,1754.14,1759.81,1753.72,1759.81,ok,1288472400,59
11,1748.07,1765.73,1743.0,1754.25,ok,1288558800,25953
12,1747.71,1751.4,1738.68,1748.22,ok,1288645200,21905
13,1733.08,1755.55,1708.15,1747.86,ok,1288731600,42388
14,1784.49,1786.68,1730.5,1733.17,ok,1288818000,34424
15,1789.21,1796.64,1765.58,1784.55,ok,1288904400,43382
16,1789.12,1789.12,1789.12,1789.12,ok,1288990800,1
17,1789.84,1791.5,1789.04,1790.5,ok,1289077200,61
18,1814.51,1815.8,1784.11,1789.7,ok,1289167200,29521
19,1796.47,1831.0,1785.12,1814.41,ok,1289253600,42791
20,1807.39,1813.95,1786.1,1796.82,ok,1289340000,52351
21,1815.11,1826.07,1799.55,1807.57,ok,1289426400,40425
22,1773.7,1817.96,1763.08,1815.04,ok,1289512800,54471
23,1775.65,1776.13,1774.94,1774.94,ok,1289685600,27
24,1771.88,1791.25,1765.55,1775.72,ok,1289772000,43478
25,1747.35,1778.44,1734.37,1771.72,ok,1289858400,47513
26,1737.57,1753.24,1734.49,1747.19,ok,1289944800,35139
27,1753.04,1762.47,1734.57,1737.51,ok,1290031200,32323
28,1751.83,1765.64,1740.83,1753.19,ok,1290117600,34316
29,1751.48,1751.63,1751.48,1751.63,ok,1290204000,2
30,1752.49,1753.16,1749.61,1751.72,ok,1290290400,77
31,1772.16,1773.78,1750.14,1752.58,ok,1290376800,30326
32,1808.59,1814.23,1767.44,1772.02,ok,1290463200,39501
33,1797.83,1811.13,1791.48,1808.54,ok,1290549600,28063
34,1795.17,1798.75,1791.18,1797.98,ok,1290636000,11489
35,1797.0,1806.69,1783.07,1795.22,ok,1290722400,23930
36,1796.72,1796.72,1796.72,1796.72,ok,1290808800,1
37,1793.17,1798.71,1793.17,1796.63,ok,1290895200,90
38,1800.98,1809.28,1784.61,1793.11,ok,1290981600,30900
39,1829.06,1836.55,1798.12,1800.91,ok,1291068000,31500
40,1817.53,1835.99,1811.81,1829.13,ok,1291154400,32570
41,1809.01,1830.09,1805.73,1817.48,ok,1291240800,37262
42,1839.87,1843.83,1809.12,1809.5,ok,1291327200,31518
43,1839.18,1839.18,1839.18,1839.18,ok,1291413600,1
44,1838.87,1839.02,1837.16,1838.47,ok,1291500000,15
45,1857.1,1859.7,1833.71,1838.69,ok,1291586400,27396
46,1836.17,1863.21,1827.82,1857.18,ok,1291672800,37546
47,1814.95,1841.36,1803.34,1836.05,ok,1291759200,41740
48,1816.48,1828.59,1811.64,1814.84,ok,1291845600,33516
49,1809.4,1822.68,1797.03,1816.68,ok,1291932000,28857
50,1812.55,1813.57,1807.76,1807.76,ok,1292104800,74
51,1815.94,1826.66,1805.46,1812.48,ok,1292191200,24658
52,1817.47,1832.52,1811.19,1815.85,ok,1292277600,30810
53,1818.46,1830.79,1813.44,1817.57,ok,1292364000,32428
54,1799.26,1822.97,1790.44,1818.39,ok,1292450400,30067
55,1804.59,1812.6,1794.19,1799.19,ok,1292536800,27722
56,1804.66,1804.66,1804.66,1804.66,ok,1292623200,1
57,1804.95,1807.01,1802.26,1807.01,ok,1292709600,101
58,1823.06,1833.36,1803.31,1803.44,ok,1292796000,21970
59,1816.74,1827.6,1811.58,1822.99,ok,1292882400,18176
60,1809.48,1825.29,1806.53,1816.8,ok,1292968800,15715
61,1800.45,1813.88,1793.12,1809.35,ok,1293055200,15910
62,1793.75,1804.05,1791.38,1800.65,ok,1293141600,2968
63,1794.33,1795.99,1792.17,1793.14,ok,1293314400,38
64,1796.33,1799.12,1782.48,1794.61,ok,1293400800,13097
65,1826.15,1827.67,1795.04,1796.41,ok,1293487200,17952
66,1823.01,1829.26,1816.63,1826.59,ok,1293573600,15482
67,1808.18,1827.71,1807.37,1823.07,ok,1293660000,13653
68,1822.37,1822.64,1803.24,1808.11,ok,1293746400,11413
69,1822.07,1822.07,1822.07,1822.07,ok,1293832800,1
70,1822.19,1823.58,1819.5,1820.24,ok,1293919200,45
71,1816.54,1828.65,1811.98,1822.07,ok,1294005600,19873
72,1775.82,1822.69,1772.12,1816.46,ok,1294092000,27954
73,1780.14,1786.64,1763.08,1776.08,ok,1294178400,31130
74,1775.07,1784.4,1766.0,1780.25,ok,1294264800,28662
75,1769.46,1783.45,1754.84,1775.02,ok,1294351200,32386
76,1771.89,1773.84,1769.96,1770.13,ok,1294524000,187
77,1784.25,1788.23,1770.86,1772.06,ok,1294610400,23861
78,1785.69,1793.92,1779.1,1784.18,ok,1294696800,23308
79,1785.24,1791.46,1774.95,1785.6,ok,1294783200,22057
80,1764.61,1791.74,1760.25,1785.33,ok,1294869600,24436
81,1751.74,1774.95,1744.72,1764.67,ok,1294956000,29253
82,1751.56,1751.93,1751.51,1751.84,ok,1295128800,12
83,1751.92,1762.69,1748.12,1751.62,ok,1295215200,13122
84,1754.04,1765.59,1750.59,1751.84,ok,1295301600,21718
85,1756.55,1764.77,1752.55,1753.99,ok,1295388000,21578
86,1732.22,1765.17,1730.23,1756.17,ok,1295474400,27777
87,1721.27,1737.71,1717.22,1732.44,ok,1295560800,24348
88,1721.33,1721.33,1721.33,1721.33,ok,1295647200,1
89,1720.34,1723.26,1719.44,1723.26,ok,1295733600,124
90,1708.34,1737.52,1706.24,1720.29,ok,1295820000,18507
91,1704.09,1713.35,1694.36,1708.27,ok,1295906400,25051
92,1720.71,1722.28,1695.02,1704.16,ok,1295992800,20837
93,1678.79,1724.0,1675.47,1720.83,ok,1296079200,22495
94,1715.39,1729.85,1676.25,1678.58,ok,1296165600,28878
95,1715.57,1715.57,1715.52,1715.52,ok,1296252000,14
96,1717.77,1717.86,1714.74,1715.57,ok,1296338400,60
97,1704.15,1732.79,1693.43,1717.86,ok,1296424800,25872
98,1703.81,1712.31,1686.94,1704.23,ok,1296511200,24449
99,1697.94,1709.72,1687.57,1703.76,ok,1296597600,21857
100,1724.92,1727.3,1688.23,1697.88,ok,1296684000,24781
101,1717.36,1731.35,1714.63,1724.99,ok,1296770400,20651
102,1717.67,1717.67,1717.67,1717.67,ok,1296856800,13
103,1717.84,1718.0,1716.96,1717.67,ok,1296943200,37
104,1719.77,1725.96,1711.94,1717.91,ok,1297029600,16107
105,1735.94,1739.52,1715.46,1719.65,ok,1297116000,18030
106,1736.72,1741.68,1729.74,1736.0,ok,1297202400,17465
107,1742.04,1746.09,1728.48,1736.64,ok,1297288800,18742
108,1737.64,1755.09,1736.06,1742.13,ok,1297375200,22061
109,1737.64,1737.64,1737.64,1737.64,ok,1297461600,3
110,1738.62,1739.88,1736.54,1737.64,ok,1297548000,100
111,1743.72,1752.89,1734.36,1738.68,ok,1297634400,15073
112,1758.79,1761.96,1742.95,1743.67,ok,1297720800,15280
113,1756.84,1768.03,1751.13,1758.74,ok,1297807200,17822
114,1764.73,1766.74,1756.32,1756.94,ok,1297893600,13927
115,1768.31,1772.87,1759.73,1764.67,ok,1297980000,16685
116,1768.45,1768.45,1768.38,1768.38,ok,1298066400,14
117,1767.92,1770.1,1767.57,1768.45,ok,1298152800,106
118,1792.68,1796.64,1767.97,1767.97,ok,1298239200,12484
119,1791.12,1806.42,1784.1,1792.55,ok,1298325600,24801
120,1801.99,1811.22,1783.06,1791.21,ok,1298412000,20452
121,1790.31,1814.79,1777.52,1802.04,ok,1298498400,26743
122,1792.81,1797.35,1783.18,1790.41,ok,1298584800,19630
123,1793.07,1793.07,1792.96,1792.96,ok,1298671200,16
124,1791.86,1793.81,1791.86,1793.07,ok,1298757600,41
125,1793.62,1804.64,1785.94,1791.8,ok,1298844000,18696
126,1824.79,1826.59,1790.67,1793.68,ok,1298930400,17669
127,1819.8,1828.23,1814.51,1824.65,ok,1299016800,18550
128,1794.03,1822.11,1787.26,1819.95,ok,1299103200,26763
129,1810.69,1814.15,1791.72,1794.46,ok,1299189600,19145
130,1813.72,1813.76,1810.69,1810.69,ok,1299362400,20
131,1811.85,1825.86,1807.17,1813.79,ok,1299448800,24237
132,1810.53,1822.31,1805.19,1811.76,ok,1299535200,22279
133,1813.44,1819.52,1805.75,1810.47,ok,1299621600,17757
134,1795.68,1820.11,1784.18,1813.5,ok,1299708000,26321
135,1794.85,1806.37,1786.68,1795.6,ok,1299794400,25925
136,1794.85,1794.85,1794.85,1794.85,ok,1299880800,14
137,1798.51,1802.56,1794.85,1794.85,ok,1299967200,118
138,1806.63,1817.58,1797.38,1798.35,ok,1300050000,22892
139,1789.07,1810.64,1772.47,1806.55,ok,1300136400,39253
140,1792.89,1800.16,1778.85,1788.98,ok,1300222800,29810
141,1793.51,1798.95,1779.56,1792.79,ok,1300309200,28542
142,1803.34,1814.81,1791.38,1793.58,ok,1300395600,25150
143,1803.34,1803.34,1803.34,1803.34,ok,1300482000,12
144,1806.41,1806.49,1803.34,1803.34,ok,1300568400,20
145,1806.31,1818.7,1805.02,1806.47,ok,1300654800,19805
146,1803.03,1811.72,1792.83,1806.43,ok,1300741200,18503
147,1817.5,1822.3,1802.43,1803.14,ok,1300827600,17024
148,1802.15,1824.63,1794.32,1817.62,ok,1300914000,21594
149,1800.66,1811.68,1793.82,1802.31,ok,1301000400,19519
150,1800.59,1800.59,1800.59,1800.59,ok,1301086800,13
151,1799.88,1802.41,1799.76,1800.59,ok,1301173200,46
152,1792.56,1803.51,1780.59,1799.49,ok,1301259600,17181
153,1788.06,1795.66,1780.77,1792.67,ok,1301346000,15547
154,1794.35,1805.24,1781.81,1788.13,ok,1301432400,19913
155,1804.4,1814.13,1792.12,1794.41,ok,1301518800,18777
156,1798.14,1811.48,1783.95,1804.62,ok,1301605200,23813
157,1798.14,1799.54,1798.14,1798.39,ok,1301691600,14
158,1798.72,1801.49,1798.07,1798.14,ok,1301778000,43
159,1806.32,1812.63,1798.47,1798.8,ok,1301864400,13326
160,1834.62,1836.13,1802.89,1806.37,ok,1301950800,18827
161,1838.48,1842.08,1828.56,1834.52,ok,1302037200,16804
162,1836.55,1845.8,1831.36,1838.41,ok,1302123600,19322
163,1851.71,1853.72,1836.14,1836.64,ok,1302210000,17551
164,1851.65,1851.66,1851.65,1851.66,ok,1302296400,11
165,1852.48,1852.66,1850.2,1851.65,ok,1302382800,44
166,1837.42,1855.6,1833.65,1852.53,ok,1302469200,21914
167,1824.23,1842.45,1816.22,1837.35,ok,1302555600,29179
168,1830.28,1835.58,1822.69,1824.3,ok,1302642000,21717
169,1836.91,1838.26,1812.5,1830.34,ok,1302728400,30305
170,1846.42,1848.27,1831.97,1836.83,ok,1302814800,25430
171,1846.42,1846.42,1846.42,1846.42,ok,1302901200,11
172,1843.63,1846.42,1843.53,1846.42,ok,1302987600,23
173,1863.62,1869.18,1843.16,1843.85,ok,1303074000,30066
174,1859.47,1868.13,1853.17,1863.49,ok,1303160400,22896
175,1859.15,1865.18,1851.87,1859.54,ok,1303246800,24490
176,1857.81,1864.63,1852.25,1859.22,ok,1303333200,22503
177,1856.67,1862.59,1852.73,1857.88,ok,1303419600,1773
178,1856.68,1856.68,1856.68,1856.68,ok,1303506000,13
179,1855.39,1856.68,1854.27,1856.68,ok,1303592400,32
180,1861.9,1873.52,1853.53,1855.28,ok,1303678800,27285
181,1854.56,1865.55,1842.46,1861.95,ok,1303765200,23952
182,1877.03,1881.35,1852.25,1854.63,ok,1303851600,29704
183,1884.58,1888.76,1870.07,1877.1,ok,1303938000,32015
184,1912.36,1917.86,1876.8,1884.66,ok,1304024400,27115
185,1912.36,1912.36,1912.36,1912.36,ok,1304110800,12
186,1909.52,1912.36,1908.98,1912.36,ok,1304197200,136
187,1889.31,1926.62,1885.75,1909.44,ok,1304283600,51142
188,1885.44,1900.29,1875.74,1889.23,ok,1304370000,50953
189,1866.39,1893.44,1855.66,1885.51,ok,1304456400,49569
190,1829.18,1872.88,1813.05,1866.33,ok,1304542800,68743
191,1851.29,1852.18,1819.41,1829.08,ok,1304629200,62656
192,1851.29,1851.29,1851.29,1851.29,ok,1304715600,12
193,1846.03,1851.29,1843.64,1851.29,ok,1304802000,32
194,1862.7,1866.1,1839.72,1846.14,ok,1304888400,39312
195,1866.61,1873.3,1856.5,1862.77,ok,1304974800,31275
196,1855.6,1876.58,1846.6,1866.67,ok,1305061200,39516
197,1863.94,1868.33,1840.0,1855.55,ok,1305147600,52091
198,1859.07,1878.81,1849.83,1864.02,ok,1305234000,40970
