,c,h,l,o,s,t,v
0,1331.61,1371.0,1328.31,1368.3,ok,1287435600,65915
1,1345.75,1347.17,1330.52,1331.56,ok,1287522000,53457
2,1325.25,1349.23,1317.87,1345.79,ok,1287608400,61165
3,1327.23,1328.44,1315.17,1325.28,ok,1287694800,49190
4,1339.48,1349.14,1326.18,1326.18,ok,1287954000,44685
5,1340.06,1343.5,1328.0,1339.41,ok,1288040400,45876
6,1324.96,1343.48,1318.92,1340.13,ok,1288126800,55848
7,1343.73,1345.91,1322.93,1324.93,ok,1288213200,46871
8,1358.14,1359.4,1335.22,1343.88,ok,1288299600,50722
9,1356.98,1356.98,1356.98,1356.98,ok,1288472400,1
10,1353.47,1365.51,1349.15,1357.51,ok,1288558800,40685
11,1357.14,1359.82,1350.36,1353.58,ok,1288645200,37416
12,1348.21,1364.64,1325.39,1357.03,ok,1288731600,63840
13,1392.07,1393.31,1346.89,1348.28,ok,1288818000,57896
14,1392.47,1398.16,1373.37,1392.11,ok,1288904400,69213
15,1392.4,1392.4,1392.4,1392.4,ok,1288990800,1
16,1393.2,1393.3,1393.2,1393.3,ok,1289077200,2
17,1409.09,1410.38,1386.76,1393.15,ok,1289167200,51093
18,1392.55,1424.39,1382.54,1409.06,ok,1289253600,74857
19,1403.49,1410.04,1383.67,1392.82,ok,1289340000,87376
20,1408.0,1417.67,1397.11,1403.63,ok,1289426400,71252
21,1367.47,1410.0,1359.51,1407.93,ok,1289512800,96618
22,1368.42,1368.42,1368.42,1368.42,ok,1289685600,1
23,1360.17,1376.81,1355.7,1368.32,ok,1289772000,78365
24,1339.3,1364.62,1329.59,1360.13,ok,1289858400,86924
25,1335.62,1344.9,1330.88,1339.15,ok,1289944800,65613
26,1352.98,1359.27,1333.36,1335.59,ok,1290031200,58316
27,1352.4,1363.05,1341.54,1352.68,ok,1290117600,61404
28,1352.75,1352.75,1351.75,1351.9,ok,1290290400,5
29,1366.45,1367.79,1348.4,1352.5,ok,1290376800,54852
30,1376.18,1382.48,1356.13,1366.37,ok,1290463200,67624
31,1372.89,1381.41,1369.3,1376.11,ok,1290549600,44996
32,1374.37,1375.01,1367.82,1373.01,ok,1290636000,16308
33,1362.29,1375.5,1350.84,1374.27,ok,1290722400,37128
34,1362.08,1362.08,1362.08,1362.08,ok,1290808800,1
35,1362.01,1362.01,1362.01,1362.01,ok,1290895200,1
36,1365.9,1369.17,1352.04,1362.12,ok,1290981600,54254
37,1385.76,1389.89,1362.77,1365.73,ok,1291068000,54468
38,1387.42,1396.93,1381.47,1385.85,ok,1291154400,57810
39,1384.76,1398.31,1382.55,1387.36,ok,1291240800,60255
40,1412.84,1414.63,1384.28,1384.73,ok,1291327200,56457
41,1413.18,1413.18,1413.18,1413.18,ok,1291500000,1
42,1423.28,1427.39,1408.62,1413.68,ok,1291586400,50589
43,1401.3,1431.2,1396.18,1423.31,ok,1291672800,68861
44,1381.51,1404.32,1370.88,1401.26,ok,1291759200,69846
45,1386.48,1394.5,1379.78,1381.4,ok,1291845600,54407
46,1384.83,1391.99,1372.03,1386.63,ok,1291932000,53220
47,1384.68,1384.68,1384.53,1384.68,ok,1292104800,3
48,1393.77,1399.22,1379.85,1382.84,ok,1292191200,45783
49,1395.64,1408.07,1391.82,1393.72,ok,1292277600,54988
50,1380.16,1396.95,1377.9,1395.68,ok,1292364000,49344
51,1369.6,1386.38,1361.01,1380.11,ok,1292450400,54187
52,1374.04,1378.75,1364.59,1369.55,ok,1292536800,49162
53,1373.53,1373.68,1373.53,1373.68,ok,1292709600,2
54,1384.87,1388.14,1373.56,1373.56,ok,1292796000,37400
55,1385.11,1392.14,1380.79,1384.82,ok,1292882400,32943
56,1384.98,1390.9,1382.86,1385.16,ok,1292968800,26753
57,1379.52,1388.31,1372.07,1384.88,ok,1293055200,26722
58,1381.15,1383.67,1377.05,1379.65,ok,1293141600,1066
59,1379.4,1380.65,1379.4,1380.65,ok,1293314400,3
60,1383.14,1386.12,1370.75,1379.03,ok,1293400800,18259
61,1405.28,1406.63,1382.31,1383.18,ok,1293487200,30117
62,1411.27,1414.08,1401.08,1405.59,ok,1293573600,27563
63,1404.01,1414.67,1402.92,1411.32,ok,1293660000,23790
64,1420.21,1420.25,1403.38,1403.95,ok,1293746400,15635
65,1419.83,1419.83,1419.83,1419.83,ok,1293919200,1
66,1414.28,1423.85,1412.47,1417.85,ok,1294005600,33544
67,1380.18,1417.29,1374.76,1414.25,ok,1294092000,50369
68,1377.75,1384.81,1363.79,1380.38,ok,1294178400,52034
69,1371.08,1379.74,1364.53,1377.81,ok,1294264800,48891
70,1368.3,1378.87,1352.75,1371.02,ok,1294351200,56827
71,1368.65,1368.65,1368.6,1368.65,ok,1294524000,3
72,1375.3,1376.2,1365.32,1368.6,ok,1294610400,41217
73,1381.12,1386.59,1372.67,1375.33,ok,1294696800,40672
74,1387.55,1388.8,1376.53,1381.08,ok,1294783200,39526
75,1372.98,1393.12,1369.46,1387.6,ok,1294869600,43285
76,1360.73,1378.04,1355.04,1373.03,ok,1294956000,52861
77,1360.85,1360.85,1360.85,1360.85,ok,1295128800,1
78,1360.76,1365.76,1357.18,1360.8,ok,1295215200,21302
79,1367.92,1376.23,1360.37,1360.83,ok,1295301600,39044
80,1369.59,1379.22,1365.69,1367.85,ok,1295388000,39069
81,1345.28,1371.18,1343.34,1369.29,ok,1295474400,46725
82,1341.48,1350.26,1337.8,1345.48,ok,1295560800,43767
83,1333.91,1353.01,1332.32,1341.43,ok,1295820000,34625
84,1332.03,1338.45,1322.65,1333.94,ok,1295906400,47742
85,1345.63,1346.53,1325.05,1332.08,ok,1295992800,39061
86,1313.07,1348.02,1310.27,1345.72,ok,1296079200,42685
87,1335.56,1347.2,1308.27,1313.0,ok,1296165600,51260
88,1335.7,1335.7,1335.66,1335.66,ok,1296252000,14
89,1337.15,1337.15,1335.7,1335.7,ok,1296338400,13
90,1332.24,1345.9,1323.18,1337.58,ok,1296424800,46812
91,1341.0,1343.18,1325.36,1332.31,ok,1296511200,42431
92,1334.82,1343.89,1326.72,1340.96,ok,1296597600,39482
93,1354.08,1355.89,1324.84,1334.77,ok,1296684000,41419
94,1347.52,1358.82,1345.0,1354.05,ok,1296770400,40771
95,1347.52,1347.52,1347.52,1347.52,ok,1296856800,12
96,1348.11,1348.11,1347.52,1347.52,ok,1296943200,14
97,1350.94,1353.3,1343.19,1348.06,ok,1297029600,29235
98,1363.48,1367.98,1348.42,1350.91,ok,1297116000,31850
99,1363.28,1366.98,1357.87,1363.52,ok,1297202400,30829
100,1363.29,1366.18,1351.06,1363.31,ok,1297288800,31729
101,1355.7,1368.63,1353.91,1363.34,ok,1297375200,34518
102,1355.7,1355.7,1355.7,1355.7,ok,1297461600,3
103,1355.7,1355.7,1355.1,1355.7,ok,1297548000,15
104,1361.44,1366.8,1353.65,1355.7,ok,1297634400,26806
105,1373.27,1376.64,1360.64,1361.47,ok,1297720800,27540
106,1373.98,1382.02,1368.2,1373.24,ok,1297807200,32695
107,1383.61,1384.98,1373.93,1374.02,ok,1297893600,24038
108,1388.86,1391.99,1381.7,1383.57,ok,1297980000,29990
109,1388.91,1388.91,1388.91,1388.91,ok,1298066400,13
110,1388.11,1388.91,1388.11,1388.91,ok,1298152800,14
111,1406.1,1408.25,1388.11,1388.11,ok,1298239200,21513
112,1398.7,1410.88,1392.75,1406.03,ok,1298325600,43353
113,1411.21,1416.72,1395.56,1398.77,ok,1298412000,35224
114,1402.25,1418.18,1392.19,1411.26,ok,1298498400,45611
115,1409.28,1411.67,1399.81,1402.34,ok,1298584800,34714
116,1409.28,1409.28,1409.28,1409.28,ok,1298671200,14
117,1408.45,1409.28,1408.45,1409.28,ok,1298757600,15
118,1410.8,1416.39,1404.76,1409.47,ok,1298844000,34129
119,1433.16,1434.95,1409.32,1410.83,ok,1298930400,33688
120,1434.01,1440.16,1427.74,1433.05,ok,1299016800,35063
121,1415.36,1436.24,1410.12,1434.05,ok,1299103200,48312
122,1429.74,1432.13,1413.14,1415.7,ok,1299189600,35035
123,1431.54,1431.54,1429.74,1429.74,ok,1299362400,11
124,1431.61,1444.76,1428.01,1431.49,ok,1299448800,46751
125,1428.59,1436.8,1423.27,1431.63,ok,1299535200,40892
126,1430.38,1436.32,1423.15,1428.62,ok,1299621600,33086
127,1411.48,1431.53,1402.92,1430.43,ok,1299708000,48319
128,1416.56,1424.19,1404.76,1411.45,ok,1299794400,46705
129,1416.56,1416.56,1416.56,1416.56,ok,1299880800,14
130,1418.25,1418.5,1416.56,1416.56,ok,1299967200,14
131,1425.95,1432.6,1418.28,1419.32,ok,1300050000,41683
132,1395.29,1428.61,1380.86,1425.92,ok,1300136400,67041
133,1398.52,1406.08,1392.31,1395.25,ok,1300222800,50318
134,1403.53,1405.16,1386.45,1398.49,ok,1300309200,48538
135,1417.3,1423.83,1401.95,1403.49,ok,1300395600,42153
136,1417.3,1417.3,1417.3,1417.3,ok,1300482000,12
137,1418.65,1418.65,1417.3,1417.3,ok,1300568400,15
138,1427.18,1434.8,1421.05,1421.05,ok,1300654800,38254
139,1427.34,1432.1,1419.42,1427.3,ok,1300741200,37568
140,1436.5,1440.926,1425.72,1427.43,ok,1300827600,33933
141,1429.911,1447.672,1423.68,1436.525,ok,1300914000,46582
142,1428.48,1437.91,1422.096,1430.042,ok,1301000400,40386
143,1428.43,1428.43,1428.43,1428.43,ok,1301086800,13
144,1427.58,1428.58,1427.58,1428.43,ok,1301173200,16
145,1419.91,1428.3,1410.133,1427.13,ok,1301259600,36962
146,1418.13,1423.29,1410.986,1419.967,ok,1301346000,29888
147,1422.522,1430.222,1411.881,1418.157,ok,1301432400,41150
148,1431.913,1439.516,1420.41,1422.567,ok,1301518800,39679
149,1427.335,1436.346,1412.606,1432.066,ok,1301605200,50946
150,1427.335,1427.535,1427.335,1427.535,ok,1301691600,12
151,1427.78,1427.78,1427.335,1427.335,ok,1301778000,14
152,1433.578,1438.708,1427.267,1428.18,ok,1301864400,28701
153,1455.605,1456.888,1429.937,1433.617,ok,1301950800,43211
154,1459.275,1462.249,1451.31,1455.53,ok,1302037200,39269
155,1457.798,1465.119,1452.654,1459.243,ok,1302123600,43194
156,1473.587,1474.955,1456.433,1457.768,ok,1302210000,39062
157,1473.545,1473.545,1473.545,1473.545,ok,1302296400,11
158,1473.92,1473.92,1473.545,1473.545,ok,1302382800,13
159,1462.824,1476.337,1459.286,1474.12,ok,1302469200,49004
160,1452.497,1467.282,1444.05,1462.802,ok,1302555600,61091
161,1456.917,1462.356,1451.144,1452.547,ok,1302642000,46159
162,1473.875,1474.763,1452.385,1456.962,ok,1302728400,56658
163,1485.73,1488.091,1471.39,1473.843,ok,1302814800,54653
164,1485.73,1485.73,1485.73,1485.73,ok,1302901200,11
165,1484.98,1485.73,1484.98,1485.73,ok,1302987600,15
166,1494.907,1497.772,1477.23,1484.98,ok,1303074000,57676
167,1495.965,1499.635,1487.579,1494.863,ok,1303160400,44891
168,1501.921,1505.875,1493.063,1495.938,ok,1303246800,52589
169,1504.503,1508.912,1500.28,1501.977,ok,1303333200,48307
170,1504.1,1510.798,1502.975,1504.438,ok,1303419600,1223
171,1504.1,1504.1,1504.1,1504.1,ok,1303506000,13
172,1503.9,1504.1,1503.9,1504.1,ok,1303592400,14
173,1506.587,1518.145,1501.86,1505.9,ok,1303678800,61562
174,1505.845,1507.934,1492.839,1506.625,ok,1303765200,52465
175,1526.73,1530.151,1503.082,1505.867,ok,1303851600,64873
176,1535.837,1538.392,1524.096,1526.755,ok,1303938000,68561
177,1562.5,1569.315,1531.882,1535.88,ok,1304024400,54999
178,1562.5,1562.5,1562.5,1562.5,ok,1304110800,12
179,1562.9,1562.9,1562.05,1562.5,ok,1304197200,15
180,1545.008,1575.722,1540.2,1565.725,ok,1304283600,111875
181,1535.365,1551.081,1526.939,1544.975,ok,1304370000,105843
182,1515.765,1543.141,1505.895,1535.417,ok,1304456400,103937
183,1473.875,1521.915,1462.527,1515.713,ok,1304542800,141529
184,1494.3,1498.326,1471.078,1473.912,ok,1304629200,124652
185,1494.3,1494.3,1494.3,1494.3,ok,1304715600,12
186,1493.9,1494.3,1493.9,1494.3,ok,1304802000,13
187,1513.297,1513.632,1489.123,1495.4,ok,1304888400,79126
188,1515.952,1519.574,1505.754,1513.275,ok,1304974800,61793
189,1500.971,1526.547,1495.625,1515.975,ok,1305061200,81252
190,1505.355,1507.972,1478.1,1500.913,ok,1305147600,96564
191,1493.785,1516.387,1482.705,1505.4,ok,1305234000,76533
192,1493.785,1493.785,1493.785,1493.785,ok,1305320400,13
193,1492.9,1493.785,1492.9,1493.785,ok,1305406800,13
194,1488.712,1504.406,1486.96,1493.0,ok,1305493200,66350
195,1486.338,1497.602,1471.774,1488.688,ok,1305579600,73048
196,1496.571,1499.859,1484.854,1486.362,ok,1305666000,52610
197,1492.67,1499.704,1486.25,1496.592,ok,1305752400,55745
198,1510.6,1515.811,1486.736,1492.74,ok,1305838800,67154
199,1510.6,1510.6,1510.6,1510.6,ok,1305925200,12
200,1511.65,1511.7,1510.6,1510.6,ok,1306011600,13
201,1516.493,1518.441,1503.895,1511.65,ok,1306098000,69135
202,1526.118,1527.793,1513.166,1516.525,ok,1306184400,52025
203,1524.808,1532.201,1521.154,1526.152,ok,1306270800,47855
204,1518.609,1530.877,1514.588,1524.875,ok,1306357200,54356
205,1535.183,1538.308,1517.938,1518.588,ok,1306443600,33039
206,1535.183,1535.183,1535.183,1535.183,ok,1306530000,12
207,1535.183,1535.183,1535.183,1535.183,ok,1306616400,12
208,1538.335,1538.974,1534.069,1535.45,ok,1306702800,13794
209,1535.239,1540.772,1532.168,1538.313,ok,1306789200,42947
210,1539.458,1550.333,1529.409,1535.263,ok,1306875600,53354
211,1533.301,1544.366,1519.459,1539.49,ok,1306962000,54182
212,1540.825,1546.741,1523.947,1533.263,ok,1307048400,62416
213,1540.825,1540.825,1540.825,1540.825,ok,1307134800,12
214,1541.325,1541.35,1540.825,1540.825,ok,1307221200,14
215,1544.305,1553.53,1540.372,1541.325,ok,1307307600,41773
216,1543.582,1550.18,1536.061,1544.362,ok,1307394000,43155
217,1537.149,1546.047,1530.833,1543.525,ok,1307480400,47862
218,1543.467,1549.591,1533.18,1537.113,ok,1307566800,42641
219,1529.98,1545.339,1525.863,1543.432,ok,1307653200,44025
220,1529.98,1529.98,1529.98,1529.98,ok,1307739600,12
221,1530.0,1530.0,1529.98,1529.98,ok,1307826000,12
222,1515.462,1532.687,1510.758,1530.0,ok,1307912400,52016
223,1523.423,1526.138,1512.075,1515.438,ok,1307998800,48375
224,1530.37,1534.52,1514.026,1523.457,ok,1308085200,60513
225,1529.43,1533.065,1521.577,1530.325,ok,1308171600,45438
226,1538.2,1542.039,1522.466,1529.38,ok,1308258000,44832
227,1538.2,1538.2,1538.2,1538.2,ok,1308344400,12
228,1538.19,1538.2,1538.19,1538.2,ok,1308430800,13
229,1540.312,1547.071,1532.874,1538.19,ok,1308517200,39296
230,1545.756,1547.991,1538.513,1540.337,ok,1308603600,35882
231,1548.602,1558.092,1541.206,1545.725,ok,1308690000,44679
232,1520.778,1549.074,1511.81,1548.662,ok,1308776400,68304
233,1501.348,1525.575,1497.52,1520.925,ok,1308862800,63526
234,1501.348,1501.348,1501.348,1501.348,ok,1308949200,12
235,1500.85,1501.348,1500.85,1501.348,ok,1309035600,12
236,1497.492,1505.295,1490.672,1500.85,ok,1309122000,52678
237,1500.955,1506.262,1495.666,1497.542,ok,1309208400,41405
238,1511.93,1513.044,1500.219,1500.987,ok,1309294800,42374
239,1499.678,1513.942,1498.401,1511.962,ok,1309381200,45737
240,1486.5,1502.577,1478.097,1499.737,ok,1309467600,51678
241,1486.5,1486.5,1486.5,1486.5,ok,1309554000,12
242,1485.9,1486.5,1485.9,1486.5,ok,1309640400,14
243,1496.115,1496.638,1485.045,1485.9,ok,1309726800,15031
244,1515.501,1516.591,1493.266,1496.165,ok,1309813200,33449
245,1528.603,1533.754,1510.109,1515.442,ok,1309899600,44732
246,1531.972,1534.443,1522.845,1528.637,ok,1309986000,40147
247,1542.95,1545.425,1524.643,1531.938,ok,1310072400,43448
248,1542.95,1542.95,1542.95,1542.95,ok,1310158800,12
249,1542.95,1542.95,1542.95,1542.95,ok,1310245200,12
250,1553.254,1556.901,1540.775,1542.95,ok,1310331600,45153
251,1567.408,1573.535,1540.643,1553.225,ok,1310418000,61572
252,1581.948,1587.903,1564.322,1567.45,ok,1310504400,60001
253,1586.921,1594.31,1578.903,1581.917,ok,1310590800,69134
254,1592.45,1592.858,1575.94,1586.9,ok,1310677200,56649
255,1592.45,1592.45,1592.45,1592.45,ok,1310763600,12
256,1592.45,1592.45,1592.45,1592.45,ok,1310850000,12
257,1604.514,1607.342,1591.556,1592.35,ok,1310936400,51004
258,1588.047,1610.046,1582.393,1604.492,ok,1311022800,53011
259,1600.116,1601.391,1581.077,1588.084,ok,1311109200,50883
260,1590.195,1604.448,1584.703,1600.142,ok,1311195600,63397
261,1600.15,1607.25,1583.483,1590.174,ok,1311282000,44416
262,1600.15,1600.15,1600.15,1600.15,ok,1311368400,2
263,1599.0,1600.15,1598.9,1600.15,ok,1311454800,18
264,1613.706,1623.087,1599.2,1599.2,ok,1311541200,54213
265,1618.965,1620.063,1607.902,1613.675,ok,1311627600,44285
266,1613.133,1628.513,1608.834,1618.938,ok,1311714000,45345
267,1615.65,1620.242,1602.897,1613.175,ok,1311800400,46280
268,1625.9,1632.661,1610.593,1615.568,ok,1311886800,56406
269,1625.9,1625.9,1625.9,1625.9,ok,1311973200,12
270,1625.4,1625.9,1625.4,1625.9,ok,1312059600,14
271,1619.114,1631.901,1604.65,1625.4,ok,1312146000,63480
272,1660.705,1660.771,1616.338,1619.144,ok,1312232400,67666
273,1661.33,1672.955,1651.888,1660.755,ok,1312318800,59201
274,1646.083,1682.076,1641.982,1661.4,ok,1312405200,116838
275,1662.45,1670.071,1641.439,1646.142,ok,1312491600,113939
276,1661.7,1662.45,1659.7,1662.45,ok,1312578000,15
277,1663.8,1663.8,1661.7,1661.7,ok,1312664400,19
278,1719.05,1720.483,1666.8,1666.8,ok,1312750800,134328
279,1739.74,1779.393,1714.893,1719.0,ok,1312837200,226089
280,1792.45,1797.7,1737.444,1739.6,ok,1312923600,178363
281,1763.2,1814.453,1731.901,1792.5,ok,1313010000,223846
282,1745.3,1767.64,1723.132,1763.05,ok,1313096400,131057
283,1745.3,1745.3,1745.3,1745.3,ok,1313182800,12
284,1745.5,1745.5,1745.3,1745.3,ok,1313269200,12
285,1765.46,1766.135,1728.08,1745.5,ok,1313355600,88912
286,1785.313,1786.993,1760.959,1765.493,ok,1313442000,92486
287,1790.857,1794.578,1778.897,1785.347,ok,1313528400,65864
288,1823.153,1828.679,1783.853,1790.887,ok,1313614800,96163
289,1850.8,1877.545,1821.423,1823.187,ok,1313701200,178388
290,1850.8,1850.8,1850.8,1850.8,ok,1313787600,12
291,1852.0,1852.0,1850.8,1850.8,ok,1313874000,15
292,1897.285,1898.473,1851.75,1852.5,ok,1313960400,154648
293,1827.595,1911.877,1823.419,1897.31,ok,1314046800,215760
294,1758.555,1853.842,1749.712,1827.732,ok,1314133200,233193
295,1774.34,1774.604,1702.722,1758.439,ok,1314219600,298617
296,1827.55,1827.9,1757.346,1774.402,ok,1314306000,244125
297,1827.3,1827.55,1827.3,1827.55,ok,1314392400,13
298,1830.05,1830.05,1827.05,1827.3,ok,1314478800,20
299,1787.547,1836.65,1775.76,1829.8,ok,1314565200,120551
300,1834.739,1840.392,1783.473,1787.588,ok,1314651600,108454
301,1825.213,1839.802,1811.234,1834.686,ok,1314738000,97936
302,1825.784,1830.597,1813.425,1825.153,ok,1314824400,70898
303,1881.8,1884.489,1824.228,1825.82,ok,1314910800,80533
304,1880.55,1881.8,1880.55,1881.8,ok,1314997200,12
305,1883.25,1883.25,1880.55,1880.55,ok,1315083600,19
306,1900.647,1902.973,1874.145,1884.25,ok,1315170000,52809
307,1874.885,1920.755,1857.978,1899.2,ok,1315256400,162497
308,1817.271,1895.678,1792.71,1874.837,ok,1315342800,164238
