,c,h,l,o,s,t,v
0,56.962,57.155,55.949,56.209,ok,1287435600,41150
1,56.152,57.214,56.137,56.95,ok,1287522000,31800
2,57.076,57.343,55.958,56.145,ok,1287608400,37102
3,56.814,57.585,56.751,57.071,ok,1287694800,31847
4,56.596,57.008,56.163,56.769,ok,1287954000,28113
5,56.087,57.341,56.027,56.58,ok,1288040400,29183
6,56.117,56.469,55.313,56.081,ok,1288126800,35261
7,55.972,56.361,55.778,56.12,ok,1288213200,30020
8,54.713,56.27,54.674,55.979,ok,1288299600,30149
9,54.717,54.717,54.666,54.666,ok,1288472400,2
10,54.774,55.02,54.311,54.738,ok,1288558800,26502
11,54.401,54.928,54.378,54.779,ok,1288645200,21799
12,54.199,55.445,54.069,54.397,ok,1288731600,43450
13,52.876,54.377,52.839,54.207,ok,1288818000,36496
14,51.921,53.18,51.864,52.88,ok,1288904400,44438
15,51.937,51.954,51.937,51.954,ok,1289077200,3
16,50.769,52.318,50.737,52.06,ok,1289167200,35234
17,51.686,52.324,48.482,50.766,ok,1289253600,56522
18,51.456,52.365,49.959,51.695,ok,1289340000,68841
19,50.819,51.912,50.717,51.448,ok,1289426400,51793
20,52.347,52.788,50.803,50.823,ok,1289512800,68928
21,52.424,52.424,52.384,52.384,ok,1289685600,2
22,53.355,53.376,51.887,52.42,ok,1289772000,56477
23,52.544,53.509,52.367,53.352,ok,1289858400,62395
24,52.061,53.149,51.823,52.557,ok,1289944800,53327
25,50.132,52.083,50.095,52.07,ok,1290031200,43193
26,49.379,50.864,49.246,50.123,ok,1290117600,49032
27,49.392,49.392,49.356,49.388,ok,1290290400,7
28,49.0,49.796,48.809,49.383,ok,1290376800,40870
29,49.979,50.451,48.879,49.007,ok,1290463200,48552
30,49.735,50.487,49.678,49.996,ok,1290549600,30803
31,49.773,50.103,49.698,49.724,ok,1290636000,13431
32,50.865,51.18,49.755,49.767,ok,1290722400,26764
33,50.858,50.858,50.858,50.858,ok,1290808800,1
34,50.789,50.855,50.789,50.855,ok,1290895200,2
35,50.285,51.133,50.137,50.781,ok,1290981600,39768
36,49.3,50.822,49.012,50.279,ok,1291068000,36873
37,48.723,49.484,48.418,49.287,ok,1291154400,37068
38,48.506,48.95,48.125,48.719,ok,1291240800,44771
39,47.939,48.54,47.863,48.516,ok,1291327200,34711
40,48.027,48.027,48.015,48.015,ok,1291500000,2
41,47.146,48.072,46.843,48.044,ok,1291586400,38170
42,48.818,49.012,46.556,47.144,ok,1291672800,47550
43,48.645,49.229,47.781,48.814,ok,1291759200,47850
44,48.205,48.987,48.036,48.641,ok,1291845600,38782
45,48.156,48.991,47.973,48.189,ok,1291932000,36107
46,48.163,48.25,48.163,48.235,ok,1292104800,8
47,47.175,48.474,47.034,48.22,ok,1292191200,29450
