,c,h,l,o,s,t,v
0,3.73748,3.87902,3.73247,3.863,ok,1287435600,12001
1,3.81706,3.8291,3.73094,3.73597,ok,1287522000,8092
2,3.77979,3.86107,3.77631,3.81304,ok,1287608400,9935
3,3.82978,3.83078,3.76223,3.78029,ok,1287694800,7215
4,3.82827,3.82978,3.82677,3.82927,ok,1287781200,10
5,3.86339,3.90009,3.82043,3.82344,ok,1287954000,7434
6,3.88479,3.90347,3.84978,3.86389,ok,1288040400,6701
7,3.78888,3.91035,3.77037,3.88679,ok,1288126800,8927
8,3.79574,3.8394,3.77584,3.78988,ok,1288213200,7180
9,3.75548,3.79722,3.71295,3.79424,ok,1288299600,7672
10,3.75548,3.75849,3.75398,3.75648,ok,1288386000,9
11,3.7921,3.82523,3.75667,3.75717,ok,1288558800,6361
12,3.83856,3.85011,3.77904,3.7901,ok,1288645200,5044
13,3.83389,3.8585,3.77177,3.83806,ok,1288731600,8234
14,3.91992,3.92597,3.82135,3.83489,ok,1288818000,8104
15,3.96587,4.00456,3.91692,3.91942,ok,1288904400,7385
16,3.97889,3.97889,3.96637,3.96637,ok,1288990800,27
17,3.96036,3.99006,3.92837,3.96953,ok,1289167200,5953
18,3.98123,4.05592,3.93578,3.96186,ok,1289253600,8933
19,3.9956,4.02976,3.94955,3.98224,ok,1289340000,8877
20,4.04603,4.09174,3.97554,3.9961,ok,1289426400,8315
21,3.90309,4.05804,3.88757,4.04403,ok,1289512800,12749
22,3.90409,3.9071,3.89908,3.9071,ok,1289599200,18
23,3.91913,3.96085,3.85661,3.89474,ok,1289772000,10322
24,3.73264,3.93965,3.6921,3.91713,ok,1289858400,13357
25,3.73399,3.7746,3.61287,3.72964,ok,1289944800,11331
26,3.85003,3.85207,3.71993,3.73499,ok,1290031200,9193
27,3.83785,3.87901,3.78737,3.84953,ok,1290117600,9767
28,3.83935,3.83986,3.83785,3.83935,ok,1290204000,10
29,3.77728,3.87655,3.73175,3.85205,ok,1290376800,8162
30,3.70101,3.78628,3.66205,3.77778,ok,1290463200,9457
31,3.77096,3.78352,3.69901,3.70051,ok,1290549600,6908
32,3.79286,3.79387,3.72533,3.77146,ok,1290636000,2251
33,3.74664,3.78933,3.70062,3.78582,ok,1290722400,4747
34,3.76668,3.80281,3.70574,3.75581,ok,1290981600,3244
35,3.81458,3.83765,3.71758,3.76466,ok,1291068000,1383
36,3.95308,3.95759,3.79304,3.79555,ok,1291154400,215
37,3.96311,3.98404,3.92615,3.9485,ok,1291240800,121
38,4.00518,4.00568,3.94419,3.97361,ok,1291327200,86
39,4.00017,4.01749,3.97165,4.01449,ok,1291586400,74
40,4.00033,4.11554,3.98373,3.99819,ok,1291672800,148
41,4.10279,4.10675,3.97146,4.00483,ok,1291759200,121
42,4.06252,4.14278,4.04605,4.09981,ok,1291845600,103
43,4.1091,4.12502,4.06804,4.06804,ok,1291932000,65
44,4.19943,4.2099,4.08898,4.09846,ok,1292191200,81
45,4.19412,4.21149,4.17859,4.19945,ok,1292277600,52
46,4.09296,4.19725,4.07747,4.19463,ok,1292364000,60
47,4.09911,4.11301,4.07311,4.09446,ok,1292450400,66
48,4.15868,4.17802,4.1216,4.1216,ok,1292536800,36
49,4.19912,4.20754,4.15256,4.19147,ok,1292796000,70
50,4.28616,4.28616,4.19915,4.19915,ok,1292882400,62
51,4.27933,4.3266,4.24682,4.3266,ok,1292968800,73
52,4.24705,4.27336,4.20256,4.27336,ok,1293055200,45
53,4.27919,4.27959,4.19964,4.2266,ok,1293400800,28
54,4.30614,4.31557,4.26619,4.2845,ok,1293487200,30
55,4.30137,4.31272,4.27727,4.27727,ok,1293573600,30
56,4.36044,4.36044,4.31142,4.31142,ok,1293660000,43
57,4.4215,4.43094,4.36049,4.36049,ok,1293746400,19
58,4.41374,4.48295,4.41374,4.44394,ok,1294005600,53
59,4.37161,4.44584,4.34566,4.41377,ok,1294092000,58
60,4.39082,4.40278,4.28003,4.37364,ok,1294178400,92
61,4.30977,4.4078,4.29926,4.4078,ok,1294264800,48
62,4.26763,4.3344,4.2406,4.32629,ok,1294351200,81
63,4.26684,4.30653,4.23937,4.27161,ok,1294610400,41
64,4.32943,4.33836,4.28997,4.29036,ok,1294696800,31
65,4.40001,4.41641,4.32945,4.32945,ok,1294783200,49
66,4.33589,4.40458,4.33589,4.39952,ok,1294869600,52
67,4.41595,4.42243,4.33852,4.34443,ok,1294956000,64
68,4.36526,4.43891,4.36526,4.41396,ok,1295215200,30
69,4.41843,4.42286,4.3723,4.3723,ok,1295301600,44
70,4.35569,4.46099,4.34121,4.4275,ok,1295388000,9945
71,4.24295,4.38267,4.22245,4.3537,ok,1295474400,12382
72,4.30395,4.33139,4.23945,4.24045,ok,1295560800,8684
73,4.30645,4.30645,4.30195,4.30195,ok,1295647200,8
74,4.33718,4.36661,4.30313,4.30313,ok,1295820000,7097
75,4.24339,4.34667,4.20243,4.33817,ok,1295906400,10243
76,4.28642,4.29341,4.21844,4.24089,ok,1295992800,6579
77,4.31648,4.3499,4.26996,4.28293,ok,1296079200,9143
78,4.34503,4.40143,4.28053,4.31498,ok,1296165600,10074
79,4.34953,4.34953,4.34553,4.34753,ok,1296252000,10
80,4.44618,4.45665,4.33074,4.34522,ok,1296424800,8388
81,4.54566,4.55065,4.4387,4.44568,ok,1296511200,8150
82,4.55375,4.55669,4.51076,4.54616,ok,1296597600,5076
83,4.54335,4.57473,4.50936,4.55325,ok,1296684000,6188
84,4.5859,4.60885,4.53091,4.54385,ok,1296770400,6871
85,4.5869,4.5889,4.5834,4.5879,ok,1296856800,8
86,4.54024,4.6326,4.53224,4.57461,ok,1297029600,5716
87,4.58978,4.60476,4.50133,4.54074,ok,1297116000,8209
88,4.52145,4.59928,4.48596,4.59028,ok,1297202400,8438
89,4.53803,4.55394,4.48603,4.52295,ok,1297288800,7388
90,4.55261,4.57501,4.47715,4.54102,ok,1297375200,8360
91,4.54611,4.55461,4.54611,4.55211,ok,1297461600,16
92,4.62533,4.63031,4.53932,4.54681,ok,1297634400,6879
93,4.52551,4.64532,4.51702,4.62583,ok,1297720800,7909
94,4.49414,4.54504,4.45765,4.52352,ok,1297807200,9873
95,4.49973,4.51314,4.41178,4.49563,ok,1297893600,9171
96,4.47234,4.52078,4.41734,4.49823,ok,1297980000,8035
97,4.4831,4.51054,4.44857,4.48452,ok,1298239200,4023
98,4.31533,4.49112,4.30483,4.48112,ok,1298325600,10526
99,4.30743,4.34432,4.24695,4.31483,ok,1298412000,9689
100,4.3405,4.34448,4.22253,4.30693,ok,1298498400,8962
101,4.44802,4.455,4.31703,4.3415,ok,1298584800,5112
102,4.45051,4.45351,4.44852,4.44852,ok,1298671200,5
103,4.47728,4.48325,4.40524,4.44221,ok,1298844000,860
104,4.44389,4.49932,4.42788,4.47778,ok,1298930400,240
105,4.47747,4.48844,4.43444,4.4409,ok,1299016800,93
106,4.49147,4.5375,4.4745,4.48,ok,1299103200,94
107,4.48342,4.54747,4.46592,4.48896,ok,1299189600,108
108,4.34171,4.50383,4.3072,4.48833,ok,1299448800,210
109,4.33716,4.35221,4.25165,4.34071,ok,1299535200,145
110,4.21206,4.37015,4.18606,4.34116,ok,1299621600,205
111,4.18951,4.21456,4.13049,4.21306,ok,1299708000,158
112,4.23149,4.23149,4.08694,4.20201,ok,1299794400,137
113,4.20835,4.20839,4.13585,4.20839,ok,1300050000,76
114,4.1833,4.21185,4.07176,4.21185,ok,1300136400,110
115,4.18476,4.2593,4.17175,4.1958,ok,1300222800,86
116,4.33528,4.36029,4.14123,4.17675,ok,1300309200,130
117,4.36224,4.36727,4.29824,4.34728,ok,1300395600,100
