,c,h,l,o,s,t,v
0,575.5,590.5,562.0,586.0,ok,1287435600,707
1,583.0,588.0,563.0,575.0,ok,1287522000,742
2,585.5,597.0,577.0,588.5,ok,1287608400,758
3,587.0,591.5,572.0,579.0,ok,1287694800,868
4,588.0,590.0,582.0,589.0,ok,1287781200,140
5,602.0,617.5,583.0,583.0,ok,1287954000,601
6,623.0,624.0,597.0,606.5,ok,1288040400,687
7,615.5,635.75,610.0,622.5,ok,1288126800,868
8,626.5,629.0,608.0,612.0,ok,1288213200,772
9,643.0,644.0,620.0,626.0,ok,1288299600,768
10,645.0,645.5,633.0,637.0,ok,1288386000,119
11,646.5,653.5,638.0,645.0,ok,1288558800,539
12,642.5,652.5,636.0,647.0,ok,1288645200,783
13,634.0,645.0,626.0,637.0,ok,1288731600,759
14,672.0,673.5,630.0,639.25,ok,1288818000,797
15,677.0,697.0,661.0,673.0,ok,1288904400,921
16,682.0,684.5,675.0,677.0,ok,1288990800,168
17,704.0,710.0,672.0,672.0,ok,1289167200,520
18,727.0,733.5,695.0,704.0,ok,1289253600,859
19,709.0,740.5,672.0,732.5,ok,1289340000,925
20,705.0,719.5,688.0,703.0,ok,1289426400,793
21,672.0,711.5,669.0,699.0,ok,1289512800,829
22,670.0,679.75,665.0,673.0,ok,1289599200,177
23,683.0,686.5,657.0,667.0,ok,1289772000,750
24,641.0,683.0,630.0,677.0,ok,1289858400,979
25,654.0,661.0,619.0,641.5,ok,1289944800,1021
26,684.0,694.0,644.0,654.5,ok,1290031200,972
27,695.0,704.0,679.0,685.0,ok,1290117600,1013
28,700.0,702.0,691.0,696.5,ok,1290204000,214
29,683.5,711.5,677.0,709.0,ok,1290376800,718
30,676.0,692.0,652.0,682.5,ok,1290463200,843
31,692.0,698.5,676.0,681.5,ok,1290549600,771
32,690.0,697.0,684.0,687.0,ok,1290636000,507
33,669.0,698.5,658.0,695.0,ok,1290722400,500
34,672.0,681.5,669.0,676.0,ok,1290808800,69
35,689.0,691.0,662.0,674.0,ok,1290981600,780
36,691.0,703.5,678.0,683.0,ok,1291068000,710
37,718.0,726.5,686.0,698.0,ok,1291154400,721
38,765.5,766.5,719.0,719.0,ok,1291240800,747
39,758.0,776.0,747.0,762.5,ok,1291327200,622
40,766.0,769.0,752.0,764.5,ok,1291413600,186
41,754.0,772.5,746.0,760.0,ok,1291586400,515
42,738.0,771.5,737.0,748.0,ok,1291672800,830
43,721.0,743.0,712.0,737.0,ok,1291759200,686
44,736.0,749.5,717.0,727.5,ok,1291845600,731
45,728.0,744.5,718.0,741.5,ok,1291932000,712
46,732.0,736.0,722.0,728.0,ok,1292018400,181
47,752.0,763.0,724.0,726.0,ok,1292191200,547
48,749.0,761.5,743.0,748.0,ok,1292277600,593
49,752.0,765.5,749.0,749.0,ok,1292364000,300
50,795.0,805.5,786.0,789.0,ok,1294005600,428
51,775.5,802.5,759.0,802.5,ok,1294092000,872
52,756.0,777.5,741.0,767.0,ok,1294178400,859
53,756.0,775.5,750.0,763.0,ok,1294264800,757
54,749.0,763.0,731.0,754.0,ok,1294351200,819
55,748.5,759.0,741.0,749.0,ok,1294437600,205
56,745.0,761.0,739.0,742.0,ok,1294610400,477
57,779.0,780.0,738.0,745.0,ok,1294696800,462
58,793.0,804.0,770.0,772.0,ok,1294783200,389
59,809.0,818.0,793.0,802.0,ok,1294869600,412
60,782.0,812.0,780.0,803.0,ok,1294956000,429
61,791.5,794.5,779.0,781.0,ok,1295042400,117
62,793.5,798.25,775.0,785.0,ok,1295215200,347
63,801.0,808.25,781.0,786.0,ok,1295301600,369
64,819.0,825.0,798.0,806.25,ok,1295388000,365
65,806.0,820.0,786.0,813.0,ok,1295474400,400
66,812.0,817.5,794.0,805.0,ok,1295560800,382
67,819.75,821.5,805.0,812.5,ok,1295647200,135
68,816.5,825.0,803.0,811.0,ok,1295820000,292
69,776.5,816.5,769.0,809.0,ok,1295906400,458
70,785.0,797.5,770.0,771.0,ok,1295992800,427
71,797.0,815.0,784.0,784.0,ok,1296079200,410
72,805.0,813.0,782.0,810.5,ok,1296165600,459
73,813.5,813.5,801.0,806.0,ok,1296252000,96
74,803.0,814.25,796.0,806.0,ok,1296424800,377
75,818.0,822.0,801.0,813.0,ok,1296511200,340
76,813.5,824.5,807.0,813.0,ok,1296597600,379
77,803.0,814.5,796.0,813.0,ok,1296684000,334
78,809.0,825.5,803.0,808.0,ok,1296770400,362
79,811.5,818.0,804.0,807.0,ok,1296856800,83
80,816.5,820.5,803.0,811.0,ok,1297029600,247
81,835.0,835.0,807.0,817.0,ok,1297116000,312
82,825.0,836.75,817.0,833.5,ok,1297202400,355
83,822.25,831.75,807.0,820.0,ok,1297288800,388
84,806.0,825.5,806.0,815.0,ok,1297375200,359
85,811.0,813.5,797.0,807.5,ok,1297461600,102
86,822.0,833.0,800.0,800.0,ok,1297634400,382
87,828.0,847.0,818.0,829.0,ok,1297720800,451
88,838.0,842.5,826.0,827.0,ok,1297807200,378
89,839.5,843.5,826.0,839.0,ok,1297893600,387
90,845.0,852.5,831.0,839.0,ok,1297980000,349
91,848.25,854.5,836.0,844.0,ok,1298066400,128
92,851.0,859.5,837.0,837.0,ok,1298239200,341
93,817.0,857.5,811.0,848.0,ok,1298325600,286
94,792.5,814.0,783.0,799.0,ok,1298412000,366
95,774.25,790.0,752.0,786.0,ok,1298498400,477
96,781.0,787.25,764.0,767.0,ok,1298584800,473
97,788.0,790.75,777.0,785.75,ok,1298671200,126
98,792.5,801.25,780.0,781.0,ok,1298844000,345
99,804.0,812.0,786.0,792.5,ok,1298930400,381
100,814.0,822.5,800.0,804.0,ok,1299016800,321
101,817.5,820.75,805.0,811.0,ok,1299103200,399
102,805.5,818.5,791.0,811.0,ok,1299189600,551
103,809.5,812.0,797.0,799.0,ok,1299276000,132
104,778.0,817.0,773.0,809.0,ok,1299448800,265
105,779.0,790.5,766.0,787.0,ok,1299535200,391
106,778.0,797.0,775.0,778.0,ok,1299621600,435
107,764.5,783.0,752.0,777.0,ok,1299708000,335
108,749.0,770.25,735.0,758.0,ok,1299794400,415
109,751.0,763.5,749.0,749.0,ok,1299880800,104
110,745.0,757.0,738.0,750.0,ok,1300050000,278
