,c,h,l,o,s,t,v
0,11.684,11.856,11.649,11.79,ok,1287435600,2759
1,11.655,11.739,11.648,11.681,ok,1287522000,1927
2,11.619,11.792,11.615,11.657,ok,1287608400,2996
3,11.64,11.72,11.599,11.621,ok,1287694800,2428
4,11.622,11.644,11.588,11.636,ok,1287867600,114
5,11.644,11.747,11.607,11.624,ok,1287954000,1874
6,11.683,11.766,11.62,11.641,ok,1288040400,2352
7,11.54,11.733,11.514,11.686,ok,1288126800,3216
8,11.539,11.614,11.482,11.542,ok,1288213200,2107
9,11.405,11.62,11.389,11.534,ok,1288299600,2612
10,11.402,11.402,11.402,11.402,ok,1288386000,1
11,11.401,11.414,11.388,11.398,ok,1288472400,94
12,11.512,11.664,11.396,11.403,ok,1288558800,2482
13,11.667,11.723,11.508,11.516,ok,1288645200,1620
14,11.783,11.842,11.664,11.669,ok,1288731600,2823
15,11.841,11.919,11.734,11.78,ok,1288818000,2568
16,11.899,12.002,11.782,11.843,ok,1288904400,2507
17,11.876,11.919,11.861,11.896,ok,1289077200,71
18,11.87,11.952,11.773,11.873,ok,1289167200,1788
19,11.841,11.932,11.738,11.872,ok,1289253600,2560
20,11.931,12.008,11.83,11.848,ok,1289340000,3203
21,11.872,11.981,11.862,11.924,ok,1289426400,2669
22,11.743,11.928,11.636,11.88,ok,1289512800,3811
23,11.779,11.79,11.747,11.763,ok,1289685600,201
24,11.861,11.944,11.754,11.776,ok,1289772000,2544
25,11.806,11.921,11.778,11.864,ok,1289858400,2868
26,11.827,11.87,11.774,11.808,ok,1289944800,2387
27,11.952,11.976,11.824,11.829,ok,1290031200,2602
28,11.84,11.992,11.835,11.954,ok,1290117600,1827
29,11.9,11.9,11.788,11.833,ok,1290290400,164
30,11.878,11.983,11.857,11.898,ok,1290376800,2219
31,11.665,11.903,11.633,11.875,ok,1290463200,2891
32,11.793,11.829,11.645,11.662,ok,1290549600,2269
33,11.852,11.887,11.757,11.795,ok,1290636000,1464
34,11.669,11.872,11.652,11.85,ok,1290722400,2537
35,11.661,11.661,11.661,11.661,ok,1290808800,1
36,11.72,11.72,11.64,11.668,ok,1290895200,284
37,11.826,11.845,11.697,11.717,ok,1290981600,2751
38,11.753,11.838,11.689,11.829,ok,1291068000,2669
39,11.958,12.028,11.724,11.755,ok,1291154400,2513
40,12.129,12.189,11.934,11.965,ok,1291240800,2689
41,11.94,12.143,11.94,12.121,ok,1291327200,2625
42,11.958,11.958,11.958,11.958,ok,1291413600,1
43,11.938,11.948,11.928,11.942,ok,1291500000,76
44,11.988,12.092,11.912,11.936,ok,1291586400,2182
45,12.036,12.098,11.926,11.985,ok,1291672800,2087
46,12.119,12.156,12.009,12.04,ok,1291759200,2828
47,12.158,12.21,12.057,12.117,ok,1291845600,2524
48,12.13,12.26,12.091,12.155,ok,1291932000,2017
49,12.159,12.159,12.116,12.14,ok,1292104800,56
50,12.168,12.34,12.158,12.162,ok,1292191200,1595
51,12.219,12.26,12.128,12.165,ok,1292277600,2279
52,12.249,12.348,12.21,12.222,ok,1292364000,2123
53,12.246,12.335,12.224,12.252,ok,1292450400,1841
54,12.113,12.338,12.113,12.243,ok,1292536800,2261
55,12.103,12.103,12.103,12.103,ok,1292623200,1
56,12.154,12.185,12.128,12.137,ok,1292709600,98
57,12.226,12.281,12.152,12.156,ok,1292796000,1897
58,12.243,12.31,12.187,12.224,ok,1292882400,1602
59,12.271,12.309,12.226,12.247,ok,1292968800,1627
60,12.242,12.342,12.211,12.268,ok,1293055200,1562
61,12.205,12.307,12.191,12.245,ok,1293141600,1121
62,12.192,12.207,12.187,12.203,ok,1293314400,57
63,12.265,12.317,12.187,12.19,ok,1293400800,1061
64,12.314,12.351,12.222,12.268,ok,1293487200,2354
65,12.248,12.359,12.216,12.305,ok,1293573600,1963
66,12.236,12.333,12.208,12.256,ok,1293660000,1938
67,12.139,12.304,12.097,12.233,ok,1293746400,1949
68,12.144,12.146,12.144,12.146,ok,1293832800,2
69,12.185,12.248,12.118,12.149,ok,1293919200,170
70,12.31,12.345,12.139,12.183,ok,1294005600,1501
71,12.277,12.374,12.18,12.308,ok,1294092000,2333
72,12.409,12.419,12.164,12.279,ok,1294178400,2609
73,12.242,12.412,12.197,12.407,ok,1294264800,2233
74,12.121,12.281,12.091,12.24,ok,1294351200,2981
75,12.125,12.125,12.125,12.125,ok,1294437600,1
76,12.184,12.188,12.111,12.111,ok,1294524000,117
77,12.107,12.208,12.065,12.186,ok,1294610400,2161
78,12.074,12.169,12.064,12.104,ok,1294696800,2226
79,12.127,12.221,12.065,12.077,ok,1294783200,2099
80,12.077,12.159,12.061,12.12,ok,1294869600,2245
81,11.864,12.118,11.851,12.085,ok,1294956000,2726
82,11.841,11.862,11.819,11.86,ok,1295128800,94
83,11.969,12.01,11.843,11.843,ok,1295215200,1644
84,11.93,12.045,11.919,11.966,ok,1295301600,1974
85,11.706,11.968,11.697,11.932,ok,1295388000,2379
86,11.701,11.776,11.578,11.703,ok,1295474400,2661
87,11.611,11.736,11.581,11.699,ok,1295560800,2613
88,11.608,11.608,11.608,11.608,ok,1295647200,1
89,11.595,11.611,11.591,11.611,ok,1295733600,66
90,11.762,11.778,11.597,11.597,ok,1295820000,1837
