,description,displaySymbol,symbol
0,Gold/AUD,XAU/AUD,OANDA:XAU_AUD
1,AUD/CHF,AUD/CHF,OANDA:AUD_CHF
2,USD/INR,USD/INR,OANDA:USD_INR
3,UK 10Y Gilt,UK10YB/GBP,OANDA:UK10YB_GBP
4,Bund,DE10YB/EUR,OANDA:DE10YB_EUR
5,USD/SEK,USD/SEK,OANDA:USD_SEK
6,GBP/SGD,GBP/SGD,OANDA:GBP_SGD
7,US Wall St 30,US30/USD,OANDA:US30_USD
8,Soybeans,SOYBN/USD,OANDA:SOYBN_USD
9,Silver/AUD,XAG/AUD,OANDA:XAG_AUD
10,SGD/JPY,SGD/JPY,OANDA:SGD_JPY
11,SGD/HKD,SGD/HKD,OANDA:SGD_HKD
12,EUR/CHF,EUR/CHF,OANDA:EUR_CHF
13,US T-Bond,USB30Y/USD,OANDA:USB30Y_USD
14,Gold/NZD,XAU/NZD,OANDA:XAU_NZD
15,NZD/CAD,NZD/CAD,OANDA:NZD_CAD
16,Gold/GBP,XAU/GBP,OANDA:XAU_GBP
17,Gold/JPY,XAU/JPY,OANDA:XAU_JPY
18,EUR/NOK,EUR/NOK,OANDA:EUR_NOK
19,USD/JPY,USD/JPY,OANDA:USD_JPY
20,EUR/TRY,EUR/TRY,OANDA:EUR_TRY
21,Singapore 30,SG30/SGD,OANDA:SG30_SGD
22,AUD/HKD,AUD/HKD,OANDA:AUD_HKD
23,NZD/SGD,NZD/SGD,OANDA:NZD_SGD
24,Silver/CHF,XAG/CHF,OANDA:XAG_CHF
25,EUR/NZD,EUR/NZD,OANDA:EUR_NZD
26,Platinum,XPT/USD,OANDA:XPT_USD
27,Netherlands 25,NL25/EUR,OANDA:NL25_EUR
28,Gold/EUR,XAU/EUR,OANDA:XAU_EUR
29,EUR/SGD,EUR/SGD,OANDA:EUR_SGD
30,Gold/SGD,XAU/SGD,OANDA:XAU_SGD
31,TRY/JPY,TRY/JPY,OANDA:TRY_JPY
32,USD/CHF,USD/CHF,OANDA:USD_CHF
33,AUD/SGD,AUD/SGD,OANDA:AUD_SGD
34,EUR/CZK,EUR/CZK,OANDA:EUR_CZK
35,Taiwan Index,TWIX/USD,OANDA:TWIX_USD
36,Corn,CORN/USD,OANDA:CORN_USD
37,West Texas Oil,WTICO/USD,OANDA:WTICO_USD
38,Gold,XAU/USD,OANDA:XAU_USD
39,EUR/CAD,EUR/CAD,OANDA:EUR_CAD
40,AUD/USD,AUD/USD,OANDA:AUD_USD
41,GBP/PLN,GBP/PLN,OANDA:GBP_PLN
42,EUR/USD,EUR/USD,OANDA:EUR_USD
43,US Nas 100,NAS100/USD,OANDA:NAS100_USD
44,Gold/HKD,XAU/HKD,OANDA:XAU_HKD
45,CAD/HKD,CAD/HKD,OANDA:CAD_HKD
46,NZD/CHF,NZD/CHF,OANDA:NZD_CHF
47,CHF/HKD,CHF/HKD,OANDA:CHF_HKD
48,USD/ZAR,USD/ZAR,OANDA:USD_ZAR
49,EUR/JPY,EUR/JPY,OANDA:EUR_JPY
50,NZD/JPY,NZD/JPY,OANDA:NZD_JPY
51,Europe 50,EU50/EUR,OANDA:EU50_EUR
52,Australia 200,AU200/AUD,OANDA:AU200_AUD
53,USD/TRY,USD/TRY,OANDA:USD_TRY
54,GBP/JPY,GBP/JPY,OANDA:GBP_JPY
55,EUR/DKK,EUR/DKK,OANDA:EUR_DKK
56,EUR/PLN,EUR/PLN,OANDA:EUR_PLN
57,EUR/HKD,EUR/HKD,OANDA:EUR_HKD
58,France 40,FR40/EUR,OANDA:FR40_EUR
59,GBP/CAD,GBP/CAD,OANDA:GBP_CAD
60,USD/SAR,USD/SAR,OANDA:USD_SAR
61,Hong Kong 33,HK33/HKD,OANDA:HK33_HKD
62,Silver,XAG/USD,OANDA:XAG_USD
63,US 5Y T-Note,USB05Y/USD,OANDA:USB05Y_USD
64,USD/THB,USD/THB,OANDA:USD_THB
65,GBP/CHF,GBP/CHF,OANDA:GBP_CHF
66,UK 100,UK100/GBP,OANDA:UK100_GBP
67,USD/CAD,USD/CAD,OANDA:USD_CAD
68,SGD/CHF,SGD/CHF,OANDA:SGD_CHF
69,Gold/CHF,XAU/CHF,OANDA:XAU_CHF
70,Silver/CAD,XAG/CAD,OANDA:XAG_CAD
71,Palladium,XPD/USD,OANDA:XPD_USD
72,Brent Crude Oil,BCO/USD,OANDA:BCO_USD
73,India 50,IN50/USD,OANDA:IN50_USD
74,Japan 225,JP225/USD,OANDA:JP225_USD
75,China A50,CN50/USD,OANDA:CN50_USD
76,Natural Gas,NATGAS/USD,OANDA:NATGAS_USD
77,Germany 30,DE30/EUR,OANDA:DE30_EUR
